109b44c635a82b69463808c402c4b07060ce747dc29098ffef65eedadf63d021,49f7d532e50955804545e171f9bb7c398cc75661dd272c2376985724499e9705,edf723160eab50fac5c083232af2be0c9c2c5a75522d38307004a4af0afd2443,2cf452971c2c377d96d35513f30f4677bbf807e15a85fe024680b39518f52898,b071873fdbc7c640ffad6f1a7b5864538be00298f77a57f70d6e87a62a5dc5c3,9b32f2f215c0edd6fd9596b978783d3d5823e6d7d182285a736d488d8006f3bc,797c6d60563faafcc7f8fa9859456860c9d895262fe12bfd754f482d6ad2c8d1,c2b0e5f9aad1b433f58ed660ee5281a3474a355fe4a69430929ca078b88d8907,7823a2a5fc711cd222344cd117aebdf8be2b21a1d36d463ee58648d959c204ad,e10b4eb58240812ccab8fa9b714245a317170f42e20f1f95fd434b6ad2d5f65c,7b302394c387815d1a9e8d733e1000de211dce7e22e84ddec506d012c97fc124
"","","93","","3.764","","","","4036","0","4"
"","0.2","3","","1","","1","","4037","top_luis_thinking","4"
"","","32","","11","","","","4038","0","4"
"","","93","","2","","","","4039","0","4"
"","0","3","","2","","1","","4040","top_iroha_walk","4"
"","","4","","2","","","","4041","1","4"
"3","","2","","2","0","-130","","4042","400","4"
"3","","33","","11","0","-130","","4043","400","4"
"","","93","","3","","","","4044","0","4"
"idle_normal","0.2","3","","2","1","0","0","4045","top_iroha_walk_out","4"
"","","93","","0.4","","","","4046","0","4"
"","0.2","3","","2","","0","0.2","4047","top_iroha_sit_in","4"
"","","93","","4","","","","4048","0","4"
"","","101","","4007","","","","4049","","4"
"350","1.4","5","top_sono_readPaper","3","-130","100","1","5001","3","5"
"452","1.4","5","top_iroha_read_loop","2","-130","110","1","5002","2","5"
"","","91","","0","","","","5003","0","5"
"","0.2","3","","2","","1","","5004","top_iroha_read_loop","5"
"","0.2","3","","3","","1","","5005","top_sono_readPaper","5"
"","","93","","13.6","","","","5006","0","5"
"top_sono_stretch","0.2","3","","3","1","0","0","5007","top_sono_sit_out","5"
"0.3","","2","","3","0","-130","","5008","287","5"
"","","93","","3.5","","","","5009","0","5"
"","0.2","3","","3","","1","","5010","top_sono_drink","5"
"","","93","","2.6","","","","5011","0","5"
"","0.4","3","","2","","0","","5012","top_iroha_read_look","5"
"","","93","","7.9","","","","5013","0","5"
"","0.2","3","","3","","0","","5014","top_sono_sit_in","5"
"","","93","","0.1","","","","5015","0","5"
"","0.2","3","","2","","1","","5016","top_iroha_read_loop","5"
"0.3","","2","","3","0","-130","","5017","350","5"
"","","93","","2.5","","","","5018","0","5"
"","","101","","5005","","","","5019","","5"
"-216","1.4","5","idle_normal","1","-103","100","1","6001","1","6"
"350","1.38","5","top_sono_readPaper_loop","3","-130","101","1","6002","3","6"
"-18","1","31","","10","1","475","","6003","10","6"
"-140","0","31","","13","1","56","","6004","13","6"
"-140","0","31","","14","1","56","","6005","14","6"
"","","91","","0","","","","6006","0","6"
"","0.2","3","","3","","1","","6007","top_sono_readPaper_loop","6"
"top_luis_arm_crossed_idle","0.2","3","","1","1","0","0","6008","top_luis_arm_crossed_in","6"
"","","93","","4","","","","6009","0","6"
"top_luis_approach_idle","0.2","3","","1","1","0","0","6010","top_luis_approach_in","6"
"","","93","","3.5","","","","6011","0","6"
"","0.2","3","","1","","1","","6012","top_luis_thinking","6"
"","","93","","3.5","","","","6013","0","6"
"","0.2","3","","1","","1","","6014","top_luis_walk_think","6"
"2","","2","","1","0","-103","","6015","-495","6"
"","","93","","2","","","","6016","0","6"
"","","4","","1","","","","6017","0","6"
"2","","2","","1","0","-103","","6018","-216","6"
"","","93","","2","","","","6019","0","6"
"","0","3","","1","","1","","6020","top_luis_notice","6"
"","","93","","1","","","","6021","0","6"
"","0.2","3","","1","","1","","6022","top_luis_walk_jog","6"
"0.5","","2","","1","0","-130","","6023","-100","6"
"","","93","","0.5","","","","6024","0","6"
"","","4","","1","","","","6025","1","6"
"top_luis_sit_idle","0.2","3","","1","1","0","0","6026","top_luis_sit_in","6"
"","","93","","0.1","","","","6027","0","6"
"0.4","","2","","1","0","-140","","6028","-57","6"
"","","93","","0.4","","","","6029","0","6"
"0","","2","","1","0","-140","","6030","-16","6"
"","","4","","1","","","","6031","0","6"
"","","93","","0.6","","","","6032","0","6"
"","0.2","3","","1","","0","","6033","top_luis_experiment_failer_in","6"
"","","93","","2.3","","","","6034","0","6"
"","0.1","3","","1","","0","","6035","top_luis_experiment_failer_mix","6"
"","","93","","2.7","","","","6036","0","6"
"top_sono_notice_loop_surprise","0.2","3","","3","1","0","0","6037","top_sono_notice_in_surprise","6"
"","","32","","13","","","","6038","1","6"
"","0.1","3","","1","","0","","6039","top_luis_experiment_failer_burst","6"
"","","93","","2.7","","","","6040","0","6"
"","0.2","3","","3","","1","","6041","top_sono_readPaper_loop","6"
"","0.1","3","","1","","0","","6042","top_luis_experiment_failer_out","6"
"","","93","","1.1","","","","6043","0","6"
"idle_normal","0.2","3","","1","1","0","0","6044","top_luis_sit_out","6"
"","","4","","1","","","","6045","1","6"
"0","","2","","1","0","-140","","6046","-57","6"
"0.3","","2","","1","0","-130","","6047","-100","6"
"","","93","","1","","","","6048","0","6"
"","0.2","3","","1","","0","","6049","walk_normal","6"
"1","","2","","1","0","-103","","6050","-216","6"
"","","93","","1","","","","6051","0","6"
"","0.1","3","","1","","0","","6052","idle_normal","6"
"","","93","","0.8","","","","6053","0","6"
"","","32","","13","","","","6054","0","6"
"top_luis_arm_crossed_idle","0.2","3","","1","1","0","0","6055","top_luis_arm_crossed_in","6"
"","","93","","4","","","","6056","0","6"
"top_luis_approach_idle","0.2","3","","1","1","0","0","6057","top_luis_approach_in","6"
"","","93","","3.5","","","","6058","0","6"
"","0.2","3","","1","","1","","6059","top_luis_thinking","6"
"","","93","","3.5","","","","6060","0","6"
"","0.2","3","","1","","1","","6061","top_luis_walk_think","6"
"2","","2","","1","0","-103","","6062","-495","6"
"","","93","","2","","","","6063","0","6"
"","","4","","1","","","","6064","0","6"
"2","","2","","1","0","-103","","6065","-216","6"
"","","93","","2","","","","6066","0","6"
"","0","3","","1","","1","","6067","top_luis_notice","6"
"","","93","","1","","","","6068","0","6"
"","0.2","3","","1","","1","","6069","top_luis_walk_jog","6"
"0.5","","2","","1","0","-130","","6070","-100","6"
"","","93","","0.5","","","","6071","0","6"
"","","4","","1","","","","6072","1","6"
"top_luis_sit_idle","0.2","3","","1","1","0","0","6073","top_luis_sit_in","6"
"","","93","","0.1","","","","6074","0","6"
"0.4","","2","","1","0","-140","","6075","-57","6"
"","","93","","0.4","","","","6076","0","6"
"0","","2","","1","0","-140","","6077","-16","6"
"","","4","","1","","","","6078","0","6"
"","","93","","0.6","","","","6079","0","6"
"","0.2","3","","1","","0","","6080","top_luis_experiment_success_in","6"
"","","93","","2.3","","","","6081","0","6"
"","0.1","3","","1","","0","","6082","top_luis_experiment_success_mix","6"
"","","93","","2.7","","","","6083","0","6"
"top_sono_notice_loop_dere","0.2","3","","3","1","0","0","6084","top_sono_notice_in_dere","6"
"","","32","","14","","","","6085","1","6"
"","0.1","3","","1","","0","","6086","top_luis_experiment_success_burst","6"
"","","93","","2.7","","","","6087","0","6"
"","0.2","3","","3","","1","","6088","top_sono_readPaper_loop","6"
"","0.1","3","","1","","0","","6089","top_luis_experiment_success_out","6"
"","","93","","1.1","","","","6090","0","6"
"idle_normal","0.2","3","","1","1","0","0","6091","top_luis_sit_out","6"
"","","4","","1","","","","6092","1","6"
"0","","2","","1","0","-140","","6093","-57","6"
"0.3","","2","","1","0","-130","","6094","-100","6"
"","","93","","1","","","","6095","0","6"
"","0.2","3","","1","","0","","6096","walk_normal","6"
"1","","2","","1","0","-103","","6097","-216","6"
"","","93","","1","","","","6098","0","6"
"","0.1","3","","1","","0","","6099","idle_normal","6"
"","","93","","0.8","","","","6100","0","6"
"","","32","","14","","","","6101","0","6"
"0","","101","","6008","","0","","6102","","6"
"-216","1.4","5","idle_normal","1","-103","100","1","7001","1","7"
"452","1.43","5","top_iroha_read_loop","2","-130","110","1","7002","2","7"
"350","1.38","5","top_sono_readPaper_loop","3","-130","101","1","7003","3","7"
"980","1.4","5","butterfly","11","130","111","1","7004","11","7"
"-130","0","31","","11","1","452","","7005","11","7"
"-140","0","31","","14","1","56","","7006","14","7"
"","","91","","0","","","","7007","0","7"
"","0.2","3","","2","","1","","7008","top_iroha_read_loop","7"
"","0.2","3","","3","","1","","7009","top_sono_readPaper_loop","7"
"top_luis_arm_crossed_idle","0.2","3","","1","1","0","0","7010","top_luis_arm_crossed_in","7"
"","","93","","4","","","","7011","0","7"
"top_luis_approach_idle","0.2","3","","1","1","0","0","7012","top_luis_approach_in","7"
"","","93","","3.5","","","","7013","0","7"
"","0.2","3","","1","","1","","7014","top_luis_thinking","7"
"","","93","","3.5","","","","7015","0","7"
"","0.2","3","","1","","1","","7016","top_luis_walk_think","7"
"2","","2","","1","0","-103","","7017","-495","7"
"","","93","","2","","","","7018","0","7"
"","","4","","1","","","","7019","0","7"
"2","","2","","1","0","-103","","7020","-216","7"
"","","93","","2","","","","7021","0","7"
"","0","3","","1","","1","","7022","top_luis_notice","7"
"","","93","","1","","","","7023","0","7"
"","0.2","3","","1","","1","","7024","top_luis_walk_jog","7"
"0.5","","2","","1","0","-130","","7025","-100","7"
"","","93","","0.5","","","","7026","0","7"
"","","4","","1","","","","7027","1","7"
"top_luis_sit_idle","0.2","3","","1","1","0","0","7028","top_luis_sit_in","7"
"","","93","","0.1","","","","7029","0","7"
"0.4","","2","","1","0","-140","","7030","-57","7"
"","","93","","0.4","","","","7031","0","7"
"0","","2","","1","0","-140","","7032","-16","7"
"","","4","","1","","","","7033","0","7"
"","","93","","0.6","","","","7034","0","7"
"","0.2","3","","1","","0","","7035","top_luis_experiment_success_in","7"
"","","93","","2.3","","","","7036","0","7"
"","0.1","3","","1","","0","","7037","top_luis_experiment_success_mix","7"
"","","93","","2.7","","","","7038","0","7"
"top_sono_notice_loop_dere","0.2","3","","3","1","0","0","7039","top_sono_notice_in_dere","7"
"","0.2","3","","2","","1","","7040","top_iroha_read_look_light","7"
"","","32","","14","","","","7041","1","7"
"","0.1","3","","1","","0","","7042","top_luis_experiment_success_burst","7"
"","","93","","2.7","","","","7043","0","7"
"","0.2","3","","3","","1","","7044","top_sono_readPaper_loop","7"
"","0.2","3","","2","","1","","7045","top_iroha_read","7"
"","0.1","3","","1","","0","","7046","top_luis_experiment_success_out","7"
"","","93","","1.1","","","","7047","0","7"
"idle_normal","0.2","3","","1","1","0","0","7048","top_luis_sit_out","7"
"","","4","","1","","","","7049","1","7"
"0","","2","","1","0","-140","","7050","-57","7"
"0.3","","2","","1","0","-130","","7051","-100","7"
"","","93","","1","","","","7052","0","7"
"","0.2","3","","1","","0","","7053","walk_normal","7"
"1","","2","","1","0","-103","","7054","-216","7"
"","","93","","1","","","","7055","0","7"
"","0.1","3","","1","","0","","7056","idle_normal","7"
"","","93","","0.8","","","","7057","0","7"
"","","32","","14","","","","7058","0","7"
"","0.2","3","","1","","1","","7059","top_luis_thinking","7"
"","","93","","5.1","","","","7060","0","7"
"","","4","","11","","","","7061","1","7"
"7","","2","","11","0","130","","7062","-980","7"
"","","93","","2.5","","","","7063","0","7"
"","0.2","3","","2","","0","","7064","top_iroha_read_notice","7"
"","","93","","0.6","","","","7065","0","7"
"top_iroha_run","0","3","","2","1","0","0","7066","top_iroha_notice_to_run","7"
"","","93","","0.4","","","","7067","0","7"
"","","32","","11","","","","7068","1","7"
"","","37","","11","","","","7069","smokeR","7"
"4.2","","33","","11","0","-130","","7070","-980","7"
"4.2","","2","","2","0","-130","","7071","-980","7"
"","","93","","0.2","","","","7072","0","7"
"top_sono_notice_loop_surprise","0.2","3","","3","1","0","0","7073","top_sono_notice_in_surprise","7"
"","","93","","1.7","","","","7074","0","7"
"top_luis_surprise_idle","0.2","3","","1","1","0","0","7075","top_luis_surprise_in","7"
"","","93","","2.5","","","","7076","0","7"
"","","32","","11","","","","7077","0","7"
"","","93","","1","","","","7078","0","7"
"","","4","","11","","","","7079","0","7"
"7","","2","","11","0","130","","7080","980","7"
"","","93","","1.5","","","","7081","0","7"
"","","32","","11","","","","7082","1","7"
"","","37","","11","","","","7083","smokeL","7"
"5.964","","33","","11","0","-130","","7084","980","7"
"","0","3","","2","","1","","7085","top_iroha_run_joy","7"
"","","4","","2","","","","7086","0","7"
"5.964","","2","","2","0","-130","","7087","980","7"
"","","93","","2.2","","","","7088","0","7"
"","0","3","","1","","1","","7089","top_luis_surprise_look","7"
"","","93","","1.8","","","","7090","0","7"
"","0","3","","3","","1","","7091","top_sono_notice_loop_look","7"
"","","93","","1.964","","","","7092","0","7"
"","","32","","11","","","","7093","0","7"
"","","93","","0.5","","","","7094","0","7"
"","0.2","3","","1","","1","","7095","top_luis_thinking","7"
"","","93","","1.5","","","","7096","0","7"
"","0","3","","2","","1","","7097","top_iroha_walk","7"
"","","4","","2","","","","7098","1","7"
"0","","2","","2","0","-130","","7099","1032","7"
"0","","33","","11","0","-130","","7100","1032","7"
"3","","2","","2","0","-130","","7101","452","7"
"3","","33","","11","0","-130","","7102","452","7"
"","","93","","3","","","","7103","0","7"
"idle_normal","0.2","3","","2","1","0","0","7104","top_iroha_walk_out","7"
"","","93","","0.4","","","","7105","0","7"
"top_iroha_read_loop","0.2","3","","2","1","0","0.2","7106","top_iroha_sit_in","7"
"","0.2","3","","3","","1","","7107","top_sono_readPaper","7"
"","","93","","4","","","","7108","0","7"
"","","93","","9.6","","","","7109","0","7"
"top_sono_stretch","0.2","3","","3","1","0","0","7110","top_sono_sit_out","7"
"0.3","","2","","3","0","-130","","7111","287","7"
"","","93","","3.5","","","","7112","0","7"
"","0.2","3","","3","","1","","7113","top_sono_drink","7"
"","","93","","2.6","","","","7114","0","7"
"","0.4","3","","2","","0","","7115","top_iroha_read_look","7"
"","","93","","3.5","","","","7116","0","7"
"","0.2","3","","1","","1","","7117","top_luis_thinking_look","7"
"","","93","","2.9","","","","7118","0","7"
"","0.2","3","","1","","1","","7119","top_luis_thinking","7"
"","","93","","1.5","","","","7120","0","7"
"","0.2","3","","3","","0","","7121","top_sono_sit_in","7"
"","","93","","0.1","","","","7122","0","7"
"","0.2","3","","2","","1","","7123","top_iroha_read_loop","7"
"0.3","","2","","3","0","-130","","7124","350","7"
"","","93","","2.5","","","","7125","0","7"
"","0.2","3","","3","","1","","7126","top_sono_readPaper_loop","7"
"","","93","","1","","","","7127","0","7"
"","","101","","7012","","","","7128","","7"
"-16","1.4","5","fantasize_all","1","-140","101","0","8001","1","8"
"980","1.38","5","empty","3","-130","100","1","8002","3","8"
"-16","1","5","fantasize_all","15","-140","102","0","8003","15","8"
"-140","0","31","","11","1","27","","8004","11","8"
"0","0","31","","15","1","0","","8005","15","8"
"","","91","","0","","","","8006","0","8"
"fantasize_3","0.2","3","","1","1","0","0","8007","fantasize_all","8"
"fantasize_3","0.2","3","","15","1","0","0","8008","fantasize_all","8"
"","","93","","2","","","","8009","0","8"
"","","23","","se_alces","","0","","8010","se_alces_fantasy1","8"
"","","93","","10","","","","8011","0","8"
"","0.2","3","","3","","1","","8012","walk","8"
"3","","2","","3","0","-130","","8013","350","8"
"","","93","","3","","","","8014","0","8"
"","0.2","3","","3","","0","","8015","sono_notice_in_anger2","8"
"","","93","","1.5","","","","8016","0","8"
"idle_normal","0.2","3","","3","1","0","0","8017","kohon","8"
"","","93","","0.6","","","","8018","0","8"
"","","23","","se_alces","","0","","8019","se_alces_fantasy2","8"
"","0","3","","15","","0","","8020","fantasize_out","8"
"","","32","","15","","","","8021","1","8"
"","0.2","3","","1","","0","","8022","fantasize_3_surprise","8"
"","","93","","1.5","","","","8023","0","8"
"","0.2","3","","1","","0","","8024","fantasize_sit_out","8"
"0.3","","2","","1","0","-140","","8025","27","8"
"","","93","","0.8","","","","8026","0","8"
"fantasize_armcrossed_idle","0.2","3","","1","1","0","0","8027","fantasize_armcrossed_in","8"
"","","93","","0.5","","","","8028","0","8"
"","0.2","3","","3","","1","","8029","idle_surprise","8"
"","","93","","1.5","","","","8030","0","8"
"","","23","","se_alces","","0","","8031","se_alces_run","8"
"","0","3","","1","","1","","8032","fantasize_run","8"
"1.5","","2","","1","0","-140","","8033","1080","8"
"","","32","","11","","","","8034","1","8"
"1.5","","33","","11","0","-140","","8035","1080","8"
"","","93","","0.5","","","","8036","0","8"
"lookback_idle","0.2","3","","3","1","0","0","8037","lookback_in","8"
"","","93","","1.8","","","","8038","0","8"
"","","23","","se_alces","","0","","8039","se_alces_sweat","8"
"560","1.4","5","walk_jog_Ex3_shy","1","-140","101","1","9001","1","9"
"147","1.4","5","empty","1","-114","100","1","9002","2","9"
"-114","0","31","","16","1","147","","9003","16","9"
"-114","0","31","","17","1","147","","9004","17","9"
"","","91","","0","","","","9005","0","9"
"","0.2","3","","1","","1","","9006","walk_jog_Ex3_shy","9"
"1.2","","2","","1","0","-140","","9007","270","9"
"","","93","","1.2","","","","9008","0","9"
"","0.2","3","","1","","1","","9009","idle_normal_Ex0003_shy","9"
"","","93","","0.3","","","","9010","0","9"
"","0.2","3","","1","","0","","9011","lookAround","9"
"","","93","","2.7","","","","9012","0","9"
"","0.2","3","","1","","1","","9013","walk_jog_anger_shy","9"
"0.7","","2","","1","0","-114","","9014","147","9"
"","","93","","0.7","","","","9015","0","9"
"crouch_search_read_idle","0","3","","1","1","0","0","9016","crouch_search_read_F","9"
"","0","3","","2","","0","","9017","crouch_search_read_B","9"
"","","93","","0.9","","","","9018","0","9"
"","","23","","se_alces","","0","","9019","se_alces_book_take","9"
"","","93","","5.2","","","","9020","0","9"
"","","23","","se_alces","","0","","9021","se_alces_book_open","9"
"","","93","","0.5","","","","9022","0","9"
"","","23","","se_alces","","0","","9023","se_alces_steam","9"
"","","32","","17","","","","9024","1","9"
"","","93","","6.2","","","","9025","0","9"
"","","32","","16","","","","9026","1","9"
"400","1.4","5","iroha_sleep","2","-130","100","0","10001","2","10"
"400","1.4","5","iroha_sleep","12","-130","101","0","10002","12","10"
"400","1.4","5","empty","10","-130","101","0","10003","10","10"
"270","1.37","5","idle_normal_talkJoy","3","-120","102","0","10004","3","10"
"","","91","","0","","","","10005","0","10"
