9ab8d4b6adac90ba3fe883841b927079bd43c65dbaafb97f65b68c5c8fc3753c,61bf93de165650ab8c28ce1fff9b0dc9791cb7cea693e9be2370e965c318c8ae,e62aa9095de9d49be32bec6876df2b0ec087390426bd1a75091af105ff0c03d8,8ba77341de2ce4410e81a272c3272b3c198f8551d4239a0e1873df828f2e7a50,ca44099ddb01799cde62a7080cdaa7acd3ec4e3c00fae9887b9c1bb031235938,e2f0d80b42ec0b5574f9d50568e8ed13861cd9c78205fe6babebe38f0558006b,fc00ec017c980fae37db04322c4300add176ac5e4c1808e2cd3a23a130cf2112,0b664c80a68d9f5d33bb94873e439e45acef059a63a7c80dc933de4b2dc43583,0a480874085736dfea1079498b39aaa41ad58246acb4b5ff96111fb0a2a17c3b,9f2f2d647f8f5d02d29ba7bca7734648d32cf2dc28b43681a1fe75f1dc6684a2,7edd8d9d4756d5ab256a34c9ce71a8263b4e17a33df3cf7f7ff6787ee085134e
"0","22","0","8","11","1","22010","122411","0.5","0","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"","22","","","91","","22011","0","","",""
"","22","","1","3","","22012","122411","","0.2","sjr_talk_idle"
"-194","23","1","100","1","72","23001","1","sjr_talk_idle","1.65","122511"
"-194","23","0","100","1","-72","23002","1","sjr_talk_idle","1.65","122411"
"1","23","0","0","3","sjr_talk_eieio_loop","23003","122411","","0.2","sjr_talk_fun_eieio"
"","23","","0","21","0","23004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_018"
"0","23","0","5","11","1","23005","122411","0.5","0","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"","23","","","91","","23006","0","","",""
"","23","","1","3","","23007","122411","","0.2","sjr_talk_idle"
"","23","","1","3","","23008","122511","","0.2","sjr_talk_mouth_hidden_sad"
"","23","","0","21","0","23009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_019"
"0","23","0","7","11","1","23010","122511","0.5","0","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"","23","","","91","","23011","0","","",""
"","23","","1","3","","23012","122511","","0.2","sjr_talk_idle"
"1","23","0","0","3","sjr_talk_arm_opened_guru","23013","122411","","0.2","sjr_talk_arm_opened_joy_guru"
"","23","","0","21","0","23014","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_020"
"0","23","0","5","11","1","23015","122411","0.5","0","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"","23","","","91","","23016","0","","",""
"","23","","1","3","","23017","122411","","0.2","sjr_talk_idle"
"-194","24","1","100","1","72","24001","1","sjr_talk_idle","1.65","122511"
"-194","24","0","100","1","-72","24002","1","sjr_talk_idle","1.65","122411"
"","24","","1","3","","24003","122411","","0.2","sjr_talk_mouth_hidden_sad"
"","24","","0","21","0","24004","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_021"
"0","24","0","7","11","1","24005","122411","1","0","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"","24","","","91","","24006","0","","",""
"","24","","1","3","","24007","122411","","0.2","sjr_talk_idle"
"0","24","0","0","3","sjr_talk_arm_crossed_joy_loop","24008","122511","","0.2","sjr_talk_arm_crossed_normal_joy"
"","24","","0","21","0","24009","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_022"
"0","24","0","5","11","1","24010","122511","0.5","0","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"","24","","","91","","24011","0","","",""
"","24","","1","3","","24012","122511","","0.2","sjr_talk_idle"
"","24","","1","3","","24013","122411","","0.2","sjr_talk_laugh"
"","24","","0","21","0","24014","vo_minigame_1010","","","vo_minigame_1010_top_talk_2_023"
"0","24","0","7","11","1","24015","122411","0.5","0","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"","24","","","91","","24016","0","","",""
"","24","","1","3","","24017","122411","","0.2","sjr_talk_idle"
