12989a3e7262f1330227831c8713c14074682c105371d31ddd667175004fc37e,beb8f88ea5ea7f43a63a68a43f4a3b1064e5a93dd8c52384c3a1b89d0d3644d2,f2b6260bdddacd1ff574df4e9d0f0e09b180491fd9f2d4f82b39cf0f753de7f3,c528ad0fecaa083f97da23af68eb3a9f9dafd30bf862f80a9c1fe17403848ca7,cf4884b287bd54e6f28ae2c11b917fa63200c5282a8401622131a096c84bb4b4
"2","133","25001","20","100603"
"2","134","90008","2500","100604"
"2","135","25001","30","100605"
"8","136","91002","300","100606"
"2","137","41000","1","100607"
"12","138","94002","5000000","100608"
"12","139","94002","1000000","100609"
"12","140","94002","1000000","100610"
"12","141","94002","1000000","100611"
"2","142","20004","400","100612"
"2","143","20004","300","100613"
"2","144","20004","200","100614"
"12","145","94002","1000000","100615"
"12","146","94002","1000000","100616"
"12","147","94002","1000000","100617"
"2","148","20004","400","100618"
"2","149","20004","300","100619"
"2","150","20004","200","100620"
"12","151","94002","1000000","100621"
"12","152","94002","1000000","100622"
"12","153","94002","1000000","100623"
"2","154","20004","400","100624"
"2","155","20004","300","100625"
"2","156","20004","200","100626"
"12","157","94002","5000000","100701"
"2","158","90008","2000","100702"
"2","159","25001","20","100703"
"2","160","90008","2500","100704"
"2","161","25001","30","100705"
"8","162","91002","300","100706"
"2","163","41000","1","100707"
"12","164","94002","5000000","100708"
"12","165","94002","1000000","100709"
"12","166","94002","1000000","100710"
"12","167","94002","1000000","100711"
"2","168","20004","400","100712"
"2","169","20004","300","100713"
"2","170","20004","200","100714"
"12","171","94002","1000000","100715"
"12","172","94002","1000000","100716"
"12","173","94002","1000000","100717"
"2","174","20004","400","100718"
"2","175","20004","300","100719"
"2","176","20004","200","100720"
"12","177","94002","1000000","100721"
"12","178","94002","1000000","100722"
"12","179","94002","1000000","100723"
"2","180","20004","400","100724"
"2","181","20004","300","100725"
"2","182","20004","200","100726"
"12","183","94002","5000000","100801"
"2","184","90008","2000","100802"
"2","185","25001","20","100803"
"2","186","90008","2500","100804"
"2","187","25001","30","100805"
"8","188","91002","300","100806"
"2","189","41000","1","100807"
"12","190","94002","5000000","100808"
"12","191","94002","1000000","100809"
"12","192","94002","1000000","100810"
"12","193","94002","1000000","100811"
"2","194","20004","400","100812"
"2","195","20004","300","100813"
"2","196","20004","200","100814"
"12","197","94002","1000000","100815"
"12","198","94002","1000000","100816"
"12","199","94002","1000000","100817"
"2","200","20004","400","100818"
"2","201","20004","300","100819"
"2","202","20004","200","100820"
"12","203","94002","1000000","100821"
"12","204","94002","1000000","100822"
"12","205","94002","1000000","100823"
"2","206","20004","400","100824"
"2","207","20004","300","100825"
"2","208","20004","200","100826"
"12","209","94002","5000000","100901"
"2","210","90008","2000","100902"
"2","211","25001","20","100903"
"2","212","90008","2500","100904"
"2","213","25001","30","100905"
"8","214","91002","300","100906"
"2","215","41000","1","100907"
"12","216","94002","5000000","100908"
"12","217","94002","1000000","100909"
"12","218","94002","1000000","100910"
"12","219","94002","1000000","100911"
"2","220","20004","400","100912"
"2","221","20004","300","100913"
"2","222","20004","200","100914"
"12","223","94002","1000000","100915"
"12","224","94002","1000000","100916"
"12","225","94002","1000000","100917"
"2","226","20004","400","100918"
"2","227","20004","300","100919"
"2","228","20004","200","100920"
"12","229","94002","1000000","100921"
"12","230","94002","1000000","100922"
"12","231","94002","1000000","100923"
"2","232","20004","400","100924"
"2","233","20004","300","100925"
"2","234","20004","200","100926"
