29f06193e941caf831c3e594edd2ccab495938451005b4382d2abfd53d99790f,0ae9173bf276fdbcf270814e74c1cf2919f452d3f9706436b2bab97763ab8ccf,8aad55d2c7fdda6bac3f24759b734e16fd24054d76154a1447c0300958d80f83,130c9b50c1812aacd0fa3ed3fa46f38b51a6791a6c3076298d9fe443575841d0,570bfbc69033a946eecd534b2a0f8bb34d412ad2c3fcfa844db1b846358df845,12fbf248a4e4df5c7db9ed9627648182a89fae015907dd008f9528669aa37ba8
"60000053","4","10011002","3","122614","1"
"60000054","4","10011003","2","113011","1"
"60000055","4","10011003","2","113012","1"
"60000056","4","10011003","2","113013","1"
"60000057","4","10011003","2","113071","1"
"60000058","4","10011003","2","113101","1"
"60000059","4","10011003","2","113131","1"
"60000060","4","10011003","2","113162","1"
"60000061","4","10011003","2","113191","1"
"60000062","4","10011003","2","113221","1"
"60000063","4","10011003","2","113222","1"
"60000064","4","10011003","2","113252","1"
"60000065","4","10011003","3","113283","1"
"60000066","4","10011003","3","113342","1"
"60000067","4","10011003","3","113372","1"
"60000068","4","10011003","3","113401","1"
"60000069","4","10011003","3","113431","1"
"60000070","4","10011003","3","113521","1"
"60000071","4","10011003","3","113522","1"
"60000072","4","10011003","3","113551","1"
"60000073","4","10011003","3","113552","1"
"60000074","4","10011003","3","113553","1"
"60000075","4","10011003","3","113581","1"
"60000076","4","10011003","3","113611","1"
"60000077","4","10011003","3","113614","1"
"60000078","4","10011003","2","123041","1"
"60000079","4","10011003","2","123042","1"
"60000080","4","10011003","2","123072","1"
"60000081","4","10011003","2","123132","1"
"60000082","4","10011003","2","123161","1"
"60000083","4","10011003","2","123192","1"
"60000084","4","10011003","2","123193","1"
"60000085","4","10011003","2","123251","1"
"60000086","4","10011003","3","123281","1"
"60000087","4","10011003","3","123282","1"
"60000088","4","10011003","3","123311","1"
"60000089","4","10011003","3","123341","1"
"60000090","4","10011003","3","123343","1"
"60000091","4","10011003","3","123371","1"
"60000092","4","10011003","3","123432","1"
"60000093","4","10011003","3","123461","1"
"60000094","4","10011003","3","123491","1"
"60000095","4","10011003","3","123582","1"
"60000096","4","10011003","3","123583","1"
"60000097","4","10011003","3","123612","1"
"60000098","4","10011004","2","114011","1"
"60000099","4","10011004","2","114012","1"
"60000100","4","10011004","2","114041","1"
"60000101","4","10011004","2","114072","1"
"60000102","4","10011004","2","114102","1"
"60000103","4","10011004","2","114132","1"
"60000104","4","10011004","2","114162","1"
"60000105","4","10011004","2","114191","1"
"60000106","4","10011004","2","114221","1"
"60000107","4","10011004","2","114222","1"
"60000108","4","10011004","2","114252","1"
"60000109","4","10011004","3","114281","1"
"60000110","4","10011004","3","114282","1"
"60000111","4","10011004","3","114312","1"
"60000112","4","10011004","3","114341","1"
"60000113","4","10011004","3","114371","1"
"60000114","4","10011004","3","114372","1"
"60000115","4","10011004","3","114432","1"
"60000116","4","10011004","3","114461","1"
"60000117","4","10011004","3","114522","1"
"60000118","4","10011004","3","114551","1"
"60000119","4","10011004","3","114581","1"
"60000120","4","10011004","2","114611","1"
"60000121","4","10011004","2","124042","1"
"60000122","4","10011004","2","124071","1"
"60000123","4","10011004","2","124101","1"
"60000124","4","10011004","2","124131","1"
"60000125","4","10011004","2","124161","1"
"60000126","4","10011004","2","124192","1"
"60000127","4","10011004","2","124251","1"
"60000128","4","10011004","3","124311","1"
"60000129","4","10011004","3","124342","1"
"60000130","4","10011004","3","124401","1"
"60000131","4","10011004","3","124431","1"
"60000132","4","10011004","3","124491","1"
"60000133","4","10011004","3","124521","1"
"60000134","2","10012098","100","31012","1"
"60000135","2","10012099","100","31038","1"
"62001045","2","62001045","100","60001","1"
"62001046","2","62001046","100","60002","3"
