a8869bec889b5ca2e478913bcff70eafd458b33e6453fa8886ed4381dfce5e59,d81ec813cfe10cdc377517962dc5461310952da01693c8000f24a30ffec4d11d,b2ffbe836bd3f83a6891f9f424786bf3a58f5e5089ac80a49e07ab133ecdf06f,c2aea8f7abbef2380c43002a7bcf96169ff92f89fe617d9ad5153a70320f465b,717b5fccfc87c54e8c2c6755ab40f7e2484495b8a73493360673e368eaa08792,d67f4e9366ebd515f1691461bdd3059456e9b3edf1d050bdc2718a46a91c97da,56a5f688f16516acb859ab5e20506475e891dbd079a62520bd207a42dccb3d51,c61e735e6de97412b6e376bdf81a508abb7a7a2b9fcbdce79ab8db688f80443a,733454fdeba4a2ec07c9a13540504b8e3d238611450ba866e43385cad6af3bc0,fe5a74418027d23f325c7ddb88007e672332c61ffd5e9da169d90e82ae82b8e9,3f0ce621912058dacadebf428b9ef1f6c28dffab2bc7225424986fc2c322af44,ad49e09715393ab8337f12ad248ce7995bec290410e3ebf8a52028e2d0dd1bb6
"0","1","0","13","0.976","0","4","0","0","39","0","1130039"
"0","0","7","13","0","176","1","0","1.425","40","34","1130040"
"0","1","0","13","1.683","0","4","0","0","41","0","1130041"
"0","0","7","13","0","275","1","0","0.85","42","176","1130042"
"0","1","0","13","1.9","0","4","0","0","43","0","1130043"
"0","3","0","13","4","0","4","0","0","44","0","1130044"
"vo_nyx_0206","0","0","13","0","0","2","vo_nyx","0","45","0","1130045"
"0","0","7","13","0","327","1","0","0.43","46","275","1130046"
"0","1","0","13","1.105","0","4","0","0","47","0","1130047"
"0","0","7","13","0","396","1","0","0.759","48","327","1130048"
"0","1","0","13","0.759","0","4","0","0","49","0","1130049"
"0","0","8","13","0","112","1","0","1.136","50","0","1130050"
"0","1","0","13","1.533","0","4","0","0","51","0","1130051"
"0","0","8","13","0","248","1","0","1.347","52","112","1130052"
"0","1","0","13","1.518","0","4","0","0","53","0","1130053"
"0","0","8","13","0","360","1","0","0.981","54","248","1130054"
"0","1","0","13","1.862","0","4","0","0","55","0","1130055"
"0","3","0","13","5","0","4","0","0","56","0","1130056"
"vo_nyx_0207","0","0","13","0","0","2","vo_nyx","0","57","0","1130057"
"0","0","9","13","0","51","1","0","0.44","58","0","1130058"
"0","1","0","13","0.9","0","4","0","0","59","0","1130059"
"0","0","9","13","0","205","1","0","1.404","60","51","1130060"
"0","1","0","13","1.74","0","4","0","0","61","0","1130061"
"0","0","9","13","0","325","1","0","0.986","62","205","1130062"
"0","1","0","13","1.187","0","4","0","0","63","0","1130063"
"0","0","9","13","0","377","1","0","0.437","64","325","1130064"
"0","1","0","13","0.437","0","4","0","0","65","0","1130065"
"0","0","10","13","0","84","1","0","0.7","66","0","1130066"
"0","1","0","13","1.317","0","4","0","0","67","0","1130067"
"0","0","10","13","0","376","1","0","2.659","68","84","1130068"
"0","1","0","13","2.717","0","4","0","0","69","0","1130069"
"0","0","11","13","0","190","1","0","1.834","70","0","1130070"
"0","1","0","13","3.084","0","4","0","0","71","0","1130071"
"vo_nyx_0208","0","0","13","0","0","2","vo_nyx","0","72","0","1130072"
"0","0","12","13","0","122","1","0","1.574","73","0","1130073"
"0","1","0","13","2.083","0","4","0","0","74","0","1130074"
"0","0","12","13","0","252","1","0","1.236","75","122","1130075"
"0","1","0","13","1.443","0","4","0","0","76","0","1130076"
"0","0","12","13","0","345","1","0","0.869","77","252","1130077"
"0","1","0","13","1.288","0","4","0","0","78","0","1130078"
"0","0","13","13","0","58","1","0","0.48","79","0","1130079"
"0","1","0","13","0.81","0","4","0","0","80","0","1130080"
"0","0","13","13","0","160","1","0","0.789","81","58","1130081"
"0","1","0","13","1.627","0","4","0","0","82","0","1130082"
"vo_nyx_0209","0","0","13","0","0","2","vo_nyx","0","83","0","1130083"
"0","0","13","13","0","250","1","0","0.707","84","160","1130084"
"0","1","0","13","2.507","0","4","0","0","85","0","1130085"
"0","3","0","14","1","0","4","0","0","1","0","1140001"
"vo_nyx_0301","0","0","14","0","0","2","vo_nyx","0","2","0","1140002"
"0","0","1","14","0","97","1","0","1.075","3","0","1140003"
"0","1","0","14","1.692","0","4","0","0","4","0","1140004"
"0","0","1","14","0","360","1","0","2.843","5","97","1140005"
"0","1","0","14","4","0","4","0","0","6","0","1140006"
"vo_nyx_0302","0","0","14","0","0","2","vo_nyx","0","7","0","1140007"
"0","0","2","14","0","135","1","0","1.567","8","0","1140008"
"0","1","0","14","1.964","0","4","0","0","9","0","1140009"
"0","0","2","14","0","230","1","0","0.78","10","135","1140010"
"0","1","0","14","2.076","0","4","0","0","11","0","1140011"
"vo_nyx_0303","0","0","14","0","0","2","vo_nyx","0","12","0","1140012"
"0","0","3","14","0","74","1","0","1.037","13","0","1140013"
"0","1","0","14","1.629","0","4","0","0","14","0","1140014"
"0","0","3","14","0","270","1","0","2.027","15","74","1140015"
"0","1","0","14","3.568","0","4","0","0","16","0","1140016"
"0","3","0","14","2","0","4","0","0","17","0","1140017"
"vo_nyx_0304","0","0","14","0","0","2","vo_nyx","0","18","0","1140018"
"0","0","3","14","0","380","1","0","1.38","19","270","1140019"
"0","1","0","14","1.419","0","4","0","0","20","0","1140020"
"0","0","4","14","0","58","1","0","0.491","21","0","1140021"
"0","1","0","14","0.545","0","4","0","0","22","0","1140022"
"0","0","4","14","0","316","1","0","2.409","23","58","1140023"
"0","1","0","14","3.711","0","4","0","0","24","0","1140024"
"vo_nyx_0305","0","0","14","0","0","2","vo_nyx","0","25","0","1140025"
"0","0","5","14","0","65","1","0","0.892","26","0","1140026"
"0","1","0","14","1.458","0","4","0","0","27","0","1140027"
"0","0","5","14","0","293","1","0","2.495","28","65","1140028"
"0","1","0","14","3.134","0","4","0","0","29","0","1140029"
"0","0","6","14","0","66","1","0","0.599","30","0","1140030"
"0","1","0","14","0.599","0","4","0","0","31","0","1140031"
"0","0","6","14","0","245","1","0","1.855","32","66","1140032"
"0","1","0","14","3.373","0","4","0","0","33","0","1140033"
"vo_nyx_0306","0","0","14","0","0","2","vo_nyx","0","34","0","1140034"
"0","0","7","14","0","175","1","0","1.629","35","0","1140035"
"0","1","0","14","3.34","0","4","0","0","36","0","1140036"
"vo_nyx_0307","0","0","14","0","0","2","vo_nyx","0","37","0","1140037"
"0","0","8","14","0","89","1","0","1.079","38","0","1140038"
"0","1","0","14","1.6","0","4","0","0","39","0","1140039"
"0","0","8","14","0","325","1","0","2.353","40","89","1140040"
"0","1","0","14","3.511","0","4","0","0","41","0","1140041"
"vo_nyx_0308","0","0","14","0","0","2","vo_nyx","0","42","0","1140042"
"0","0","8","14","0","400","1","0","0.511","43","325","1140043"
"0","1","0","14","0.511","0","4","0","0","44","0","1140044"
"0","0","9","14","0","75","1","0","1.154","45","0","1140045"
"0","1","0","14","1.511","0","4","0","0","46","0","1140046"
"0","0","9","14","0","405","1","0","3.186","47","75","1140047"
"0","1","0","14","4.034","0","4","0","0","48","0","1140048"
"vo_nyx_0309","0","0","14","0","0","2","vo_nyx","0","49","0","1140049"
"0","0","10","14","0","342","1","0","3.486","50","0","1140050"
"0","1","0","14","4.563","0","4","0","0","51","0","1140051"
"vo_nyx_0310","0","0","14","0","0","2","vo_nyx","0","52","0","1140052"
"0","0","11","14","0","105","1","0","0.815","53","0","1140053"
"0","1","0","14","2.384","0","4","0","0","54","0","1140054"
"vo_nyx_0311","0","0","14","0","0","2","vo_nyx","0","55","0","1140055"
"0","0","12","14","0","139","1","0","1.726","56","0","1140056"
"0","1","0","14","2.212","0","4","0","0","57","0","1140057"
"0","0","12","14","0","348","1","0","2.239","58","139","1140058"
"0","1","0","14","2.898","0","4","0","0","59","0","1140059"
"0","0","12","14","0","398","1","0","0.691","60","348","1140060"
"0","3","0","14","3","0","4","0","0","61","0","1140061"
"0","1","0","14","0.691","0","4","0","0","62","0","1140062"
"0","0","13","14","0","55","1","0","0.499","63","0","1140063"
"0","1","0","14","1.799","0","4","0","0","64","0","1140064"
"0","3","0","14","4","0","4","0","0","65","0","1140065"
"vo_nyx_0312","0","0","14","0","0","2","vo_nyx","0","66","0","1140066"
"0","0","13","14","0","128","1","0","0.674","67","55","1140067"
"0","1","0","14","1.251","0","4","0","0","68","0","1140068"
"0","0","13","14","0","201","1","0","0.959","69","128","1140069"
"0","1","0","14","1.676","0","4","0","0","70","0","1140070"
"0","0","13","14","0","365","1","0","1.894","71","201","1140071"
"0","1","0","14","1.894","0","4","0","0","72","0","1140072"
"0","0","14","14","0","100","1","0","0.844","73","0","1140073"
"0","1","0","14","2.644","0","4","0","0","74","0","1140074"
"0","3","0","22","1","0","4","0","0","1","0","1220001"
"vo_nyx_0401","0","0","22","0","0","2","vo_nyx","0","2","0","1220002"
"0","0","1","22","0","181","1","0","1.578","3","0","1220003"
"0","1","0","22","2.06","0","4","0","0","4","0","1220004"
"0","0","1","22","0","325","1","0","1.339","5","181","1220005"
"0","1","0","22","1.417","0","4","0","0","6","0","1220006"
"0","0","2","22","0","140","1","0","1.412","7","0","1220007"
"0","1","0","22","2.549","0","4","0","0","8","0","1220008"
"vo_nyx_0402","0","0","22","0","0","2","vo_nyx","0","9","0","1220009"
"0","0","2","22","0","326","1","0","1.74","10","140","1220010"
"0","1","0","22","2.249","0","4","0","0","11","0","1220011"
"0","0","2","22","0","390","1","0","0.455","12","326","1220012"
"0","1","0","22","0.455","0","4","0","0","13","0","1220013"
"0","0","3","22","0","188","1","0","1.361","14","0","1220014"
"0","1","0","22","2.433","0","4","0","0","15","0","1220015"
"vo_nyx_0403","0","0","22","0","0","2","vo_nyx","0","16","0","1220016"
"0","0","4","22","0","55","1","0","0.438","17","0","1220017"
"0","1","0","22","0.976","0","4","0","0","18","0","1220018"
"0","0","4","22","0","256","1","0","1.414","19","55","1220019"
"0","1","0","22","2.433","0","4","0","0","20","0","1220020"
"vo_nyx_0404","0","0","22","0","0","2","vo_nyx","0","21","0","1220021"
"0","0","5","22","0","213","1","0","1.829","22","0","1220022"
"0","1","0","22","2.237","0","4","0","0","23","0","1220023"
"0","0","5","22","0","340","1","0","1.018","24","213","1220024"
"0","1","0","22","1.965","0","4","0","0","25","0","1220025"
"0","3","0","22","2","0","4","0","0","26","0","1220026"
"vo_nyx_0405","0","0","22","0","0","2","vo_nyx","0","27","0","1220027"
"0","0","5","22","0","392","1","0","0.455","28","340","1220028"
"0","1","0","22","0.455","0","4","0","0","29","0","1220029"
"0","0","6","22","0","40","1","0","0.586","30","0","1220030"
"0","1","0","22","1.124","0","4","0","0","31","0","1220031"
"0","0","6","22","0","225","1","0","1.953","32","40","1220032"
"0","1","0","22","2.356","0","4","0","0","33","0","1220033"
"0","0","6","22","0","375","1","0","1.083","34","225","1220034"
"0","1","0","22","1.083","0","4","0","0","35","0","1220035"
"0","0","7","22","0","74","1","0","0.71","36","0","1220036"
"0","1","0","22","1.533","0","4","0","0","37","0","1220037"
"0","0","7","22","0","187","1","0","0.947","38","74","1220038"
"0","3","0","22","2","0","4","0","0","39","0","1220039"
"0","1","0","22","1.349","0","4","0","0","40","0","1220040"
"0","0","7","22","0","329","1","0","0.87","41","187","1220041"
"0","1","0","22","0.87","0","4","0","0","42","0","1220042"
"0","0","8","22","0","206","1","0","1.758","43","0","1220043"
"0","1","0","22","2.198","0","4","0","0","44","0","1220044"
"0","0","8","22","0","342","1","0","1.601","45","206","1220045"
"0","1","0","22","2.097","0","4","0","0","46","0","1220046"
"0","0","8","22","0","393","1","0","0.546","47","342","1220047"
"0","1","0","22","0.546","0","4","0","0","48","0","1220048"
"0","0","9","22","0","155","1","0","1.277","49","0","1220049"
"0","1","0","22","1.656","0","4","0","0","50","0","1220050"
"0","0","9","22","0","390","1","0","2.113","51","155","1220051"
"0","1","0","22","3.362","0","4","0","0","52","0","1220052"
"0","3","0","22","3","0","4","0","0","53","0","1220053"
"vo_nyx_0406","0","0","22","0","0","2","vo_nyx","0","54","0","1220054"
"0","0","10","22","0","263","1","0","2.628","55","0","1220055"
"0","1","0","22","3.131","0","4","0","0","56","0","1220056"
"0","0","10","22","0","345","1","0","0.846","57","263","1220057"
"0","1","0","22","1.249","0","4","0","0","58","0","1220058"
"0","0","10","22","0","396","1","0","0.516","59","345","1220059"
"0","1","0","22","0.593","0","4","0","0","60","0","1220060"
"0","0","11","22","0","318","1","0","2.285","61","0","1220061"
"0","1","0","22","3.475","0","4","0","0","62","0","1220062"
"0","3","0","22","4","0","4","0","0","63","0","1220063"
"vo_nyx_0407","0","0","22","0","0","2","vo_nyx","0","64","0","1220064"
"0","0","12","22","0","258","1","0","2.326","65","0","1220065"
"0","1","0","22","2.872","0","4","0","0","66","0","1220066"
"0","0","12","22","0","395","1","0","1.488","67","258","1220067"
"0","1","0","22","1.488","0","4","0","0","68","0","1220068"
"0","0","13","22","0","220","1","0","1.728","69","0","1220069"
"0","1","0","22","2.711","0","4","0","0","70","0","1220070"
"vo_nyx_0408","0","0","22","0","0","2","vo_nyx","0","71","0","1220071"
"0","0","15","22","0","40","1","0","0.408","72","0","1220072"
"0","1","0","22","0.929","0","4","0","0","73","0","1220073"
"0","0","15","22","0","152","1","0","1.122","74","40","1220074"
"0","1","0","22","2.922","0","4","0","0","75","0","1220075"
"0","3","0","23","1","0","4","0","0","1","0","1230001"
"vo_nyx_0501","0","0","23","0","0","2","vo_nyx","0","2","0","1230002"
"0","0","1","23","0","390","1","0","3.048","3","0","1230003"
"0","1","0","23","3.048","0","4","0","0","4","0","1230004"
"0","0","2","23","0","85","1","0","0.731","5","0","1230005"
"0","1","0","23","1.507","0","4","0","0","6","0","1230006"
"vo_nyx_0502","0","0","23","0","0","2","vo_nyx","0","7","0","1230007"
"0","0","2","23","0","302","1","0","2.093","8","85","1230008"
"0","1","0","23","2.341","0","4","0","0","9","0","1230009"
"0","0","2","23","0","378","1","0","0.644","10","302","1230010"
"0","1","0","23","0.993","0","4","0","0","11","0","1230011"
"0","0","3","23","0","195","1","0","1.737","12","0","1230012"
"0","1","0","23","2.616","0","4","0","0","13","0","1230013"
"vo_nyx_0503","0","0","23","0","0","2","vo_nyx","0","14","0","1230014"
"0","0","3","23","0","395","1","0","1.866","15","195","1230015"
"0","1","0","23","1.866","0","4","0","0","16","0","1230016"
"0","0","4","23","0","123","1","0","1.039","17","0","1230017"
"0","1","0","23","1.496","0","4","0","0","18","0","1230018"
"0","0","4","23","0","305","1","0","1.355","19","123","1230019"
"0","1","0","23","2.334","0","4","0","0","20","0","1230020"
"vo_nyx_0504","0","0","23","0","0","2","vo_nyx","0","21","0","1230021"
"0","0","6","23","0","45","1","0","0.422","22","0","1230022"
"0","1","0","23","0.845","0","4","0","0","23","0","1230023"
"0","0","6","23","0","308","1","0","2.026","24","45","1230024"
"0","1","0","23","2.563","0","4","0","0","25","0","1230025"
"vo_nyx_0505","0","0","23","0","0","2","vo_nyx","0","26","0","1230026"
"0","0","8","23","0","80","1","0","0.865","27","0","1230027"
"0","1","0","23","1.207","0","4","0","0","28","0","1230028"
"0","0","8","23","0","360","1","0","1.873","29","80","1230029"
"0","1","0","23","2.166","0","4","0","0","30","0","1230030"
"0","0","9","23","0","345","1","0","2.558","31","0","1230031"
"0","3","0","23","2","0","4","0","0","32","0","1230032"
"0","1","0","23","3.202","0","4","0","0","33","0","1230033"
"0","0","10","23","0","215","1","0","2.381","34","0","1230034"
"0","1","0","23","2.938","0","4","0","0","35","0","1230035"
"vo_nyx_0506","0","0","23","0","0","2","vo_nyx","0","36","0","1230036"
"0","0","10","23","0","400","1","0","1.241","37","215","1230037"
"0","1","0","23","1.657","0","4","0","0","38","0","1230038"
"0","0","11","23","0","375","1","0","2.871","39","0","1230039"
"0","3","0","23","3","0","4","0","0","40","0","1230040"
"0","1","0","23","3.435","0","4","0","0","41","0","1230041"
"vo_nyx_0507","0","0","23","0","0","2","vo_nyx","0","42","0","1230042"
"0","0","12","23","0","64","1","0","0.717","43","0","1230043"
"0","1","0","23","1.026","0","4","0","0","44","0","1230044"
"0","0","12","23","0","395","1","0","2.843","45","64","1230045"
"0","1","0","23","3.603","0","4","0","0","46","0","1230046"
"vo_nyx_0508","0","0","23","0","0","2","vo_nyx","0","47","0","1230047"
"0","0","13","23","0","130","1","0","1.417","48","0","1230048"
"0","1","0","23","2.029","0","4","0","0","49","0","1230049"
"0","0","13","23","0","335","1","0","1.78","50","130","1230050"
"0","1","0","23","3.58","0","4","0","0","51","0","1230051"
"0","3","0","24","1","0","4","0","0","1","0","1240001"
"vo_nyx_0601","0","0","24","0","0","2","vo_nyx","0","2","0","1240002"
"0","0","1","24","0","92","1","0","0.945","3","0","1240003"
"0","1","0","24","1.808","0","4","0","0","4","0","1240004"
"vo_nyx_0602","0","0","24","0","0","2","vo_nyx","0","5","0","1240005"
"0","0","2","24","0","395","1","0","3.225","6","0","1240006"
"0","1","0","24","4.362","0","4","0","0","7","0","1240007"
"vo_nyx_0603","0","0","24","0","0","2","vo_nyx","0","8","0","1240008"
"0","0","3","24","0","392","1","0","2.828","9","0","1240009"
"0","1","0","24","4.36","0","4","0","0","10","0","1240010"
"vo_nyx_0604","0","0","24","0","0","2","vo_nyx","0","11","0","1240011"
"0","0","4","24","0","150","1","0","1.212","12","0","1240012"
"0","1","0","24","2.171","0","4","0","0","13","0","1240013"
"0","0","4","24","0","350","1","0","1.656","14","150","1240014"
"0","1","0","24","2.769","0","4","0","0","15","0","1240015"
"vo_nyx_0605","0","0","24","0","0","2","vo_nyx","0","16","0","1240016"
"0","0","5","24","0","24","1","0","0.168","17","0","1240017"
"0","1","0","24","1.256","0","4","0","0","18","0","1240018"
"0","0","5","24","0","59","1","0","0.478","19","24","1240019"
"0","1","0","24","0.535","0","4","0","0","20","0","1240020"
"0","0","5","24","0","150","1","0","0.735","21","59","1240021"
"0","1","0","24","2.444","0","4","0","0","22","0","1240022"
"vo_nyx_0606","0","0","24","0","0","2","vo_nyx","0","23","0","1240023"
"0","0","7","24","0","183","1","0","1.607","24","0","1240024"
"0","1","0","24","2.16","0","4","0","0","25","0","1240025"
"0","0","7","24","0","400","1","0","2.119","26","183","1240026"
"0","1","0","24","2.647","0","4","0","0","27","0","1240027"
"0","0","8","24","0","205","1","0","1.802","28","0","1240028"
"0","3","0","24","2","0","4","0","0","29","0","1240029"
"0","1","0","24","2.817","0","4","0","0","30","0","1240030"
"vo_nyx_0607","0","0","24","0","0","2","vo_nyx","0","31","0","1240031"
"0","0","8","24","0","395","1","0","1.981","32","205","1240032"
"0","1","0","24","2.842","0","4","0","0","33","0","1240033"
"0","0","9","24","0","180","1","0","1.894","34","0","1240034"
"0","1","0","24","3.737","0","4","0","0","35","0","1240035"
"vo_nyx_0608","0","0","24","0","0","2","vo_nyx","0","36","0","1240036"
"0","0","9","24","0","209","1","0","0.82","37","180","1240037"
"0","1","0","24","1.754","0","4","0","0","38","0","1240038"
"0","0","9","24","0","400","1","0","2.752","39","209","1240039"
"0","1","0","24","3.272","0","4","0","0","40","0","1240040"
"0","3","0","24","3","0","4","0","0","41","0","1240041"
"vo_nyx_0609","0","0","24","0","0","2","vo_nyx","0","42","0","1240042"
"0","0","11","24","0","100","1","0","1.283","43","0","1240043"
"0","1","0","24","2.322","0","4","0","0","44","0","1240044"
"0","3","0","24","4","0","4","0","0","45","0","1240045"
"vo_nyx_0610","0","0","24","0","0","2","vo_nyx","0","46","0","1240046"
"0","0","12","24","0","80","1","0","0.86","47","0","1240047"
"0","1","0","24","0.86","0","4","0","0","48","0","1240048"
"0","0","12","24","0","112","1","0","1.242","49","80","1240049"
"0","1","0","24","2.086","0","4","0","0","50","0","1240050"
"0","3","0","24","5","0","4","0","0","51","0","1240051"
"vo_nyx_0611","0","0","24","0","0","2","vo_nyx","0","52","0","1240052"
"0","0","12","24","0","242","1","0","0.735","53","112","1240053"
"0","1","0","24","1.789","0","4","0","0","54","0","1240054"
"vo_nyx_0612","0","0","24","0","0","2","vo_nyx","0","55","0","1240055"
"0","0","13","24","0","56","1","0","1","56","0","1240056"
"0","1","0","24","2.104","0","4","0","0","57","0","1240057"
"0","3","0","24","6","0","4","0","0","58","0","1240058"
"vo_nyx_0613","0","0","24","0","0","2","vo_nyx","0","59","0","1240059"
