0ae645c834a9cccbb3db4c251a76a4559be02c5b18e6129a8b0e36281fa0db40,0410a359836ff245e0ce8275d8e7e545f7f4a9179269d502234f2028563be332,c8cb11116714d7e832e42a8e2382fb63fa9726af81e3f3b6ba0b480be35ec29d,520e50bb14e48166841675e3dc900755bb6464f7652d6676e069b15690c38631,55d2075448c96e765a371ba37a257e4155323d751b5368c0026172e8751c1420
"boss_magic_cut","ボス魔法ダメージカット","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","17"
"add_shadow","シャドウ2体追加","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。","18"
"boss_ub_enhance","ボスUB強化","74001304","ボスモンスターのユニオンバーストが強化される。","19"
"energy_recover","開始時TP回復","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","20"
"boss_magic_cut","ボス魔法ダメージカット","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","21"
"add_shadow","シャドウ2体追加","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。","22"
"limit_time","バトル時間制限","74001305","バトル時間が60秒になる。","23"
"boss_ub_enhance","ボスUB強化","74001305","ボスモンスターのユニオンバーストが強化される。","24"
"energy_recover","開始時TP回復","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","25"
"boss_magic_cut","ボス魔法ダメージカット","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","26"
"add_shadow","シャドウ2体追加","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。","27"
"boss_physics_cut","ボス物理ダメージカット","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","28"
"boss_physics_cut","ボス物理ダメージカット","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","29"
"add_shadow","シャドウ1体追加","74001402","クウカ（オーエド）のシャドウが追加される。","30"
"energy_recover","開始時TP回復","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","31"
"boss_physics_cut","ボス物理ダメージカット","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","32"
"add_shadow","シャドウ2体追加","74001403","クウカ（オーエド）とネネカのシャドウが追加される。","33"
"boss_ub_enhance","ボスUB強化","74001404","ボスモンスターのユニオンバーストが強化される。","34"
"energy_recover","開始時TP回復","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","35"
"boss_physics_cut","ボス物理ダメージカット","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","36"
"add_shadow","シャドウ2体追加","74001404","クウカ（オーエド）とネネカのシャドウが追加される。","37"
"limit_time","バトル時間制限","74001405","バトル時間が60秒になる。","38"
"boss_ub_enhance","ボスUB強化","74001405","ボスモンスターのユニオンバーストが強化される。","39"
"energy_recover","開始時TP回復","74001405","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","40"
"boss_physics_cut","ボス物理ダメージカット","74001405","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","41"
"add_shadow","シャドウ2体追加","74001405","クウカ（オーエド）とネネカのシャドウが追加される。","42"
"boss_atk_up","開始時攻撃力アップ","74001502","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","43"
"limit_chara_num","編成キャラ数制限","74001503","編成可能キャラ数が4キャラになる。","44"
"boss_atk_up","開始時攻撃力アップ","74001503","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","45"
"limit_chara_num","編成キャラ数制限","74001504","編成可能キャラ数が4キャラになる。","46"
"boss_ub_enhance","ボスUB強化","74001504","ボスモンスターのユニオンバーストが強化される。","47"
"boss_atk_up","開始時攻撃力アップ","74001504","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","48"
"limit_chara_num","編成キャラ数制限","74001505","編成可能キャラ数が4キャラになる。","49"
"max_hp_down","キャラ最大HPダウン","74001505","パーティキャラの最大HPが20％ダウンする。","50"
"boss_ub_enhance","ボスUB強化","74001505","ボスモンスターのユニオンバーストが強化される。","51"
"boss_atk_up","開始時攻撃力アップ","74001505","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","52"
"add_shadow","シャドウ1体追加","74002102","カリンのシャドウが追加される。","53"
"star6_shadow","シャドウ強化","74002103","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","54"
"add_shadow","シャドウ1体追加","74002103","カリンのシャドウが追加される。","55"
"star6_shadow","シャドウ強化","74002104","ミヤコ、ユカリ、アユミのシャドウが★6になる。","56"
"add_shadow","シャドウ1体追加","74002104","カリンのシャドウが追加される。","57"
"boss_atk_up","シャドウ物理攻撃力アップ","74002105","すべてのシャドウの物理攻撃力が大幅に上昇する。","58"
"star6_shadow","シャドウ強化","74002105","ミヤコ、ユカリ、アユミのシャドウが★6になる。","59"
"add_shadow","シャドウ1体追加","74002105","カリンのシャドウが追加される。","60"
"add_shadow","シャドウ1体追加","74002202","カヤ（リベレイター）のシャドウが追加される。","61"
"star6_shadow","シャドウ強化","74002203","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","62"
"add_shadow","シャドウ1体追加","74002203","カヤ（リベレイター）のシャドウが追加される。","63"
"star6_shadow","シャドウ強化","74002204","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","64"
"add_shadow","シャドウ1体追加","74002204","カヤ（リベレイター）のシャドウが追加される。","65"
"boss_magic_def_up","シャドウ魔法防御力アップ","74002205","すべてのシャドウの魔法防御力が大幅に上昇する。","66"
"star6_shadow","シャドウ強化","74002205","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","67"
"add_shadow","シャドウ1体追加","74002205","カヤ（リベレイター）のシャドウが追加される。","68"
"add_shadow","シャドウ1体追加","74002302","ノゾミのシャドウが追加される。","69"
"add_shadow","シャドウ2体追加","74002303","ノゾミとキャル（プリンセス）のシャドウが追加される。","70"
"limit_chara_num","編成キャラ数制限","74002304","編成可能キャラ数が4キャラになる。","71"
"star6_shadow","シャドウ強化","74002304","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","72"
"add_shadow","シャドウ2体追加","74002304","ノゾミとキャル（プリンセス）のシャドウが追加される。","73"
"limit_chara_num","編成キャラ数制限","74002305","編成可能キャラ数が4キャラになる。","74"
"boss_def_up","開始時物理防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","75"
"boss_magic_def_up","開始時魔法防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","76"
"star6_shadow","シャドウ強化","74002305","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","77"
"add_shadow","シャドウ2体追加","74002305","ノゾミとキャル（プリンセス）のシャドウが追加される。","78"
"add_shadow","シャドウ1体追加","74002402","アヤネのシャドウが追加される。","79"
"add_shadow","シャドウ2体追加","74002403","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","80"
"limit_chara_num","編成キャラ数制限","74002404","編成可能キャラ数が4キャラになる。","81"
"star6_shadow","シャドウ強化","74002404","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","82"
"add_shadow","シャドウ2体追加","74002404","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","83"
"limit_chara_num","編成キャラ数制限","74002405","編成可能キャラ数が4キャラになる。","84"
"boss_def_up","開始時物理防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","85"
"boss_magic_def_up","開始時魔法防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","86"
"star6_shadow","シャドウ強化","74002405","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","87"
"add_shadow","シャドウ2体追加","74002405","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","88"
"limit_time","バトル時間制限","74002502","バトル時間が70秒になる。","89"
"limit_time","バトル時間制限","74002503","バトル時間が60秒になる。","90"
"limit_time","バトル時間制限","74002504","バトル時間が60秒になる。","91"
"boss_ub_enhance","ボスUB強化","74002504","ボスモンスターのユニオンバーストが強化される。","92"
"limit_time","バトル時間制限","74002505","バトル時間が45秒になる。","93"
"boss_ub_enhance","ボスUB強化","74002505","ボスモンスターのユニオンバーストが強化される。","94"
"star6_shadow","シャドウ強化","74003102","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","95"
"add_shadow","シャドウ1体追加","74003103","ユキのシャドウが追加される。","96"
"star6_shadow","シャドウ強化","74003103","ハツネ、ユキのシャドウが★6になる。","97"
"limit_chara_num","編成キャラ数制限","74003104","編成可能キャラ数が4キャラになる。","98"
"limit_chara_num","編成キャラ数制限","74003105","編成可能キャラ数が4キャラになる。","99"
"max_hp_up","シャドウ最大ＨＰアップ","74003105","すべてのシャドウの最大ＨＰが大幅に上昇する。","100"
"add_shadow","モンスター1体追加","74003202","カーズ・レリックが追加される。","101"
"star6_shadow","シャドウ強化","74003203","アオイのシャドウが★6になる。","102"
"boss_magic_cut","開始時魔法ダメージカット","74003204","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","103"
"boss_ub_enhance","モンスター強化","74003204","カーズ・レリックのスキルが強化される。","104"
"boss_magic_cut","開始時魔法ダメージカット","74003205","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","105"
"limit_chara_num","編成キャラ数制限","74003205","編成可能キャラ数が4キャラになる。","106"
"add_shadow","モンスター1体追加","74003302","ヒール・レリックが追加される。","107"
"star6_shadow","シャドウ強化","74003303","キャル（ニューイヤー）のシャドウに専用装備が追加される。","108"
"boss_physics_cut","開始時物理ダメージカット","74003304","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","109"
"boss_ub_enhance","モンスター強化","74003304","ヒール・レリックのスキルが強化される。","110"
"boss_physics_cut","開始時物理ダメージカット","74003305","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","111"
"limit_chara_num","編成キャラ数制限","74003305","編成可能キャラ数が4キャラになる。","112"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","113"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","114"
"limit_time","バトル時間制限","74003403","バトル時間が70秒になる。","115"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","116"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","117"
"limit_time","バトル時間制限","74003404","バトル時間が70秒になる。","118"
"boss_ub_enhance","ボスUB強化","74003404","ボスモンスターのユニオンバーストが強化される。","119"
"boss_tp_down_cut","ボスＴＰダウンカット","74003404","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","120"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","121"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","122"
"limit_time","バトル時間制限","74003405","バトル時間が50秒になる。","123"
"boss_ub_enhance","ボスUB強化","74003405","ボスモンスターのユニオンバーストが強化される。","124"
"boss_tp_down_cut","ボスＴＰダウンカット","74003405","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","125"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","126"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","127"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","128"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","129"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","130"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","131"
"add_shadow","モンスター1体追加","74003504","ルナポッドが追加される。","132"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","133"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","134"
"add_shadow","シャドウ1体追加","74003505","カイザーインサイトのシャドウが追加される。","135"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","136"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","137"
"star6_shadow","シャドウ強化","74004102","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","138"
"add_shadow","シャドウ1体追加","74004103","サレン（サマー）のシャドウが追加される。","139"
"star6_shadow","シャドウ強化","74004103","サレン、ヨリのシャドウが★6になる。","140"
"limit_chara_num","編成キャラ数制限","74004104","編成可能キャラ数が4キャラになる。","141"
"limit_chara_num","編成キャラ数制限","74004105","編成可能キャラ数が4キャラになる。","142"
"max_hp_up","シャドウ最大ＨＰアップ","74004105","すべてのシャドウの最大ＨＰが大幅に上昇する。","143"
"add_shadow","モンスター1体追加","74004202","シールド・レリックが追加される。","144"
"star6_shadow","シャドウ強化","74004203","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","145"
"boss_ub_enhance","モンスター強化","74004204","シールド・レリックのスキルが強化される。","146"
"hp_recover","開始時ＨＰ回復","74004204","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","147"
"hp_recover","開始時ＨＰ回復","74004205","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","148"
"energy_recover","開始時ＴＰ継続回復付与","74004205","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","149"
"add_shadow","モンスター1体追加","74004302","アタック・レリックが追加される。","150"
"star6_shadow","シャドウ強化","74004303","リマのシャドウが★6になる。","151"
"boss_ub_enhance","モンスター強化","74004304","アタック・レリックのスキルが強化される。","152"
"boss_haste","開始時行動速度アップフィールド","74004305","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","153"
"max_hp_down","キャラ最大HPダウン","74004402","パーティキャラの最大HPが20％ダウンする。","154"
"limit_time","バトル時間制限","74004403","バトル時間が75秒になる。","155"
"max_hp_down","キャラ最大HPダウン","74004403","パーティキャラの最大HPが20％ダウンする。","156"
"limit_time","バトル時間制限","74004404","バトル時間が75秒になる。","157"
"limit_chara_num","編成キャラ数制限","74004404","編成可能キャラ数が4キャラになる。","158"
"max_hp_down","キャラ最大HPダウン","74004404","パーティキャラの最大HPが20％ダウンする。","159"
"limit_time","バトル時間制限","74004405","バトル時間が60秒になる。","160"
"limit_chara_num","編成キャラ数制限","74004405","編成可能キャラ数が4キャラになる。","161"
"max_hp_down","キャラ最大HPダウン","74004405","パーティキャラの最大HPが20％ダウンする。","162"
"max_hp_down","キャラ最大HPダウン","74004502","パーティキャラの最大HPが20％ダウンする。","163"
"boss_ub_enhance","ボスUB・スキル強化","74004503","ボスモンスターのユニオンバーストとスキルが強化される。","164"
"boss_tp_down_cut","ボスＴＰダウンカット","74004503","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","165"
"max_hp_down","キャラ最大HPダウン","74004503","パーティキャラの最大HPが20％ダウンする。","166"
"add_shadow","モンスター1体追加","74004504","ルナポッドが追加される。","167"
"boss_tp_down_cut","ボスＴＰダウンカット","74004504","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","168"
"max_hp_down","キャラ最大HPダウン","74004504","パーティキャラの最大HPが20％ダウンする。","169"
"add_shadow","シャドウ1体追加","74004505","アヤネのシャドウが追加される。","170"
"boss_tp_down_cut","ボスＴＰダウンカット","74004505","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","171"
"max_hp_down","キャラ最大HPダウン","74004505","パーティキャラの最大HPが20％ダウンする。","172"
"star6_shadow","シャドウ強化","74005102","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","173"
"star6_shadow","シャドウ強化","74005103","リマ、カヤ、イノリのシャドウが★6になる。","174"
"boss_physics_cut","物理ダメージカット","74005103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","175"
"limit_chara_num","編成キャラ数制限","74005104","編成可能キャラ数が4キャラになる。","176"
"boss_physics_cut","物理ダメージカット","74005104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","177"
"limit_chara_num","編成キャラ数制限","74005105","編成可能キャラ数が4キャラになる。","178"
"boss_physics_cut","物理ダメージカット","74005105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","179"
"star6_shadow","シャドウ強化","74005202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","180"
"star6_shadow","シャドウ強化","74005203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","181"
"boss_magic_cut","魔法ダメージカット","74005203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","182"
"limit_chara_num","編成キャラ数制限","74005204","編成可能キャラ数が4キャラになる。","183"
"boss_magic_cut","魔法ダメージカット","74005204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","184"
"limit_chara_num","編成キャラ数制限","74005205","編成可能キャラ数が4キャラになる。","185"
"boss_magic_cut","魔法ダメージカット","74005205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","186"
"18","ダメージ減衰","74005301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","187"
"17","ＴＰ上昇上限付与","74005301","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","188"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","189"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","190"
"9","ＨＰ吸収ダウン","74005301","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","191"
"add_shadow","モンスター追加","74005302","ゼラチナ、エルダークラウドが追加される。","192"
"18","ダメージ減衰","74005302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","193"
"17","ＴＰ上昇上限付与","74005302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","194"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","195"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","196"
"9","ＨＰ吸収ダウン","74005302","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","197"
"add_shadow","モンスター追加","74005303","ユカリ、ホマレ（ニューイヤー）が追加される。","198"
"18","ダメージ減衰","74005303","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","199"
"17","ＴＰ上昇上限付与","74005303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","200"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","201"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","202"
"9","ＨＰ吸収ダウン","74005303","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","203"
"add_shadow","モンスター追加","74005304","ルナポッドが追加される。","204"
"18","ダメージ減衰","74005304","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","205"
"17","ＴＰ上昇上限付与","74005304","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","206"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","207"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","208"
"9","ＨＰ吸収ダウン","74005304","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","209"
"limit_time","バトル時間制限","74005305","バトル時間が60秒になる。","210"
"18","ダメージ減衰","74005305","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","211"
"17","ＴＰ上昇上限付与","74005305","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","212"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","213"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","214"
"9","ＨＰ吸収ダウン","74005305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","215"
"18","ダメージ減衰","74005401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","216"
"17","ＴＰ上昇上限付与","74005401","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","217"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","218"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","219"
"9","ＨＰ吸収ダウン","74005401","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","220"
"add_shadow","モンスター追加","74005402","タートルタイラント、ホオズキムシが追加される。","221"
"18","ダメージ減衰","74005402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","222"
"17","ＴＰ上昇上限付与","74005402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","223"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","224"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","225"
"9","ＨＰ吸収ダウン","74005402","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","226"
"add_shadow","モンスター追加","74005403","シズル（ノワール）、コッコロ（サマー）が追加される。","227"
"18","ダメージ減衰","74005403","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","228"
"17","ＴＰ上昇上限付与","74005403","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","229"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","230"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","231"
"9","ＨＰ吸収ダウン","74005403","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","232"
"add_shadow","モンスター追加","74005404","ルナポッドが追加される。","233"
"18","ダメージ減衰","74005404","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","234"
"17","ＴＰ上昇上限付与","74005404","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","235"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","74005404","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","236"
