7e8118c44889a6b0039487d327d91c6636189713fff944d96c836e39c3b0a627,ca08c4b0b24263252a7ab594d52f4e1cefce219c7d25e28bf91746fb815018a6,ca74eefb8381b23df64d4ebe4521e12e27e06f8efc3e32d1a37043194db82718,3a5a18cb8264924e085c3b6f550fc44d5e97cbd5d9c67861ac7e0656cf7a1375,53dc921a71aab7a1f4c40995b3bad64bee239df6c1e05c1e68332d54a80c2875,bd2ab119170d3c30b8e64337b117426ecd5f27f608f23814e5978c3b4b1b296b
"15","1002","1","99001065","11001065","123"
"8","0","30","99001065","91002","124"
"15","1003","1","99001066","11001066","125"
"8","0","30","99001066","91002","126"
"15","1001","1","99001067","11001067","127"
"8","0","30","99001067","91002","128"
"15","1001","1","99001068","11001068","129"
"8","0","30","99001068","91002","130"
"15","1002","1","99001069","11001069","131"
"8","0","30","99001069","91002","132"
"15","1003","1","99001070","11001070","133"
"8","0","30","99001070","91002","134"
"15","1001","0","99001071","11001071","135"
"15","1002","0","99001072","11001072","136"
"15","1003","0","99001073","11001073","137"
"15","1001","1","99001074","11001074","138"
"8","0","30","99001074","91002","139"
"15","1001","1","99001075","11001075","140"
"8","0","30","99001075","91002","141"
"15","1002","1","99001076","11001076","142"
"8","0","30","99001076","91002","143"
"15","1003","1","99001077","11001077","144"
"8","0","30","99001077","91002","145"
"15","1001","1","99001078","11001078","146"
"8","0","30","99001078","91002","147"
"15","1001","1","99001079","11001079","148"
"8","0","30","99001079","91002","149"
"15","1002","1","99001080","11001080","150"
"8","0","30","99001080","91002","151"
"15","1003","1","99001081","11001081","152"
"8","0","30","99001081","91002","153"
"15","1001","1","99001082","11001082","154"
"8","0","30","99001082","91002","155"
"15","1001","1","99001083","11001083","156"
"8","0","30","99001083","91002","157"
"15","1002","1","99001084","11001084","158"
"8","0","30","99001084","91002","159"
"15","1003","1","99001085","11001085","160"
"8","0","30","99001085","91002","161"
"15","1001","0","99001086","11001086","162"
"15","1002","0","99001087","11001087","163"
"15","1002","0","99001088","11001088","164"
"15","1002","0","99001089","11001089","165"
"15","1003","0","99001090","11001090","166"
"15","1001","1","99001091","11001091","167"
"8","0","30","99001091","91002","168"
"15","1001","1","99001092","11001092","169"
"8","0","30","99001092","91002","170"
"15","1002","1","99001093","11001093","171"
"8","0","30","99001093","91002","172"
"15","1003","1","99001094","11001094","173"
"8","0","30","99001094","91002","174"
"15","1001","1","99001095","11001095","175"
"8","0","30","99001095","91002","176"
"15","1001","1","99001096","11001096","177"
"8","0","30","99001096","91002","178"
"15","1002","1","99001097","11001097","179"
"8","0","30","99001097","91002","180"
"15","1003","1","99001098","11001098","181"
"8","0","30","99001098","91002","182"
"15","1001","1","99001099","11001099","183"
"8","0","30","99001099","91002","184"
"15","1001","1","99001100","11001100","185"
"8","0","30","99001100","91002","186"
"15","1002","1","99001101","11001101","187"
"8","0","30","99001101","91002","188"
"15","1003","1","99001102","11001102","189"
"8","0","30","99001102","91002","190"
"15","1001","1","99001103","11001103","191"
"8","0","30","99001103","91002","192"
"15","1001","1","99001104","11001104","193"
"8","0","30","99001104","91002","194"
"15","1002","1","99001105","11001105","195"
"8","0","30","99001105","91002","196"
"15","1003","1","99001106","11001106","197"
"8","0","30","99001106","91002","198"
"15","1001","1","99001107","11001107","199"
"8","0","30","99001107","91002","200"
"15","1001","1","99001108","11001108","201"
"8","0","30","99001108","91002","202"
"15","1002","1","99001109","11001109","203"
"8","0","30","99001109","91002","204"
"15","1003","1","99001110","11001110","205"
"8","0","30","99001110","91002","206"
"15","1001","1","99001111","11001111","207"
"8","0","30","99001111","91002","208"
"15","1001","1","99001112","11001112","209"
"8","0","30","99001112","91002","210"
"15","1002","1","99001113","11001113","211"
"8","0","30","99001113","91002","212"
"15","1003","1","99001114","11001114","213"
"8","0","30","99001114","91002","214"
"15","1001","1","99001115","11001115","215"
"8","0","30","99001115","91002","216"
"15","1001","1","99001116","11001116","217"
"8","0","30","99001116","91002","218"
"15","1002","1","99001117","11001117","219"
"8","0","30","99001117","91002","220"
"15","1003","1","99001118","11001118","221"
"8","0","30","99001118","91002","222"
"15","1001","1","99001119","11001119","223"
"8","0","30","99001119","91002","224"
"15","1001","1","99001120","11001120","225"
"8","0","30","99001120","91002","226"
"15","1002","1","99001121","11001121","227"
"8","0","30","99001121","91002","228"
"15","1003","1","99001122","11001122","229"
"8","0","30","99001122","91002","230"
"15","1001","1","99001123","11001123","231"
"8","0","30","99001123","91002","232"
"15","1001","1","99001124","11001124","233"
"8","0","30","99001124","91002","234"
"15","1002","1","99001125","11001125","235"
"8","0","30","99001125","91002","236"
"15","1003","1","99001126","11001126","237"
"8","0","30","99001126","91002","238"
"15","1001","1","99001127","11001127","239"
"8","0","30","99001127","91002","240"
"15","1001","1","99001128","11001128","241"
"8","0","30","99001128","91002","242"
"15","1002","1","99001129","11001129","243"
"8","0","30","99001129","91002","244"
"15","1003","1","99001130","11001130","245"
"8","0","30","99001130","91002","246"
"15","1003","1","99001131","11001131","247"
"15","1001","1","99001132","11001132","248"
"8","0","30","99001132","91002","249"
"15","1001","1","99001133","11001133","250"
"8","0","30","99001133","91002","251"
"15","1002","1","99001134","11001134","252"
"8","0","30","99001134","91002","253"
"15","1003","1","99001135","11001135","254"
"8","0","30","99001135","91002","255"
"15","1001","1","99001136","11001136","256"
"8","0","30","99001136","91002","257"
"15","1001","1","99001137","11001137","258"
"8","0","30","99001137","91002","259"
"15","1002","1","99001138","11001138","260"
"8","0","30","99001138","91002","261"
"15","1003","1","99001139","11001139","262"
"8","0","30","99001139","91002","263"
"15","1003","1","99001140","11001140","264"
"15","1001","1","99001142","11001142","265"
"8","0","30","99001142","91002","266"
"15","1001","1","99001143","11001143","267"
"8","0","30","99001143","91002","268"
"15","1002","1","99001144","11001144","269"
"8","0","30","99001144","91002","270"
"15","1003","1","99001145","11001145","271"
"8","0","30","99001145","91002","272"
"15","1001","0","99001146","11001146","273"
"15","1002","0","99001147","11001147","274"
"15","1001","1","99001148","11001148","275"
"8","0","30","99001148","91002","276"
"15","1001","1","99001149","11001149","277"
"8","0","30","99001149","91002","278"
"15","1002","1","99001150","11001150","279"
"8","0","30","99001150","91002","280"
"15","1003","1","99001151","11001151","281"
"8","0","30","99001151","91002","282"
"15","1001","1","99001152","11001152","283"
"8","0","30","99001152","91002","284"
"15","1001","1","99001153","11001153","285"
"8","0","30","99001153","91002","286"
"15","1002","1","99001154","11001154","287"
"8","0","30","99001154","91002","288"
"15","1003","1","99001155","11001155","289"
"8","0","30","99001155","91002","290"
"15","1001","1","99001156","11001156","291"
"8","0","30","99001156","91002","292"
"15","1001","1","99001157","11001157","293"
"8","0","30","99001157","91002","294"
"15","1002","1","99001158","11001158","295"
"8","0","30","99001158","91002","296"
"15","1003","1","99001159","11001159","297"
"8","0","30","99001159","91002","298"
"15","1001","1","99001160","11001160","299"
"8","0","30","99001160","91002","300"
"15","1001","1","99001161","11001161","301"
"8","0","30","99001161","91002","302"
"15","1002","1","99001162","11001162","303"
"8","0","30","99001162","91002","304"
"15","1003","1","99001163","11001163","305"
"8","0","30","99001163","91002","306"
"15","1002","1","99001164","11001164","307"
"15","1003","1","99001165","11001165","308"
"15","1001","1","99001166","11001166","309"
"8","0","30","99001166","91002","310"
"15","1001","1","99001167","11001167","311"
"8","0","30","99001167","91002","312"
"15","1002","1","99001168","11001168","313"
"8","0","30","99001168","91002","314"
"15","1003","1","99001169","11001169","315"
"8","0","30","99001169","91002","316"
"15","1001","1","99001170","11001170","317"
"8","0","30","99001170","91002","318"
"15","1001","1","99001171","11001171","319"
"8","0","30","99001171","91002","320"
"15","1002","1","99001172","11001172","321"
"8","0","30","99001172","91002","322"
"15","1003","1","99001173","11001173","323"
"8","0","30","99001173","91002","324"
"15","1001","1","99001174","11001174","325"
"8","0","30","99001174","91002","326"
"15","1001","1","99001175","11001175","327"
"8","0","30","99001175","91002","328"
"15","1002","1","99001176","11001176","329"
"8","0","30","99001176","91002","330"
"15","1003","1","99001177","11001177","331"
"8","0","30","99001177","91002","332"
"15","1001","1","99001178","11001178","333"
"8","0","30","99001178","91002","334"
"15","1001","1","99001179","11001179","335"
"8","0","30","99001179","91002","336"
"15","1002","1","99001180","11001180","337"
"8","0","30","99001180","91002","338"
"15","1003","1","99001181","11001181","339"
"8","0","30","99001181","91002","340"
"15","1001","1","99001182","11001182","341"
"8","0","30","99001182","91002","342"
"15","1001","1","99001183","11001183","343"
"8","0","30","99001183","91002","344"
"15","1002","1","99001184","11001184","345"
"8","0","30","99001184","91002","346"
"15","1003","1","99001185","11001185","347"
"8","0","30","99001185","91002","348"
"15","1001","1","99001186","11001186","349"
"8","0","30","99001186","91002","350"
"15","1001","1","99001187","11001187","351"
"8","0","30","99001187","91002","352"
"15","1002","1","99001188","11001188","353"
"8","0","30","99001188","91002","354"
"15","1003","1","99001189","11001189","355"
"8","0","30","99001189","91002","356"
"15","1001","1","99001190","11001190","357"
"8","0","30","99001190","91002","358"
"15","1001","1","99001191","11001191","359"
"8","0","30","99001191","91002","360"
"15","1002","1","99001192","11001192","361"
"8","0","30","99001192","91002","362"
"15","1003","1","99001193","11001193","363"
"8","0","30","99001193","91002","364"
"15","1001","1","99001194","11001194","365"
"8","0","30","99001194","91002","366"
"15","1001","1","99001195","11001195","367"
"8","0","30","99001195","91002","368"
"15","1002","1","99001196","11001196","369"
"8","0","30","99001196","91002","370"
"15","1003","1","99001197","11001197","371"
"8","0","30","99001197","91002","372"
"15","1002","1","99001198","11001198","373"
"15","1003","1","99001199","11001199","374"
"15","1001","1","99001200","11001200","375"
"8","0","30","99001200","91002","376"
"15","1001","1","99001201","11001201","377"
"8","0","30","99001201","91002","378"
"15","1002","1","99001202","11001202","379"
"8","0","30","99001202","91002","380"
"15","1003","1","99001203","11001203","381"
"8","0","30","99001203","91002","382"
"15","1003","1","99001204","11001204","383"
"15","1001","1","99001205","11001205","384"
"8","0","30","99001205","91002","385"
"15","1001","1","99001206","11001206","386"
"8","0","30","99001206","91002","387"
"15","1002","1","99001207","11001207","388"
"8","0","30","99001207","91002","389"
"15","1003","1","99001208","11001208","390"
"8","0","30","99001208","91002","391"
"15","1001","1","99001209","11001209","392"
"8","0","30","99001209","91002","393"
"15","1001","1","99001210","11001210","394"
"8","0","30","99001210","91002","395"
"15","1002","1","99001211","11001211","396"
"8","0","30","99001211","91002","397"
"15","1003","1","99001212","11001212","398"
"8","0","30","99001212","91002","399"
"15","1001","1","99001213","11001213","400"
"8","0","30","99001213","91002","401"
"15","1001","1","99001214","11001214","402"
"8","0","30","99001214","91002","403"
"15","1002","1","99001215","11001215","404"
"8","0","30","99001215","91002","405"
"15","1003","1","99001216","11001216","406"
"8","0","30","99001216","91002","407"
"15","1001","1","99001217","11001217","408"
"8","0","30","99001217","91002","409"
"15","1001","1","99001218","11001218","410"
"8","0","30","99001218","91002","411"
"15","1002","1","99001219","11001219","412"
"8","0","30","99001219","91002","413"
"15","1003","1","99001220","11001220","414"
"8","0","30","99001220","91002","415"
"15","1001","1","99001221","11001221","416"
"8","0","30","99001221","91002","417"
"15","1001","1","99001222","11001222","418"
"8","0","30","99001222","91002","419"
"15","1002","1","99001223","11001223","420"
"8","0","30","99001223","91002","421"
"15","1003","1","99001224","11001224","422"
"8","0","30","99001224","91002","423"
"15","1001","1","99001225","11001225","424"
"8","0","30","99001225","91002","425"
"15","1001","1","99001226","11001226","426"
"8","0","30","99001226","91002","427"
"15","1002","1","99001227","11001227","428"
"8","0","30","99001227","91002","429"
"15","1003","1","99001228","11001228","430"
"8","0","30","99001228","91002","431"
"15","1001","1","99001229","11001229","432"
"8","0","30","99001229","91002","433"
"15","1001","1","99001230","11001230","434"
"8","0","30","99001230","91002","435"
"15","1002","1","99001231","11001231","436"
"8","0","30","99001231","91002","437"
"15","1003","1","99001232","11001232","438"
"8","0","30","99001232","91002","439"
"15","1001","1","99001233","11001233","440"
"8","0","30","99001233","91002","441"
"15","1001","1","99001234","11001234","442"
"8","0","30","99001234","91002","443"
"15","1002","1","99001235","11001235","444"
"8","0","30","99001235","91002","445"
"15","1003","1","99001236","11001236","446"
"8","0","30","99001236","91002","447"
"15","1001","1","99001237","11001237","448"
"8","0","30","99001237","91002","449"
"15","1001","1","99001238","11001238","450"
"8","0","30","99001238","91002","451"
"15","1002","1","99001239","11001239","452"
"8","0","30","99001239","91002","453"
"15","1003","1","99001240","11001240","454"
"8","0","30","99001240","91002","455"
"15","1001","1","99001241","11001241","456"
"8","0","30","99001241","91002","457"
"15","1001","1","99001242","11001242","458"
"8","0","30","99001242","91002","459"
"15","1002","1","99001243","11001243","460"
"8","0","30","99001243","91002","461"
"15","1003","1","99001244","11001244","462"
"8","0","30","99001244","91002","463"
"15","1001","1","99001245","11001245","464"
"8","0","30","99001245","91002","465"
"15","1001","1","99001246","11001246","466"
"8","0","30","99001246","91002","467"
"15","1002","1","99001247","11001247","468"
"8","0","30","99001247","91002","469"
"15","1003","1","99001248","11001248","470"
"8","0","30","99001248","91002","471"
"15","1003","1","99001249","11001249","472"
"15","1001","1","99001250","11001250","473"
"8","0","30","99001250","91002","474"
"15","1001","1","99001251","11001251","475"
"8","0","30","99001251","91002","476"
"15","1002","1","99001252","11001252","477"
"8","0","30","99001252","91002","478"
"15","1003","1","99001253","11001253","479"
"8","0","30","99001253","91002","480"
"15","1001","1","99001254","11001254","481"
"8","0","30","99001254","91002","482"
"15","1001","1","99001255","11001255","483"
"8","0","30","99001255","91002","484"
"15","1002","1","99001256","11001256","485"
"8","0","30","99001256","91002","486"
"15","1003","1","99001257","11001257","487"
"8","0","30","99001257","91002","488"
"15","1001","1","99001258","11001258","489"
"8","0","30","99001258","91002","490"
"15","1001","1","99001259","11001259","491"
"8","0","30","99001259","91002","492"
"15","1002","1","99001260","11001260","493"
"8","0","30","99001260","91002","494"
"15","1003","1","99001261","11001261","495"
"8","0","30","99001261","91002","496"
"15","1001","1","99001262","11001262","497"
"15","1001","1","99001263","11001263","498"
"15","1001","1","99001264","11001264","499"
"15","1002","1","99001265","11001265","500"
"15","1003","1","99001266","11001266","501"
"15","1001","1","99001267","11001267","502"
"8","0","30","99001267","91002","503"
"15","1001","1","99001268","11001268","504"
"8","0","30","99001268","91002","505"
"15","1002","1","99001269","11001269","506"
"8","0","30","99001269","91002","507"
"15","1003","1","99001270","11001270","508"
"8","0","30","99001270","91002","509"
"15","1003","1","99001271","11001271","510"
"15","1001","1","99001272","11001272","511"
"8","0","30","99001272","91002","512"
"15","1001","1","99001273","11001273","513"
"8","0","30","99001273","91002","514"
"15","1002","1","99001274","11001274","515"
"8","0","30","99001274","91002","516"
"15","1003","1","99001275","11001275","517"
"8","0","30","99001275","91002","518"
"15","1003","1","99001276","11001276","519"
"15","1001","1","99001277","11001277","520"
"8","0","30","99001277","91002","521"
"15","1001","1","99001278","11001278","522"
"8","0","30","99001278","91002","523"
"15","1002","1","99001279","11001279","524"
"8","0","30","99001279","91002","525"
"15","1003","1","99001280","11001280","526"
"8","0","30","99001280","91002","527"
"15","1001","1","99001281","11001281","528"
"8","0","30","99001281","91002","529"
"15","1001","1","99001282","11001282","530"
"8","0","30","99001282","91002","531"
"15","1002","1","99001283","11001283","532"
"8","0","30","99001283","91002","533"
"15","1003","1","99001284","11001284","534"
"8","0","30","99001284","91002","535"
"15","1003","1","99001285","11001285","536"
"15","1001","1","99001286","11001286","537"
"8","0","30","99001286","91002","538"
"15","1001","1","99001287","11001287","539"
"8","0","30","99001287","91002","540"
"15","1002","1","99001288","11001288","541"
"8","0","30","99001288","91002","542"
"15","1003","1","99001289","11001289","543"
"8","0","30","99001289","91002","544"
"15","1001","1","99001290","11001290","545"
"8","0","30","99001290","91002","546"
"15","1001","1","99001291","11001291","547"
"8","0","30","99001291","91002","548"
"15","1002","1","99001292","11001292","549"
"8","0","30","99001292","91002","550"
"15","1003","1","99001293","11001293","551"
"8","0","30","99001293","91002","552"
"15","1001","1","99001294","11001294","553"
"8","0","30","99001294","91002","554"
"15","1001","1","99001295","11001295","555"
"8","0","30","99001295","91002","556"
"15","1002","1","99001296","11001296","557"
"8","0","30","99001296","91002","558"
"15","1003","1","99001297","11001297","559"
"8","0","30","99001297","91002","560"
"15","1001","1","99001298","11001298","561"
"8","0","30","99001298","91002","562"
"15","1001","1","99001299","11001299","563"
"8","0","30","99001299","91002","564"
"15","1002","1","99001300","11001300","565"
"8","0","30","99001300","91002","566"
"15","1003","1","99001301","11001301","567"
"8","0","30","99001301","91002","568"
"15","1003","1","99001302","11001302","569"
"15","1003","1","99001303","11001303","570"
"15","1003","1","99001304","11001304","571"
"15","1001","1","99001305","11001305","572"
"8","0","30","99001305","91002","573"
"15","1001","1","99001306","11001306","574"
"8","0","30","99001306","91002","575"
"15","1002","1","99001307","11001307","576"
"8","0","30","99001307","91002","577"
"15","1003","1","99001308","11001308","578"
"8","0","30","99001308","91002","579"
"15","1001","1","99001309","11001309","580"
"8","0","30","99001309","91002","581"
"15","1001","1","99001310","11001310","582"
"8","0","30","99001310","91002","583"
"15","1002","1","99001311","11001311","584"
"8","0","30","99001311","91002","585"
"15","1003","1","99001312","11001312","586"
"8","0","30","99001312","91002","587"
"15","1003","1","99001313","11001313","588"
"15","1001","1","99001314","11001314","589"
"8","0","30","99001314","91002","590"
"15","1001","1","99001315","11001315","591"
"8","0","30","99001315","91002","592"
"15","1002","1","99001316","11001316","593"
"8","0","30","99001316","91002","594"
"15","1003","1","99001317","11001317","595"
"8","0","30","99001317","91002","596"
"15","1003","1","99001318","11001318","597"
"15","1001","1","99001319","11001319","598"
"8","0","30","99001319","91002","599"
"15","1001","1","99001320","11001320","600"
"8","0","30","99001320","91002","601"
"15","1002","1","99001321","11001321","602"
"8","0","30","99001321","91002","603"
"15","1003","1","99001322","11001322","604"
"8","0","30","99001322","91002","605"
"15","1003","1","99001323","11001323","606"
"15","1001","1","99001324","11001324","607"
"8","0","30","99001324","91002","608"
"15","1001","1","99001325","11001325","609"
"8","0","30","99001325","91002","610"
"15","1002","1","99001326","11001326","611"
"8","0","30","99001326","91002","612"
"15","1003","1","99001327","11001327","613"
"8","0","30","99001327","91002","614"
"15","1003","1","99001328","11001328","615"
"15","1001","1","99001329","11001329","616"
"8","0","30","99001329","91002","617"
"15","1001","1","99001330","11001330","618"
"8","0","30","99001330","91002","619"
"15","1002","1","99001331","11001331","620"
"8","0","30","99001331","91002","621"
"15","1003","1","99001332","11001332","622"
"8","0","30","99001332","91002","623"
"15","1001","1","99001333","11001333","624"
"8","0","30","99001333","91002","625"
"15","1001","1","99001334","11001334","626"
"8","0","30","99001334","91002","627"
"15","1002","1","99001335","11001335","628"
"8","0","30","99001335","91002","629"
"15","1003","1","99001336","11001336","630"
"8","0","30","99001336","91002","631"
"15","1002","1","99001337","11001337","632"
"15","1002","1","99001338","11001338","633"
"15","1003","1","99001339","11001339","634"
"15","1001","1","99001340","11001340","635"
"8","0","30","99001340","91002","636"
"15","1001","1","99001341","11001341","637"
"8","0","30","99001341","91002","638"
"15","1002","1","99001342","11001342","639"
"8","0","30","99001342","91002","640"
"15","1003","1","99001343","11001343","641"
"8","0","30","99001343","91002","642"
"15","1003","1","99900001","19901001","643"
"15","1003","1","99900002","19901002","644"
"15","1003","1","99900003","19901003","645"
"15","1001","1","99001344","11001344","646"
"8","0","30","99001344","91002","647"
"15","1001","1","99001345","11001345","648"
"8","0","30","99001345","91002","649"
"15","1002","1","99001346","11001346","650"
"8","0","30","99001346","91002","651"
"15","1003","1","99001347","11001347","652"
"8","0","30","99001347","91002","653"
"15","1003","1","99900004","19901004","654"
"15","1003","1","99900005","19901005","655"
"15","1003","1","99900006","19901006","656"
