0f015f5408394eeb99546d89009161f1a615bcbb40f14411c4bdf2f4e447b22d,77eed5258ab1c6b8506fc410e0353810a19ff0fa15dde13c30f6f00d891bb7c4,43e30092ff64779ea3a94c640828dbe34b658cff366071b83536f9df7c162adb,417c778ede85beadc0e8f9b266f2a687bd6286812c265634ce4e4223232d63d4,b9fc0c91a65390525f8b977f2b9596f51acd93dae0a9a12f9a0fc0bc98a8510b,2d9ab191eed6b5f0d3b40a6e9931ba9b71f11af68fd14eb042f575ebbf8a6e87,11197f2f6baa31e98c47f8b3ac7fe6d1ec998f71ad7326704ed3a71c0898aa6d,d9c7fdaf751324afff913e86ea38d26b0af3b69e50361de46b7f3a3ec02229c5,3ea3dae20014f9a39f3b23cb75b1342b9f39ad920c024004e3827b21e0e06440,f2473a527002f9a08101a6fcb33b76485acb1d2736c1757e470342aafdae2192,151029dfdaecc690ad7e8e2456ae6b704d90297e555615fd23822d70f99771fe
"5","119931","1024","0.5","0","0","1","1","0","11","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！"
"","2","1025","","","","","1","","93","1"
"1","119931","1026","","","","","1","0.2","3","psy_miyako_talk_joy2"
"","1024","1027","","","","","1","","91",""
"","0","1028","","","","","1","","22","0"
"1","119931","1029","","","","","1","0.2","3","psy_miyako_idle"
"","2","1030","","","","","1","","4","1"
"0","2","1031","","1","0","psy_fairy_run","1","0.2","3","psy_fairy_run_in"
"","1.3","1032","","","","","1","","93",""
"-220","2","1033","","0","","1","1","","2","1000"
"","2","1034","","","","","1","","93",""
"0","119931","1035","","1","0.2","psy_miyako_doya_loop","1","0.2","3","psy_miyako_doya_in"
"0","vo_minigame_1008","1036","","","","0","1","","21","vo_minigame_1008_drama_0103"
"6","119931","1037","0.5","0","0","1","1","0","11","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！"
"","0","1038","","","","","1","","91",""
"","0","1039","","","","","1","","22","0"
"1","1","1040","0","0","0","0","1","0","12","11"
"0","1","1041","","1","0.2","psy_item00_idle_guts","1","0.2","3","psy_item00_talk_guts"
"","2","1042","","","","","1","","93",""
"1","119931","1043","","","","","1","0.2","3","psy_miyako_talk_joy2"
"0","vo_minigame_1008","1044","","","","0","1","","21","vo_minigame_1008_drama_0104"
"5","119931","1045","0.5","0","0","1","1","0","11","みんなみんな\nおいしいプリンにしてやるの～♪"
"","4","1046","","","","","1","","93","1"
"0","119931","1047","","1","0.2","psy_miyako_fight_loop","1","0.2","3","psy_miyako_fight_in"
"0","1","1048","","1","0.2","psy_item00_handsup_loop","1","0.2","3","psy_item00_handsup"
"","1.5","1049","","","","","1","","93",""
"","1045","1050","","","","","1","","91",""
"","0","1051","","","","","1","","22","0"
"100","1","2001","psy_miyako_start","-200","0","-300","2","1.7","1","119931"
"100","1","2002","psy_walk","-220","1","300","2","1.7","1","106011"
"0","1","2003","","1","","0","2","1","31","11"
"101","1","2004","psy_smoke_start","-200","0","-300","2","1.7","5","1"
"-220","106011","2005","","0","","2","2","","2","185"
"","2","2006","","","","","2","","93",""
"0","106011","2007","","1","0","psy_kyaru_talk_arm_crossed_loop","2","0.2","3","psy_kyaru_talk_arm_crossed"
"0","vo_minigame_1008","2008","","","","0","2","","21","vo_minigame_1008_drama_0305"
"8","106011","2009","0.5","0","0","1","2","0","11","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……"
"","0","2010","","","","","2","","91",""
"0","vo_minigame_1008","2011","","","","0","2","","21","vo_minigame_1008_drama_0306"
"1","106011","2012","","","","","2","0.2","3","psy_talk_sad"
"8","106011","2013","0.5","0","0","1","2","0","11","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。"
"","4","2014","","","","","2","","93","1"
"1","106011","2015","","","","","2","0.2","3","psy_talk_sad"
"","2013","2016","","","","","2","","91",""
"1","106011","2017","","","","","2","0.2","3","psy_idle_sad"
"0","119931","2018","","1","0.2","psy_miyako_thinking4","2","0.2","3","psy_miyako_appear"
"0","1","2019","","0","0","psy_smoke_start","2","0","3","psy_smoke_appear"
"0","vo_minigame_1008","2020","","","","0","2","","21","vo_minigame_1008_drama_0301"
"4","119931","2021","1","0","0","1","2","0","11","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……"
"","1","2022","","","","","2","","93","1"
"0","106011","2023","","1","0.2","psy_idle_surprise2","2","0.2","3","psy_surprise"
"","2021","2024","","","","","2","","91",""
"","0","2025","","","","","2","","22","0"
"1","119931","2026","","","","","2","0.2","3","psy_miyako_idle_thinking"
"1","106011","2027","","","","","2","0.2","3","psy_talk_surprise2"
"0","vo_minigame_1008","2028","","","","0","2","","21","vo_minigame_1008_drama_0307"
"8","106011","2029","0.5","0","0","1","2","0","11","キャッ！？\nいきなり出てきてなんなのよあんた！"
"","0","2030","","","","","2","","91",""
"1","106011","2031","","","","","2","0.2","3","psy_idle_surprise2"
"1","119931","2032","","","","","2","0.2","3","psy_miyako_anger1"
"0","vo_minigame_1008","2033","","","","0","2","","21","vo_minigame_1008_drama_0302"
"5","119931","2034","1","0","0","1","2","0","11","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……"
"","8","2035","","","","","2","","93","1"
"1","119931","2036","","","","","2","0.2","3","psy_miyako_thinking2"
"","2034","2037","","","","","2","","91",""
"","0","2038","","","","","2","","22","0"
"1","106011","2039","","","","","2","0.2","3","psy_talk_sad"
"0","vo_minigame_1008","2040","","","","0","2","","21","vo_minigame_1008_drama_0308"
"8","106011","2041","0.5","0","0","1","2","0","11","な、何よ……"
"","0","2042","","","","","2","","91",""
"1","106011","2043","","","","","2","0.2","3","psy_idle_sad"
"1","119931","2044","","","","","2","0.2","3","psy_miyako_run"
"-200","119931","2045","","0","","2","2","","2","0"
"","2","2046","","","","","2","","93",""
"1","119931","2047","","","","","2","0.2","3","psy_miyako_thinking2"
"0","vo_minigame_1008","2048","","","","0","2","","21","vo_minigame_1008_drama_0303"
"6","119931","2049","1","0","0","1","2","0","11","むむむむむ……\nオマエ、なんかおいしそうなの……"
"","0","2050","","","","","2","","91",""
"","0","2051","","","","","2","","22","0"
"","0.5","2052","","","","","2","","93",""
"1","106011","2053","","","","","2","0.2","3","psy_talk_sad"
"0","vo_minigame_1008","2054","","","","0","2","","21","vo_minigame_1008_drama_0309"
"8","106011","2055","0.5","0","0","1","2","0","11","はぁ～？"
"","0","2056","","","","","2","","91",""
"1","106011","2057","","","","","2","0.2","3","psy_idle_sad"
"0","vo_minigame_1008","2058","","","","0","2","","21","vo_minigame_1008_drama_0304"
"6","119931","2059","0.5","0","0","1","2","0","11","オマエをプリンにしてやるの～～！！"
"","0.5","2060","","","","","2","","93","1"
"0","119931","2061","","1","0","psy_miyako_attack_loop","2","0.2","3","psy_miyako_attack_in"
"","0.2","2062","","","","","2","","93","1"
"0","106011","2063","","1","0.2","psy_idle_surprise2","2","0.2","3","psy_surprise"
"","2059","2064","","","","","2","","91",""
"","0","2065","","","","","2","","22","0"
"1","106011","2066","","","","","2","0.2","3","psy_talk_surprise2"
"0","vo_minigame_1008","2067","","","","0","2","","21","vo_minigame_1008_drama_0310"
"8","106011","2068","0.5","0","0","1","2","0","11","な、なんなのよこの店～～！！"
"","0","2069","","","","","2","","91",""
"","106011","2070","","","","","2","","4","0"
"1","106011","2071","","","","","2","0.2","3","psy_run_shy"
"1","119931","2072","","","","","2","0.2","3","psy_miyako_attack_loop_move"
"-220","106011","2073","","0","","3","2","","2","1000"
"-220","119931","2074","","0","","5","2","","2","1000"
"","3.5","2075","","","","","2","","93",""
"","0","2076","","","","","2","","22","0"
"","0","2077","","","","","2","","91",""
"100","1","3001","psy_miyako_gasagoso_B","-150","1","-250","3","1.65","1","119931"
"100","1","3002","psy_walk","-180","1","340","3","1.7","1","105511"
"0","1","3003","","1","","0","3","1","31","11"
"101","1","3004","psy_smoke_start","-220","0","-300","3","1.7","5","1"
"-180","105511","3005","","0","","2","3","","2","225"
"","2","3006","","","","","3","","93",""
"1","105511","3007","","","","","3","0.2","3","psy_talk_wish"
"0","vo_minigame_1008","3008","","","","0","3","","21","vo_minigame_1008_drama_0203"
"8","105511","3009","0.5","0","0","1","3","0","11","こ、ここで先輩が働いてるんですよね？"
"","0","3010","","","","","3","","91",""
"0","105511","3011","","1","0","psy_ayumi_kyoro_loop","3","0.2","3","psy_ayumi_kyoro_in"
"","1.8","3012","","","","","3","","93",""
"1","105511","3013","","","","","3","0.2","3","psy_talk_joy1"
"0","vo_minigame_1008","3014","","","","0","3","","21","vo_minigame_1008_drama_0204"
"8","105511","3015","0.5","0","0","1","3","0","11","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？"
"","0","3016","","","","","3","","91",""
"1","105511","3017","","","","","3","0.2","3","psy_talk_call"
"0","vo_minigame_1008","3018","","","","0","3","","21","vo_minigame_1008_drama_0205"
"8","105511","3019","0.5","0","0","1","3","0","11","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？"
"","3","3020","","","","","3","","93","1"
"0.8","119931","3021","0","0","0","1","3","0","12","5"
"","119931","3022","","","","","3","","4","0"
"1","119931","3023","","","","","3","0","3","psy_miyako_idle_thinking"
"","1.5","3024","","","","","3","","93","1"
"","119931","3025","","","","","3","","4","1"
"1","119931","3026","","","","","3","0","3","psy_miyako_gasagoso_B"
"","0.5","3027","","","","","3","","93","1"
"1","105511","3028","","","","","3","0.2","3","psy_talk_sad"
"","3019","3029","","","","","3","","91",""
"1","105511","3030","","","","","3","0.2","3","psy_talk_wish"
"0","vo_minigame_1008","3031","","","","0","3","","21","vo_minigame_1008_drama_0206"
"8","105511","3032","0.5","0","0","1","3","0","11","と、とりあえずお金はおいておきますね\n失礼します！"
"","2","3033","","","","","3","","93","1"
"1","105511","3034","","","","","3","0.2","3","psy_gasagoso_B2"
"","1","3035","","","","","3","","93","1"
"0","105511","3036","","1","0.2","psy_idle_normal","3","0.2","3","psy_pekori"
"","3032","3037","","","","","3","","91",""
"","105511","3038","","","","","3","","4","0"
"1","105511","3039","","","","","3","0.2","3","psy_run"
"-180","105511","3040","","0","","3","3","","2","1000"
"","3","3041","","","","","3","","93",""
"","0.5","3042","","","","","3","","93",""
"1","119931","3043","","","","","3","0","3","psy_miyako_idle_thinking"
"","2","3044","","","","","3","","93",""
"","119931","3045","","","","","3","","4","0"
"1","119931","3046","","","","","3","0.2","3","psy_miyako_run"
"-165","119931","3047","","0","","2","3","","2","0"
"","2","3048","","","","","3","","93",""
"1","119931","3049","","","","","3","0.2","3","psy_miyako_thinking4"
"0","vo_minigame_1008","3050","","","","0","3","","21","vo_minigame_1008_drama_0201"
"5","119931","3051","0.5","0","0","1","3","0","11","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？"
"","4","3052","","","","","3","","93","1"
"1","119931","3053","","","","","3","0.2","3","psy_miyako_panic1"
"","3051","3054","","","","","3","","91",""
"","0","3055","","","","","3","","22","0"
"0","119931","3056","","1","0","psy_miyako_surprise2_loop","3","0.2","3","psy_miyako_surprise2_in"
"0","vo_minigame_1008","3057","","","","0","3","","21","vo_minigame_1008_drama_0202"
"5","119931","3058","1","0","0","1","3","0","11","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？"
"","4","3059","","","","","3","","93","1"
"1","119931","3060","","","","","3","0.2","3","psy_miyako_thinking4"
"","3058","3061","","","","","3","","91",""
"","0","3062","","","","","3","","22","0"
"","1","3063","","","","","3","","93",""
"","0","3064","","","","","3","","91",""
"100","1","4001","psy_miyako_start","-200","0","-300","4","1.7","1","119931"
"100","1","4002","psy_walk","-220","1","300","4","1.7","1","107131"
"0","1","4003","","1","","0","4","1","31","11"
"101","1","4004","psy_smoke_start","-200","0","-300","4","1.7","5","1"
"-220","107131","4005","","0","","2","4","","2","185"
"","2","4006","","","","","4","","93",""
"0","107131","4007","","1","0.2","psy_talk_doya_loop","4","0.2","3","psy_talk_doya"
"0","vo_minigame_1008","4008","","","","0","4","","21","vo_minigame_1008_drama_0405"
"8","107131","4009","0.5","0","0","1","4","0","11","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆"
"","0","4010","","","","","4","","91",""
"1","107131","4011","","","","","4","0.2","3","psy_idle_doya"
"1","107131","4012","","","","","4","0.2","3","psy_talk_sad"
"0","vo_minigame_1008","4013","","","","0","4","","21","vo_minigame_1008_drama_0406"
"8","107131","4014","0.5","0","0","1","4","0","11","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。"
"","6","4015","","","","","4","","93","1"
"1","107131","4016","","","","","4","0.2","3","psy_talk_call"
"","4014","4017","","","","","4","","91",""
"1","107131","4018","","","","","4","0.2","3","psy_idle_arm_crossed"
"0","119931","4019","","1","0.2","psy_miyako_talk_joy1","4","0","3","psy_miyako_appear"
"0","1","4020","","0","0","psy_smoke_start","4","0","3","psy_smoke_appear"
"0","vo_minigame_1008","4021","","","","0","4","","21","vo_minigame_1008_drama_0401"
"6","119931","4022","0.5","0","0","1","4","0","11","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？"
"","0","4023","","","","","4","","91",""
"","0","4024","","","","","4","","22","0"
"1","119931","4025","","","","","4","0.2","3","psy_miyako_idle"
"1","107131","4026","","","","","4","0.2","3","psy_talk_normal"
"0","vo_minigame_1008","4027","","","","0","4","","21","vo_minigame_1008_drama_0407"
"8","107131","4028","0.5","0","0","1","4","0","11","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。"
"","0","4029","","","","","4","","91",""
"1","107131","4030","","","","","4","0.2","3","psy_idle_normal"
"1","119931","4031","","","","","4","0.2","3","psy_miyako_sad1"
"0","vo_minigame_1008","4032","","","","0","4","","21","vo_minigame_1008_drama_0402"
"6","119931","4033","0.5","0","0","1","4","0","11","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。"
"","5","4034","","","","","4","","93","1"
"1","119931","4035","","","","","4","0.2","3","psy_miyako_talk4"
"","4033","4036","","","","","4","","91",""
"","0","4037","","","","","4","","22","0"
"1","119931","4038","","","","","4","0.2","3","psy_miyako_idle2"
"0","107131","4039","","1","0.2","psy_ahaha_loop","4","0.2","3","psy_ahaha_in"
"0","vo_minigame_1008","4040","","","","0","4","","21","vo_minigame_1008_drama_0408"
"8","107131","4041","0.5","0","0","1","4","0","11","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆"
"","1.7","4042","","","","","4","","93","1"
"1","107131","4043","","","","","4","0.2","3","psy_talk_joy1"
"","4041","4044","","","","","4","","91",""
"0","107131","4045","","1","0.2","psy_talk_doya_loop","4","0.2","3","psy_talk_doya"
"0","vo_minigame_1008","4046","","","","0","4","","21","vo_minigame_1008_drama_0409"
"8","107131","4047","0.5","0","0","1","4","0","11","なんとしてもおまえからお菓子を\n買わせてもらおう。"
"","0","4048","","","","","4","","91",""
"1","107131","4049","","","","","4","0.2","3","psy_idle_wish"
"1","119931","4050","","","","","4","0.2","3","psy_miyako_panic1"
"0","vo_minigame_1008","4051","","","","0","4","","21","vo_minigame_1008_drama_0403"
"6","119931","4052","0.5","0","0","1","4","0","11","なんでそうなるの！？\nいいから帰れなの！"
"","0","4053","","","","","4","","91",""
"","0","4054","","","","","4","","22","0"
"1","119931","4055","","","","","4","0.2","3","psy_miyako_idle_panic"
"0","107131","4056","","1","0","psy_cris_approach_loop","4","0.2","3","psy_cris_approach_in"
"0","vo_minigame_1008","4057","","","","0","4","","21","vo_minigame_1008_drama_0410"
"8","107131","4058","0.5","0","0","1","4","0","11","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。"
"","4","4059","","","","","4","","93","1"
"0","107131","4060","","1","0","psy_talk_arm_crossed_loop","4","0.2","3","psy_talk_arm_crossed"
"","4058","4061","","","","","4","","91",""
"1","107131","4062","","","","","4","0.2","3","psy_talk_joy1"
"0","vo_minigame_1008","4063","","","","0","4","","21","vo_minigame_1008_drama_0411"
"8","107131","4064","0.5","0","0","1","4","0","11","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。"
"","0","4065","","","","","4","","91",""
"1","107131","4066","","","","","4","0.2","3","psy_idle_joy1"
"1","119931","4067","","","","","4","0.2","3","psy_miyako_anger2"
"0","vo_minigame_1008","4068","","","","0","4","","21","vo_minigame_1008_drama_0404"
"6","119931","4069","0.5","0","0","1","4","0","11","な、なんでそうなるのーー！？"
"","4","4070","","","","","4","","93",""
"","0","4071","","","","","4","","91",""
"100","1","5001","psy_miyako_start","-200","0","-300","5","1.7","1","119931"
"100","1","5002","psy_walk","-220","1","300","5","1.7","1","104931"
"0","1","5003","","1","","0","5","1","31","11"
"101","1","5004","psy_smoke_start","-200","0","-300","5","1.7","5","1"
"-220","104931","5005","","0","","2","5","","2","185"
"","2","5006","","","","","5","","93",""
"1","104931","5007","","","","","5","0.2","3","psy_talk_wish"
"0","vo_minigame_1008","5008","","","","0","5","","21","vo_minigame_1008_drama_0504"
"8","104931","5009","0.5","0","0","1","5","0","11","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！"
"","4.3","5010","","","","","5","","93","1"
"1","104931","5011","","","","","5","0.2","3","psy_talk_joy1"
"","5009","5012","","","","","5","","91",""
"1","104931","5013","","","","","5","0.2","3","psy_idle_joy1"
"0","119931","5014","","1","0.2","psy_miyako_talk3","5","0","3","psy_miyako_appear"
"0","1","5015","","0","0","psy_smoke_start","5","0","3","psy_smoke_appear"
"0","vo_minigame_1008","5016","","","","0","5","","21","vo_minigame_1008_drama_0501"
"6","119931","5017","0.5","0","0","1","5","0","11","うるさいの。\nいきなりなんなの？"
"","0","5018","","","","","5","","91",""
"","0","5019","","","","","5","","22","0"
"1","119931","5020","","","","","5","0.2","3","psy_miyako_idle"
"1","104931","5021","","","","","5","0.2","3","psy_talk_joy1"
"0","vo_minigame_1008","5022","","","","0","5","","21","vo_minigame_1008_drama_0505"
"8","104931","5023","0.5","0","0","1","5","0","11","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！"
"","4","5024","","","","","5","","93",""
"1","104931","5025","","","","","5","0.2","3","psy_talk_wish"
"","5023","5026","","","","","5","","91",""
"","0","5027","","","","","5","","91",""
"1","104931","5028","","","","","5","0.2","3","psy_idle_wish"
"1","119931","5029","","","","","5","0.2","3","psy_miyako_anger3"
"0","vo_minigame_1008","5030","","","","0","5","","21","vo_minigame_1008_drama_0502"
"6","119931","5031","0.5","0","0","1","5","0","11","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。"
"","5","5032","","","","","5","","93","1"
"0","119931","5033","","1]","0","psy_miyako_arm_crossed_loop","5","0.2","3","psy_miyako_arm_crossed_in"
"","5031","5034","","","","","5","","91",""
"","0","5035","","","","","5","","22","0"
"1","119931","5036","","","","","5","0.2","3","psy_miyako_arm_crossed_idle"
"1","104931","5037","","","","","5","0.2","3","psy_talk_wish"
"0","vo_minigame_1008","5038","","","","0","5","","21","vo_minigame_1008_drama_0506"
"8","104931","5039","0.5","0","0","1","5","0","11","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！"
"","0","5040","","","","","5","","91",""
"1","104931","5041","","","","","5","0.2","3","psy_talk_joy2"
"0","vo_minigame_1008","5042","","","","0","5","","21","vo_minigame_1008_drama_0507"
"8","104931","5043","0.5","0","0","1","5","0","11","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！"
"","0","5044","","","","","5","","91",""
"1","104931","5045","","","","","5","0.2","3","psy_talk_memory"
"0","vo_minigame_1008","5046","","","","0","5","","21","vo_minigame_1008_drama_0508"
"8","104931","5047","0.5","0","0","1","5","0","11","まずはそう、運命の出会いから……"
"","0","5048","","","","","5","","91",""
"1","104931","5049","","","","","5","0.2","3","psy_idle_memory"
"1","119931","5050","","","","","5","0.2","3","psy_miyako_sad1"
"0","vo_minigame_1008","5051","","","","0","5","","21","vo_minigame_1008_drama_0503"
"6","119931","5052","0.5","0","0","1","5","0","11","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）"
"","0","5053","","","","","5","","91",""
"","0","5054","","","","","5","","22","0"
"0","119931","5055","","","","","5","0.2","3","psy_miyako_hide"
"0","1","5056","","0","0","psy_smoke_start","5","0","3","psy_smoke_hide"
"","2","5057","","","","","5","","93",""
"","0","5058","","","","","5","","91",""
"100","1","6001","psy_miyako_idle_thinking","-200","1","-300","6","1.7","1","119931"
"100","1","6002","psy_walk","-220","1","300","6","1.7","1","103131"
"0","1","6003","","1","","0","6","1","31","11"
"2","119931","6004","0","0","0","0","6","0","12","17"
"-220","103131","6005","","0","","2","6","","2","185"
"","2","6006","","","","","6","","93",""
"1","103131","6007","","","","","6","0.2","3","psy_talk_wish"
"0","vo_minigame_1008","6008","","","","0","6","","21","vo_minigame_1008_drama_0605"
"8","103131","6009","0.5","0","0","1","6","0","11","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。"
"","0","6010","","","","","6","","91",""
"1","103131","6011","","","","","6","0.2","3","psy_idle_wish"
"","119931","6012","","","","","6","","4","0"
"0","119931","6013","","1","0.2","psy_miyako_talk_joy2","6","0.2","3","psy_miyako_surprise2_in"
"","1","6014","","","","","6","","93",""
"0","vo_minigame_1008","6015","","","","0","6","","21","vo_minigame_1008_drama_0601"
"6","119931","6016","0.5","0","0","1","6","0","11","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！"
"","3","6017","","","","","6","","93","1"
"1","119931","6018","","","","","6","0.2","3","psy_miyako_talk2"
"","6016","6019","","","","","6","","91",""
"","0","6020","","","","","6","","22","0"
"1","119931","6021","","","","","6","0.2","3","psy_miyako_idle_sad"
"1","103131","6022","","","","","6","0.2","3","psy_talk_sad"
"0","vo_minigame_1008","6023","","","","0","6","","21","vo_minigame_1008_drama_0606"
"8","103131","6024","0.5","0","0","1","6","0","11","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。"
"","0","6025","","","","","6","","91",""
"1","103131","6026","","","","","6","0.2","3","psy_idle_sad"
"1","119931","6027","","","","","6","0.2","3","psy_miyako_panic3"
"0","vo_minigame_1008","6028","","","","0","6","","21","vo_minigame_1008_drama_0602"
"5","119931","6029","0.5","0","0","1","6","0","11","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……"
"","5.5","6030","","","","","6","","93","1"
"1","119931","6031","","","","","6","0.2","3","psy_miyako_sad2"
"","6029","6032","","","","","6","","91",""
"","0","6033","","","","","6","","22","0"
"1","119931","6034","","","","","6","0.2","3","psy_miyako_idle_sad"
"0","103131","6035","","1","0.2","psy_talk_surprise1","6","0.2","3","psy_surprise"
"0","vo_minigame_1008","6036","","","","0","6","","21","vo_minigame_1008_drama_0607"
"8","103131","6037","0.5","0","0","1","6","0","11","ミヤコさんが……自分で……\nプリンを……"
"","0","6038","","","","","6","","91",""
"1","103131","6039","","","","","6","0.2","3","psy_idle_surprise1"
"1","119931","6040","","","","","6","0.2","3","psy_miyako_talk2"
"0","vo_minigame_1008","6041","","","","0","6","","21","vo_minigame_1008_drama_0603"
"6","119931","6042","0.5","0","0","1","6","0","11","どうしたの？"
"","0","6043","","","","","6","","91",""
"","0","6044","","","","","6","","22","0"
"1","119931","6045","","","","","6","0.2","3","psy_miyako_idle"
"1","103131","6046","","","","","6","0.2","3","psy_talk_joy1"
"0","vo_minigame_1008","6047","","","","0","6","","21","vo_minigame_1008_drama_0608"
"8","103131","6048","0.5","0","0","1","6","0","11","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。"
"","4","6049","","","","","6","","93","1"
"1","103131","6050","","","","","6","0.2","3","psy_talk_wish"
"","6048","6051","","","","","6","","91",""
"1","103131","6052","","","","","6","0.2","3","psy_idle_wish"
"1","119931","6053","","","","","6","0.2","3","psy_miyako_joy1"
"0","vo_minigame_1008","6054","","","","0","6","","21","vo_minigame_1008_drama_0604"
"6","119931","6055","0.5","0","0","1","6","0","11","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！"
"","5","6056","","","","","6","","93","1"
"0","119931","6057","","1","0","psy_miyako_guts1_loop","6","0.2","3","psy_miyako_guts1_in"
"","6055","6058","","","","","6","","91",""
"","0","6059","","","","","6","","22","0"
"","1.5","6060","","","","","6","","93",""
"","0","6061","","","","","6","","91",""
"100","1","7001","psy_miyako_idle","-200","0","-200","7","1.7","1","119931"
"100","1","7002","psy_fairy_idle","-220","0","125","7","1.7","5","1"
