e55241c5221588b22b5f1d79448fe6c0a432dfc0f5c78a47139003c8475274d8,164fd21f5677b5ffca94d99d914c6cb08348054b1cf1a778887dbfa8c21f4556,20aee27b4972afea9e578dd723169b5ea2d96d5f65b7c7e59f8322baf4a10f37,985110d37c5c6470eef74c96fed16eb6fb48c12e099dd61ae364a05547d98f28,6f2755235fd831e8c89a8b4b647b698199158a5d7def377f7e69e3e34a9b55f9
"91","113","113","3","50"
"78","114","114","3","88"
"35","115","115","3","43"
"35","116","116","3","86"
"85","117","117","3","43"
"66","118","118","3","53"
"47","119","119","3","28"
"47","120","120","3","101"
"66","121","121","3","46"
"85","122","122","3","79"
"37","123","123","3","39"
"37","124","124","3","91"
"78","125","125","3","57"
"60","126","126","3","71"
"37","127","127","3","36"
"37","128","128","3","93"
"62","129","129","3","39"
"88","130","130","3","50"
"106","131","131","3","65"
"35","132","132","3","39"
"35","133","133","3","91"
"86","134","134","3","65"
"57","135","135","3","41"
"70","136","136","3","93"
"106","137","137","3","65"
"41","138","138","3","30"
"41","139","139","3","99"
"91","140","140","3","78"
"60","141","141","3","57"
"72","142","142","3","37"
"106","143","143","3","65"
"41","144","144","3","36"
"41","145","145","3","93"
"57","146","146","3","57"
"75","147","147","3","39"
"85","148","148","3","86"
"106","149","149","3","65"
"38","150","150","3","39"
"38","151","151","3","91"
"88","152","152","3","48"
"63","153","153","3","67"
"81","154","154","3","83"
"106","155","155","3","65"
"35","156","156","3","39"
"35","157","157","3","91"
"72","158","158","3","92"
"57","159","159","3","43"
"88","160","160","3","46"
"35","161","161","3","39"
"35","162","162","3","90"
"60","163","163","3","46"
"91","164","164","3","79"
"33","165","165","3","41"
"33","166","166","3","88"
"85","167","167","3","43"
"60","168","168","3","83"
"36","169","169","3","36"
"36","170","170","3","93"
"86","171","171","3","83"
"60","172","172","3","50"
"42","173","173","3","28"
"42","174","174","3","101"
"88","175","175","3","50"
"66","176","176","3","75"
"38","177","177","3","32"
"38","178","178","3","97"
"63","179","179","3","93"
"86","180","180","3","43"
"40","181","181","4","24"
"40","182","182","4","107"
"61","183","183","4","87"
"86","184","184","4","54"
"40","185","185","4","35"
"40","186","186","4","94"
"65","187","187","4","42"
"86","188","188","4","71"
"41","189","189","4","28"
"41","190","190","4","101"
"65","191","191","4","55"
"86","192","192","4","61"
"43","193","193","4","26"
"43","194","194","4","107"
"86","195","195","4","61"
"68","196","196","4","71"
"46","197","197","4","35"
"46","198","198","4","94"
"71","199","199","4","82"
"91","200","200","4","59"
"102","201","201","4","58"
"41","202","202","4","26"
"41","203","203","4","104"
"60","204","204","4","48"
"80","205","205","4","71"
"102","206","206","4","58"
"40","207","207","4","35"
"40","208","208","4","94"
"80","209","209","4","78"
"65","210","210","4","45"
"102","211","211","4","58"
"46","212","212","4","29"
"46","213","213","4","100"
"65","214","214","4","80"
"75","215","215","4","45"
"102","216","216","4","58"
"41","217","217","4","29"
"41","218","218","4","105"
"83","219","219","4","57"
"65","220","220","4","45"
"102","221","221","4","58"
"46","222","222","4","32"
"46","223","223","4","97"
"62","224","224","4","68"
"86","225","225","4","74"
"41","226","226","4","32"
"41","227","227","4","104"
"65","228","228","4","42"
"86","229","229","4","57"
"73","230","230","4","78"
"40","231","231","4","24"
"40","232","232","4","110"
"58","233","233","4","44"
"71","234","234","4","81"
"93","235","235","4","57"
"40","236","236","4","42"
"40","237","237","4","97"
"61","238","238","4","65"
"83","239","239","4","75"
"77","240","240","4","46"
"41","241","241","4","41"
"41","242","242","4","105"
"71","243","243","4","48"
"91","244","244","4","58"
"61","245","245","4","88"
"41","246","246","4","31"
"41","247","247","4","97"
"74","248","248","4","45"
"65","249","249","4","81"
"86","250","250","4","72"
"30","251","251","5","47"
"30","252","252","5","88"
"52","253","253","5","85"
"70","254","254","5","79"
"32","255","255","5","39"
"32","256","256","5","99"
"90","257","257","5","50"
"60","258","258","5","85"
"35","259","259","5","38"
"35","260","260","5","100"
"64","261","261","5","52"
"52","262","262","5","81"
"31","263","263","5","44"
"31","264","264","5","91"
"50","265","265","5","58"
"62","266","266","5","79"
"30","267","267","5","47"
"30","268","268","5","88"
"71","269","269","5","50"
"54","270","270","5","82"
"35","271","271","5","38"
"35","272","272","5","97"
"70","273","273","5","50"
"55","274","274","5","70"
"95","275","275","5","50"
"30","276","276","5","46"
"30","277","277","5","89"
"50","278","278","5","49"
"70","279","279","5","66"
"60","280","280","5","86"
"31","281","281","5","44"
"31","282","282","5","91"
"75","283","283","5","73"
"65","284","284","5","85"
"48","285","285","5","50"
"31","286","286","5","41"
"31","287","287","5","94"
"90","288","288","5","50"
"65","289","289","5","86"
"50","290","290","5","68"
"31","291","291","5","46"
"31","292","292","5","89"
"60","293","293","5","59"
"47","294","294","5","70"
"75","295","295","5","69"
"32","296","296","5","44"
"32","297","297","5","88"
"90","298","298","5","52"
"52","299","299","5","58"
"72","300","300","5","83"
"33","301","301","5","41"
"33","302","302","5","96"
"65","303","303","5","50"
"80","304","304","5","63"
"52","305","305","5","81"
"30","306","306","5","44"
"30","307","307","5","91"
"45","308","308","5","54"
"67","309","309","5","62"
"55","310","310","5","83"
"30","311","311","5","50"
"30","312","312","5","85"
"56","313","313","5","50"
"90","314","314","5","63"
"67","315","315","5","82"
"30","316","316","5","46"
"30","317","317","5","91"
"60","318","318","5","68"
"48","319","319","5","82"
"75","320","320","5","83"
"59","321","321","2","98"
"58","322","322","2","26"
"72","323","323","2","107"
"61","324","324","2","83"
"63","325","325","2","65"
"58","326","326","2","33"
"57","327","327","2","57"
"72","328","328","2","107"
"57","329","329","2","39"
"55","330","330","2","92"
