15ee2aec71ff5a3c451c76031d0e3c556476ad7a2e77d39d4ee5690bf063f8e4,c1c199595d8df7d5c397c7ea82462d7e74828d90828d5b4d619c1027e8fca6bd,acaa19eeb2fc732df14ad8b28a9a87babc56408d32aea9a3979b015a31c04ff5,8756e8060480c4194af8728d758567b6f967136ec2cdd2510f7de82e39c1c1d9,cb6a4747496efbcecde9bdaf3aa6fe76035665930dd7510f93885af1b0dac3bd,3235cbc23ebeeb2afd5e47a147336fe320508b9b1531f85b90e5215fe3a4f7cd,a5119fa96485aa8d608164e19713ad056f8f7ff8057f306d567211d6fbf0ffac,8bd4592f74ca719f4dfa3c3b0231ae3fa1b055fe8844d30488c5aae176a361d4,2366503241edd60dca4e9c4f0b802c6f52a012dde1972304b581e38740e838ca,be2bbb736fa0fc100f80abe96804451695e9c289b22c3f7da5f05c5d1cf802a7,3ade420c2bfb4b29b5a7caddaa690cd17abdba2ff7df552017aaada85739a5bd
"","","","1","","0","91","","","","1010022"
"omp_idle_sad","","","1","","112411","3","1","0","","1010023"
"omp_surprise","1","0.1","1","omp_idle_surprise1","112511","3","0","0","","1010024"
"vo_omp_7001_004","","","1","0","vo_omp_7001","21","0","","","1010025"
"えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","1","","1","1","112511","11","10","","","1010026"
"1","","","1","","2.5","93","","","","1010027"
"omp_talk_normal","","","1","","112511","3","1","0.2","","1010028"
"","","","1","","1010026","91","","","","1010029"
"omp_idle_normal","","","1","","112511","3","1","0","","1010030"
"omp_talk_joy2","","","1","","112411","3","1","0","","1010031"
"vo_omp_7001_005","","","1","0","vo_omp_7001","21","0","","","1010032"
"えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","1","","1","1","112411","11","10","","","1010033"
"","","","1","","0","91","","","","1010034"
"0","","","1","","112511","4","1","","","1010035"
"omp_psn_20","","","1","","112411","3","1","0","","1010036"
"omp_idle_normal","","","1","","112511","3","1","0","","1010037"
"vo_omp_7001_006","","","1","0","vo_omp_7001","21","0","","","1010038"
"心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","1","","1","1","112511","11","10","","","1010039"
"","","","1","","0","91","","","","1010040"
"","","","1","","0.4","93","","","","1010041"
"112511","-195","0","2","-180","1","1","1600","1.8","omp_idle_normal","1020001"
"112411","-190","1","2","20","1","1","1500","1.8","omp_talk_normal","1020002"
"112611","-205","1","2","220","1","1","1600","1.8","omp_idle_normal","1020003"
"1","1","","2","0","1","31","0","1","","1020004"
"","","","2","","1","93","","","","1020005"
"vo_omp_7002_000","","","2","0","vo_omp_7002","21","0","","","1020006"
"ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","1","","2","1","112411","11","10","","","1020007"
"","","","2","","0","91","","","","1020008"
"0","","","2","","112411","4","","","","1020009"
"omp_idle_normal","","","2","","112411","3","1","0","","1020010"
"omp_talk_joy1","","","2","","112611","3","1","0","","1020011"
"vo_omp_7002_001","","","2","0","vo_omp_7002","21","0","","","1020012"
"うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","1","","2","1","112611","11","10","","","1020013"
"","","","2","","0","91","","","","1020014"
"omp_idle_joy1","","","2","","112611","3","1","0","","1020015"
"omp_talk_surprise1","","","2","","112411","3","1","0","","1020016"
"vo_omp_7002_002","","","2","0","vo_omp_7002","21","0","","","1020017"
"でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","1","","2","1","112411","11","10","","","1020018"
"","","","2","","0","91","","","","1020019"
"1","","","2","","112411","4","","","","1020020"
"omp_idle_surprise1","","","2","","112411","3","1","0","","1020021"
"omp_talk_normal","","","2","","112511","3","1","0","","1020022"
"vo_omp_7002_003","","","2","0","vo_omp_7002","21","0","","","1020023"
"全然想像できない味だったね\nいい意味で","1","","2","1","112511","11","10","","","1020024"
"","","","2","","0","91","","","","1020025"
"omp_talk_sad","","","2","","112511","3","1","0","","1020026"
"vo_omp_7002_004","","","2","0","vo_omp_7002","21","0","","","1020027"
"でも魔物が調理されてるところは\nまあ、何て言うか…","1","","2","1","112511","11","10","","","1020028"
"","","","2","","0","91","","","","1020029"
"omp_idle_sad","","","2","","112511","3","1","0","","1020030"
"omp_talk_bitter","","","2","","112411","3","1","0","","1020031"
"vo_omp_7002_005","","","2","0","vo_omp_7002","21","0","","","1020032"
"…す、すごかったですよね","1","","2","1","112411","11","10","","","1020033"
"","","","2","","0","91","","","","1020034"
"omp_idle_bitter","","","2","","112411","3","1","0","","1020035"
"omp_talk_joy1","","","2","","112611","3","1","0","","1020036"
"vo_omp_7002_006","","","2","0","vo_omp_7002","21","0","","","1020037"
"魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","1","","2","1","112611","11","10","","","1020038"
"","","","2","","0","91","","","","1020039"
"omp_idle_joy1","","","2","","112611","3","1","0","","1020040"
"omp_talk_bitter","","","2","","112511","3","1","0","","1020041"
"vo_omp_7002_007","","","2","0","vo_omp_7002","21","0","","","1020042"
"冒険って、奥が深いね…","1","","2","1","112511","11","10","","","1020043"
"","","","2","","0","91","","","","1020044"
"","","","2","","0.4","93","","","","1020045"
"112411","-190","0","3","-140","1","1","1500","1.8","omp_talk_joy1","1030001"
"112611","-190","1","3","140","1","1","1500","1.8","omp_idle_normal","1030002"
"1","1","","3","0","1","31","0","1","","1030003"
"","","","3","","1","93","","","","1030004"
"vo_omp_7003_000","","","3","0","vo_omp_7003","21","0","","","1030005"
"ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","1","","3","1","112411","11","10","","","1030006"
"","","","3","","0","91","","","","1030007"
"omp_psn_20","","","3","","112411","3","1","0","","1030008"
"omp_psn_19","","","3","","112611","3","1","0","","1030009"
"vo_omp_7003_001","","","3","0","vo_omp_7003","21","0","","","1030010"
"た、楽しいかな～？","1","","3","1","112611","11","10","","","1030011"
"","","","3","","0","91","","","","1030012"
"omp_psn_18","","","3","","112611","3","1","0","","1030013"
"omp_talk_joy1","","","3","","112411","3","1","0","","1030014"
"vo_omp_7003_002","","","3","0","vo_omp_7003","21","0","","","1030015"
"怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","1","","3","1","112411","11","10","","","1030016"
"","","","3","","0","91","","","","1030017"
"omp_psn_20","","","3","","112411","3","1","0","","1030018"
"omp_talk_joy1","","","3","","112611","3","1","0","","1030019"
"vo_omp_7003_003","","","3","0","vo_omp_7003","21","0","","","1030020"
"そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","1","","3","1","112611","11","10","","","1030021"
"1","","","3","","1.5","93","","","","1030022"
"omp_psn_19","","","3","","112611","3","1","0.2","","1030023"
"","","","3","","1030021","91","","","","1030024"
"omp_psn_18","","","3","","112611","3","1","0","","1030025"
"omp_talk_joy1","","","3","","112411","3","1","0","","1030026"
"vo_omp_7003_004","","","3","0","vo_omp_7003","21","0","","","1030027"
"かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","1","","3","1","112411","11","10","","","1030028"
"","","","3","","0","91","","","","1030029"
"omp_psn_20","","","3","","112411","3","1","0","","1030030"
"omp_psn_19","","","3","","112611","3","1","0","","1030031"
"vo_omp_7003_005","","","3","0","vo_omp_7003","21","0","","","1030032"
"いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","1","","3","1","112611","11","10","","","1030033"
"","","","3","","0","91","","","","1030034"
"omp_psn_18","","","3","","112611","3","1","0","","1030035"
"omp_talk_joy2","","","3","","112411","3","1","0","","1030036"
"vo_omp_7003_006","","","3","0","vo_omp_7003","21","0","","","1030037"
"あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","1","","3","1","112411","11","10","","","1030038"
"","","","3","","0","91","","","","1030039"
"omp_psn_20","","","3","","112411","3","1","0","","1030040"
"omp_talk_sad","","","3","","112611","3","1","0","","1030041"
"vo_omp_7003_007","","","3","0","vo_omp_7003","21","0","","","1030042"
"そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","1","","3","1","112611","11","10","","","1030043"
"1","","","3","","6","93","","","","1030044"
"omp_talk_joy2","","","3","","112611","3","1","0.2","","1030045"
"","","","3","","1030043","91","","","","1030046"
"omp_idle_joy2","","","3","","112611","3","1","0","","1030047"
"omp_talk_joy2","","","3","","112411","3","1","0","","1030048"
"vo_omp_7003_008","","","3","0","vo_omp_7003","21","0","","","1030049"
"はい！\n一緒に頑張りましょう！","1","","3","1","112411","11","10","","","1030050"
"","","","3","","0","91","","","","1030051"
"","","","3","","0.4","93","","","","1030052"
"105831","-195","0","4","-180","1","1","1600","1.8","omp_talk_normal","1040001"
"105931","-190","1","4","20","1","1","1500","1.8","omp_idle_normal","1040002"
"106031","-205","1","4","220","1","1","1600","1.8","omp_idle_normal","1040003"
"1","1","","4","0","1","31","0","1","","1040004"
"","","","4","","1","93","","","","1040005"
"vo_omp_7004_000","","","4","0","vo_omp_7004","21","0","","","1040006"
"せっかくですから\nわたしたちもアイドルを\nしてみませんか？","1","","4","1","105831","11","10","","","1040007"
"","","","4","","0","91","","","","1040008"
"omp_idle_normal","","","4","","105831","3","1","0","","1040009"
"omp_talk_normal","","","4","","105931","3","1","0","","1040010"
"vo_omp_7004_001","","","4","0","vo_omp_7004","21","0","","","1040011"
"アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","1","","4","1","105931","11","10","","","1040012"
"","","","4","","0","91","","","","1040013"
"0","","","4","","105931","4","","","","1040014"
"omp_idle_normal","","","4","","105931","3","1","0","","1040015"
"omp_surprise","1","","4","omp_idle_surprise1","106031","3","0","0","","1040016"
"vo_omp_7004_002","","","4","0","vo_omp_7004","21","0","","","1040017"
"えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","1","","4","1","106031","11","10","","","1040018"
"1","","","4","","2","93","","","","1040019"
"omp_talk_tsun","","","4","","106031","3","1","0.1","","1040020"
"","","","4","","1040018","91","","","","1040021"
"omp_talk_tsun","","","4","","106031","3","1","0","","1040022"
"vo_omp_7004_003","","","4","0","vo_omp_7004","21","0","","","1040023"
"あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","1","","4","1","106031","11","10","","","1040024"
"","","","4","","0","91","","","","1040025"
"omp_idle_tsun","","","4","","106031","3","1","0","","1040026"
"omp_talk_worry","","","4","","105931","3","1","0","","1040027"
"vo_omp_7004_004","","","4","0","vo_omp_7004","21","0","","","1040028"
"それはそうでございますが…\n好奇心が勝ってしまいまして","1","","4","1","105931","11","10","","","1040029"
"","","","4","","0","91","","","","1040030"
"1","","","4","","105931","4","","","","1040031"
"omp_idle_worry","","","4","","105931","3","1","0","","1040032"
"omp_talk_joy1","","","4","","105831","3","1","0","","1040033"
"vo_omp_7004_005","","","4","0","vo_omp_7004","21","0","","","1040034"
"コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","1","","4","1","105831","11","10","","","1040035"
"1","","","4","","5.5","93","","","","1040036"
"omp_psn_11","","","4","","105831","3","0","0.2","","1040037"
"","","","4","","1040035","91","","","","1040038"
"omp_talk_normal","","","4","","105931","3","1","0","","1040039"
"vo_omp_7004_006","","","4","0","vo_omp_7004","21","0","","","1040040"
"はい♪\nいえーい、でございます…！","1","","4","1","105931","11","10","","","1040041"
"1","","","4","","1.5","93","","","","1040042"
"omp_psn_11","1","","4","","105931","3","0","0.2","","1040043"
"","","","4","","1040041","91","","","","1040044"
"0","","","4","","105931","4","","","","1040045"
"omp_idle_normal","","","4","","105931","3","1","0","","1040046"
"omp_idle_joy1","","","4","","105831","3","1","0.2","","1040047"
"omp_idle_tsun","","","4","","106031","3","1","0","","1040048"
"vo_omp_7004_007","","","4","0","vo_omp_7004","21","0","","","1040049"
"いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","1","","4","1","106031","11","10","","","1040050"
"1","","","4","","7","93","","","","1040051"
"omp_psn_12","","","4","","106031","3","0","0.1","","1040052"
"","","","4","","1.5","93","","","","1040053"
"","","","4","","1040050","91","","","","1040054"
"omp_idle_normal","","","4","","106031","3","1","0.2","","1040055"
"omp_idle_surprise1","","","4","","105831","3","1","0","","1040056"
"vo_omp_7004_008","","","4","0","vo_omp_7004","21","0","","","1040057"
"キャ、キャルちゃん…","1","","4","1","105831","11","10","","","1040058"
"","","","4","","0","91","","","","1040059"
"omp_idle_surprise1","","","4","","105831","3","1","0","","1040060"
"omp_talk_sad","","","4","","105931","3","1","0","","1040061"
"vo_omp_7004_009","","","4","0","vo_omp_7004","21","0","","","1040062"
"ものすごく、本気でございますね","1","","4","1","105931","11","10","","","1040063"
"","","","4","","0","91","","","","1040064"
"omp_idle_sad","","","4","","105931","3","1","0","","1040065"
"omp_surprise","1","0.1","4","omp_talk_surprise2","106031","3","0","0","","1040066"
"vo_omp_7004_010","","","4","0","vo_omp_7004","21","0","","","1040067"
"はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","1","","4","1","106031","11","10","","","1040068"
"1","","","4","","6.5","93","","","","1040069"
"omp_talk_tsun","","","4","","106031","3","1","0.2","","1040070"
"","","","4","","1040068","91","","","","1040071"
"","","","4","","0.4","93","","","","1040072"
"112611","-190","0","5","-140","1","1","1500","1.8","omp_talk_joy1","1050001"
"112511","-190","1","5","140","1","1","1500","1.8","omp_idle_normal","1050002"
"1","1","","5","0","1","31","0","1","","1050003"
"","","","5","","1","93","","","","1050004"
"vo_omp_7005_000","","","5","0","vo_omp_7005","21","0","","","1050005"
"冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","1","","5","1","112611","11","10","","","1050006"
"","","","5","","0","91","","","","1050007"
"omp_idle_joy1","","","5","","112611","3","1","0","","1050008"
"omp_talk_normal","","","5","","112511","3","1","0","","1050009"
"vo_omp_7005_001","","","5","0","vo_omp_7005","21","0","","","1050010"
"そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","1","","5","1","112511","11","10","","","1050011"
"","","","5","","0","91","","","","1050012"
"omp_idle_normal","","","5","","112511","3","1","0","","1050013"
"omp_talk_joy1","","","5","","112611","3","1","0","","1050014"
"vo_omp_7005_002","","","5","0","vo_omp_7005","21","0","","","1050015"
"私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","1","","5","1","112611","11","10","","","1050016"
"1","","","5","","6.2","93","","","","1050017"
"omp_talk_thinking","","","5","","112611","3","1","0.2","","1050018"
"","","","5","","1050016","91","","","","1050019"
"omp_idle_thinking","","","5","","112611","3","1","0","","1050020"
"omp_talk_normal2","","","5","","112511","3","1","0","","1050021"
"vo_omp_7005_003","","","5","0","vo_omp_7005","21","0","","","1050022"
"ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","1","","5","1","112511","11","10","","","1050023"
"","","","5","","0","91","","","","1050024"
"omp_idle_calm","","","5","","112511","3","1","0","","1050025"
"omp_talk_sad","","","5","","112611","3","1","0.1","","1050026"
"vo_omp_7005_004","","","5","0","vo_omp_7005","21","0","","","1050027"
"し…し…","1","","5","1","112611","11","10","","","1050028"
"","","","5","","0","91","","","","1050029"
"omp_idle_sad","","","5","","112611","3","1","0","","1050030"
"omp_psn_19","","","5","","112511","3","1","0","","1050031"
"vo_omp_7005_005","","","5","0","vo_omp_7005","21","0","","","1050032"
"し…？","1","","5","1","112511","11","10","","","1050033"
"","","","5","","0","91","","","","1050034"
"omp_psn_18","","","5","","112511","3","1","0","","1050035"
"omp_talk_sad","","","5","","112611","3","1","0","","1050036"
"vo_omp_7005_006","","","5","0","vo_omp_7005","21","0","","","1050037"
"しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","1","","5","1","112611","11","10","","","1050038"
"1","","","5","","4.5","93","","","","1050039"
"omp_talk_surprise2","","","5","","112611","3","1","0.2","","1050040"
"","","","5","","1050038","91","","","","1050041"
"omp_idle_surprise2","","","5","","112611","3","1","0","","1050042"
"omp_talk_normal","","","5","","112511","3","1","0","","1050043"
"vo_omp_7005_007","","","5","0","vo_omp_7005","21","0","","","1050044"
"さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","1","","5","1","112511","11","10","","","1050045"
"1","","","5","","3.5","93","","","","1050046"
"omp_talk_anger","","","5","","112511","3","1","0.2","","1050047"
"","","","5","","1050045","91","","","","1050048"
"omp_idle_anger","","","5","","112511","3","1","0","","1050049"
"omp_talk_joy1","","","5","","112611","3","1","0","","1050050"
"vo_omp_7005_008","","","5","0","vo_omp_7005","21","0","","","1050051"
"えへへ、ごめんごめん☆","1","","5","1","112611","11","10","","","1050052"
"","","","5","","0","91","","","","1050053"
"omp_idle_joy1","","","5","","112611","3","1","0","","1050054"
"omp_talk_sad","","","5","","112511","3","1","0","","1050055"
"vo_omp_7005_009","","","5","0","vo_omp_7005","21","0","","","1050056"
"まったく\n…けど、さっきのは\nほんとのことだからね","1","","5","1","112511","11","10","","","1050057"
"1","","","5","","2","93","","","","1050058"
"omp_talk_normal","","","5","","112511","3","1","0.2","","1050059"
"","","","5","","1050057","91","","","","1050060"
"omp_idle_normal","","","5","","112511","3","1","0","","1050061"
"omp_talk_joy2","","","5","","112611","3","1","0","","1050062"
"vo_omp_7005_010","","","5","0","vo_omp_7005","21","0","","","1050063"
"うん！\nありがとっ、しぶりん！","1","","5","1","112611","11","10","","","1050064"
"","","","5","","0","91","","","","1050065"
"","","","5","","0.4","93","","","","1050066"
"112511","-195","0","6","-180","1","1","1600","1.8","omp_talk_normal","1060001"
"112411","-190","1","6","20","1","1","1500","1.8","omp_idle_normal","1060002"
"112611","-205","1","6","220","1","1","1600","1.8","omp_idle_normal","1060003"
"1","1","","6","0","1","31","0","1","","1060004"
"","","","6","","1","93","","","","1060005"
"vo_omp_7006_000","","","6","0","vo_omp_7006","21","0","","","1060006"
"ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","1","","6","1","112511","11","10","","","1060007"
"","","","6","","0","91","","","","1060008"
"omp_idle_normal","","","6","","112511","3","1","0","","1060009"
"omp_talk_joy1","","","6","","112611","3","1","0","","1060010"
"vo_omp_7006_001","","","6","0","vo_omp_7006","21","0","","","1060011"
"うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","1","","6","1","112611","11","10","","","1060012"
"","","","6","","0","91","","","","1060013"
"0","","","6","","112411","4","","","","1060014"
"omp_idle_joy1","","","6","","112611","3","1","0","","1060015"
"omp_talk_joy1","","","6","","112411","3","1","0","","1060016"
"vo_omp_7006_002","","","6","0","vo_omp_7006","21","0","","","1060017"
"えへへっ、ありがとうございます！\nえっと…","1","","6","1","112411","11","10","","","1060018"
"","","","6","","0","91","","","","1060019"
"omp_talk_normal","","","6","","112411","3","1","0","","1060020"
"vo_omp_7006_003","","","6","0","vo_omp_7006","21","0","","","1060021"
"朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","1","","6","1","112411","11","10","","","1060022"
"","","","6","","0","91","","","","1060023"
"omp_talk_thinking","","","6","","112411","3","1","0","","1060024"
"vo_omp_7006_004","","","6","0","vo_omp_7006","21","0","","","1060025"
"あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","1","","6","1","112411","11","10","","","1060026"
"","","","6","","0","91","","","","1060027"
"omp_talk_normal2","","","6","","112411","3","1","0","","1060028"
"vo_omp_7006_005","","","6","0","vo_omp_7006","21","0","","","1060029"
"だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","1","","6","1","112411","11","10","","","1060030"
"","","","6","","0","91","","","","1060031"
"omp_idle_calm","","","6","","112411","3","1","0","","1060032"
"omp_talk_sad","","","6","","112611","3","1","0","","1060033"
"vo_omp_7006_006","","","6","0","vo_omp_7006","21","0","","","1060034"
"しまむー…！","1","","6","1","112611","11","10","","","1060035"
"","","","6","","0","91","","","","1060036"
"1","","","6","","112411","4","","","","1060037"
"omp_idle_sad","","","6","","112611","3","1","0","","1060038"
"omp_talk_thinking","","","6","","112511","3","1","0","","1060039"
"vo_omp_7006_007","","","6","0","vo_omp_7006","21","0","","","1060040"
"そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","1","","6","1","112511","11","10","","","1060041"
"","","","6","","0","91","","","","1060042"
"0","","","6","","112411","4","","","","1060043"
"omp_idle_thinking","","","6","","112511","3","1","0","","1060044"
"omp_talk_joy1","","","6","","112611","3","1","0","","1060045"
"vo_omp_7006_008","","","6","0","vo_omp_7006","21","0","","","1060046"
"うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","1","","6","1","112611","11","10","","","1060047"
"","","","6","","0","91","","","","1060048"
"1","","","6","","112411","4","","","","1060049"
"omp_idle_joy1","","","6","","112611","3","1","0","","1060050"
"omp_talk_joy2","","","6","","112411","3","1","0","","1060051"
"vo_omp_7006_009","","","6","0","vo_omp_7006","21","0","","","1060052"
"リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","1","","6","1","112411","11","10","","","1060053"
"1","","","6","","1.2","93","","","","1060054"
"0","","","6","","112411","4","","","","1060055"
"","","","6","","1060053","91","","","","1060056"
"-180","1","","6","0","112511","2","-195","","","1060057"
"0","1","","6","0","112411","2","-190","","","1060058"
"180","1","","6","0","112611","2","-195","","","1060059"
"omp_psn_dicision_rin","","","6","","112511","3","0","0.1","","1060060"
"omp_psn_dicision_uduki","","","6","","112411","3","0","0.1","","1060061"
"omp_psn_dicision_mio","","","6","","112611","3","0","0.1","","1060062"
"2","1","","6","0","2","31","0","1","","1060063"
"","","","6","","1060062","91","","","","1060064"
"","","","6","","0.6","93","","","","1060065"
"105831","-205","0","7","-100","1","1","1600","1.8","omp_idle_normal","1070001"
"105931","-225","0","7","-390","1","1","1600","1.8","omp_idle_normal","1070002"
"106031","-190","0","7","-260","1","1","1500","1.8","omp_idle_normal","1070003"
"112511","-185","1","7","250","1","1","1500","1.8","omp_idle_normal","1070004"
"112411","-220","1","7","385","1","1","1600","1.8","omp_idle_normal","1070005"
"112611","-195","1","7","100","1","1","1600","1.8","omp_idle_normal","1070006"
"1","1","","7","0","1","31","0","1","","1070007"
"","","","7","","0.2","93","","","","1070008"
"omp_idle_normal","","","7","","112611","3","1","0.1","","1070009"
"omp_talk_normal","","","7","","112411","3","1","0","","1070010"
"omp_idle_normal","","","7","","112511","3","1","0.1","","1070011"
"omp_idle_normal","","","7","","105831","3","1","0.1","","1070012"
"","","","7","","0.1","93","","","","1070013"
"","","","7","","1","93","","","","1070014"
"vo_omp_7007_000","","","7","0","vo_omp_7007","21","0","","","1070015"
"今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","1","","7","1","112411","11","10","","","1070016"
"","","","7","","0","91","","","","1070017"
"omp_idle_normal","","","7","","112411","3","1","0.1","","1070018"
"omp_talk_normal","","","7","","105831","3","1","0.1","","1070019"
"vo_omp_7007_001","","","7","0","vo_omp_7007","21","0","","","1070020"
"緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","1","","7","1","105831","11","10","","","1070021"
"","","","7","","0","91","","","","1070022"
"omp_idle_normal","","","7","","105831","3","1","0","","1070023"
"omp_talk_worry","","","7","","105931","3","1","0","","1070024"
"vo_omp_7007_002","","","7","0","vo_omp_7007","21","0","","","1070025"
"ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","1","","7","1","105931","11","10","","","1070026"
"","","","7","","0","91","","","","1070027"
"omp_idle_worry","","","7","","105931","3","1","0","","1070028"
"omp_talk_normal","","","7","","106031","3","1","0","","1070029"
"vo_omp_7007_003","","","7","0","vo_omp_7007","21","0","","","1070030"
"まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","1","","7","1","106031","11","10","","","1070031"
"","","","7","","0","91","","","","1070032"
"omp_idle_normal","","","7","","106031","3","1","0","","1070033"
"omp_talk_worry","","","7","","112611","3","1","0","","1070034"
"vo_omp_7007_004","","","7","0","vo_omp_7007","21","0","","","1070035"
"もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","1","","7","1","112611","11","10","","","1070036"
"","","","7","","0","91","","","","1070037"
"omp_idle_worry","","","7","","112611","3","1","0","","1070038"
"omp_talk_normal2","","","7","","105931","3","1","0","","1070039"
"vo_omp_7007_005","","","7","0","vo_omp_7007","21","0","","","1070040"
"でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","1","","7","1","105931","11","10","","","1070041"
"","","","7","","0","91","","","","1070042"
"omp_idle_calm","","","7","","105931","3","1","0","","1070043"
"omp_talk_normal2","","","7","","112511","3","1","0","","1070044"
"vo_omp_7007_006","","","7","0","vo_omp_7007","21","0","","","1070045"
