88045f53fe84908a616950355a0edade98c8f725819891f93cc52461440a7b2e,cc062fa79b519e61da789223f9c9caca252dc9d403464c340197d7771c495451,82cb165f7ab552a03275e8c8d75edb465c7454f87ebaee7802025ebe40d2539e,235c280cbdce64629c7029dc9a6c71216c74d7cd717aa62f840c9fde766e40d5,630a8187ec2a397e885c3958acb1042698441ce5676a1814c5b0b2730360ed0c,ab47d6e5a962ffe8370529622347fb0a6a2cd94c03afef3fa9f3aa2918149246,6eebab596afb4d6345410c3538951410a80ba34161ae1cb20ccffb87a9a00b36,ee05b3b79279e419c124ab759000359255699a0dc7f3854bc4c2a22305d05d7b,ca0164767276731ea727f8010a82648db7c2542b10dcdf7246a268a6eca250db,ffb37de677958a4b6474ab1332dd13b2dc7b1d673f459e7e0a3369b3c2b98ab8,5f3743b65adde7defbe1f7f7e6dfb39b471533cff29d936a9b79eb337a41dc58
"","","1","","","211","102110062","","","32","10031"
"","","0","","","211","102110063","","","93","0.4"
"","","0","","","211","102110064","","","91","0"
"","","se_travel_start_3pt","0","","311","103110001","","","23","se_travel"
"0","1","10010","0","1","311","103110002","","","31","10010"
"0","1","10011","0","1","311","103110003","","","31","10011"
"0","0","10020","0","1","311","103110004","","","31","10020"
"0","0.68","1001001","62","-240","311","103110005","<weapon>_idle","0","1","2"
"-70","0.68","1001002","61","-165","311","103110006","<weapon>_idle","0","1","2"
"-140","0.68","1001003","63","-255","311","103110007","<weapon>_idle","0","1","2"
"-210","0.68","1001004","61","-165","311","103110008","<weapon>_idle","0","1","2"
"-280","0.68","1001005","62","-240","311","103110009","<weapon>_idle","0","1","2"
"-240","1","1001001","0","0.68","311","103110010","","0","31","10012"
"-165","1","1001002","-70","0.68","311","103110011","","0","31","10012"
"-255","1","1001003","-140","0.68","311","103110012","","0","31","10012"
"-165","1","1001004","-210","0.68","311","103110013","","0","31","10012"
"-240","1","1001005","-280","0.68","311","103110014","","0","31","10012"
"-250","0.68","1002001","52","-60","311","103110015","<weapon>_idle","0","1","2"
"-320","0.68","1002002","51","15","311","103110016","<weapon>_idle","0","1","2"
"-390","0.68","1002003","53","-75","311","103110017","<weapon>_idle","0","1","2"
"-460","0.68","1002004","51","15","311","103110018","<weapon>_idle","0","1","2"
"-530","0.68","1002005","52","-60","311","103110019","<weapon>_idle","0","1","2"
"-60","1","1002001","-250","0.68","311","103110020","","0","31","10012"
"15","1","1002002","-320","0.68","311","103110021","","0","31","10012"
"-75","1","1002003","-390","0.68","311","103110022","","0","31","10012"
"15","1","1002004","-460","0.68","311","103110023","","0","31","10012"
"-60","1","1002005","-530","0.68","311","103110024","","0","31","10012"
"-500","0.68","1003001","62","-250","311","103110025","<weapon>_idle","0","1","2"
"-570","0.68","1003002","61","-175","311","103110026","<weapon>_idle","0","1","2"
"-640","0.68","1003003","63","-265","311","103110027","<weapon>_idle","0","1","2"
"-710","0.68","1003004","61","-175","311","103110028","<weapon>_idle","0","1","2"
"-780","0.68","1003005","62","-250","311","103110029","<weapon>_idle","0","1","2"
"-250","1","1003001","-500","0.68","311","103110030","","0","31","10012"
"-175","1","1003002","-570","0.68","311","103110031","","0","31","10012"
"-265","1","1003003","-640","0.68","311","103110032","","0","31","10012"
"-175","1","1003004","-710","0.68","311","103110033","","0","31","10012"
"-250","1","1003005","-780","0.68","311","103110034","","0","31","10012"
"0","0","10030","0","1","311","103110035","","","31","10030"
"0","0","10031","0","1","311","103110036","","","31","10031"
"","","0","","","311","103110037","","","91",""
"","","1","","","311","103110038","","","32","10030"
"","","0","","","311","103110039","","","91","0"
"","0","<weapon>_run","1","0","311","103110040","","","3","1001001"
"","0","<weapon>_run","1","0","311","103110041","","","3","1001002"
"","0","<weapon>_run","1","0","311","103110042","","","3","1001003"
"","0","<weapon>_run","1","0","311","103110043","","","3","1001004"
"","0","<weapon>_run","1","0","311","103110044","","","3","1001005"
"3","","950","-240","0","311","103110045","","","2","1001001"
"3","","880","-165","0","311","103110046","","","2","1001002"
"3","","810","-255","0","311","103110047","","","2","1001003"
"3","","740","-165","0","311","103110048","","","2","1001004"
"3","","670","-240","0","311","103110049","","","2","1001005"
"3","","950","-240","0","311","103110050","","","33","1001001"
"3","","880","-165","0","311","103110051","","","33","1001002"
"3","","810","-255","0","311","103110052","","","33","1001003"
"3","","740","-165","0","311","103110053","","","33","1001004"
"3","","670","-240","0","311","103110054","","","33","1001005"
"","0","<weapon>_run","1","0","311","103110055","","","3","1002001"
"","0","<weapon>_run","1","0","311","103110056","","","3","1002002"
"","0","<weapon>_run","1","0","311","103110057","","","3","1002003"
"","0","<weapon>_run","1","0","311","103110058","","","3","1002004"
"","0","<weapon>_run","1","0","311","103110059","","","3","1002005"
"3","","700","-60","0","311","103110060","","","2","1002001"
"3","","630","15","0","311","103110061","","","2","1002002"
"3","","560","-75","0","311","103110062","","","2","1002003"
"3","","490","15","0","311","103110063","","","2","1002004"
"3","","420","-60","0","311","103110064","","","2","1002005"
"3","","700","-60","0","311","103110065","","","33","1002001"
"3","","630","15","0","311","103110066","","","33","1002002"
"3","","560","-75","0","311","103110067","","","33","1002003"
"3","","490","15","0","311","103110068","","","33","1002004"
"3","","420","-60","0","311","103110069","","","33","1002005"
"","0","<weapon>_run","1","0","311","103110070","","","3","1003001"
"","0","<weapon>_run","1","0","311","103110071","","","3","1003002"
"","0","<weapon>_run","1","0","311","103110072","","","3","1003003"
"","0","<weapon>_run","1","0","311","103110073","","","3","1003004"
"","0","<weapon>_run","1","0","311","103110074","","","3","1003005"
"3","","450","-250","0","311","103110075","","","2","1003001"
"3","","380","-175","0","311","103110076","","","2","1003002"
"3","","310","-265","0","311","103110077","","","2","1003003"
"3","","240","-175","0","311","103110078","","","2","1003004"
"3","","170","-250","0","311","103110079","","","2","1003005"
"3","","450","-250","0","311","103110080","","","33","1003001"
"3","","380","-175","0","311","103110081","","","33","1003002"
"3","","310","-265","0","311","103110082","","","33","1003003"
"3","","240","-175","0","311","103110083","","","33","1003004"
"3","","170","-250","0","311","103110084","","","33","1003005"
"","","1","","","311","103110085","","","32","10020"
"","","0","","","311","103110086","","","93","2.5"
"","","1","","","311","103110087","","","32","10031"
"","","0","","","311","103110088","","","93","0.4"
"","","0","","","311","103110089","","","91","0"
