62caf576fc655fefee84b0a1908fe61ad155895f2d4ab97f74305aacdc0b7577,3575a7f4ac61e41eb4d0cfb7c1303a0469bac8048404d0b5c5912f275ef4f286,76ec04095b79beeb81480458e3c7aee400d4ab8d8336ca014dc38326f7a5fe92,92675b6cc9ebc07d6fd170ddf42f514722b33ef9f480433e8de22edf77242cb1,57d19cbc0069d6dcdf33535d8754f6ce6a3c6c3d70bf57a569aeeb55ffd8108f,196630b128a141ec775d871fb8a26899b0d526a995a722210e4e1bcb709650d5
"0","803100258","300311","101","107","2145081"
"0","803100258","300312","101","107","2145082"
"1","803100258","300313","113","202","2145083"
"1","803100258","300314","114","203","2145084"
"0","803100258","300315","100","104","2145085"
"0","803100258","300316","101","107","2145086"
"1","803100258","300317","111","204","2145087"
"1","803100258","300318","112","205","2145088"
"0","803100258","300319","100","104","2145089"
"0","803100258","300320","101","107","2145090"
"0","803100259","300321","100","104","2145091"
"0","803100259","300322","101","107","2145092"
"1","803100259","300323","113","202","2145093"
"1","803100259","300324","112","208","2145094"
"0","803100259","300325","100","104","2145095"
"0","803100259","300326","101","107","2145096"
"1","803100259","300327","111","204","2145097"
"1","803100259","300328","112","205","2145098"
"0","803100260","300401","102","105","2146011"
"0","803100260","300402","102","105","2146012"
"1","803100260","300403","113","202","2146013"
"1","803100260","300404","114","203","2146014"
"0","803100260","300405","102","105","2146015"
"1","803100260","300406","113","202","2146016"
"1","803100260","300407","114","203","2146017"
"0","803100260","300408","102","105","2146018"
"0","803100260","300409","102","105","2146019"
"0","803100260","300410","102","105","2146020"
"0","803100261","300411","102","105","2146021"
"1","803100261","300412","113","202","2146022"
"1","803100261","300413","114","203","2146023"
"0","803100261","300414","102","105","2146024"
"1","803100261","300415","113","202","2146025"
"1","803100261","300416","114","203","2146026"
"0","803100261","300417","102","105","2146027"
"0","803100261","300418","102","105","2146028"
"1","803100261","300419","113","202","2146029"
"1","803100261","300420","113","202","2146030"
"1","803100262","300421","113","202","2146031"
"1","803100262","300422","114","203","2146032"
"0","803100262","300423","102","105","2146033"
"1","803100262","300424","112","208","2146034"
"1","803100262","300425","110","212","2146035"
"1","803100262","300426","113","202","2146036"
"1","803100262","300427","113","202","2146037"
"0","803100262","300428","102","105","2146038"
"0","803100264","300501","100","104","2146051"
"0","803100264","300502","100","104","2146052"
"0","803100264","300503","100","104","2146053"
"0","803100264","300504","100","104","2146054"
"0","803100264","300505","102","105","2146055"
"0","803100264","300506","103","106","2146056"
"0","803100264","300507","100","104","2146057"
"0","803100264","300508","100","104","2146058"
"0","803100264","300509","102","105","2146059"
"0","803100264","300510","103","106","2146060"
"0","803100265","300511","100","104","2146061"
"0","803100265","300512","100","104","2146062"
"0","803100265","300513","100","104","2146063"
"0","803100265","300514","100","104","2146064"
"0","803100265","300515","102","105","2146065"
"0","803100265","300516","103","106","2146066"
"0","803100265","300517","100","104","2146067"
"0","803100265","300518","100","104","2146068"
"0","803100265","300519","102","105","2146069"
"0","803100265","300520","103","106","2146070"
"0","803100266","300521","100","104","2146071"
"0","803100266","300522","100","104","2146072"
"1","803100266","300523","113","202","2146073"
"1","803100266","300524","114","203","2146074"
"0","803100266","300525","100","104","2146075"
"1","803100266","300526","112","208","2146076"
"1","803100266","300527","110","212","2146077"
"1","803100266","300528","113","202","2146078"
"1","803100266","300529","114","203","2146079"
"0","803100266","300530","100","104","2146080"
"1","803100268","300601","114","203","2146091"
"1","803100268","300602","113","202","2146092"
"0","803100268","300603","102","105","2146093"
"1","803100268","300604","114","203","2146094"
"0","803100268","300605","103","106","2146095"
"1","803100268","300606","114","203","2146096"
"1","803100268","300607","111","204","2146097"
"1","803100268","300608","114","203","2146098"
"1","803100268","300609","113","202","2146099"
"0","803100268","300610","102","105","2146100"
"1","803100269","300611","114","203","2147011"
"0","803100269","300612","103","106","2147012"
"1","803100269","300613","114","203","2147013"
"1","803100269","300614","111","204","2147014"
"1","803100269","300615","110","212","2147015"
"1","803100269","300616","114","203","2147016"
"0","803100269","300617","102","105","2147017"
"0","803100269","300618","103","106","2147018"
"1","803100270","300701","111","204","2147021"
"0","803100270","300702","100","104","2147022"
"0","803100270","300703","101","107","2147023"
"1","803100270","300704","113","202","2147024"
"1","803100270","300705","114","203","2147025"
"0","803100270","300706","102","105","2147026"
"1","803100270","300707","112","205","2147027"
"1","803100270","300708","111","204","2147028"
"0","803100270","300709","100","104","2147029"
"0","803100270","300710","101","107","2147030"
"1","803100271","300711","113","202","2147031"
"1","803100271","300712","114","203","2147032"
"0","803100271","300713","102","105","2147033"
"1","803100271","300714","112","205","2147034"
"0","803100271","300715","107","110","2147035"
"1","803100271","300716","111","204","2147036"
"0","803100271","300717","100","104","2147037"
"0","803100271","300718","101","107","2147038"
