3b034adde0cfd36b4a877ca0e45b034eb4ba5082bb41e61d38da63989ef6d3fa,882762b57942594a56294e040903f98b8ba98871a9773a5cccb0785b8f7c8740,2d937eafa063f614d790fc71b4fe52d87d5f02ab3c2a8dafc21008caeece8e56,3310bae0cd206f2b601f21fff39345b983e0e99f899742002b7636677b6f024c,ed66f6856e606ab83def026315b614f91fd7851a6801a1bc5839418ff9b58ee3,2a821435128fa5b5b017fe60d954a6e69a2f9db8c80fcfb34a5d6cfa4a4a343f,8a302a41c6399c5eb617b76ab8d427affff9cb78ac7b3eb49f7b60036f3c80ca,7201efaa19a57679850df368ffc124a08e1c331aea4cf7c5292c8436c2adfb8f,2a2d1e4083a6235fb26b891c3bb1f3131e6490d8a3f2a026fcad556209f5a441,81c9ebf905f5bd56a4bc2641d6dadfb2b3def0906ac12e48a88f0cf4df83b280,0ff4268197b56a89c2a19ee5c24159a8c22922bd3d79e49574beaad676ef2ff7,1270b89ab6863d5f0774d9e567346bf6d9bae5fef3b49858313a5cef803634b1,02301f80bc248c21385a72cde29b8fdc263f80bf3d1cbd1807c46aa1d74f4144,82ee5b3423cf7f99be0f8ceb4e114b9834a0ad0a6e7253ecdc053b8eef77dd22,06529cce8158fb6b3265bd8be3c99f86415f29f242ccab25da5c32fd9bbb4afb
"上喜 しのぶ","おかしいですね……","1","0","1031","0","0","0","上喜しのぶです。\n手元のドクロが父です。","でもって私の隣にいるのが……\nえ、見えない？","2","0","1.4","1","1"
"野戸まひる","そう、\nオラのボケに突っ込める相方が…！","1","0","1033","0","0","0","目指すはビッグな\nお笑い芸人だっぺ！","けんども\nそれには足りないモンが…","2","0","1.5","1","1"
"綾瀬 ゆかり","ちょ\nちょっと一杯飲んできます…！","1","0","1034","0","0","0","あの…私…綾瀬ゆかりです…\nあの…ごめんなさい！","ちょっと緊張しちゃって…","2","0","1.4","1","1"
"氷川 鏡華","これ以上お話しすることは…\nないです！","1","0","1036","0","0","0","氷川鏡華…です","知らない人とは話しちゃいけないので","2","0","1.5","1","1"
"柏崎 栞","私体が弱いから、\n30分に一度休憩しないと\nいけないんです。","1","0","1038","0","0","0","柏崎…栞です。","……あ、アラーム。","2","0","1.4","1","1"
"双葉 碧","野に咲く花が、\n唯一の話相手です。","1","0","1040","0","0","0","ふ、双葉碧です。","私、一人も友達がいなくて……","2","0","1.4","1","1"
"三角 千歌","そう思っています。","1","0","1042","0","0","0","三角千歌です。","私の歌声で、\n皆さんが幸せになってくれたらいいなって…","2","0","1.4","1","1"
"安芸 真琴","う、疑ってすまなかったな…","1","0","1043","0","0","0","安芸真琴だ。","あぁ？\nお前のそいつの仲間か？","2","0","1.4","1","1"
"イリヤ・オーンスタイン","わらわの偉大な力に\nひれ伏すがいい！\nはっはっは！","1","0","1044","0","0","0","わらわこそは夜を総べる者！","生けとし生ける全ての者よ！","2","0","1.4","1","1"
"遠見 空花","ｌク、クウカに何かご用ですか!?","1","0","1045","0","0","0","そこで騎士は妖精を乱暴に……","ぐふふふふ……はっ！","2","0","1.4","1","1"
"宮坂たまき","う～ん…\n猫ってホントに最高にゃ～♪","1","0","1046","0","0","0","宮坂たまきにゃ♪\n猫はいいにゃよ？","自由気ままで♪\n寝て遊んで、食べてケンカして…","2","0","1.4","1","1"
"大神 美冬","…と思ったら\nバイトの時間だ！\nまたあとでね！","1","0","1048","0","0","0","大神美冬よ！","それでは早速クエストに…","2","0","1.4","1","1"
"星野静流","お姉ちゃんがぜ～んぶ\nやってあげるからね！","1","0","1049","0","0","0","星野静流だよ！","クエストもバトルも\n掃除も洗濯も","2","0","1.4","1","1"
"玉泉美咲","学校では誰もが憧れる\nアイドル的な存在ってやつよ♪","1","0","1050","0","0","0","アタシは玉泉美咲。","見ての通りの\nセクシー美少女で","2","0","1.5","1","1"
"リマ","？？？？","1","0","1052","0","0","0","？？？","？？？？","2","0","1.4","1","1"
"モニカ・ヴァイスヴィント","そ、そこまでいうなら\nもらってやる","1","0","1053","0","0","0","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","2","0","1.5","1","1"
"ペコリーヌ","そ、そこまでいうなら\nもらってやる","1","0","1058","0","0","0","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","2","0","1.5","1","1"
"コッコロ","そ、そこまでいうなら\nもらってやる","1","0","1059","0","0","0","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","2","0","1.5","1","1"
"キャル","そ、そこまでいうなら\nもらってやる","1","0","1060","0","0","0","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","2","0","1.5","1","1"
