8643209b94ae856064886883545052ed000780630f9b87d371f49e6fad3166f2,bbcc0dd2194b8c82b7db91bcba1f9ccdd0a8a17cdf6dfb67b0a13d0b775a08f7,37a6b3a4a514717e72f248d31c79df65da492b374f7c155845c6a5fd45f0f86f,bfe688008c141f00a86c291335eb5de62fac868e963a3ea28116c42cbe30960d,cbff4b449a35a0cd7ff23497557d11206a26c9414336e0377533ae9cb05407ab,997d7b8d875f5b323047f2496a3cf9f800e1c6479e93930eab0e936efd1fe91d,301b7c0f0df47e1e0da51249f247c505bb0983a0df556b7a2c201309dfcc7b5e,ea8c1bbb77387e0e62d61fe2936f19cc100d8bb28e49c36eb51c058059fa662e,a607b440e7f1fbb3f89c5a50150733e704bb123bd1d98e7fdb04fa61d28e576f,a92e47cdb2e91e22ce9c943dfb5e263f3a0be09b6ae10499033a9a6c92b60b0e,2d9fdc0d002ff8bc42ad294d6b39bf7fec7a56c96073c305138dce2f2a0f8bd6
"-130","5.964","980","2","","2","2","0","","2029",""
"","","0","93","","5.964","2","","","2030",""
"","","0","32","","11","2","","","2031",""
"","","0","93","","2","2","","","2032",""
"1","","top_iroha_walk","3","","2","2","","","2033","0"
"","","1","4","","2","2","","","2034",""
"-130","3","400","2","","2","2","0","","2035",""
"-130","3","400","33","","11","2","0","","2036",""
"","","0","93","","3","2","","","2037",""
"0","idle_normal","top_iroha_walk_out","3","","2","2","1","0","2038","0.2"
"","","0","93","","0.4","2","","","2039",""
"0","","top_iroha_sit_in","3","","2","2","","0.2","2040","0.2"
"","","0","93","","4","2","","","2041",""
"","","","101","","2005","2","","","2042",""
"100","350","3","5","top_sono_readPaper","3","3","-130","1","3001","1.38"
"475","-18","10","31","","10","3","1","","3002","1"
"","","0","91","","0","3","","","3003",""
"1","","top_sono_readPaper","3","","3","3","","","3004","0.2"
"","","0","93","","13.6","3","","","3005",""
"0","top_sono_stretch","top_sono_sit_out","3","","3","3","1","0","3006","0.2"
"","","0","93","","3.5","3","","","3007",""
"1","","top_sono_drink","3","","3","3","","","3008","0.2"
"","","","93","","10.5","3","","","3009",""
"0","","top_sono_sit_in","3","","3","3","","","3010","0.2"
"","","0","93","","2.6","3","","","3011",""
"","","","101","","3004","3","","","3012",""
"101","400","2","5","top_iroha_read","2","4","-130","1","4001","1.43"
"100","-216","1","5","top_luis_thinking","1","4","-103","1","4002","1.4"
"102","980","11","5","butterfly","11","4","130","1","4003","1.4"
"400","-130","11","31","","11","4","1","","4004","0"
"","","0","91","","0","4","","","4005",""
"1","","top_luis_thinking","3","","1","4","","","4006","0.2"
"1","","top_iroha_read","3","","2","4","","","4007","0.2"
"","","0","93","","9","4","","","4008",""
"","","1","4","","11","4","","","4009",""
"130","7","-980","2","","11","4","0","","4010",""
"","","0","93","","2.5","4","","","4011",""
"0","","top_iroha_read_notice","3","","2","4","","","4012","0.2"
"","","0","93","","0.6","4","","","4013",""
"0","top_iroha_run","top_iroha_notice_to_run","3","","2","4","1","0","4014","0"
"","","0","93","","0.4","4","","","4015",""
"","","1","32","","11","4","","","4016",""
"","","smokeR","37","","11","4","","","4017",""
"-130","4.2","-980","33","","11","4","0","","4018",""
"-130","4.2","-980","2","","2","4","0","","4019",""
"","","0","93","","1.9","4","","","4020",""
"0","top_luis_surprise_idle","top_luis_surprise_in","3","","1","4","1","0","4021","0.2"
"","","0","93","","2.3","4","","","4022",""
"","","0","32","","11","4","","","4023",""
"","","0","93","","1","4","","","4024",""
"","","0","4","","11","4","","","4025",""
"130","7","980","2","","11","4","0","","4026",""
"","","0","93","","1.5","4","","","4027",""
"","","1","32","","11","4","","","4028",""
"","","smokeL","37","","11","4","","","4029",""
"-130","5.964","980","33","","11","4","0","","4030",""
"1","","top_iroha_run_joy","3","","2","4","","","4031","0"
"","","0","4","","2","4","","","4032",""
"-130","5.964","980","2","","2","4","0","","4033",""
"","","0","93","","2.2","4","","","4034",""
"1","","top_luis_surprise_look","3","","1","4","","","4035","0"
"","","0","93","","3.764","4","","","4036",""
"1","","top_luis_thinking","3","","1","4","","","4037","0.2"
"","","0","32","","11","4","","","4038",""
"","","0","93","","2","4","","","4039",""
"1","","top_iroha_walk","3","","2","4","","","4040","0"
"","","1","4","","2","4","","","4041",""
"-130","3","400","2","","2","4","0","","4042",""
"-130","3","400","33","","11","4","0","","4043",""
"","","0","93","","3","4","","","4044",""
"0","idle_normal","top_iroha_walk_out","3","","2","4","1","0","4045","0.2"
"","","0","93","","0.4","4","","","4046",""
"0","","top_iroha_sit_in","3","","2","4","","0.2","4047","0.2"
"","","0","93","","4","4","","","4048",""
"","","","101","","4007","4","","","4049",""
"100","350","3","5","top_sono_readPaper","3","5","-130","1","5001","1.4"
"110","452","2","5","top_iroha_read_loop","2","5","-130","1","5002","1.4"
"","","0","91","","0","5","","","5003",""
"1","","top_iroha_read_loop","3","","2","5","","","5004","0.2"
"1","","top_sono_readPaper","3","","3","5","","","5005","0.2"
"","","0","93","","13.6","5","","","5006",""
"0","top_sono_stretch","top_sono_sit_out","3","","3","5","1","0","5007","0.2"
"-130","0.3","287","2","","3","5","0","","5008",""
"","","0","93","","3.5","5","","","5009",""
"1","","top_sono_drink","3","","3","5","","","5010","0.2"
"","","0","93","","2.6","5","","","5011",""
"0","","top_iroha_read_look","3","","2","5","","","5012","0.4"
"","","0","93","","7.9","5","","","5013",""
"0","","top_sono_sit_in","3","","3","5","","","5014","0.2"
"","","0","93","","0.1","5","","","5015",""
"1","","top_iroha_read_loop","3","","2","5","","","5016","0.2"
"-130","0.3","350","2","","3","5","0","","5017",""
"","","0","93","","2.5","5","","","5018",""
"","","","101","","5005","5","","","5019",""
"100","-216","1","5","idle_normal","1","6","-103","1","6001","1.4"
"101","350","3","5","top_sono_readPaper_loop","3","6","-130","1","6002","1.38"
"475","-18","10","31","","10","6","1","","6003","1"
"56","-140","13","31","","13","6","1","","6004","0"
"56","-140","14","31","","14","6","1","","6005","0"
"","","0","91","","0","6","","","6006",""
"1","","top_sono_readPaper_loop","3","","3","6","","","6007","0.2"
"0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","3","","1","6","1","0","6008","0.2"
"","","0","93","","4","6","","","6009",""
"0","top_luis_approach_idle","top_luis_approach_in","3","","1","6","1","0","6010","0.2"
"","","0","93","","3.5","6","","","6011",""
"1","","top_luis_thinking","3","","1","6","","","6012","0.2"
"","","0","93","","3.5","6","","","6013",""
"1","","top_luis_walk_think","3","","1","6","","","6014","0.2"
"-103","2","-495","2","","1","6","0","","6015",""
"","","0","93","","2","6","","","6016",""
"","","0","4","","1","6","","","6017",""
"-103","2","-216","2","","1","6","0","","6018",""
"","","0","93","","2","6","","","6019",""
"1","","top_luis_notice","3","","1","6","","","6020","0"
"","","0","93","","1","6","","","6021",""
"1","","top_luis_walk_jog","3","","1","6","","","6022","0.2"
"-130","0.5","-100","2","","1","6","0","","6023",""
"","","0","93","","0.5","6","","","6024",""
"","","1","4","","1","6","","","6025",""
"0","top_luis_sit_idle","top_luis_sit_in","3","","1","6","1","0","6026","0.2"
"","","0","93","","0.1","6","","","6027",""
"-140","0.4","-57","2","","1","6","0","","6028",""
"","","0","93","","0.4","6","","","6029",""
"-140","0","-16","2","","1","6","0","","6030",""
"","","0","4","","1","6","","","6031",""
"","","0","93","","0.6","6","","","6032",""
"0","","top_luis_experiment_failer_in","3","","1","6","","","6033","0.2"
"","","0","93","","2.3","6","","","6034",""
"0","","top_luis_experiment_failer_mix","3","","1","6","","","6035","0.1"
"","","0","93","","2.7","6","","","6036",""
"0","top_sono_notice_loop_surprise","top_sono_notice_in_surprise","3","","3","6","1","0","6037","0.2"
"","","1","32","","13","6","","","6038",""
"0","","top_luis_experiment_failer_burst","3","","1","6","","","6039","0.1"
"","","0","93","","2.7","6","","","6040",""
"1","","top_sono_readPaper_loop","3","","3","6","","","6041","0.2"
"0","","top_luis_experiment_failer_out","3","","1","6","","","6042","0.1"
"","","0","93","","1.1","6","","","6043",""
"0","idle_normal","top_luis_sit_out","3","","1","6","1","0","6044","0.2"
"","","1","4","","1","6","","","6045",""
"-140","0","-57","2","","1","6","0","","6046",""
"-130","0.3","-100","2","","1","6","0","","6047",""
"","","0","93","","1","6","","","6048",""
"0","","walk_normal","3","","1","6","","","6049","0.2"
"-103","1","-216","2","","1","6","0","","6050",""
"","","0","93","","1","6","","","6051",""
"0","","idle_normal","3","","1","6","","","6052","0.1"
"","","0","93","","0.8","6","","","6053",""
"","","0","32","","13","6","","","6054",""
"0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","3","","1","6","1","0","6055","0.2"
"","","0","93","","4","6","","","6056",""
"0","top_luis_approach_idle","top_luis_approach_in","3","","1","6","1","0","6057","0.2"
"","","0","93","","3.5","6","","","6058",""
"1","","top_luis_thinking","3","","1","6","","","6059","0.2"
"","","0","93","","3.5","6","","","6060",""
"1","","top_luis_walk_think","3","","1","6","","","6061","0.2"
"-103","2","-495","2","","1","6","0","","6062",""
"","","0","93","","2","6","","","6063",""
"","","0","4","","1","6","","","6064",""
"-103","2","-216","2","","1","6","0","","6065",""
"","","0","93","","2","6","","","6066",""
"1","","top_luis_notice","3","","1","6","","","6067","0"
"","","0","93","","1","6","","","6068",""
"1","","top_luis_walk_jog","3","","1","6","","","6069","0.2"
"-130","0.5","-100","2","","1","6","0","","6070",""
"","","0","93","","0.5","6","","","6071",""
"","","1","4","","1","6","","","6072",""
"0","top_luis_sit_idle","top_luis_sit_in","3","","1","6","1","0","6073","0.2"
"","","0","93","","0.1","6","","","6074",""
"-140","0.4","-57","2","","1","6","0","","6075",""
"","","0","93","","0.4","6","","","6076",""
"-140","0","-16","2","","1","6","0","","6077",""
"","","0","4","","1","6","","","6078",""
"","","0","93","","0.6","6","","","6079",""
"0","","top_luis_experiment_success_in","3","","1","6","","","6080","0.2"
"","","0","93","","2.3","6","","","6081",""
"0","","top_luis_experiment_success_mix","3","","1","6","","","6082","0.1"
"","","0","93","","2.7","6","","","6083",""
"0","top_sono_notice_loop_dere","top_sono_notice_in_dere","3","","3","6","1","0","6084","0.2"
"","","1","32","","14","6","","","6085",""
"0","","top_luis_experiment_success_burst","3","","1","6","","","6086","0.1"
"","","0","93","","2.7","6","","","6087",""
"1","","top_sono_readPaper_loop","3","","3","6","","","6088","0.2"
"0","","top_luis_experiment_success_out","3","","1","6","","","6089","0.1"
"","","0","93","","1.1","6","","","6090",""
"0","idle_normal","top_luis_sit_out","3","","1","6","1","0","6091","0.2"
"","","1","4","","1","6","","","6092",""
"-140","0","-57","2","","1","6","0","","6093",""
"-130","0.3","-100","2","","1","6","0","","6094",""
"","","0","93","","1","6","","","6095",""
"0","","walk_normal","3","","1","6","","","6096","0.2"
"-103","1","-216","2","","1","6","0","","6097",""
"","","0","93","","1","6","","","6098",""
"0","","idle_normal","3","","1","6","","","6099","0.1"
"","","0","93","","0.8","6","","","6100",""
"","","0","32","","14","6","","","6101",""
"0","0","","101","","6008","6","","","6102",""
"100","-216","1","5","idle_normal","1","7","-103","1","7001","1.4"
"110","452","2","5","top_iroha_read_loop","2","7","-130","1","7002","1.43"
"101","350","3","5","top_sono_readPaper_loop","3","7","-130","1","7003","1.38"
"111","980","11","5","butterfly","11","7","130","1","7004","1.4"
"452","-130","11","31","","11","7","1","","7005","0"
"56","-140","14","31","","14","7","1","","7006","0"
"","","0","91","","0","7","","","7007",""
"1","","top_iroha_read_loop","3","","2","7","","","7008","0.2"
"1","","top_sono_readPaper_loop","3","","3","7","","","7009","0.2"
"0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","3","","1","7","1","0","7010","0.2"
"","","0","93","","4","7","","","7011",""
"0","top_luis_approach_idle","top_luis_approach_in","3","","1","7","1","0","7012","0.2"
"","","0","93","","3.5","7","","","7013",""
"1","","top_luis_thinking","3","","1","7","","","7014","0.2"
"","","0","93","","3.5","7","","","7015",""
"1","","top_luis_walk_think","3","","1","7","","","7016","0.2"
"-103","2","-495","2","","1","7","0","","7017",""
"","","0","93","","2","7","","","7018",""
"","","0","4","","1","7","","","7019",""
"-103","2","-216","2","","1","7","0","","7020",""
"","","0","93","","2","7","","","7021",""
"1","","top_luis_notice","3","","1","7","","","7022","0"
"","","0","93","","1","7","","","7023",""
"1","","top_luis_walk_jog","3","","1","7","","","7024","0.2"
"-130","0.5","-100","2","","1","7","0","","7025",""
"","","0","93","","0.5","7","","","7026",""
"","","1","4","","1","7","","","7027",""
"0","top_luis_sit_idle","top_luis_sit_in","3","","1","7","1","0","7028","0.2"
"","","0","93","","0.1","7","","","7029",""
"-140","0.4","-57","2","","1","7","0","","7030",""
"","","0","93","","0.4","7","","","7031",""
"-140","0","-16","2","","1","7","0","","7032",""
"","","0","4","","1","7","","","7033",""
"","","0","93","","0.6","7","","","7034",""
"0","","top_luis_experiment_success_in","3","","1","7","","","7035","0.2"
"","","0","93","","2.3","7","","","7036",""
"0","","top_luis_experiment_success_mix","3","","1","7","","","7037","0.1"
"","","0","93","","2.7","7","","","7038",""
"0","top_sono_notice_loop_dere","top_sono_notice_in_dere","3","","3","7","1","0","7039","0.2"
"1","","top_iroha_read_look_light","3","","2","7","","","7040","0.2"
"","","1","32","","14","7","","","7041",""
"0","","top_luis_experiment_success_burst","3","","1","7","","","7042","0.1"
"","","0","93","","2.7","7","","","7043",""
"1","","top_sono_readPaper_loop","3","","3","7","","","7044","0.2"
"1","","top_iroha_read","3","","2","7","","","7045","0.2"
"0","","top_luis_experiment_success_out","3","","1","7","","","7046","0.1"
"","","0","93","","1.1","7","","","7047",""
"0","idle_normal","top_luis_sit_out","3","","1","7","1","0","7048","0.2"
"","","1","4","","1","7","","","7049",""
"-140","0","-57","2","","1","7","0","","7050",""
"-130","0.3","-100","2","","1","7","0","","7051",""
"","","0","93","","1","7","","","7052",""
"0","","walk_normal","3","","1","7","","","7053","0.2"
"-103","1","-216","2","","1","7","0","","7054",""
"","","0","93","","1","7","","","7055",""
"0","","idle_normal","3","","1","7","","","7056","0.1"
"","","0","93","","0.8","7","","","7057",""
"","","0","32","","14","7","","","7058",""
"1","","top_luis_thinking","3","","1","7","","","7059","0.2"
"","","0","93","","5.1","7","","","7060",""
"","","1","4","","11","7","","","7061",""
"130","7","-980","2","","11","7","0","","7062",""
"","","0","93","","2.5","7","","","7063",""
"0","","top_iroha_read_notice","3","","2","7","","","7064","0.2"
"","","0","93","","0.6","7","","","7065",""
"0","top_iroha_run","top_iroha_notice_to_run","3","","2","7","1","0","7066","0"
"","","0","93","","0.4","7","","","7067",""
"","","1","32","","11","7","","","7068",""
"","","smokeR","37","","11","7","","","7069",""
"-130","4.2","-980","33","","11","7","0","","7070",""
"-130","4.2","-980","2","","2","7","0","","7071",""
"","","0","93","","0.2","7","","","7072",""
"0","top_sono_notice_loop_surprise","top_sono_notice_in_surprise","3","","3","7","1","0","7073","0.2"
"","","0","93","","1.7","7","","","7074",""
"0","top_luis_surprise_idle","top_luis_surprise_in","3","","1","7","1","0","7075","0.2"
"","","0","93","","2.5","7","","","7076",""
"","","0","32","","11","7","","","7077",""
"","","0","93","","1","7","","","7078",""
"","","0","4","","11","7","","","7079",""
"130","7","980","2","","11","7","0","","7080",""
"","","0","93","","1.5","7","","","7081",""
"","","1","32","","11","7","","","7082",""
"","","smokeL","37","","11","7","","","7083",""
"-130","5.964","980","33","","11","7","0","","7084",""
"1","","top_iroha_run_joy","3","","2","7","","","7085","0"
"","","0","4","","2","7","","","7086",""
"-130","5.964","980","2","","2","7","0","","7087",""
"","","0","93","","2.2","7","","","7088",""
"1","","top_luis_surprise_look","3","","1","7","","","7089","0"
"","","0","93","","1.8","7","","","7090",""
"1","","top_sono_notice_loop_look","3","","3","7","","","7091","0"
"","","0","93","","1.964","7","","","7092",""
"","","0","32","","11","7","","","7093",""
"","","0","93","","0.5","7","","","7094",""
"1","","top_luis_thinking","3","","1","7","","","7095","0.2"
"","","0","93","","1.5","7","","","7096",""
"1","","top_iroha_walk","3","","2","7","","","7097","0"
"","","1","4","","2","7","","","7098",""
"-130","0","1032","2","","2","7","0","","7099",""
"-130","0","1032","33","","11","7","0","","7100",""
"-130","3","452","2","","2","7","0","","7101",""
"-130","3","452","33","","11","7","0","","7102",""
"","","0","93","","3","7","","","7103",""
"0","idle_normal","top_iroha_walk_out","3","","2","7","1","0","7104","0.2"
"","","0","93","","0.4","7","","","7105",""
"0","top_iroha_read_loop","top_iroha_sit_in","3","","2","7","1","0.2","7106","0.2"
"1","","top_sono_readPaper","3","","3","7","","","7107","0.2"
"","","0","93","","4","7","","","7108",""
"","","0","93","","9.6","7","","","7109",""
"0","top_sono_stretch","top_sono_sit_out","3","","3","7","1","0","7110","0.2"
"-130","0.3","287","2","","3","7","0","","7111",""
"","","0","93","","3.5","7","","","7112",""
"1","","top_sono_drink","3","","3","7","","","7113","0.2"
"","","0","93","","2.6","7","","","7114",""
"0","","top_iroha_read_look","3","","2","7","","","7115","0.4"
"","","0","93","","3.5","7","","","7116",""
"1","","top_luis_thinking_look","3","","1","7","","","7117","0.2"
"","","0","93","","2.9","7","","","7118",""
"1","","top_luis_thinking","3","","1","7","","","7119","0.2"
"","","0","93","","1.5","7","","","7120",""
"0","","top_sono_sit_in","3","","3","7","","","7121","0.2"
"","","0","93","","0.1","7","","","7122",""
"1","","top_iroha_read_loop","3","","2","7","","","7123","0.2"
"-130","0.3","350","2","","3","7","0","","7124",""
"","","0","93","","2.5","7","","","7125",""
"1","","top_sono_readPaper_loop","3","","3","7","","","7126","0.2"
"","","0","93","","1","7","","","7127",""
"","","","101","","7012","7","","","7128",""
"101","-16","1","5","fantasize_all","1","8","-140","0","8001","1.4"
"100","980","3","5","empty","3","8","-130","1","8002","1.38"
"102","-16","15","5","fantasize_all","15","8","-140","0","8003","1"
"27","-140","11","31","","11","8","1","","8004","0"
"0","0","15","31","","15","8","1","","8005","0"
"","","0","91","","0","8","","","8006",""
"0","fantasize_3","fantasize_all","3","","1","8","1","0","8007","0.2"
"0","fantasize_3","fantasize_all","3","","15","8","1","0","8008","0.2"
"","","0","93","","2","8","","","8009",""
"0","","se_alces_fantasy1","23","","se_alces","8","","","8010",""
"","","0","93","","10","8","","","8011",""
"1","","walk","3","","3","8","","","8012","0.2"
"-130","3","350","2","","3","8","0","","8013",""
"","","0","93","","3","8","","","8014",""
"0","","sono_notice_in_anger2","3","","3","8","","","8015","0.2"
"","","0","93","","1.5","8","","","8016",""
"0","idle_normal","kohon","3","","3","8","1","0","8017","0.2"
"","","0","93","","0.6","8","","","8018",""
"0","","se_alces_fantasy2","23","","se_alces","8","","","8019",""
"0","","fantasize_out","3","","15","8","","","8020","0"
"","","1","32","","15","8","","","8021",""
"0","","fantasize_3_surprise","3","","1","8","","","8022","0.2"
"","","0","93","","1.5","8","","","8023",""
"0","","fantasize_sit_out","3","","1","8","","","8024","0.2"
"-140","0.3","27","2","","1","8","0","","8025",""
"","","0","93","","0.8","8","","","8026",""
"0","fantasize_armcrossed_idle","fantasize_armcrossed_in","3","","1","8","1","0","8027","0.2"
"","","0","93","","0.5","8","","","8028",""
"1","","idle_surprise","3","","3","8","","","8029","0.2"
"","","0","93","","1.5","8","","","8030",""
"0","","se_alces_run","23","","se_alces","8","","","8031",""
"1","","fantasize_run","3","","1","8","","","8032","0"
"-140","1.5","1080","2","","1","8","0","","8033",""
"","","1","32","","11","8","","","8034",""
"-140","1.5","1080","33","","11","8","0","","8035",""
"","","0","93","","0.5","8","","","8036",""
"0","lookback_idle","lookback_in","3","","3","8","1","0","8037","0.2"
"","","0","93","","1.8","8","","","8038",""
"0","","se_alces_sweat","23","","se_alces","8","","","8039",""
"101","560","1","5","walk_jog_Ex3_shy","1","9","-140","1","9001","1.4"
"100","147","2","5","empty","1","9","-114","1","9002","1.4"
"147","-114","16","31","","16","9","1","","9003","0"
"147","-114","17","31","","17","9","1","","9004","0"
"","","0","91","","0","9","","","9005",""
"1","","walk_jog_Ex3_shy","3","","1","9","","","9006","0.2"
"-140","1.2","270","2","","1","9","0","","9007",""
"","","0","93","","1.2","9","","","9008",""
"1","","idle_normal_Ex0003_shy","3","","1","9","","","9009","0.2"
"","","0","93","","0.3","9","","","9010",""
"0","","lookAround","3","","1","9","","","9011","0.2"
"","","0","93","","2.7","9","","","9012",""
"1","","walk_jog_anger_shy","3","","1","9","","","9013","0.2"
"-114","0.7","147","2","","1","9","0","","9014",""
"","","0","93","","0.7","9","","","9015",""
"0","crouch_search_read_idle","crouch_search_read_F","3","","1","9","1","0","9016","0"
"0","","crouch_search_read_B","3","","2","9","","","9017","0"
"","","0","93","","0.9","9","","","9018",""
"0","","se_alces_book_take","23","","se_alces","9","","","9019",""
"","","0","93","","5.2","9","","","9020",""
"0","","se_alces_book_open","23","","se_alces","9","","","9021",""
"","","0","93","","0.5","9","","","9022",""
"0","","se_alces_steam","23","","se_alces","9","","","9023",""
"","","1","32","","17","9","","","9024",""
"","","0","93","","6.2","9","","","9025",""
"","","1","32","","16","9","","","9026",""
"100","400","2","5","iroha_sleep","2","10","-130","0","10001","1.4"
"101","400","12","5","iroha_sleep","12","10","-130","0","10002","1.4"
