3ef29d8f9bea76e814ad26b9d42762c72026d0af5917a180432a8519fbfedc6c,e1635fb62300252ec8e1d64e6160c313be3333b52fc3f2d1149b2a8ced46e8f2,7b74bfacbfee6c6ba78d46ca530f3a3bccb2db5c3201cb7f80a6e8cb29cf63a0,e3c1793bcfce81b6f9963e39e8f883a9f2892c076f8a984563a8aed22c48017a,4e2df5ebb1d3449139f0983dd4086573d42e217331f4bfce68f726487e15b992,ca607dc44ee7f9e10197fc71297f14f8ac1543bbce66ca36db2513f2e1321336,67f40423daa261a14b13b404a50b514127999328aecbf093093469d96b8c3a98,466a1f6a15c37d4382b07bcdf34248969351d996e575cbc2c019390d5f5890a2,0eb60a19fb6c22095ee3eccf51b82da647a32460e0177c4eaafff4bf6c286ab4,d91fdb61592426295d9665ead064a71b5d86e09852e759cd028a504332d1d47f,e1da4a14c25ad5f89a8a079b145708bededeec7e1fa18fbf1e800e22f1464bab,d65b6e2faf492a1674053baaa8b36af52767b11b3c29438453e8d4eb5559899b
"【ルーセント学院】のキャラから3人選んで仲間にできる。","14","0","0","1","13000014","99999999","0","【ルーセント学院】のセレクトサイン","0","1","3"
"","0","0","0","2","21000000","99999999","0","バトル報酬ランダムサイン","0","0","1"
"全対象のキャラからランダムに1人仲間にできる。","0","0","0","3","31000000","99999999","0","全対象のランダムサイン","0","0","1"
"プリンセスフェスのキャラからランダムに1人仲間にできる。","0","999","0","3","31000999","1800","0","プリンセスフェスのランダムサイン","0","0","1"
"アタッカーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31001000","1200","1","アタッカーロールのランダムサイン","0","0","1"
"ブレイカーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31002000","1200","2","ブレイカーロールのランダムサイン","0","0","1"
"バッファーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31003000","1200","3","バッファーロールのランダムサイン","0","0","1"
"デバッファーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31004000","1200","4","デバッファーロールのランダムサイン","0","0","1"
"ブースターロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31005000","1200","5","ブースターロールのランダムサイン","0","0","1"
"ヒーラーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31006000","1200","6","ヒーラーロールのランダムサイン","0","0","1"
"タンクロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31007000","1200","7","タンクロールのランダムサイン","0","0","1"
"ジャマーロールのキャラからランダムに1人仲間にできる。","0","0","0","3","31008000","1200","8","ジャマーロールのランダムサイン","0","0","1"
"ラビリスタを仲間にできる。","0","40005","0","3","31040005","99999999","0","ラビリスタサイン","0","0","1"
"ジュンを仲間にできる。","0","40006","0","3","31040006","99999999","0","ジュンサイン","0","0","1"
"ミソギ＆ミミ＆キョウカを仲間にできる。","0","40011","0","3","31040011","99999999","0","ミソギ＆ミミ＆キョウカサイン","0","0","1"
"火属性のキャラからランダムに1人仲間にできる。","0","0","1","3","31100000","1200","0","火属性のランダムサイン","0","0","1"
"水属性のキャラからランダムに1人仲間にできる。","0","0","2","3","31200000","1200","0","水属性のランダムサイン","0","0","1"
"風属性のキャラからランダムに1人仲間にできる。","0","0","3","3","31300000","1200","0","風属性のランダムサイン","0","0","1"
"光属性のキャラからランダムに1人仲間にできる。","0","0","4","3","31400000","1200","0","光属性のランダムサイン","0","0","1"
"闇属性のキャラからランダムに1人仲間にできる。","0","0","5","3","31500000","1200","0","闇属性のランダムサイン","0","0","1"
