c247ef13c34c4f3f2a688c7708e206fccc3835caf260cf9e0cc4942c77606a33,9b929db5ad834a82dc87f63c5687e1122dd32867c2fe3ff8ca104db9079abd5b,3c64ff1672e511be8a9dba4c3a35ff33d7e4f9ee58e2385da5a75478a074ce28,e74a759226c0fc6881af9e1e042433ffcd91da6ca5d2990e9b85f599a9fa853e,b78e42e3ac8af785aa215ec809968efdcdcff8b610aa7f928e64e6b79b5cb300,a39337ddc227f0a50ccfb0ccb3d71052590b77387091e1a5e1fa396d32ea188e
"105","300401","0","803100260","102","2146011"
"105","300402","0","803100260","102","2146012"
"202","300403","1","803100260","113","2146013"
"203","300404","1","803100260","114","2146014"
"105","300405","0","803100260","102","2146015"
"202","300406","1","803100260","113","2146016"
"203","300407","1","803100260","114","2146017"
"105","300408","0","803100260","102","2146018"
"105","300409","0","803100260","102","2146019"
"105","300410","0","803100260","102","2146020"
"105","300411","0","803100261","102","2146021"
"202","300412","1","803100261","113","2146022"
"203","300413","1","803100261","114","2146023"
"105","300414","0","803100261","102","2146024"
"202","300415","1","803100261","113","2146025"
"203","300416","1","803100261","114","2146026"
"105","300417","0","803100261","102","2146027"
"105","300418","0","803100261","102","2146028"
"202","300419","1","803100261","113","2146029"
"202","300420","1","803100261","113","2146030"
"202","300421","1","803100262","113","2146031"
"203","300422","1","803100262","114","2146032"
"105","300423","0","803100262","102","2146033"
"208","300424","1","803100262","112","2146034"
"212","300425","1","803100262","110","2146035"
"202","300426","1","803100262","113","2146036"
"202","300427","1","803100262","113","2146037"
"105","300428","0","803100262","102","2146038"
"104","300501","0","803100264","100","2146051"
"104","300502","0","803100264","100","2146052"
"104","300503","0","803100264","100","2146053"
"104","300504","0","803100264","100","2146054"
"105","300505","0","803100264","102","2146055"
"106","300506","0","803100264","103","2146056"
"104","300507","0","803100264","100","2146057"
"104","300508","0","803100264","100","2146058"
"105","300509","0","803100264","102","2146059"
"106","300510","0","803100264","103","2146060"
"104","300511","0","803100265","100","2146061"
"104","300512","0","803100265","100","2146062"
"104","300513","0","803100265","100","2146063"
"104","300514","0","803100265","100","2146064"
"105","300515","0","803100265","102","2146065"
"106","300516","0","803100265","103","2146066"
"104","300517","0","803100265","100","2146067"
"104","300518","0","803100265","100","2146068"
"105","300519","0","803100265","102","2146069"
"106","300520","0","803100265","103","2146070"
"104","300521","0","803100266","100","2146071"
"104","300522","0","803100266","100","2146072"
"202","300523","1","803100266","113","2146073"
"203","300524","1","803100266","114","2146074"
"104","300525","0","803100266","100","2146075"
"208","300526","1","803100266","112","2146076"
"212","300527","1","803100266","110","2146077"
"202","300528","1","803100266","113","2146078"
"203","300529","1","803100266","114","2146079"
"104","300530","0","803100266","100","2146080"
"203","300601","1","803100268","114","2146091"
"202","300602","1","803100268","113","2146092"
"105","300603","0","803100268","102","2146093"
"203","300604","1","803100268","114","2146094"
"106","300605","0","803100268","103","2146095"
"203","300606","1","803100268","114","2146096"
"204","300607","1","803100268","111","2146097"
"203","300608","1","803100268","114","2146098"
"202","300609","1","803100268","113","2146099"
"105","300610","0","803100268","102","2146100"
"203","300611","1","803100269","114","2147011"
"106","300612","0","803100269","103","2147012"
"203","300613","1","803100269","114","2147013"
"204","300614","1","803100269","111","2147014"
"212","300615","1","803100269","110","2147015"
"203","300616","1","803100269","114","2147016"
"105","300617","0","803100269","102","2147017"
"106","300618","0","803100269","103","2147018"
"204","300701","1","803100270","111","2147021"
"104","300702","0","803100270","100","2147022"
"107","300703","0","803100270","101","2147023"
"202","300704","1","803100270","113","2147024"
"203","300705","1","803100270","114","2147025"
"105","300706","0","803100270","102","2147026"
"205","300707","1","803100270","112","2147027"
"204","300708","1","803100270","111","2147028"
"104","300709","0","803100270","100","2147029"
"107","300710","0","803100270","101","2147030"
"202","300711","1","803100271","113","2147031"
"203","300712","1","803100271","114","2147032"
"105","300713","0","803100271","102","2147033"
"205","300714","1","803100271","112","2147034"
"110","300715","0","803100271","107","2147035"
"204","300716","1","803100271","111","2147036"
"104","300717","0","803100271","100","2147037"
"107","300718","0","803100271","101","2147038"
