13a7bf96099a74687a72ffcb3c35699694c9796f44a0a5822aa85f87a10b5d81,619afc2b3a388ec4cfba05bad6a53b61cd6cd1cd7ffb6c6c79b76dca5f8903ff,92f5d2d812cd24dffd834b5fb2782037973644be7f44ad14ddd778557139e7dd,ba5dc381e1686f9acf7960f74347c5dd9f3c226aea9c1951f93b7afd5d6db5c8,1dacc82360f904d2674aac118d128ec87a11e2e54a091141abaa6dadc42d8dd8,3f1c183d3763f5b133de707e57eb7dbabec6d6448e21b188177fa8be07d5a5ea,c944b0f2a716bb144bde0cd7bbc58b0dc175cac87a0d2c40dbd6b67aeda6c915,f796f7b332b4e34e6ab1d089cc1baa53a53be137d9f792c2054eceb92771b8d8
"1","0","1","【料理】ダイスが2個に増える","0","52015","1","21"
"1","0","1","【料理】次回移動時に1マス分多く進める","0","52015","1","22"
"1","0","1","【料理】ダイスの目が必ず「6」になる","0","52016","1","23"
"9","0","1","【料理】移動系カテゴリーの料理が食べられなくなる","0","52017","1","24"
"1","0","1","【料理】ダイスの目が必ず「3」になる","0","52018","1","25"
"1","0","1","【料理】ダイスの目が必ず「8」になる","0","52019","1","26"
"2","0","3","【イベント】次のターン数のカウントをスキップする","0","98011","2","27"
"2","0","3","【イベント】次のターン数のカウントをスキップする","0","98012","2","28"
"10","0","2","【料理】移動時にマイルマスをスキップできる","0","52020","1","29"
"1","2","1","【料理】次回移動時に1マス分多く進める","2","52020","1","30"
"10","0","2","【料理】移動時にトレジャーマスをスキップできる","0","52021","1","31"
"1","0","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","0","52022","1","32"
"1","0","1","【料理】ダイスの目が1回目は必ず「6」に、2回目は必ず「3」になる","0","52023","1","33"
"1","0","1","【料理】次回移動時に3マス分多く進める","0","52024","1","34"
"10","0","2","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","0","52025","1","35"
"1","0","1","【料理】ダイスの目が必ず「5」になる","0","52027","1","36"
"1","0","1","【料理】ダイスの目が\n「1・2」のみになる","0","52028","1","37"
"1","0","1","【料理】ダイスの目が必ず「2」になる","0","52029","1","38"
"2","0","3","【料理】次のターン数のカウントをスキップする","0","52029","1","39"
"4","0","3","【イベント】マイルショップの全商品が20%以上割引される","0","8","2","40"
"11","0","3","【料理】「マイルマス」を「トレジャーマス」に変化させる","0","52030","1","41"
"99","0","1","最大ｎマイルを入手する","0","1","3","1001"
"99","0","1","ダイスを1回振りなおせる","0","2","3","1002"
"99","0","1","ダイスを1回振りなおせる_有効ターン2","0","3","3","1003"
"126501","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","1001","3","11001"
"105301","0","1","【仲間】最大1000マイルを入手する","0","1002","3","11002"
"126401","0","1","【仲間】料理を1つ入手する","0","1003","3","11003"
"100501","0","1","【仲間】ダイスの目を1回振りなおせる","0","1004","3","11004"
"101301","0","1","【仲間】ダイスの目を2回振りなおせる","0","1005","3","11005"
"104301","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","1006","3","11006"
"102701","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","1007","3","11007"
"100901","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","1008","3","11008"
"105101","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","1009","3","11009"
"101801","0","1","【仲間】最大1000マイルを入手する","0","1010","3","11010"
"129701","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","1011","3","11011"
"101601","0","1","【仲間】ダイスの目を1回振りなおせる","0","1012","3","11012"
"105601","0","1","【仲間】ダイスの目を2回振りなおせる","0","1013","3","11013"
"102001","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","1014","3","11014"
"129601","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","1015","3","11015"
"100401","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","1016","3","11016"
"127701","0","1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","1017","3","11017"
"127801","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","1018","3","11018"
"104801","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","1019","3","11019"
"104701","0","1","【仲間】ダイスの目を2回振りなおせる","0","1020","3","11020"
"105001","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","1021","3","11021"
"103201","0","1","【仲間】最大2000マイルを入手する","0","1022","3","11022"
"130901","0","1","【仲間】福引券を1枚入手する","0","1023","3","11023"
"102501","0","1","【仲間】料理を1つ入手する","0","1024","3","11024"
"100801","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","1025","3","11025"
"123301","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","1026","3","11026"
"104601","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","1027","3","11027"
"118101","0","1","【仲間】ダイスの目を2回振りなおせる","0","1028","3","11028"
"103401","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","1029","3","11029"
"118001","0","1","【仲間】最大2000マイルを入手する","0","1030","3","11030"
"102801","0","1","【仲間】福引券を1枚入手する","0","1031","3","11031"
"100201","0","1","【仲間】料理を1つ入手する","0","1032","3","11032"
