f0434b1b17e6446f4b5ca96d6555f33ab0bccd9cdda787b25ee94d30a68260b7,2f2f2c9e5ab0d48df50180ddae068df939daca811538bee65ff3727231582a4b,6896641cef07269e9cf8976fec0d2309c1e743e8b814e14e0c6c13694b39c588,cb07b73915249d44d66efbf0932d3ee6d7adb8cae18b1b5d42669a61fc9570e9,13b93627cba98525bfb6b5a214fb2972235cfeb43997848917c3fa80439801e5,cbeb33ff9fb2d8ae0416e502a30f64e845f5724733450e818b222deccfaa7956,8689ec3f071822bf8f2f7a942b8328ddf427f6332e8fadd59599d4cd18da0230,e487c2186888bfe002306fcc851df640d5ea5375dd29b42655dd694ccbf01c1a,2528aba933ba5ac943c38d75d37f0d44b0cc843dd9df4cc354f8550fcd4a018e,4d89faa1260325b301e8f357b5588311267864f8438364c7478ad963a30b1eeb,6d8c94af9b9dfea90a586bb967d36d76590b6dc5070299ee248156c615225237,02fc451819480b7e823452813f784b3f3567c84361fa2728c3c3bb5669982b98,de00edf0160bba29045f9ea0fa8d949967e442e38b9bafbdaea91c4a883c3deb,9acd6c345cfde436448309a0ed9b0b2ed91f48e8592fbd2714b97d05d1cf04c0
"2","1108","211","240","1","1","1","1","1","31","1","5","-1","240"
"2","1109","241","270","1","1","1","1","1","31","1","5","-1","270"
"2","1110","271","300","1","1","1","1","1","31","1","5","-1","300"
"2","1111","301","310","1","1","1","1","1","31","1","5","-1","-1"
"3","1201","4","-1","1","1","1","1","1","7","1","5","-1","30"
"3","1202","31","-1","1","1","1","1","1","11","1","5","-1","60"
"3","1203","61","-1","1","1","1","1","1","15","1","5","-1","90"
"3","1204","91","-1","1","1","1","1","1","19","1","5","-1","120"
"3","1205","121","-1","1","1","1","1","1","23","1","5","-1","150"
"3","1206","151","-1","1","1","1","1","1","27","1","5","-1","180"
"3","1207","181","-1","1","1","1","1","1","29","1","5","-1","210"
"3","1208","211","-1","1","1","1","1","1","31","1","5","-1","240"
"3","1209","241","-1","1","1","1","1","1","31","1","5","-1","270"
"3","1210","271","-1","1","1","1","1","1","31","1","5","-1","300"
"3","1211","301","-1","1","1","1","1","1","31","1","5","-1","-1"
"4","1301","4","30","1","1","1","1","1","7","1","5","-1","30"
"4","1302","31","60","1","1","1","1","1","10","1","5","-1","60"
"4","1303","61","90","1","1","1","1","1","13","1","5","-1","90"
"4","1304","91","120","1","1","1","1","1","16","1","5","-1","120"
"4","1305","121","150","1","1","1","1","1","19","1","5","-1","150"
"4","1306","151","180","1","1","1","1","1","22","1","5","-1","180"
"4","1307","181","210","1","1","1","1","1","25","1","5","-1","210"
"4","1308","211","240","1","1","1","1","1","28","1","5","-1","240"
"4","1309","241","270","1","1","1","1","1","28","1","5","-1","270"
"4","1310","271","300","1","1","1","1","1","28","1","5","-1","300"
"4","1311","301","310","1","1","1","1","1","28","1","5","-1","-1"
"5","1401","4","-1","1","1","1","1","1","7","1","5","-1","30"
"5","1402","31","-1","1","1","1","1","1","10","1","5","-1","60"
"5","1403","61","-1","1","1","1","1","1","13","1","5","-1","90"
"5","1404","91","-1","1","1","1","1","1","16","1","5","-1","120"
"5","1405","121","-1","1","1","1","1","1","19","1","5","-1","150"
"5","1406","151","-1","1","1","1","1","1","22","1","5","-1","180"
"5","1407","181","-1","1","1","1","1","1","25","1","5","-1","210"
"5","1408","211","-1","1","1","1","1","1","28","1","5","-1","240"
"5","1409","241","-1","1","1","1","1","1","28","1","5","-1","270"
"5","1410","271","-1","1","1","1","1","1","28","1","5","-1","300"
"5","1411","301","-1","1","1","1","1","1","28","1","5","-1","-1"
"6","1501","4","-1","1","1","1","1","1","7","1","3","-1","30"
"6","1502","31","-1","1","1","1","1","1","10","1","3","-1","60"
"6","1503","61","-1","1","1","1","1","1","13","1","3","-1","90"
"6","1504","91","-1","1","1","1","1","1","16","1","3","-1","120"
"6","1505","121","-1","1","1","1","1","1","19","1","3","-1","150"
"6","1506","151","-1","1","1","1","1","1","22","1","3","-1","180"
"6","1507","181","-1","1","1","1","1","1","22","1","3","-1","210"
"6","1508","211","-1","1","1","1","1","1","22","1","3","-1","240"
"6","1509","241","-1","1","1","1","1","1","22","1","3","-1","270"
"6","1510","271","-1","1","1","1","1","1","22","1","3","-1","-1"
"7","1601","4","30","1","1","1","1","1","7","1","6","5","30"
"7","1602","31","60","1","1","1","1","1","11","1","6","5","60"
"7","1603","61","90","1","1","1","1","1","15","1","6","5","90"
"7","1604","91","120","1","1","1","1","1","19","1","6","5","120"
"7","1605","121","150","1","1","1","1","1","23","1","6","5","150"
"7","1606","151","180","1","1","1","1","1","27","1","6","5","180"
"7","1607","181","210","1","1","1","1","1","29","1","6","5","210"
"7","1608","211","240","1","1","1","1","1","31","1","6","5","240"
"7","1609","241","270","1","1","1","1","1","31","1","6","5","270"
"7","1610","271","300","1","1","1","1","1","31","1","6","5","300"
"7","1611","301","310","1","1","1","1","1","31","1","6","5","-1"
"8","1701","4","30","1","1","1","1","1","7","1","5","5","30"
"8","1702","31","60","1","1","1","1","1","11","1","5","5","60"
"8","1703","61","90","1","1","1","1","1","15","1","5","5","90"
"8","1704","91","120","1","1","1","1","1","19","1","5","5","120"
"8","1705","121","150","1","1","1","1","1","23","1","5","5","150"
"8","1706","151","180","1","1","1","1","1","27","1","5","5","180"
"8","1707","181","210","1","1","1","1","1","29","1","5","5","210"
"8","1708","211","240","1","1","1","1","1","31","1","5","5","240"
"8","1709","241","270","1","1","1","1","1","31","1","5","5","270"
"8","1710","271","300","1","1","1","1","1","31","1","5","5","300"
"8","1711","301","310","1","1","1","1","1","31","1","5","5","-1"
