7550b221b3cb4081e312063702d30558508d216b4e12f19f19b982e5484642ec,8c96d38a70e246bc24da85ae0af168df9eebdc2d5f47c5234871b1f87aef3901,4340b2c46fa6458d5007102b30b5aba94466db23df9dc47f4ea7321b9e372fe4,6523e5f7c3f72b637dda540d14bc0f42b90e32fbdd5f39c29d5849b9eafd94d6,b36fe2f81c0f02d93e4166db2785f346ecf5b9bdcdc1f61385a9a7cb57b1ab0e
"31093","9109301","2","10","60"
"31071","9107101","2","10","61"
"31110","9111001","2","10","62"
"31046","9104601","2","10","63"
"31033","9103301","2","10","64"
"31051","9105101","2","10","65"
"31057","9105701","2","10","66"
"31032","9103201","2","10","67"
"31052","9105201","2","10","68"
"31034","9103401","2","10","69"
"31070","9107001","2","10","70"
"31058","9105802","2","10","71"
"31020","9102002","2","10","72"
"31002","9100202","2","10","73"
"31055","9105502","2","10","74"
"31016","9101602","2","10","75"
"31044","9104402","2","10","77"
"31023","9102302","2","10","78"
"31059","9105902","2","10","79"
"31042","9104202","2","10","80"
"31040","9104002","2","10","81"
"31021","9102102","2","10","82"
"31063","9106302","2","10","83"
"31065","9106502","2","10","84"
"31009","9100902","2","10","85"
"31017","9101702","2","10","86"
"31056","9105602","2","10","87"
"31068","9106802","2","10","88"
"31053","9105302","2","10","89"
"31027","9102702","2","10","90"
"31108","9110802","2","10","91"
"31043","9104302","2","10","92"
"31004","9100402","2","10","94"
"31037","9103702","2","10","95"
"31061","9106102","2","10","96"
"31018","9101802","2","10","97"
"31013","9101302","2","10","98"
"31011","9101102","2","10","99"
"31001","9100102","2","10","100"
"31030","9103002","2","10","101"
"31060","9106002","2","10","102"
"31015","9101502","2","10","103"
"31054","9105402","2","10","104"
"31109","9110902","2","10","105"
"31180","9118002","2","10","106"
"31010","9101002","2","10","107"
"31066","9106602","2","10","108"
"31028","9102802","2","10","109"
"31008","9100802","2","10","110"
"31049","9104902","2","10","111"
"31047","9104702","2","10","112"
"31014","9101402","2","10","113"
"31094","9109402","2","10","114"
"31038","9103802","2","10","115"
"31048","9104802","2","10","116"
"31045","9104502","2","10","117"
"31022","9100602","2","10","118"
"31006","9100602","2","10","119"
"31005","9100502","2","10","120"
"31092","9109202","2","10","122"
"31025","9102502","2","10","123"
"31031","9103102","2","10","124"
"31012","9101202","2","10","125"
"31026","9102602","2","10","126"
"31050","9105002","2","10","127"
"31003","9100302","2","10","128"
"31007","9100702","2","10","129"
"31029","9102902","2","10","130"
"31036","9103602","2","10","131"
"31093","9109302","2","10","132"
"31071","9107102","2","10","133"
"31110","9111002","2","10","134"
"31046","9104602","2","10","135"
"31033","9103302","2","10","136"
"31051","9105102","2","10","137"
"31057","9105702","2","10","138"
"31032","9103202","2","10","139"
"31052","9105202","2","10","140"
"31034","9103402","2","10","141"
"31070","9107002","2","10","142"
"31058","9105803","2","10","143"
"31020","9102003","2","10","144"
"31002","9100203","2","10","145"
"31055","9105503","2","10","146"
"31016","9101603","2","10","147"
"31067","9106703","2","10","148"
"31044","9104403","2","10","149"
"31023","9102303","2","10","150"
"31059","9105903","2","10","151"
"31042","9104203","2","10","152"
"31040","9104003","2","10","153"
"31021","9102103","2","10","154"
"31063","9106303","2","10","155"
"31065","9106503","2","10","156"
"31009","9100903","2","10","157"
"31017","9101703","2","10","158"
"31056","9105603","2","10","159"
"31068","9106803","2","10","160"
"31053","9105303","2","10","161"
"31027","9102703","2","10","162"
"31108","9110803","2","10","163"
"31043","9104303","2","10","164"
"31004","9100403","2","10","165"
"31037","9103703","2","10","166"
"31061","9106103","2","10","167"
"31018","9101803","2","10","168"
"31013","9101303","2","10","169"
"31011","9101103","2","10","170"
"31001","9100103","2","10","171"
"31030","9103003","2","10","172"
"31060","9106003","2","10","173"
"31015","9101503","2","10","174"
"31054","9105403","2","10","175"
"31185","9118503","2","10","176"
"31109","9110903","2","10","177"
"31180","9118003","2","10","178"
"31010","9101003","2","10","179"
"31066","9106603","2","10","180"
"31028","9102803","2","10","181"
"31008","9100803","2","10","182"
"31049","9104903","2","10","183"
"31047","9104703","2","10","184"
"31038","9103803","2","10","185"
"31014","9101403","2","10","186"
"31094","9109403","2","10","187"
"31048","9104803","2","10","188"
"31045","9104503","2","10","189"
"31022","9100603","2","10","190"
"31006","9100603","2","10","191"
"31005","9100503","2","10","192"
"31092","9109203","2","10","193"
"31025","9102503","2","10","194"
"31064","9106403","2","10","195"
"31031","9103103","2","10","196"
"31012","9101203","2","10","197"
"31181","9118103","2","10","198"
"31026","9102603","2","10","199"
"31050","9105003","2","10","200"
"31003","9100303","2","10","201"
"31007","9100703","2","10","202"
"31029","9102903","2","10","203"
"31036","9103603","2","10","204"
"31093","9109303","2","10","205"
"31071","9107103","2","10","206"
"31230","9123003","2","10","207"
"31110","9111003","2","10","208"
"31046","9104603","2","10","209"
"31033","9103303","2","10","210"
"31051","9105103","2","10","211"
"31057","9105703","2","10","212"
"31032","9103203","2","10","213"
"31052","9105203","2","10","214"
"31034","9103403","2","10","215"
"31070","9107003","2","10","216"
