7d7b06e1d4b8914f3178364d2390ed96c53eb0042feb3f08852f8fb48b717cf9,4a002ee603fb602207ca87609100e4bb050ce4c30769fadd5f8fd25aa5c0c14a,9566e690587ab93e214fa0d8620a7fcca524f802728ceba8b361bd6311c58005,8760bf90b7f357067e68ac676b7ee03618e43926dc8de06d5bfc154ad25a50e8,b2a88bbcb437b3544701bee42de1c991db789538f66a25e4801bc826d03e6b70,21613d9c309bdf39d1428cbe2badd791a4899c1acbe4e14d4b81aa5d3848b81d
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","123001","2025/01/31 12:00:00","10201551","3002","10201027"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","123001","2025/01/31 12:00:00","10201551","3004","10201028"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","106901","2025/01/31 12:00:00","10201551","3011","10201029"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","106901","2025/01/31 12:00:00","10201551","3011","10201030"
"バトル開始後90秒間物理攻撃力極大\nアップ","107101","2025/01/31 12:00:00","10201551","3001","10201031"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","107101","2025/01/31 12:00:00","10201551","3010","10201032"
"バトル開始後90秒間魔法攻撃力極大\nアップ","107001","2025/01/31 12:00:00","10201551","3003","10201033"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","107001","2025/01/31 12:00:00","10201551","3010","10201034"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","106801","2025/01/31 12:00:00","10201551","3001","10201035"
"バトル開始後味方全体のＴＰ大回復","106801","2025/01/31 12:00:00","10201551","3014","10201036"
"バトル開始後90秒間物理攻撃力極大\nアップ","111501","2025/01/31 12:00:00","10201551","3001","10201037"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","111501","2025/01/31 12:00:00","10201551","3010","10201038"
"バトル開始後90秒間物理攻撃力極大\nアップ","123801","2025/01/31 12:00:00","10201551","3001","10201039"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","123801","2025/01/31 12:00:00","10201551","3010","10201040"
"バトル開始後90秒間物理攻撃力極大\nアップ","133901","2025/02/10 12:00:00","10201551","3001","10201041"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","133901","2025/02/10 12:00:00","10201551","3010","10201042"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","115001","2025/01/31 12:00:00","10201551","3005","10201043"
"バトル開始後味方全体の行動不能\n2回無効","115001","2025/01/31 12:00:00","10201551","3013","10201044"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","126601","2025/01/31 12:00:00","10201551","3003","10201045"
"バトル開始後味方全体のＴＰ大回復","126601","2025/01/31 12:00:00","10201551","3014","10201046"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","133801","2025/02/20 12:00:00","10201551","3010","10201047"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","133801","2025/02/20 12:00:00","10201551","3010","10201048"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","121201","2025/01/31 12:00:00","10201551","3001","10201049"
"バトル開始後味方全体のＴＰ大回復","121201","2025/01/31 12:00:00","10201551","3014","10201050"
"バトル開始後90秒間魔法攻撃力極大\nアップ","133701","2025/01/31 12:00:00","10201551","3003","10201051"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","133701","2025/01/31 12:00:00","10201551","3010","10201052"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","104201","2025/02/28 12:00:00","10202501","3001","10202001"
"バトル開始後味方全体のＴＰ大回復","104201","2025/02/28 12:00:00","10202501","3014","10202002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","118101","2025/02/28 12:00:00","10202501","3011","10202003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","118101","2025/02/28 12:00:00","10202501","3011","10202004"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","108401","2025/02/28 12:00:00","10202501","3001","10202005"
"バトル開始後味方全体のＴＰ大回復","108401","2025/02/28 12:00:00","10202501","3014","10202006"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","117301","2025/02/28 12:00:00","10202501","3005","10202007"
"バトル開始後味方全体の行動不能\n2回無効","117301","2025/02/28 12:00:00","10202501","3013","10202008"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","134401","2025/03/15 12:00:00","10202501","3003","10202009"
"バトル開始後味方全体のＴＰ大回復","134401","2025/03/15 12:00:00","10202501","3014","10202010"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","126901","2025/02/28 12:00:00","10202501","3003","10202011"
"バトル開始後味方全体のＴＰ大回復","126901","2025/02/28 12:00:00","10202501","3014","10202012"
"バトル開始後90秒間魔法攻撃力極大\nアップ","134301","2025/03/03 19:00:00","10202501","3003","10202013"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","134301","2025/03/03 19:00:00","10202501","3010","10202014"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","105901","2025/02/28 12:00:00","10202501","3010","10202015"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","105901","2025/02/28 12:00:00","10202501","3010","10202016"
"バトル開始後90秒間物理攻撃力極大\nアップ","106401","2025/02/28 12:00:00","10202501","3001","10202017"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","106401","2025/02/28 12:00:00","10202501","3010","10202018"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","105401","2025/02/28 12:00:00","10202501","3002","10202019"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","105401","2025/02/28 12:00:00","10202501","3004","10202020"
"バトル開始後90秒間物理攻撃力極大\nアップ","104001","2025/03/31 12:00:00","10203501","3001","10203001"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","104001","2025/03/31 12:00:00","10203501","3010","10203002"
"バトル開始後90秒間物理攻撃力極大\nアップ","126401","2025/03/31 12:00:00","10203501","3001","10203003"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","126401","2025/03/31 12:00:00","10203501","3010","10203004"
"バトル開始後90秒間物理攻撃力極大\nアップ","110701","2025/03/31 12:00:00","10203501","3001","10203005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","110701","2025/03/31 12:00:00","10203501","3010","10203006"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","116701","2025/03/31 12:00:00","10203501","3011","10203007"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","116701","2025/03/31 12:00:00","10203501","3011","10203008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","122101","2025/03/31 12:00:00","10203501","3001","10203009"
"バトル開始後味方全体のＴＰ大回復","122101","2025/03/31 12:00:00","10203501","3014","10203010"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","134601","2025/03/31 12:00:00","10203501","3011","10203011"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","134601","2025/03/31 12:00:00","10203501","3011","10203012"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","134501","2025/04/08 12:00:00","10203501","3003","10203013"
"バトル開始後味方全体のＴＰ大回復","134501","2025/04/08 12:00:00","10203501","3014","10203014"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","127801","2025/03/31 12:00:00","10203501","3003","10203015"
"バトル開始後味方全体のＴＰ大回復","127801","2025/03/31 12:00:00","10203501","3014","10203016"
"バトル開始後90秒間魔法攻撃力極大\nアップ","126501","2025/03/31 12:00:00","10203501","3003","10203017"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","126501","2025/03/31 12:00:00","10203501","3010","10203018"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","134701","2025/04/15 15:00:00","10203501","3001","10203019"
"バトル開始後味方全体のＴＰ大回復","134701","2025/04/15 15:00:00","10203501","3014","10203020"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","132501","2025/05/15 15:00:00","10204501","3011","10204001"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","132501","2025/05/15 15:00:00","10204501","3011","10204002"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","132301","2025/05/03 19:00:00","10204501","3003","10204003"
"バトル開始後味方全体のＴＰ大回復","132301","2025/05/03 19:00:00","10204501","3014","10204004"
"バトル開始後90秒間魔法攻撃力極大\nアップ","100901","2025/04/30 12:00:00","10204501","3003","10204005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","100901","2025/04/30 12:00:00","10204501","3010","10204006"
"バトル開始後90秒間物理攻撃力極大\nアップ","102701","2025/04/30 12:00:00","10204501","3001","10204007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","102701","2025/04/30 12:00:00","10204501","3010","10204008"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","101301","2025/04/30 12:00:00","10204501","3003","10204009"
"バトル開始後味方全体のＴＰ大回復","101301","2025/04/30 12:00:00","10204501","3014","10204010"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","105101","2025/04/30 12:00:00","10204501","3011","10204011"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","105101","2025/04/30 12:00:00","10204501","3011","10204012"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","105601","2025/04/30 12:00:00","10204501","3002","10204013"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","105601","2025/04/30 12:00:00","10204501","3004","10204014"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","134901","2025/06/10 12:00:00","10205501","3011","10205001"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","134901","2025/06/10 12:00:00","10205501","3011","10205002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","105401","2025/05/31 12:00:00","10205501","3011","10205003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","105401","2025/05/31 12:00:00","10205501","3011","10205004"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","113901","2025/05/31 12:00:00","10205501","3002","10205005"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","113901","2025/05/31 12:00:00","10205501","3004","10205006"
"バトル開始後90秒間物理攻撃力極大\nアップ","117401","2025/05/31 12:00:00","10205501","3001","10205007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","117401","2025/05/31 12:00:00","10205501","3010","10205008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","134801","2025/05/31 12:00:00","10205501","3001","10205009"
"バトル開始後味方全体のＴＰ大回復","134801","2025/05/31 12:00:00","10205501","3014","10205010"
"バトル開始後90秒間物理攻撃力極大\nアップ","106501","2025/05/31 12:00:00","10205501","3001","10205011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","106501","2025/05/31 12:00:00","10205501","3010","10205012"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","104501","2025/05/31 12:00:00","10205501","3002","10205013"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","104501","2025/05/31 12:00:00","10205501","3004","10205014"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","129701","2025/05/31 12:00:00","10205501","3005","10205015"
"バトル開始後味方全体の行動不能\n2回無効","129701","2025/05/31 12:00:00","10205501","3013","10205016"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","129001","2025/06/30 12:00:00","10206501","3005","10206001"
"バトル開始後味方全体の行動不能\n2回無効","129001","2025/06/30 12:00:00","10206501","3013","10206002"
"バトル開始後90秒間物理攻撃力極大\nアップ","106401","2025/06/30 12:00:00","10206501","3001","10206003"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","106401","2025/06/30 12:00:00","10206501","3010","10206004"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","126101","2025/06/30 12:00:00","10206501","3011","10206005"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","126101","2025/06/30 12:00:00","10206501","3011","10206006"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","135001","2025/06/30 12:00:00","10206501","3003","10206007"
"バトル開始後味方全体のＴＰ大回復","135001","2025/06/30 12:00:00","10206501","3014","10206008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","120701","2025/06/30 12:00:00","10206501","3001","10206009"
"バトル開始後味方全体のＴＰ大回復","120701","2025/06/30 12:00:00","10206501","3014","10206010"
"バトル開始後90秒間物理攻撃力極大\nアップ","181201","2025/06/30 12:00:00","10206501","3001","10206011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","181201","2025/06/30 12:00:00","10206501","3010","10206012"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","135101","2025/07/10 12:00:00","10206501","3002","10206013"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","135101","2025/07/10 12:00:00","10206501","3004","10206014"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","129601","2025/07/31 12:00:00","10207501","3011","10207001"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","129601","2025/07/31 12:00:00","10207501","3011","10207002"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","126001","2025/07/31 12:00:00","10207501","3002","10207003"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","126001","2025/07/31 12:00:00","10207501","3004","10207004"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","135401","2025/08/10 12:00:00","10207501","3011","10207005"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","135401","2025/08/10 12:00:00","10207501","3011","10207006"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","135301","2025/07/31 12:00:00","10207501","3001","10207007"
"バトル開始後味方全体のＴＰ大回復","135301","2025/07/31 12:00:00","10207501","3014","10207008"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","106001","2025/07/31 12:00:00","10207501","3011","10207009"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","106001","2025/07/31 12:00:00","10207501","3011","10207010"
"バトル開始後90秒間物理攻撃力極大\nアップ","103001","2025/07/31 12:00:00","10207501","3001","10207011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","103001","2025/07/31 12:00:00","10207501","3010","10207012"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","129701","2025/07/31 12:00:00","10207501","3005","10207013"
"バトル開始後味方全体の行動不能\n2回無効","129701","2025/07/31 12:00:00","10207501","3013","10207014"
"バトル開始後90秒間物理攻撃力極大\nアップ","125801","2025/07/31 12:00:00","10207501","3001","10207015"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","125801","2025/07/31 12:00:00","10207501","3010","10207016"
"バトル開始後90秒間魔法攻撃力極大\nアップ","107801","2025/07/31 12:00:00","10207501","3003","10207017"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","107801","2025/07/31 12:00:00","10207501","3010","10207018"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","137101","2025/08/15 15:00:00","10207501","3003","10207019"
"バトル開始後味方全体のＴＰ大回復","137101","2025/08/15 15:00:00","10207501","3014","10207020"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","131601","2025/07/31 12:00:00","10207501","3001","10207021"
"バトル開始後味方全体のＴＰ大回復","131601","2025/07/31 12:00:00","10207501","3014","10207022"
"バトル開始後90秒間物理攻撃力極大\nアップ","135501","2025/08/31 12:00:00","10208501","3001","10208001"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","135501","2025/08/31 12:00:00","10208501","3010","10208002"
"バトル開始後90秒間物理攻撃力極大\nアップ","135601","2025/09/08 12:00:00","10208501","3001","10208003"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","135601","2025/09/08 12:00:00","10208501","3010","10208004"
"バトル開始後90秒間物理攻撃力極大\nアップ","100101","2025/08/31 12:00:00","10208501","3001","10208005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","100101","2025/08/31 12:00:00","10208501","3010","10208006"
"バトル開始後90秒間物理攻撃力極大\nアップ","100301","2025/08/31 12:00:00","10208501","3001","10208007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","100301","2025/08/31 12:00:00","10208501","3010","10208008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","108701","2025/08/31 12:00:00","10208501","3001","10208009"
"バトル開始後味方全体のＴＰ大回復","108701","2025/08/31 12:00:00","10208501","3014","10208010"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","180101","2025/08/31 12:00:00","10208501","3011","10208011"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","180101","2025/08/31 12:00:00","10208501","3011","10208012"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","122401","2025/08/31 12:00:00","10208501","3005","10208013"
"バトル開始後味方全体の行動不能\n2回無効","122401","2025/08/31 12:00:00","10208501","3013","10208014"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","128701","2025/08/31 12:00:00","10208501","3011","10208015"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","128701","2025/08/31 12:00:00","10208501","3011","10208016"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","135701","2025/09/16 15:00:00","10208501","3010","10208017"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","135701","2025/09/16 15:00:00","10208501","3010","10208018"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","108901","2025/08/31 12:00:00","10208501","3002","10208019"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","108901","2025/08/31 12:00:00","10208501","3004","10208020"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","114001","2025/08/31 12:00:00","10208501","3011","10208021"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","114001","2025/08/31 12:00:00","10208501","3011","10208022"
"バトル開始後90秒間物理攻撃力極大\nアップ","180301","2025/08/31 12:00:00","10208501","3001","10208023"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","180301","2025/08/31 12:00:00","10208501","3010","10208024"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","122501","2025/08/31 12:00:00","10208501","3001","10208025"
"バトル開始後味方全体のＴＰ大回復","122501","2025/08/31 12:00:00","10208501","3014","10208026"
"バトル開始後90秒間物理攻撃力極大\nアップ","128801","2025/08/31 12:00:00","10208501","3001","10208027"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","128801","2025/08/31 12:00:00","10208501","3010","10208028"
"バトル開始後90秒間物理攻撃力極大\nアップ","135901","2025/10/10 12:00:00","10209501","3001","10209001"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","135901","2025/10/10 12:00:00","10209501","3010","10209002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","135801","2025/09/30 12:00:00","10209501","3011","10209003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","135801","2025/09/30 12:00:00","10209501","3011","10209004"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","133101","2025/09/30 12:00:00","10209501","3011","10209005"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","133101","2025/09/30 12:00:00","10209501","3011","10209006"
"バトル開始後90秒間物理攻撃力極大\nアップ","133001","2025/09/30 12:00:00","10209501","3001","10209007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","133001","2025/09/30 12:00:00","10209501","3010","10209008"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","100701","2025/09/30 12:00:00","10209501","3002","10209009"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","100701","2025/09/30 12:00:00","10209501","3004","10209010"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","108201","2025/09/30 12:00:00","10209501","3011","10209011"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","108201","2025/09/30 12:00:00","10209501","3011","10209012"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","119901","2025/09/30 12:00:00","10209501","3001","10209013"
"バトル開始後味方全体のＴＰ大回復","119901","2025/09/30 12:00:00","10209501","3014","10209014"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","136001","2025/10/31 12:00:00","10210501","3011","10210001"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","136001","2025/10/31 12:00:00","10210501","3011","10210002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","101401","2025/10/31 12:00:00","10210501","3011","10210003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","101401","2025/10/31 12:00:00","10210501","3011","10210004"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","136201","2025/11/14 12:00:00","10210501","3001","10210005"
"バトル開始後味方全体のＴＰ大回復","136201","2025/11/14 12:00:00","10210501","3014","10210006"
"バトル開始後90秒間敵全体の物理攻\n撃力中ダウン","112201","2025/10/31 12:00:00","10210501","3011","10210007"
"バトル開始後90秒間敵全体の魔法攻\n撃力中ダウン","112201","2025/10/31 12:00:00","10210501","3011","10210008"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","115701","2025/10/31 12:00:00","10210501","3003","10210009"
"バトル開始後味方全体のＴＰ大回復","115701","2025/10/31 12:00:00","10210501","3014","10210010"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","128501","2025/10/31 12:00:00","10210501","3003","10210011"
"バトル開始後味方全体のＴＰ大回復","128501","2025/10/31 12:00:00","10210501","3014","10210012"
"バトル開始後90秒間魔法攻撃力極大\nアップ","137401","2025/11/03 12:00:00","10210501","3003","10210013"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","137401","2025/11/03 12:00:00","10210501","3010","10210014"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","134901","2025/10/31 12:00:00","10210501","3002","10210015"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","134901","2025/10/31 12:00:00","10210501","3004","10210016"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","129701","2025/10/31 12:00:00","10210501","3010","10210017"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","129701","2025/10/31 12:00:00","10210501","3010","10210018"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","134701","2025/10/31 12:00:00","10210501","3001","10210019"
"バトル開始後味方全体のＴＰ大回復","134701","2025/10/31 12:00:00","10210501","3014","10210020"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","134801","2025/10/31 12:00:00","10210501","3001","10210021"
"バトル開始後味方全体のＴＰ大回復","134801","2025/10/31 12:00:00","10210501","3014","10210022"
"バトル開始後90秒間魔法攻撃力極大\nアップ","118201","2025/11/30 12:00:00","10211501","3003","10211001"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","118201","2025/11/30 12:00:00","10211501","3010","10211002"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","100201","2025/11/30 12:00:00","10211501","3010","10211003"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","100201","2025/11/30 12:00:00","10211501","3010","10211004"
"バトル開始後90秒間魔法攻撃力極大\nアップ","131201","2025/11/30 12:00:00","10211501","3003","10211005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","131201","2025/11/30 12:00:00","10211501","3010","10211006"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","136301","2025/12/15 15:00:00","10211501","3003","10211007"
"バトル開始後味方全体のＴＰ大回復","136301","2025/12/15 15:00:00","10211501","3014","10211008"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","108801","2025/11/30 12:00:00","10211501","3010","10211009"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","108801","2025/11/30 12:00:00","10211501","3010","10211010"
"バトル開始後90秒間魔法攻撃力極大\nアップ","180201","2025/11/30 12:00:00","10211501","3003","10211011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","180201","2025/11/30 12:00:00","10211501","3010","10211012"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","115601","2025/11/30 12:00:00","10211501","3001","10211013"
"バトル開始後味方全体のＴＰ大回復","115601","2025/11/30 12:00:00","10211501","3014","10211014"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","122601","2025/11/30 12:00:00","10211501","3003","10211015"
"バトル開始後味方全体のＴＰ大回復","122601","2025/11/30 12:00:00","10211501","3014","10211016"
"バトル開始後90秒間魔法攻撃力極大\nアップ","128901","2025/11/30 12:00:00","10211501","3003","10211017"
