fdb0afc98bb1c7e7967771b564251883b66c1bf146177ef60a308a727b2d8dcc,46b3e7fb03e03654719b57b6fe93703f82758bf328702eb44c0d705b8c69ca35,7839f763c289b3d1fbbfc18d3ab2306cbca301bd109237df7bac221023fb887f,f8b61576ae08860a3e109074c81ddcc306285f22f6b19102c0e2e381809d8ac3,31a81b14c362dc28c8263b2c4c10f6e72520516b87875891ab2821a6d95e5f39
"3.5","1","15.1","1","30010198"
"4.3","1","14","2","30010199"
"6.3","1","12","1","30010200"
"6.3","1","10.3","2","30010201"
"-2.8","1","12.1","1","30010202"
"-1.7","1","9.1","3","30010203"
"-3","1","9","1","30010204"
"-4.7","1","9","3","30010205"
"-1.7","1","15.9","2","30010206"
"-3.2","1","16.8","2","30010207"
"-4.5","1","15.8","2","30010208"
"-2.8","1","13.1","3","30010209"
"-8.8","1","10.2","1","30010210"
"-7.5","1","10.1","2","30010211"
"-5.9","1","10","1","30010212"
"-8.7","1","15.1","3","30010213"
"-7.6","1","16.2","3","30010214"
"-6.3","1","15.3","3","30010215"
"-10.4","1","15.9","1","30010216"
"-11.6","1","16.9","3","30010217"
"-13","1","15.9","1","30010218"
"-11.6","1","11.1","2","30010219"
"-10.1","1","11.1","3","30010220"
"-14.3","1","13.9","3","30010221"
"-15.5","1","15","1","30010222"
"-17.3","1","14.3","3","30010223"
"-18.4","1","15","1","30010224"
"-17.8","1","11.1","1","30010225"
"-18.9","1","11.1","3","30010226"
"-21.6","1","11","1","30010227"
"-21.6","1","9.7","2","30010228"
"-21.6","1","8.5","1","30010229"
"-21.6","1","7","1","30010230"
"-21.7","1","5.5","3","30010231"
"-21.7","1","4","1","30010232"
"-20.4","1","2.2","3","30010233"
"-19.3","1","6","2","30010234"
"-18.2","1","5.3","2","30010235"
"-16.8","1","6","2","30010236"
"-11.8","1","2.2","1","30010237"
"-9.5","1","7","1","30010238"
"-9","1","5.9","3","30010239"
"-9.5","1","4.9","1","30010240"
"-10.3","1","2.1","3","30010241"
"-8.5","1","2.1","1","30010242"
"-18.7","1","0.6","1","30010243"
"-13.4","1","5.2","3","30010244"
"-12.6","1","4","3","30010245"
"6","1","-16.6","991004","30010246"
"5.5","1","-15.1","991002","30010247"
"-2.5","1","12.3","991002","30010251"
"-2.5","1","11.7","991001","30010252"
"-7.5","1","12.2","991002","30010253"
"-7.5","1","11.8","991001","30010254"
"-13.2","1","11.4","991001","30010255"
"-13.7","1","12.7","991003","30010256"
"-21.5","1","6.5","991001","30010257"
"-12.6","1","6.8","991002","30010259"
"-12.6","1","5.2","991001","30010260"
"-11.5","1","-1.5","991002","30010261"
"-11.5","1","-2.5","991001","30010262"
"-20.2","1","6.4","991004","30010263"
"-16.6","1","-1.8","991002","30010264"
"-16.6","1","-2.2","991001","30010265"
"8.5","1","-9.3","2","30010267"
"-18.6","1","-12","1","30010268"
"-17.6","1","-10.1","991002","30010269"
"-17.7","1","-11.7","991001","30010270"
"-12.6","1","-14.3","991003","30010271"
"-11.2","1","-14.3","991004","30010272"
"-15.4","1","-13.9","3","30010274"
"-14.1","1","-13.8","3","30010275"
"-8.1","1","-12.2","991003","30010276"
"-7.7","1","-12.2","991004","30010277"
"-8.6","1","-15.3","1","30010278"
"-11.9","1","-19.9","1","30010279"
"-10.7","1","-19.9","3","30010280"
"-9.2","1","-19.9","1","30010281"
"-8","1","-19.9","3","30010282"
"-13.4","1","-18.6","1","30010283"
"-13.6","1","-16.2","1","30010284"
"-13.7","1","-14.9","3","30010285"
"-9.6","1","-12.9","3","30010286"
"-9.6","1","-11.7","2","30010287"
"-9.6","1","-10.4","2","30010288"
"-8.8","1","-7","1","30010289"
"-3.6","1","-1","2","30010290"
"-5","1","-1","2","30010291"
"2.5","1","1.8","991002","30010292"
"2.5","1","0.5","991003","30010293"
"-22.7","2","10.5","2","30020001"
"-23","2","9","2","30020004"
"-23","2","6","2","30020005"
"-22.7","2","7.5","2","30020006"
"-19.1","2","6.3","991001","30020008"
"-19.1","2","7.8","991002","30020009"
"-21.5","2","5.5","2","30020010"
"-22.7","2","13.5","1","30020011"
"-23.5","2","15","3","30020012"
"-22.5","2","17.1","990001","30020013"
"-22.7","2","16.3","1","30020014"
"-22.7","2","18.4","3","30020015"
"-23.5","2","19.7","1","30020016"
"-22.7","2","21.3","3","30020017"
"-20","2","10.5","2","30020018"
"-19.8","2","12.5","1","30020019"
"-19.8","2","15","1","30020020"
"-15","2","15","1","30020024"
"-17.8","2","18.6","1","30020027"
"-19.8","2","17.5","1","30020029"
"-17","2","15","1","30020030"
"-16.4","2","16","3","30020031"
"-20.3","2","4","2","30020032"
"-18.9","2","3.5","2","30020033"
"-17.5","2","4","2","30020034"
"-15.7","2","9","2","30020035"
"-23.8","2","-2","2","30020043"
"-23.8","2","-4","2","30020044"
"-23","2","-5","1","30020045"
"-19","2","-4","2","30020047"
"-17","2","-4","2","30020048"
"-15.7","2","-1.3","1","30020050"
"-13.4","2","-1.7","2","30020051"
"-13.5","2","-3.5","2","30020052"
"-13.1","2","-7","2","30020053"
"-13.6","2","-9.2","2","30020054"
"-14.9","2","-9","2","30020055"
"-21.1","2","-7","1","30020056"
"-22.7","2","-8.8","1","30020062"
"-22.7","2","-12","1","30020063"
"-21.1","2","-5","3","30020065"
"-23","2","-7","3","30020066"
"-23.2","2","-10.5","3","30020067"
"-16","2","-10","2","30020068"
"-15.3","2","-12","2","30020069"
"-18.1","2","-13.5","2","30020070"
"-16.4","2","-13.5","2","30020071"
"-22.7","2","-14.5","3","30020072"
"-22.7","2","-17.1","3","30020073"
"-19","2","-8.2","991004","30020074"
"-22.5","2","-16","990001","30020076"
"-22.7","2","-19.5","1","30020077"
"-22.7","2","-21.5","1","30020078"
"-22","2","-23.5","3","30020079"
"-20.2","2","-23.5","3","30020080"
"-18.8","2","-25","1","30020083"
"-17.6","2","-25","3","30020084"
"-16","2","-25","3","30020085"
"-14","2","-25","1","30020086"
"-16.1","2","-19.7","2","30020087"
"-14.8","2","-19.3","2","30020088"
"-12.7","2","-24.5","3","30020089"
"-11.5","2","-23.5","1","30020090"
"-13.1","2","-19.4","3","30020091"
"-11.5","2","-20","1","30020092"
"-9.6","2","-25","3","30020093"
"-8","2","-25","1","30020094"
"-6.2","2","-25","3","30020095"
"-9.4","2","-18.5","2","30020096"
"-8.5","2","-17","2","30020097"
"-7.4","2","-18.5","2","30020098"
"-6.8","2","-17","2","30020099"
"-4","2","-23.7","1","30020100"
"-2","2","-21.6","1","30020101"
"-2","2","-19.5","1","30020102"
"-2","2","-17.7","1","30020103"
"-3.4","2","-16.1","3","30020104"
"-4","2","-15","3","30020105"
"-10.8","2","-16.2","3","30020106"
"-11.3","2","-15","3","30020107"
"-10.8","2","-13.7","3","30020108"
"-6","2","-10.5","1","30020109"
"-5","2","-9.3","1","30020110"
"-5.1","2","-11.9","3","30020111"
"-6","2","-8.3","3","30020112"
"-10.4","2","-12","3","30020113"
"-11.8","2","-10.8","1","30020114"
"-11.8","2","-9","1","30020115"
"-10","2","-7","3","30020116"
"-8","2","3.9","2","30020119"
"-8.8","2","-4.9","2","30020121"
"-7.7","2","-4","2","30020122"
"-8.9","2","-3","2","30020123"
"-2.6","2","-14.2","3","30020125"
"-1","2","-14.2","1","30020126"
"0.2","2","-13.1","3","30020127"
"1.1","2","-11.8","1","30020128"
"1.2","2","-7.4","1","30020131"
"2.2","2","-10.5","3","30020132"
"2.2","2","-8.5","3","30020133"
"1.1","2","-9.5","1","30020134"
"0","2","-6","3","30020135"
"1.3","2","-4.5","1","30020136"
"-1","2","2.8","1","30020141"
"-10.2","2","0.4","2","30020142"
"-2.8","2","6.2","1","30020143"
"-2.7","2","8","1","30020145"
"-4.3","2","6.9","1","30020146"
"0.9","2","3.8","3","30020147"
"0.9","2","6.2","3","30020148"
"0.5","2","8","3","30020149"
"0.5","2","10.4","3","30020150"
"-9.5","2","8","3","30020151"
"-8","2","8.7","3","30020152"
"-4.1","2","3","1","30020153"
"-12","2","2.3","2","30020154"
"-12.5","2","3.8","2","30020155"
"-12","2","5.5","2","30020156"
"-1.1","2","11.9","1","30020157"
"-2.5","2","13","1","30020158"
"-3.7","2","13","1","30020159"
"-3.5","2","15","3","30020160"
"-1.9","2","15","3","30020161"
"-9","2","15","2","30020162"
"-7.6","2","16","2","30020163"
"-9.1","2","17","2","30020164"
"-7.6","2","18.1","2","30020165"
"-9.1","2","18.7","2","30020166"
"-1.1","2","16.5","1","30020167"
"0","2","18.2","1","30020168"
"-0.8","2","19.5","1","30020169"
"1","2","21","3","30020170"
"1","2","23","3","30020171"
"-10","2","10","3","30020172"
"-10.8","2","11.5","3","30020173"
"-10","2","13","3","30020174"
"-11.3","2","17.4","1","30020176"
"-12","2","16","3","30020177"
"-11.3","2","14.4","1","30020178"
"-13.9","2","10.1","2","30020179"
"-13.2","2","8.5","2","30020180"
"-9.2","2","-10.2","991003","30020189"
"-8.7","2","-10.2","991004","30020190"
"-9.4","2","2.8","991003","30020193"
"-8.3","2","2.8","991004","30020194"
"-5.7","2","9.9","991001","30020197"
"-5.7","2","10.3","991002","30020198"
"-6.5","2","16","990001","30020199"
"-16.6","2","11.8","991001","30020204"
"-16.6","2","12.2","991002","30020205"
"-20.6","2","-8.2","991003","30020209"
"-4.5","2","-11","990001","30020213"
"-2.11","2","-3.2","991003","30020214"
"-1.7","2","-3.2","991004","30020215"
"1.9","2","-3","3","30020216"
"1.2","2","-1.2","1","30020217"
"0.9","2","1.3","3","30020218"
"-6.1","2","-4.5","2","30020219"
"-4.7","2","-3.7","2","30020220"
"-15.2","2","-22.2","991001","30020221"
"-15.2","2","-21.8","991002","30020222"
"-18.6","2","-0.2","991001","30020223"
"-18.6","2","0.2","991002","30020224"
"-8.6","2","21.5","991001","30020225"
"-8.6","2","22.5","991002","30020226"
"-16.6","2","21.4","991003","30020227"
"-15.3","2","22.6","991002","30020228"
"-4.1","2","20.7","991003","30020229"
"-3.6","2","21","991002","30020230"
"-8","2","-15.7","991003","30020231"
"-7.3","2","-14.3","991002","30020232"
"-10.6","2","-22.7","991001","30020233"
"-10.6","2","-21.3","991002","30020234"
"-23.6","3","7","11","30030001"
"-20.7","3","16","12","30030003"
"-21.8","3","6.4","13","30030005"
"-21.8","3","8.4","13","30030006"
"-21","3","4","11","30030007"
"-15.7","3","1.6","11","30030008"
"-16.7","3","3.5","11","30030009"
"-21.9","3","1.5","13","30030010"
"-23.7","3","2.7","13","30030011"
"-23.7","3","-3","13","30030012"
"-22.8","3","-5.9","12","30030018"
"-21.6","3","-10.5","11","30030019"
"-19.7","3","-11.5","13","30030020"
"-19.7","3","-13.5","13","30030021"
"-19.7","3","-9.5","13","30030022"
"-23.8","3","-16.1","12","30030023"
"-23.8","3","-18.7","11","30030024"
"-21.8","3","-21","11","30030025"
"-16.1","3","-19.4","12","30030027"
"-3.8","3","-11.1","13","30030036"
"-3.7","3","-14.9","13","30030037"
"-11.7","3","-10.4","12","30030043"
"-13.6","3","-10.4","12","30030044"
"-4.8","3","-15.1","12","30030045"
"-8.4","3","-8.9","13","30030046"
"-4.7","3","-8.9","13","30030048"
"1.3","3","-10.1","11","30030054"
"-3.2","3","-5.1","13","30030058"
"-6.3","3","4.1","12","30030062"
"-4","3","13","11","30030064"
"-2.6","3","11.9","11","30030065"
"-6.4","3","15.3","13","30030067"
"-9.7","3","16.4","13","30030068"
"-5.7","3","18.8","13","30030069"
"-23.8","3","16","11","30030073"
"-19.5","3","17.9","13","30030076"
"-17.8","3","17.9","13","30030077"
"-10.8","3","21.4","990002","30030079"
"-23.7","3","5","990001","30030080"
"-9.4","3","-14.1","990001","30030081"
"-9.6","3","6.9","990001","30030082"
"-13","3","1.8","11","30030083"
"-12.7","3","8.5","13","30030085"
"-16.7","3","8.5","13","30030086"
"-13.8","3","11.5","12","30030087"
"-13.7","3","9.8","12","30030088"
"-3.7","3","-0.5","13","30030089"
"-3.7","3","0.6","13","30030090"
"-7.3","3","-6.5","12","30030091"
"-6.1","3","-5.4","12","30030092"
"-6.2","3","-6.5","13","30030093"
"-7.5","3","-5.5","13","30030094"
"-5.8","3","-11.1","13","30030095"
"-7.2","3","-11.1","11","30030097"
"-11.4","3","-20","12","30030098"
"-9.2","3","-20.1","12","30030099"
"-9.7","3","-17.5","13","30030100"
"-9.7","3","-15.5","13","30030101"
"-21.5","3","-17.5","13","30030102"
"-20.1","3","-16.1","13","30030103"
"-20.1","3","-17.5","12","30030104"
"-21.9","3","-2.1","13","30030106"
"-18.6","3","15.8","11","30030107"
"-22.2","3","18.8","11","30030108"
"-15.8","3","22.2","12","30030109"
"-15.8","3","20.1","12","30030110"
"-15.8","3","17.9","12","30030111"
"-1.8","3","16.8","12","30030115"
"-10.6","3","1","11","30030116"
"-10.6","3","2.5","11","30030117"
"0.1","3","9","13","30030118"
"0.1","3","7.5","13","30030119"
"-0.6","3","4.8","11","30030120"
"-1.8","3","19.4","12","30030121"
"-1.8","3","21.7","12","30030122"
"-1.7","3","20.5","13","30030123"
"-1.7","3","18.1","13","30030124"
"1.2","3","15.7","11","30030125"
"0.3","3","18.5","13","30030126"
"0.3","3","20.1","13","30030127"
"0.3","3","21.5","13","30030128"
"-11.5","3","20","13","30030130"
"-10.1","3","-4","11","30030132"
"-22.8","3","-8","12","30030135"
"-15.8","3","-13.2","11","30030137"
"-15.7","3","-11.2","11","30030138"
"-12","3","-4","12","30030139"
"-16.7","3","10.4","13","30030140"
"-21.6","3","-12.6","11","30030141"
"-16.4","3","-22","11","30030144"
"-18.7","3","-22","11","30030145"
"-1.9","3","-5.1","13","30030146"
"-0.4","3","-5.1","13","30030147"
"-0.8","3","-7","11","30030148"
"-2.4","3","-7","11","30030149"
"1.3","3","13.6","11","30030150"
"-1.7","3","8.5","11","30030151"
"-2.6","3","10","11","30030152"
"-6.2","3","13","12","30030153"
"-9","3","13.1","13","30030154"
"-7.6","3","13.1","13","30030155"
"-5.8","3","17.5","12","30030156"
"-5.8","3","20.1","12","30030157"
"-5.6","3","21.5","11","30030158"
"-5.6","3","23","11","30030159"
"-12.8","3","20","12","30030160"
"-18.8","3","5.5","12","30030161"
"-18.7","3","7.5","11","30030162"
"-18.8","3","9.5","12","30030163"
"-18.6","3","11.5","11","30030164"
"-18.7","3","12.5","13","30030165"
"-18.7","3","14.1","13","30030166"
"-21.3","3","-16.1","12","30030167"
"-14.8","3","-6","13","30030168"
"-14.8","3","-4.5","12","30030169"
"-14.8","3","-3","13","30030170"
"-14.8","3","-1.5","12","30030171"
"-16.6","3","-17.5","11","30030172"
"-16.6","3","-14.9","11","30030174"
"-6.9","3","-18.5","11","30030175"
"-6.9","3","-16.5","11","30030176"
"-6.6","3","-9.1","12","30030177"
"-6.1","3","-14.9","13","30030178"
"-20.6","3","-21.8","13","30030179"
"-14.9","3","-21.9","13","30030180"
"-23.6","3","10","11","30030181"
"-15.7","3","19","13","30030182"
"-15.7","3","21.1","13","30030183"
"-11.8","3","23.8","11","30030184"
"-13.7","3","23.8","11","30030185"
"-4.6","4","-8","990001","30040001"
"2.9","4","-6.6","990002","30040002"
"-21.6","4","11","990001","30040003"
"-21.6","4","-4","990001","30040004"
"-21.7","4","-9.8","991001","30040005"
"-16","4","-12.2","991001","30040006"
"-16","4","-11.8","991002","30040007"
"-12.6","4","-15.2","991003","30040008"
"-11.1","4","-15.2","991004","30040009"
"-8.7","4","-14.8","991003","30040010"
"-7.1","4","-14.8","991004","30040011"
"-1","4","-17.2","991001","30040012"
"-1","4","-16.8","991002","30040013"
"6","4","-17.8","991004","30040015"
"5.3","4","-16.2","991002","30040016"
"3.4","4","-0.8","991003","30040019"
"3.9","4","0.8","991002","30040020"
"-2.7","4","10.8","991001","30040021"
"-2.7","4","11.2","991002","30040022"
"-6.1","4","10.3","991001","30040023"
"-6.1","4","11.8","991002","30040024"
"-13.1","4","10.2","991001","30040025"
"-13.7","4","11.8","991003","30040026"
"-21.7","4","5.1","991001","30040027"
"-20","4","6.9","991004","30040028"
"-11","4","4.8","991001","30040029"
"-11","4","5.2","991002","30040030"
"-11.7","4","-3.2","991001","30040031"
"-11.7","4","-2.8","991002","30040032"
"-15.1","4","-3.8","991001","30040033"
"-15.1","4","-2.1","991002","30040034"
"-22","4","-11.2","11","30040035"
"-17.9","4","-10.1","11","30040037"
"-19","4","-7.4","11","30040038"
"-15.4","4","-15.6","12","30040040"
"-15.4","4","-8.4","12","30040041"
"-11.9","4","-10","11","30040042"
"-10.8","4","-13.6","13","30040043"
"-13.8","4","-16.9","11","30040044"
"-13.6","4","-19.2","11","30040045"
"-12.9","4","-19.7","11","30040046"
"-11","4","-21.3","11","30040047"
"-9.1","4","-21.3","12","30040048"
"-9","4","-18","11","30040049"
"-6.5","4","-18.7","13","30040050"
"-8.8","4","-16.4","11","30040051"
"-7.9","4","-12.4","13","30040052"
"-9.8","4","-11.5","11","30040053"
"-9.3","4","-9.5","11","30040054"
"-9.1","4","-6.2","11","30040055"
"-9","4","-7.4","12","30040056"
"-7.7","4","-4.6","11","30040057"
"-6.5","4","-7.3","13","30040058"
"-4.9","4","-9.1","11","30040061"
"-5.3","4","-16.5","11","30040062"
"-5","4","-10.5","12","30040063"
"-5","4","-12.5","12","30040064"
"-5","4","-14.5","12","30040065"
"-3.9","4","-18.3","11","30040066"
"-3","4","-19.4","11","30040067"
"-2.9","4","-18.2","13","30040068"
"0.4","4","-18.4","11","30040069"
"1.9","4","-15.3","11","30040070"
"1.9","4","-17","12","30040071"
"-0.5","4","-21.4","11","30040072"
"1.2","4","-21.2","11","30040073"
"2.9","4","-21.5","11","30040074"
"4.8","4","-19.6","11","30040075"
"4.4","4","-15.6","13","30040076"
"-2.7","4","-13","13","30040077"
"7.2","4","-18.3","11","30040078"
"8.9","4","-16.9","11","30040079"
"8.1","4","-12.1","12","30040080"
"9","4","-14.7","11","30040081"
"6.6","4","-8.1","11","30040082"
"4.2","4","-8.3","11","30040083"
"1.7","4","-7.6","11","30040084"
"-0.6","4","-7.6","13","30040085"
"2.1","4","-3.9","12","30040088"
"5","4","-4","11","30040089"
"8","4","-6.8","11","30040090"
"8.6","4","-4.5","11","30040091"
"8.1","4","-3.6","11","30040092"
"8","4","-0.7","11","30040093"
"4.9","4","-1.3","12","30040094"
"1.9","4","-1.6","11","30040095"
"0.1","4","-0.3","13","30040096"
"0.1","4","0.8","11","30040097"
"1","4","7.1","11","30040099"
"0.9","4","4.4","13","30040100"
"0.9","4","5.8","11","30040101"
"5.1","4","2.2","11","30040102"
"0.8","4","8.7","11","30040106"
"5.4","4","12.8","11","30040108"
"6","4","10.5","12","30040109"
"2.9","4","13.4","11","30040110"
"0.8","4","13","11","30040111"
"-3.8","4","11.1","13","30040112"
"-2.4","4","7.6","11","30040113"
"-5.8","4","8.1","11","30040114"
"-4.5","4","7.5","12","30040115"
"-5.8","4","14.2","12","30040116"
"-2.9","4","14.5","13","30040117"
"-8.6","4","8.8","11","30040118"
"-10.6","4","9.5","13","30040119"
"-9.4","4","13.7","13","30040120"
"-10","4","15","11","30040121"
"-12.1","4","15.5","11","30040122"
"-14.7","4","13.1","11","30040123"
"-16.5","4","12.8","13","30040124"
"-17.8","4","13.4","13","30040125"
"-14.3","4","8.5","11","30040126"
"-16.4","4","8.1","11","30040127"
"-19","4","9","11","30040128"
"-12.1","4","9","11","30040129"
"-22.1","4","9.7","11","30040130"
"-22","4","13","11","30040131"
"-19.9","4","12.7","13","30040132"
"-22.1","4","7.3","12","30040133"
"-22.3","4","3.7","11","30040134"
"-22","4","2.4","11","30040135"
"-19.9","4","0.5","11","30040136"
"-19.4","4","3.4","13","30040137"
"-18.4","4","4.7","13","30040138"
"-17.5","4","3.8","13","30040139"
"-18","4","0","11","30040140"
"-15","4","1","11","30040141"
"-13.8","4","2.3","11","30040142"
"-13.1","4","3.4","12","30040143"
"-13","4","1","13","30040144"
"-10.9","4","0.4","13","30040145"
"-9.7","4","5","12","30040146"
"-9.3","4","3.3","13","30040147"
"-9.3","4","0.4","11","30040148"
"-6","4","2","11","30040149"
"-5.2","4","3.4","11","30040150"
"-4.5","4","1.3","13","30040151"
"-3","4","-1","11","30040154"
"-11.3","4","-6.5","11","30040155"
"-13.8","4","-6.5","12","30040156"
"-17.1","4","-5.6","12","30040157"
"-18.6","4","-5.5","11","30040158"
"-22.4","4","-2.3","11","30040159"
"-22.2","4","-6.8","12","30040160"
"-22.5","4","-5","11","30040161"
"-20.2","4","-1.5","13","30040162"
"-18.8","4","-15.5","11","30040163"
"-21","4","-15","11","30040164"
"-20","4","-16","13","30040165"
"5.8","4","4","11","30040166"
"6","4","9","11","30040167"
"6.4","4","7","13","30040168"
"6.2","4","5.2","13","30040169"
"-1","4","1.5","11","30040170"
"-2.3","4","4.4","13","30040171"
"-3.9","4","2.8","11","30040172"
"-22.5","5","17.1","990001","30050013"
"-19","5","-8.2","991004","30050074"
"-22.5","5","-16","990001","30050076"
"-9.4","5","2.8","991003","30050193"
"-8.3","5","2.8","991004","30050194"
"-16.6","5","11.8","991001","30050204"
"-16.6","5","12.2","991002","30050205"
"-20.6","5","-8.2","991003","30050209"
"-4.5","5","-11","990001","30050213"
"1.7","5","-6.4","991003","30050214"
"2.2","5","-6.4","991004","30050215"
"-15.2","5","-22.2","991001","30050221"
"-15.2","5","-21.8","991002","30050222"
"-18.6","5","-0.2","991001","30050223"
"-18.6","5","0.2","991002","30050224"
"-10.6","5","-22.7","991001","30050233"
"-10.6","5","-21.3","991002","30050234"
"-2.7","5","12","990001","30050235"
"-16.7","5","-4.2","991006","30050236"
"-16.7","5","-5.7","991006","30050237"
"24.3","5","-25.5","13","30050238"
"24.5","5","-25.2","11","30050239"
"-22.8","5","8.2","13","30050240"
"-22.7","5","7.1","11","30050241"
"-22.7","5","5","11","30050242"
"-21.5","5","4.8","13","30050243"
"-22.8","5","6","13","30050244"
"24.4","5","-25.4","12","30050245"
"-19.2","5","4.5","12","30050246"
"-17","5","9","13","30050247"
"-16","5","9","13","30050248"
"-18","5","9","13","30050249"
"-15.6","5","2.9","11","30050250"
"-17.8","5","3","11","30050251"
"-14.1","5","7.5","12","30050252"
"-11.9","5","7.5","12","30050253"
"-11.7","5","5.4","13","30050254"
"-11.7","5","3.5","13","30050255"
"-10.9","5","1.5","11","30050256"
"-10.9","5","-0.5","11","30050257"
"-14.4","5","3.5","12","30050258"
"-14.3","5","1.5","12","30050259"
"-21.3","5","1.6","12","30050260"
"-22.8","5","1.6","11","30050261"
"-24","5","-0.5","12","30050262"
"-24","5","-2.7","12","30050263"
"-16","5","-4","13","30050264"
"-16","5","-5","13","30050265"
"-16","5","-6","13","30050266"
"-18","5","-4","13","30050267"
"-18","5","-5","13","30050268"
"-18","5","-6","13","30050269"
"-21","5","-7","11","30050270"
"-19.8","5","-5.5","12","30050271"
"-17.1","5","-9.3","12","30050272"
"-16.3","5","-10.6","12","30050273"
"-17.2","5","-12.2","12","30050274"
"-22","5","-10","11","30050275"
"-22","5","-12","11","30050276"
"-16.8","5","-14.4","12","30050277"
"-15.9","5","-16.6","11","30050278"
"-16","5","-19.5","11","30050279"
"-16","5","-18.1","12","30050280"
"-14","5","-19","12","30050281"
"-13","5","-17","12","30050282"
"-14.7","5","-16.6","12","30050283"
"-13.5","5","-24.1","11","30050284"
"-15.7","5","-24","11","30050285"
"-20.4","5","-23.5","11","30050286"
"-17.8","5","-23.5","11","30050287"
"-22","5","-20","12","30050288"
"-22","5","-22","12","30050289"
"-19.3","5","-23.2","13","30050290"
"-13","5","-23","13","30050291"
"-11.8","5","-23","12","30050292"
"-11","5","-23","13","30050293"
"-12.4","5","-20.1","11","30050294"
"-11","5","-20","11","30050295"
"-9.5","5","-19.3","11","30050296"
"-8.4","5","-19.3","12","30050297"
"-6.8","5","-19.1","11","30050299"
"-6.5","5","-20.4","13","30050300"
"-4.2","5","-19.2","12","30050301"
"-4.1","5","-20.6","12","30050302"
"-5.9","5","-23.4","12","30050303"
"-4.1","5","-23.4","11","30050304"
"-1.4","5","-23.4","11","30050305"
