a5a3498fcf41f4b4f0b29181956ec83e5d62cd5761917efa83f000c4d811c539,6ab5fd87dc0fc1e3f48a827e5443d990c981f5ba3ed0643a0e75fab7f57bada2,711347def2e7a69b64227b01b87d62326cd5ee0f63d69fd6d71dd51f93cfe53e,36e700cb9115113df8c9570f0232693f2f9da7d98fd274718d0da1a888b99c65,a55739c3d9f5bac4ce0ea6a751e537ed98b45830ab71c7f8ef1a39d3fe9b11da,9184e288c79ab70feba1f9f7a91ac6c31b8fc4f47af0ff40d1a9aa823c760869,3c7c64dfdbb1dfffebc2a8bdc965d143e6f059c2729b8e96b1e7602015d2354d
"72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20032","114701","ボスNORMAL討伐で解放！","34"
"72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20033","115601","ボスNORMAL討伐で解放！","35"
"72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20035","115801","ボスNORMAL討伐で解放！","36"
"72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20038","116801","ボスNORMAL討伐で解放！","37"
"72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20040","117401","ボスNORMAL討伐で解放！","38"
"72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20042","117801","ボスNORMAL討伐で解放！","39"
"72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20044","119201","ボスNORMAL討伐で解放！","40"
"72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20045","120801","ボスNORMAL討伐で解放！","41"
"72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20047","121201","ボスNORMAL討伐で解放！","42"
"72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20051","122101","ボスNORMAL討伐で解放！","43"
"72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20052","122401","ボスNORMAL討伐で解放！","44"
"72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20053","122801","ボスNORMAL討伐で解放！","45"
"72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20055","123501","ボスNORMAL討伐で解放！","46"
"72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20057","124101","ボスNORMAL討伐で解放！","47"
"72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20058","124701","ボスNORMAL討伐で解放！","48"
"72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20059","124901","ボスNORMAL討伐で解放！","49"
"72063021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20063","125701","ボスNORMAL討伐で解放！","50"
"72065021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20065","126701","ボスNORMAL討伐で解放！","51"
"72066021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20066","127001","ボスNORMAL討伐で解放！","52"
"72067021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20067","128801","ボスNORMAL討伐で解放！","53"
"72073016","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20073","128301","ボスNORMAL討伐で解放！","54"
