469416de0617b35714afea9b277fa057843374a8cc3609a71dc07ce2dcb713d9,9668eece58f22c7e59ea15dc83685e87492aa69dcded95034effb9619b674b5c,e35f2c3846ed2290465beb2a2908e607ce797b279e976138c28ba7dedad9b279,8af1d3708df90d127c183642b007d0ed1dd25a0b38fffa3e543f02cf644bef67,2e47c3b67d3c453c64078ed2dcb1c83f57009bbbe469e0b37779f0448b4f05a2
"223","999","30","281","693184"
"224","999","30","282","697609"
"225","999","30","283","702034"
"226","999","30","284","706459"
"227","999","30","285","710884"
"228","999","30","286","715309"
"229","999","30","287","719734"
"230","999","30","288","724159"
"231","999","30","289","728584"
"232","999","30","290","733009"
"233","999","30","291","737434"
"234","999","30","292","741859"
"235","999","30","293","746284"
"236","999","30","294","750709"
"237","999","30","295","755134"
"238","999","30","296","759559"
"239","999","30","297","763984"
"240","999","30","298","768409"
"241","999","30","299","772834"
"242","999","30","300","777259"
"243","999","30","301","781684"
"244","999","30","302","786109"
"245","999","30","303","790534"
"246","999","30","304","794959"
"247","999","30","305","799384"
"248","999","30","306","803809"
"249","999","30","307","808234"
"250","999","30","308","812659"
"251","999","30","309","817084"
"252","999","30","310","821509"
"253","999","30","311","825934"
"254","999","30","312","830359"
"255","999","30","313","834784"
"256","999","30","314","839209"
"257","999","30","315","843634"
"258","999","30","316","848059"
"259","999","30","317","852484"
"260","999","30","318","856909"
"261","999","30","319","861334"
"262","999","30","320","865759"
"263","999","30","321","870184"
"264","999","30","322","874609"
"265","999","30","323","879034"
"266","999","30","324","883459"
"267","999","30","325","887884"
"268","999","30","326","892309"
"269","999","30","327","896734"
"270","999","30","328","901159"
"271","999","30","329","905584"
"272","999","30","330","910009"
"273","999","30","331","914434"
"274","999","30","332","918859"
"275","999","30","333","923284"
"276","999","30","334","927709"
"277","999","30","335","932134"
"278","999","30","336","936559"
"279","999","30","337","940984"
"280","999","30","338","945409"
"281","999","30","339","949834"
"282","999","30","340","954259"
"283","999","30","341","958684"
"284","999","30","342","963109"
"285","999","30","343","967534"
"286","999","30","344","971959"
"287","999","30","345","976384"
"288","999","30","346","980809"
"289","999","30","347","985234"
"290","999","30","348","989659"
"291","999","30","349","994084"
"292","999","30","350","998509"
"293","999","30","351","1002934"
"294","999","30","352","1007359"
"295","999","30","353","1011784"
"296","999","30","354","1016209"
"297","999","30","355","1020634"
"298","999","30","356","1025059"
"299","999","30","357","1029484"
"300","999","30","358","1033909"
"301","999","30","359","1038334"
"302","999","30","360","1042759"
"303","999","30","361","1047184"
"304","999","30","362","1051609"
"305","999","30","363","1056034"
"306","999","30","364","1060459"
"307","999","30","365","1064884"
"308","999","30","366","1069309"
"309","999","30","367","1073734"
"310","999","30","368","1078159"
"311","999","30","369","1082584"
"312","999","30","370","1087009"
"313","999","30","371","1091434"
"314","999","30","372","1095859"
"315","999","30","373","1100284"
"316","999","30","374","1104709"
"317","999","30","375","1109134"
"318","999","30","376","1113559"
"319","999","30","377","1117984"
"320","999","30","378","1122409"
"321","999","30","379","1126834"
"322","999","30","380","1131259"
"323","999","30","381","1135684"
"324","999","30","382","1140109"
"325","999","30","383","1144534"
"326","999","30","384","1148959"
"327","999","30","385","1153384"
"328","999","30","386","1157809"
"329","999","30","387","1162234"
"330","999","30","388","1166659"
"331","999","30","389","1171084"
"332","999","30","390","1175509"
"333","999","30","391","1179934"
"334","999","30","392","1184359"
"335","999","30","393","1188784"
"336","999","30","394","1193209"
"337","999","30","395","1197634"
"338","999","30","396","1202059"
"339","999","30","397","1206484"
"340","999","30","398","1210909"
"341","999","30","399","1215334"
"342","999","30","400","1219759"
"343","999","30","401","1224184"
"344","999","30","402","1228609"
"345","999","30","403","1233034"
"346","999","30","404","1237459"
"347","999","30","405","1241884"
"348","999","30","406","1246309"
"349","999","30","407","1250734"
"350","999","30","408","1255159"
"351","999","30","409","1259584"
"352","999","30","410","1264009"
"353","999","30","411","1268434"
"354","999","30","412","1272859"
"355","999","30","413","1277284"
"356","999","30","414","1281709"
"357","999","30","415","1286134"
"358","999","30","416","1290559"
"359","999","30","417","1294984"
"360","999","30","418","1299409"
"361","999","30","419","1303834"
"362","999","30","420","1308259"
"363","999","30","421","1312684"
"364","999","30","422","1317109"
"365","999","30","423","1321534"
"366","999","30","424","1325959"
"367","999","30","425","1330384"
"368","999","30","426","1334809"
"369","999","30","427","1339234"
"370","999","30","428","1343659"
"371","999","30","429","1348084"
