801e0e960388c4fe0c7df32170b33ed970242472f2937619288a3480fa064efe,90ef30e6c9557c10bba8f1beaf7879f00c48c40e8c2e8737a79a5e579cfcb088,387d9b72985a3c15d1328922bba715fe5126d6d27b7cdca0f2285dab2ea6b939,68c1bc32f4432935e6757ba4bfee072c179d3ca68527387c2e73e83148ffee90,f304c5328204d23435ec71d3396b9336542e5e26f53bd14f9d094e50e9eb5a29,b08cde881da6c63c5da632b18a3a653866834f73d9e8f9ee43bce177f0eda375,5896aca0ccbfaa53e139dd6fc06d653a73a056d6972fba2e92915af53a7ecbbb,45c1d32d1dd803cfe9678240963428abe4e30a5ed710c994d1bb3e84bf069d39,8c75cc19a5eb41d8cfbab92927da8b2f5f869b0aaf1835ed72064dd7c4e22731,84a79c81311f8ec4dc6c749dcdb6e5b3e0c08b663b945718e5e20fb768e66772,d338b6a1bf641e6a25a14c07222d27ac0b9f0675c9e6c8cf7833dfa8ccb07166
"","","0","","","","","91","","1020014","2"
"omp_idle_joy1","","112611","","","","1","3","0","1020015","2"
"omp_talk_surprise1","","112411","","","","1","3","0","1020016","2"
"vo_omp_7002_002","0","vo_omp_7002","","","","0","21","","1020017","2"
"でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","1","112411","","1","","10","11","","1020018","2"
"","","0","","","","","91","","1020019","2"
"1","","112411","","","","","4","","1020020","2"
"omp_idle_surprise1","","112411","","","","1","3","0","1020021","2"
"omp_talk_normal","","112511","","","","1","3","0","1020022","2"
"vo_omp_7002_003","0","vo_omp_7002","","","","0","21","","1020023","2"
"全然想像できない味だったね\nいい意味で","1","112511","","1","","10","11","","1020024","2"
"","","0","","","","","91","","1020025","2"
"omp_talk_sad","","112511","","","","1","3","0","1020026","2"
"vo_omp_7002_004","0","vo_omp_7002","","","","0","21","","1020027","2"
"でも魔物が調理されてるところは\nまあ、何て言うか…","1","112511","","1","","10","11","","1020028","2"
"","","0","","","","","91","","1020029","2"
"omp_idle_sad","","112511","","","","1","3","0","1020030","2"
"omp_talk_bitter","","112411","","","","1","3","0","1020031","2"
"vo_omp_7002_005","0","vo_omp_7002","","","","0","21","","1020032","2"
"…す、すごかったですよね","1","112411","","1","","10","11","","1020033","2"
"","","0","","","","","91","","1020034","2"
"omp_idle_bitter","","112411","","","","1","3","0","1020035","2"
"omp_talk_joy1","","112611","","","","1","3","0","1020036","2"
"vo_omp_7002_006","0","vo_omp_7002","","","","0","21","","1020037","2"
"魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","1","112611","","1","","10","11","","1020038","2"
"","","0","","","","","91","","1020039","2"
"omp_idle_joy1","","112611","","","","1","3","0","1020040","2"
"omp_talk_bitter","","112511","","","","1","3","0","1020041","2"
"vo_omp_7002_007","0","vo_omp_7002","","","","0","21","","1020042","2"
"冒険って、奥が深いね…","1","112511","","1","","10","11","","1020043","2"
"","","0","","","","","91","","1020044","2"
"","","0.4","","","","","93","","1020045","2"
"112411","-140","1","omp_talk_joy1","-190","0","1500","1","1.8","1030001","3"
"112611","140","1","omp_idle_normal","-190","1","1500","1","1.8","1030002","3"
"1","0","1","","1","","0","31","1","1030003","3"
"","","1","","","","","93","","1030004","3"
"vo_omp_7003_000","0","vo_omp_7003","","","","0","21","","1030005","3"
"ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","1","112411","","1","","10","11","","1030006","3"
"","","0","","","","","91","","1030007","3"
"omp_psn_20","","112411","","","","1","3","0","1030008","3"
"omp_psn_19","","112611","","","","1","3","0","1030009","3"
"vo_omp_7003_001","0","vo_omp_7003","","","","0","21","","1030010","3"
"た、楽しいかな～？","1","112611","","1","","10","11","","1030011","3"
"","","0","","","","","91","","1030012","3"
"omp_psn_18","","112611","","","","1","3","0","1030013","3"
"omp_talk_joy1","","112411","","","","1","3","0","1030014","3"
"vo_omp_7003_002","0","vo_omp_7003","","","","0","21","","1030015","3"
"怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","1","112411","","1","","10","11","","1030016","3"
"","","0","","","","","91","","1030017","3"
"omp_psn_20","","112411","","","","1","3","0","1030018","3"
"omp_talk_joy1","","112611","","","","1","3","0","1030019","3"
"vo_omp_7003_003","0","vo_omp_7003","","","","0","21","","1030020","3"
"そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","1","112611","","1","","10","11","","1030021","3"
"1","","1.5","","","","","93","","1030022","3"
"omp_psn_19","","112611","","","","1","3","0.2","1030023","3"
"","","1030021","","","","","91","","1030024","3"
"omp_psn_18","","112611","","","","1","3","0","1030025","3"
"omp_talk_joy1","","112411","","","","1","3","0","1030026","3"
"vo_omp_7003_004","0","vo_omp_7003","","","","0","21","","1030027","3"
"かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","1","112411","","1","","10","11","","1030028","3"
"","","0","","","","","91","","1030029","3"
"omp_psn_20","","112411","","","","1","3","0","1030030","3"
"omp_psn_19","","112611","","","","1","3","0","1030031","3"
"vo_omp_7003_005","0","vo_omp_7003","","","","0","21","","1030032","3"
"いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","1","112611","","1","","10","11","","1030033","3"
"","","0","","","","","91","","1030034","3"
"omp_psn_18","","112611","","","","1","3","0","1030035","3"
"omp_talk_joy2","","112411","","","","1","3","0","1030036","3"
"vo_omp_7003_006","0","vo_omp_7003","","","","0","21","","1030037","3"
"あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","1","112411","","1","","10","11","","1030038","3"
"","","0","","","","","91","","1030039","3"
"omp_psn_20","","112411","","","","1","3","0","1030040","3"
"omp_talk_sad","","112611","","","","1","3","0","1030041","3"
"vo_omp_7003_007","0","vo_omp_7003","","","","0","21","","1030042","3"
"そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","1","112611","","1","","10","11","","1030043","3"
"1","","6","","","","","93","","1030044","3"
"omp_talk_joy2","","112611","","","","1","3","0.2","1030045","3"
"","","1030043","","","","","91","","1030046","3"
"omp_idle_joy2","","112611","","","","1","3","0","1030047","3"
"omp_talk_joy2","","112411","","","","1","3","0","1030048","3"
"vo_omp_7003_008","0","vo_omp_7003","","","","0","21","","1030049","3"
"はい！\n一緒に頑張りましょう！","1","112411","","1","","10","11","","1030050","3"
"","","0","","","","","91","","1030051","3"
"","","0.4","","","","","93","","1030052","3"
"105831","-180","1","omp_talk_normal","-195","0","1600","1","1.8","1040001","4"
"105931","20","1","omp_idle_normal","-190","1","1500","1","1.8","1040002","4"
"106031","220","1","omp_idle_normal","-205","1","1600","1","1.8","1040003","4"
"1","0","1","","1","","0","31","1","1040004","4"
"","","1","","","","","93","","1040005","4"
"vo_omp_7004_000","0","vo_omp_7004","","","","0","21","","1040006","4"
"せっかくですから\nわたしたちもアイドルを\nしてみませんか？","1","105831","","1","","10","11","","1040007","4"
"","","0","","","","","91","","1040008","4"
"omp_idle_normal","","105831","","","","1","3","0","1040009","4"
"omp_talk_normal","","105931","","","","1","3","0","1040010","4"
"vo_omp_7004_001","0","vo_omp_7004","","","","0","21","","1040011","4"
"アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","1","105931","","1","","10","11","","1040012","4"
"","","0","","","","","91","","1040013","4"
"0","","105931","","","","","4","","1040014","4"
"omp_idle_normal","","105931","","","","1","3","0","1040015","4"
"omp_surprise","omp_idle_surprise1","106031","","1","","0","3","0","1040016","4"
"vo_omp_7004_002","0","vo_omp_7004","","","","0","21","","1040017","4"
"えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","1","106031","","1","","10","11","","1040018","4"
"1","","2","","","","","93","","1040019","4"
"omp_talk_tsun","","106031","","","","1","3","0.1","1040020","4"
"","","1040018","","","","","91","","1040021","4"
"omp_talk_tsun","","106031","","","","1","3","0","1040022","4"
"vo_omp_7004_003","0","vo_omp_7004","","","","0","21","","1040023","4"
"あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","1","106031","","1","","10","11","","1040024","4"
"","","0","","","","","91","","1040025","4"
"omp_idle_tsun","","106031","","","","1","3","0","1040026","4"
"omp_talk_worry","","105931","","","","1","3","0","1040027","4"
"vo_omp_7004_004","0","vo_omp_7004","","","","0","21","","1040028","4"
"それはそうでございますが…\n好奇心が勝ってしまいまして","1","105931","","1","","10","11","","1040029","4"
"","","0","","","","","91","","1040030","4"
"1","","105931","","","","","4","","1040031","4"
"omp_idle_worry","","105931","","","","1","3","0","1040032","4"
"omp_talk_joy1","","105831","","","","1","3","0","1040033","4"
"vo_omp_7004_005","0","vo_omp_7004","","","","0","21","","1040034","4"
"コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","1","105831","","1","","10","11","","1040035","4"
"1","","5.5","","","","","93","","1040036","4"
"omp_psn_11","","105831","","","","0","3","0.2","1040037","4"
"","","1040035","","","","","91","","1040038","4"
"omp_talk_normal","","105931","","","","1","3","0","1040039","4"
"vo_omp_7004_006","0","vo_omp_7004","","","","0","21","","1040040","4"
"はい♪\nいえーい、でございます…！","1","105931","","1","","10","11","","1040041","4"
"1","","1.5","","","","","93","","1040042","4"
"omp_psn_11","","105931","","1","","0","3","0.2","1040043","4"
"","","1040041","","","","","91","","1040044","4"
"0","","105931","","","","","4","","1040045","4"
"omp_idle_normal","","105931","","","","1","3","0","1040046","4"
"omp_idle_joy1","","105831","","","","1","3","0.2","1040047","4"
"omp_idle_tsun","","106031","","","","1","3","0","1040048","4"
"vo_omp_7004_007","0","vo_omp_7004","","","","0","21","","1040049","4"
"いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","1","106031","","1","","10","11","","1040050","4"
"1","","7","","","","","93","","1040051","4"
"omp_psn_12","","106031","","","","0","3","0.1","1040052","4"
"","","1.5","","","","","93","","1040053","4"
"","","1040050","","","","","91","","1040054","4"
"omp_idle_normal","","106031","","","","1","3","0.2","1040055","4"
"omp_idle_surprise1","","105831","","","","1","3","0","1040056","4"
"vo_omp_7004_008","0","vo_omp_7004","","","","0","21","","1040057","4"
"キャ、キャルちゃん…","1","105831","","1","","10","11","","1040058","4"
"","","0","","","","","91","","1040059","4"
"omp_idle_surprise1","","105831","","","","1","3","0","1040060","4"
"omp_talk_sad","","105931","","","","1","3","0","1040061","4"
"vo_omp_7004_009","0","vo_omp_7004","","","","0","21","","1040062","4"
"ものすごく、本気でございますね","1","105931","","1","","10","11","","1040063","4"
"","","0","","","","","91","","1040064","4"
"omp_idle_sad","","105931","","","","1","3","0","1040065","4"
"omp_surprise","omp_talk_surprise2","106031","","1","0.1","0","3","0","1040066","4"
"vo_omp_7004_010","0","vo_omp_7004","","","","0","21","","1040067","4"
"はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","1","106031","","1","","10","11","","1040068","4"
"1","","6.5","","","","","93","","1040069","4"
"omp_talk_tsun","","106031","","","","1","3","0.2","1040070","4"
"","","1040068","","","","","91","","1040071","4"
"","","0.4","","","","","93","","1040072","4"
"112611","-140","1","omp_talk_joy1","-190","0","1500","1","1.8","1050001","5"
"112511","140","1","omp_idle_normal","-190","1","1500","1","1.8","1050002","5"
"1","0","1","","1","","0","31","1","1050003","5"
"","","1","","","","","93","","1050004","5"
"vo_omp_7005_000","0","vo_omp_7005","","","","0","21","","1050005","5"
"冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","1","112611","","1","","10","11","","1050006","5"
"","","0","","","","","91","","1050007","5"
"omp_idle_joy1","","112611","","","","1","3","0","1050008","5"
"omp_talk_normal","","112511","","","","1","3","0","1050009","5"
"vo_omp_7005_001","0","vo_omp_7005","","","","0","21","","1050010","5"
"そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","1","112511","","1","","10","11","","1050011","5"
"","","0","","","","","91","","1050012","5"
"omp_idle_normal","","112511","","","","1","3","0","1050013","5"
"omp_talk_joy1","","112611","","","","1","3","0","1050014","5"
"vo_omp_7005_002","0","vo_omp_7005","","","","0","21","","1050015","5"
"私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","1","112611","","1","","10","11","","1050016","5"
"1","","6.2","","","","","93","","1050017","5"
"omp_talk_thinking","","112611","","","","1","3","0.2","1050018","5"
"","","1050016","","","","","91","","1050019","5"
"omp_idle_thinking","","112611","","","","1","3","0","1050020","5"
"omp_talk_normal2","","112511","","","","1","3","0","1050021","5"
"vo_omp_7005_003","0","vo_omp_7005","","","","0","21","","1050022","5"
"ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","1","112511","","1","","10","11","","1050023","5"
"","","0","","","","","91","","1050024","5"
"omp_idle_calm","","112511","","","","1","3","0","1050025","5"
"omp_talk_sad","","112611","","","","1","3","0.1","1050026","5"
"vo_omp_7005_004","0","vo_omp_7005","","","","0","21","","1050027","5"
"し…し…","1","112611","","1","","10","11","","1050028","5"
"","","0","","","","","91","","1050029","5"
"omp_idle_sad","","112611","","","","1","3","0","1050030","5"
"omp_psn_19","","112511","","","","1","3","0","1050031","5"
"vo_omp_7005_005","0","vo_omp_7005","","","","0","21","","1050032","5"
"し…？","1","112511","","1","","10","11","","1050033","5"
"","","0","","","","","91","","1050034","5"
"omp_psn_18","","112511","","","","1","3","0","1050035","5"
"omp_talk_sad","","112611","","","","1","3","0","1050036","5"
"vo_omp_7005_006","0","vo_omp_7005","","","","0","21","","1050037","5"
"しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","1","112611","","1","","10","11","","1050038","5"
"1","","4.5","","","","","93","","1050039","5"
"omp_talk_surprise2","","112611","","","","1","3","0.2","1050040","5"
"","","1050038","","","","","91","","1050041","5"
"omp_idle_surprise2","","112611","","","","1","3","0","1050042","5"
"omp_talk_normal","","112511","","","","1","3","0","1050043","5"
"vo_omp_7005_007","0","vo_omp_7005","","","","0","21","","1050044","5"
"さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","1","112511","","1","","10","11","","1050045","5"
"1","","3.5","","","","","93","","1050046","5"
"omp_talk_anger","","112511","","","","1","3","0.2","1050047","5"
"","","1050045","","","","","91","","1050048","5"
"omp_idle_anger","","112511","","","","1","3","0","1050049","5"
"omp_talk_joy1","","112611","","","","1","3","0","1050050","5"
"vo_omp_7005_008","0","vo_omp_7005","","","","0","21","","1050051","5"
"えへへ、ごめんごめん☆","1","112611","","1","","10","11","","1050052","5"
"","","0","","","","","91","","1050053","5"
"omp_idle_joy1","","112611","","","","1","3","0","1050054","5"
"omp_talk_sad","","112511","","","","1","3","0","1050055","5"
"vo_omp_7005_009","0","vo_omp_7005","","","","0","21","","1050056","5"
"まったく\n…けど、さっきのは\nほんとのことだからね","1","112511","","1","","10","11","","1050057","5"
"1","","2","","","","","93","","1050058","5"
"omp_talk_normal","","112511","","","","1","3","0.2","1050059","5"
"","","1050057","","","","","91","","1050060","5"
"omp_idle_normal","","112511","","","","1","3","0","1050061","5"
"omp_talk_joy2","","112611","","","","1","3","0","1050062","5"
"vo_omp_7005_010","0","vo_omp_7005","","","","0","21","","1050063","5"
"うん！\nありがとっ、しぶりん！","1","112611","","1","","10","11","","1050064","5"
"","","0","","","","","91","","1050065","5"
"","","0.4","","","","","93","","1050066","5"
"112511","-180","1","omp_talk_normal","-195","0","1600","1","1.8","1060001","6"
"112411","20","1","omp_idle_normal","-190","1","1500","1","1.8","1060002","6"
"112611","220","1","omp_idle_normal","-205","1","1600","1","1.8","1060003","6"
"1","0","1","","1","","0","31","1","1060004","6"
"","","1","","","","","93","","1060005","6"
"vo_omp_7006_000","0","vo_omp_7006","","","","0","21","","1060006","6"
"ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","1","112511","","1","","10","11","","1060007","6"
"","","0","","","","","91","","1060008","6"
"omp_idle_normal","","112511","","","","1","3","0","1060009","6"
"omp_talk_joy1","","112611","","","","1","3","0","1060010","6"
"vo_omp_7006_001","0","vo_omp_7006","","","","0","21","","1060011","6"
"うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","1","112611","","1","","10","11","","1060012","6"
"","","0","","","","","91","","1060013","6"
"0","","112411","","","","","4","","1060014","6"
"omp_idle_joy1","","112611","","","","1","3","0","1060015","6"
"omp_talk_joy1","","112411","","","","1","3","0","1060016","6"
"vo_omp_7006_002","0","vo_omp_7006","","","","0","21","","1060017","6"
"えへへっ、ありがとうございます！\nえっと…","1","112411","","1","","10","11","","1060018","6"
"","","0","","","","","91","","1060019","6"
"omp_talk_normal","","112411","","","","1","3","0","1060020","6"
"vo_omp_7006_003","0","vo_omp_7006","","","","0","21","","1060021","6"
"朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","1","112411","","1","","10","11","","1060022","6"
"","","0","","","","","91","","1060023","6"
"omp_talk_thinking","","112411","","","","1","3","0","1060024","6"
"vo_omp_7006_004","0","vo_omp_7006","","","","0","21","","1060025","6"
"あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","1","112411","","1","","10","11","","1060026","6"
"","","0","","","","","91","","1060027","6"
"omp_talk_normal2","","112411","","","","1","3","0","1060028","6"
"vo_omp_7006_005","0","vo_omp_7006","","","","0","21","","1060029","6"
"だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","1","112411","","1","","10","11","","1060030","6"
"","","0","","","","","91","","1060031","6"
"omp_idle_calm","","112411","","","","1","3","0","1060032","6"
"omp_talk_sad","","112611","","","","1","3","0","1060033","6"
"vo_omp_7006_006","0","vo_omp_7006","","","","0","21","","1060034","6"
"しまむー…！","1","112611","","1","","10","11","","1060035","6"
"","","0","","","","","91","","1060036","6"
"1","","112411","","","","","4","","1060037","6"
"omp_idle_sad","","112611","","","","1","3","0","1060038","6"
"omp_talk_thinking","","112511","","","","1","3","0","1060039","6"
"vo_omp_7006_007","0","vo_omp_7006","","","","0","21","","1060040","6"
"そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","1","112511","","1","","10","11","","1060041","6"
"","","0","","","","","91","","1060042","6"
"0","","112411","","","","","4","","1060043","6"
"omp_idle_thinking","","112511","","","","1","3","0","1060044","6"
"omp_talk_joy1","","112611","","","","1","3","0","1060045","6"
"vo_omp_7006_008","0","vo_omp_7006","","","","0","21","","1060046","6"
"うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","1","112611","","1","","10","11","","1060047","6"
"","","0","","","","","91","","1060048","6"
"1","","112411","","","","","4","","1060049","6"
"omp_idle_joy1","","112611","","","","1","3","0","1060050","6"
"omp_talk_joy2","","112411","","","","1","3","0","1060051","6"
"vo_omp_7006_009","0","vo_omp_7006","","","","0","21","","1060052","6"
"リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","1","112411","","1","","10","11","","1060053","6"
"1","","1.2","","","","","93","","1060054","6"
"0","","112411","","","","","4","","1060055","6"
"","","1060053","","","","","91","","1060056","6"
"-180","0","112511","","1","","-195","2","","1060057","6"
"0","0","112411","","1","","-190","2","","1060058","6"
"180","0","112611","","1","","-195","2","","1060059","6"
"omp_psn_dicision_rin","","112511","","","","0","3","0.1","1060060","6"
"omp_psn_dicision_uduki","","112411","","","","0","3","0.1","1060061","6"
"omp_psn_dicision_mio","","112611","","","","0","3","0.1","1060062","6"
"2","0","2","","1","","0","31","1","1060063","6"
"","","1060062","","","","","91","","1060064","6"
"","","0.6","","","","","93","","1060065","6"
"105831","-100","1","omp_idle_normal","-205","0","1600","1","1.8","1070001","7"
"105931","-390","1","omp_idle_normal","-225","0","1600","1","1.8","1070002","7"
"106031","-260","1","omp_idle_normal","-190","0","1500","1","1.8","1070003","7"
"112511","250","1","omp_idle_normal","-185","1","1500","1","1.8","1070004","7"
"112411","385","1","omp_idle_normal","-220","1","1600","1","1.8","1070005","7"
"112611","100","1","omp_idle_normal","-195","1","1600","1","1.8","1070006","7"
"1","0","1","","1","","0","31","1","1070007","7"
"","","0.2","","","","","93","","1070008","7"
"omp_idle_normal","","112611","","","","1","3","0.1","1070009","7"
"omp_talk_normal","","112411","","","","1","3","0","1070010","7"
"omp_idle_normal","","112511","","","","1","3","0.1","1070011","7"
"omp_idle_normal","","105831","","","","1","3","0.1","1070012","7"
"","","0.1","","","","","93","","1070013","7"
"","","1","","","","","93","","1070014","7"
"vo_omp_7007_000","0","vo_omp_7007","","","","0","21","","1070015","7"
"今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","1","112411","","1","","10","11","","1070016","7"
"","","0","","","","","91","","1070017","7"
"omp_idle_normal","","112411","","","","1","3","0.1","1070018","7"
"omp_talk_normal","","105831","","","","1","3","0.1","1070019","7"
"vo_omp_7007_001","0","vo_omp_7007","","","","0","21","","1070020","7"
"緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","1","105831","","1","","10","11","","1070021","7"
"","","0","","","","","91","","1070022","7"
"omp_idle_normal","","105831","","","","1","3","0","1070023","7"
"omp_talk_worry","","105931","","","","1","3","0","1070024","7"
"vo_omp_7007_002","0","vo_omp_7007","","","","0","21","","1070025","7"
"ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","1","105931","","1","","10","11","","1070026","7"
"","","0","","","","","91","","1070027","7"
"omp_idle_worry","","105931","","","","1","3","0","1070028","7"
"omp_talk_normal","","106031","","","","1","3","0","1070029","7"
"vo_omp_7007_003","0","vo_omp_7007","","","","0","21","","1070030","7"
"まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","1","106031","","1","","10","11","","1070031","7"
"","","0","","","","","91","","1070032","7"
"omp_idle_normal","","106031","","","","1","3","0","1070033","7"
"omp_talk_worry","","112611","","","","1","3","0","1070034","7"
"vo_omp_7007_004","0","vo_omp_7007","","","","0","21","","1070035","7"
"もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","1","112611","","1","","10","11","","1070036","7"
"","","0","","","","","91","","1070037","7"
"omp_idle_worry","","112611","","","","1","3","0","1070038","7"
"omp_talk_normal2","","105931","","","","1","3","0","1070039","7"
"vo_omp_7007_005","0","vo_omp_7007","","","","0","21","","1070040","7"
"でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","1","105931","","1","","10","11","","1070041","7"
"","","0","","","","","91","","1070042","7"
"omp_idle_calm","","105931","","","","1","3","0","1070043","7"
"omp_talk_normal2","","112511","","","","1","3","0","1070044","7"
"vo_omp_7007_006","0","vo_omp_7007","","","","0","21","","1070045","7"
