22f18e1f776e2baa6333f7a002ae56291de9750b7823858696c24023f018af49,0fd181baa1812cb064a478cfd0fc2225819e79184b552c30e6a27829bb38c5b5,2d591168182cdc63d6acbc9f8da7e6a6206905d5fae9d9f31f5e92d42b46e8bd,2cd148fd850320dde5d79b27718fe1f6d06d18401e6d8c69e36a43d3b0f198af,d3447c02cdaa2f3ff0e1c513420f3778074113c80a397b33c3e61ed181a8f6d0,e006d12a46f016dfe4187c51237a6d708c75f357279beab772452b7955e4db3a,1b9166fd57f76178c1aea60e905c570d83a2557fc333c2a0fad47cd78cf0d53d,985eecb2e454f265d5f1cad811e18d220973dec5a39c3bb7b96b3c5a7f9efa64,af80e6b89917d2d53edcbd0f0a8487f08e9c6fca8fae7412ade891979b9b9b9b,b5a16dd6f90a2ff983716d9486fc93fce94020556d060db676f726010766599d,443831cce9aae25d615a2c83145b6d2bba7a71af10b9c6a37c5209aee8e72aa0
"0","0","0.5","11","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","119931","6","1","0","1037","1"
"","","","91","","0","","","","1038","1"
"","","","22","0","0","","","","1039","1"
"0","0","0","12","11","1","1","0","0","1040","1"
"1","0.2","","3","psy_item00_talk_guts","1","0","psy_item00_idle_guts","0.2","1041","1"
"","","","93","","2","","","","1042","1"
"","0.2","","3","psy_miyako_talk_joy2","119931","1","","","1043","1"
"","","","21","vo_minigame_1008_drama_0104","vo_minigame_1008","0","0","","1044","1"
"0","0","0.5","11","みんなみんな\nおいしいプリンにしてやるの～♪","119931","5","1","0","1045","1"
"","","","93","1","4","","","","1046","1"
"1","0.2","","3","psy_miyako_fight_in","119931","0","psy_miyako_fight_loop","0.2","1047","1"
"1","0.2","","3","psy_item00_handsup","1","0","psy_item00_handsup_loop","0.2","1048","1"
"","","","93","","1.5","","","","1049","1"
"","","","91","","1045","","","","1050","1"
"","","","22","0","0","","","","1051","1"
"-200","1.7","psy_miyako_start","1","119931","1","100","-300","0","2001","2"
"-220","1.7","psy_walk","1","106011","1","100","300","1","2002","2"
"1","1","","31","11","1","0","0","","2003","2"
"-200","1.7","psy_smoke_start","5","1","1","101","-300","0","2004","2"
"0","","","2","185","106011","-220","2","","2005","2"
"","","","93","","2","","","","2006","2"
"1","0.2","","3","psy_kyaru_talk_arm_crossed","106011","0","psy_kyaru_talk_arm_crossed_loop","0","2007","2"
"","","","21","vo_minigame_1008_drama_0305","vo_minigame_1008","0","0","","2008","2"
"0","0","0.5","11","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","106011","8","1","0","2009","2"
"","","","91","","0","","","","2010","2"
"","","","21","vo_minigame_1008_drama_0306","vo_minigame_1008","0","0","","2011","2"
"","0.2","","3","psy_talk_sad","106011","1","","","2012","2"
"0","0","0.5","11","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","106011","8","1","0","2013","2"
"","","","93","1","4","","","","2014","2"
"","0.2","","3","psy_talk_sad","106011","1","","","2015","2"
"","","","91","","2013","","","","2016","2"
"","0.2","","3","psy_idle_sad","106011","1","","","2017","2"
"1","0.2","","3","psy_miyako_appear","119931","0","psy_miyako_thinking4","0.2","2018","2"
"0","0","","3","psy_smoke_appear","1","0","psy_smoke_start","0","2019","2"
"","","","21","vo_minigame_1008_drama_0301","vo_minigame_1008","0","0","","2020","2"
"0","0","1","11","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","119931","4","1","0","2021","2"
"","","","93","1","1","","","","2022","2"
"1","0.2","","3","psy_surprise","106011","0","psy_idle_surprise2","0.2","2023","2"
"","","","91","","2021","","","","2024","2"
"","","","22","0","0","","","","2025","2"
"","0.2","","3","psy_miyako_idle_thinking","119931","1","","","2026","2"
"","0.2","","3","psy_talk_surprise2","106011","1","","","2027","2"
"","","","21","vo_minigame_1008_drama_0307","vo_minigame_1008","0","0","","2028","2"
"0","0","0.5","11","キャッ！？\nいきなり出てきてなんなのよあんた！","106011","8","1","0","2029","2"
"","","","91","","0","","","","2030","2"
"","0.2","","3","psy_idle_surprise2","106011","1","","","2031","2"
"","0.2","","3","psy_miyako_anger1","119931","1","","","2032","2"
"","","","21","vo_minigame_1008_drama_0302","vo_minigame_1008","0","0","","2033","2"
"0","0","1","11","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","119931","5","1","0","2034","2"
"","","","93","1","8","","","","2035","2"
"","0.2","","3","psy_miyako_thinking2","119931","1","","","2036","2"
"","","","91","","2034","","","","2037","2"
"","","","22","0","0","","","","2038","2"
"","0.2","","3","psy_talk_sad","106011","1","","","2039","2"
"","","","21","vo_minigame_1008_drama_0308","vo_minigame_1008","0","0","","2040","2"
"0","0","0.5","11","な、何よ……","106011","8","1","0","2041","2"
"","","","91","","0","","","","2042","2"
"","0.2","","3","psy_idle_sad","106011","1","","","2043","2"
"","0.2","","3","psy_miyako_run","119931","1","","","2044","2"
"0","","","2","0","119931","-200","2","","2045","2"
"","","","93","","2","","","","2046","2"
"","0.2","","3","psy_miyako_thinking2","119931","1","","","2047","2"
"","","","21","vo_minigame_1008_drama_0303","vo_minigame_1008","0","0","","2048","2"
"0","0","1","11","むむむむむ……\nオマエ、なんかおいしそうなの……","119931","6","1","0","2049","2"
"","","","91","","0","","","","2050","2"
"","","","22","0","0","","","","2051","2"
"","","","93","","0.5","","","","2052","2"
"","0.2","","3","psy_talk_sad","106011","1","","","2053","2"
"","","","21","vo_minigame_1008_drama_0309","vo_minigame_1008","0","0","","2054","2"
"0","0","0.5","11","はぁ～？","106011","8","1","0","2055","2"
"","","","91","","0","","","","2056","2"
"","0.2","","3","psy_idle_sad","106011","1","","","2057","2"
"","","","21","vo_minigame_1008_drama_0304","vo_minigame_1008","0","0","","2058","2"
"0","0","0.5","11","オマエをプリンにしてやるの～～！！","119931","6","1","0","2059","2"
"","","","93","1","0.5","","","","2060","2"
"1","0.2","","3","psy_miyako_attack_in","119931","0","psy_miyako_attack_loop","0","2061","2"
"","","","93","1","0.2","","","","2062","2"
"1","0.2","","3","psy_surprise","106011","0","psy_idle_surprise2","0.2","2063","2"
"","","","91","","2059","","","","2064","2"
"","","","22","0","0","","","","2065","2"
"","0.2","","3","psy_talk_surprise2","106011","1","","","2066","2"
"","","","21","vo_minigame_1008_drama_0310","vo_minigame_1008","0","0","","2067","2"
"0","0","0.5","11","な、なんなのよこの店～～！！","106011","8","1","0","2068","2"
"","","","91","","0","","","","2069","2"
"","","","4","0","106011","","","","2070","2"
"","0.2","","3","psy_run_shy","106011","1","","","2071","2"
"","0.2","","3","psy_miyako_attack_loop_move","119931","1","","","2072","2"
"0","","","2","1000","106011","-220","3","","2073","2"
"0","","","2","1000","119931","-220","5","","2074","2"
"","","","93","","3.5","","","","2075","2"
"","","","22","0","0","","","","2076","2"
"","","","91","","0","","","","2077","2"
"-150","1.65","psy_miyako_gasagoso_B","1","119931","1","100","-250","1","3001","3"
"-180","1.7","psy_walk","1","105511","1","100","340","1","3002","3"
"1","1","","31","11","1","0","0","","3003","3"
"-220","1.7","psy_smoke_start","5","1","1","101","-300","0","3004","3"
"0","","","2","225","105511","-180","2","","3005","3"
"","","","93","","2","","","","3006","3"
"","0.2","","3","psy_talk_wish","105511","1","","","3007","3"
"","","","21","vo_minigame_1008_drama_0203","vo_minigame_1008","0","0","","3008","3"
"0","0","0.5","11","こ、ここで先輩が働いてるんですよね？","105511","8","1","0","3009","3"
"","","","91","","0","","","","3010","3"
"1","0.2","","3","psy_ayumi_kyoro_in","105511","0","psy_ayumi_kyoro_loop","0","3011","3"
"","","","93","","1.8","","","","3012","3"
"","0.2","","3","psy_talk_joy1","105511","1","","","3013","3"
"","","","21","vo_minigame_1008_drama_0204","vo_minigame_1008","0","0","","3014","3"
"0","0","0.5","11","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","105511","8","1","0","3015","3"
"","","","91","","0","","","","3016","3"
"","0.2","","3","psy_talk_call","105511","1","","","3017","3"
"","","","21","vo_minigame_1008_drama_0205","vo_minigame_1008","0","0","","3018","3"
"0","0","0.5","11","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","105511","8","1","0","3019","3"
"","","","93","1","3","","","","3020","3"
"0","0","0","12","5","119931","0.8","1","0","3021","3"
"","","","4","0","119931","","","","3022","3"
"","0","","3","psy_miyako_idle_thinking","119931","1","","","3023","3"
"","","","93","1","1.5","","","","3024","3"
"","","","4","1","119931","","","","3025","3"
"","0","","3","psy_miyako_gasagoso_B","119931","1","","","3026","3"
"","","","93","1","0.5","","","","3027","3"
"","0.2","","3","psy_talk_sad","105511","1","","","3028","3"
"","","","91","","3019","","","","3029","3"
"","0.2","","3","psy_talk_wish","105511","1","","","3030","3"
"","","","21","vo_minigame_1008_drama_0206","vo_minigame_1008","0","0","","3031","3"
"0","0","0.5","11","と、とりあえずお金はおいておきますね\n失礼します！","105511","8","1","0","3032","3"
"","","","93","1","2","","","","3033","3"
"","0.2","","3","psy_gasagoso_B2","105511","1","","","3034","3"
"","","","93","1","1","","","","3035","3"
"1","0.2","","3","psy_pekori","105511","0","psy_idle_normal","0.2","3036","3"
"","","","91","","3032","","","","3037","3"
"","","","4","0","105511","","","","3038","3"
"","0.2","","3","psy_run","105511","1","","","3039","3"
"0","","","2","1000","105511","-180","3","","3040","3"
"","","","93","","3","","","","3041","3"
"","","","93","","0.5","","","","3042","3"
"","0","","3","psy_miyako_idle_thinking","119931","1","","","3043","3"
"","","","93","","2","","","","3044","3"
"","","","4","0","119931","","","","3045","3"
"","0.2","","3","psy_miyako_run","119931","1","","","3046","3"
"0","","","2","0","119931","-165","2","","3047","3"
"","","","93","","2","","","","3048","3"
"","0.2","","3","psy_miyako_thinking4","119931","1","","","3049","3"
"","","","21","vo_minigame_1008_drama_0201","vo_minigame_1008","0","0","","3050","3"
"0","0","0.5","11","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","119931","5","1","0","3051","3"
"","","","93","1","4","","","","3052","3"
"","0.2","","3","psy_miyako_panic1","119931","1","","","3053","3"
"","","","91","","3051","","","","3054","3"
"","","","22","0","0","","","","3055","3"
"1","0.2","","3","psy_miyako_surprise2_in","119931","0","psy_miyako_surprise2_loop","0","3056","3"
"","","","21","vo_minigame_1008_drama_0202","vo_minigame_1008","0","0","","3057","3"
"0","0","1","11","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","119931","5","1","0","3058","3"
"","","","93","1","4","","","","3059","3"
"","0.2","","3","psy_miyako_thinking4","119931","1","","","3060","3"
"","","","91","","3058","","","","3061","3"
"","","","22","0","0","","","","3062","3"
"","","","93","","1","","","","3063","3"
"","","","91","","0","","","","3064","3"
"-200","1.7","psy_miyako_start","1","119931","1","100","-300","0","4001","4"
"-220","1.7","psy_walk","1","107131","1","100","300","1","4002","4"
"1","1","","31","11","1","0","0","","4003","4"
"-200","1.7","psy_smoke_start","5","1","1","101","-300","0","4004","4"
"0","","","2","185","107131","-220","2","","4005","4"
"","","","93","","2","","","","4006","4"
"1","0.2","","3","psy_talk_doya","107131","0","psy_talk_doya_loop","0.2","4007","4"
"","","","21","vo_minigame_1008_drama_0405","vo_minigame_1008","0","0","","4008","4"
"0","0","0.5","11","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","107131","8","1","0","4009","4"
"","","","91","","0","","","","4010","4"
"","0.2","","3","psy_idle_doya","107131","1","","","4011","4"
"","0.2","","3","psy_talk_sad","107131","1","","","4012","4"
"","","","21","vo_minigame_1008_drama_0406","vo_minigame_1008","0","0","","4013","4"
"0","0","0.5","11","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","107131","8","1","0","4014","4"
"","","","93","1","6","","","","4015","4"
"","0.2","","3","psy_talk_call","107131","1","","","4016","4"
"","","","91","","4014","","","","4017","4"
"","0.2","","3","psy_idle_arm_crossed","107131","1","","","4018","4"
"1","0","","3","psy_miyako_appear","119931","0","psy_miyako_talk_joy1","0.2","4019","4"
"0","0","","3","psy_smoke_appear","1","0","psy_smoke_start","0","4020","4"
"","","","21","vo_minigame_1008_drama_0401","vo_minigame_1008","0","0","","4021","4"
"0","0","0.5","11","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","119931","6","1","0","4022","4"
"","","","91","","0","","","","4023","4"
"","","","22","0","0","","","","4024","4"
"","0.2","","3","psy_miyako_idle","119931","1","","","4025","4"
"","0.2","","3","psy_talk_normal","107131","1","","","4026","4"
"","","","21","vo_minigame_1008_drama_0407","vo_minigame_1008","0","0","","4027","4"
"0","0","0.5","11","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","107131","8","1","0","4028","4"
"","","","91","","0","","","","4029","4"
"","0.2","","3","psy_idle_normal","107131","1","","","4030","4"
"","0.2","","3","psy_miyako_sad1","119931","1","","","4031","4"
"","","","21","vo_minigame_1008_drama_0402","vo_minigame_1008","0","0","","4032","4"
"0","0","0.5","11","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","119931","6","1","0","4033","4"
"","","","93","1","5","","","","4034","4"
"","0.2","","3","psy_miyako_talk4","119931","1","","","4035","4"
"","","","91","","4033","","","","4036","4"
"","","","22","0","0","","","","4037","4"
"","0.2","","3","psy_miyako_idle2","119931","1","","","4038","4"
"1","0.2","","3","psy_ahaha_in","107131","0","psy_ahaha_loop","0.2","4039","4"
"","","","21","vo_minigame_1008_drama_0408","vo_minigame_1008","0","0","","4040","4"
"0","0","0.5","11","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","107131","8","1","0","4041","4"
"","","","93","1","1.7","","","","4042","4"
"","0.2","","3","psy_talk_joy1","107131","1","","","4043","4"
"","","","91","","4041","","","","4044","4"
"1","0.2","","3","psy_talk_doya","107131","0","psy_talk_doya_loop","0.2","4045","4"
"","","","21","vo_minigame_1008_drama_0409","vo_minigame_1008","0","0","","4046","4"
"0","0","0.5","11","なんとしてもおまえからお菓子を\n買わせてもらおう。","107131","8","1","0","4047","4"
"","","","91","","0","","","","4048","4"
"","0.2","","3","psy_idle_wish","107131","1","","","4049","4"
"","0.2","","3","psy_miyako_panic1","119931","1","","","4050","4"
"","","","21","vo_minigame_1008_drama_0403","vo_minigame_1008","0","0","","4051","4"
"0","0","0.5","11","なんでそうなるの！？\nいいから帰れなの！","119931","6","1","0","4052","4"
"","","","91","","0","","","","4053","4"
"","","","22","0","0","","","","4054","4"
"","0.2","","3","psy_miyako_idle_panic","119931","1","","","4055","4"
"1","0.2","","3","psy_cris_approach_in","107131","0","psy_cris_approach_loop","0","4056","4"
"","","","21","vo_minigame_1008_drama_0410","vo_minigame_1008","0","0","","4057","4"
"0","0","0.5","11","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","107131","8","1","0","4058","4"
"","","","93","1","4","","","","4059","4"
"1","0.2","","3","psy_talk_arm_crossed","107131","0","psy_talk_arm_crossed_loop","0","4060","4"
"","","","91","","4058","","","","4061","4"
"","0.2","","3","psy_talk_joy1","107131","1","","","4062","4"
"","","","21","vo_minigame_1008_drama_0411","vo_minigame_1008","0","0","","4063","4"
"0","0","0.5","11","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","107131","8","1","0","4064","4"
"","","","91","","0","","","","4065","4"
"","0.2","","3","psy_idle_joy1","107131","1","","","4066","4"
"","0.2","","3","psy_miyako_anger2","119931","1","","","4067","4"
"","","","21","vo_minigame_1008_drama_0404","vo_minigame_1008","0","0","","4068","4"
"0","0","0.5","11","な、なんでそうなるのーー！？","119931","6","1","0","4069","4"
"","","","93","","4","","","","4070","4"
"","","","91","","0","","","","4071","4"
"-200","1.7","psy_miyako_start","1","119931","1","100","-300","0","5001","5"
"-220","1.7","psy_walk","1","104931","1","100","300","1","5002","5"
"1","1","","31","11","1","0","0","","5003","5"
"-200","1.7","psy_smoke_start","5","1","1","101","-300","0","5004","5"
"0","","","2","185","104931","-220","2","","5005","5"
"","","","93","","2","","","","5006","5"
"","0.2","","3","psy_talk_wish","104931","1","","","5007","5"
"","","","21","vo_minigame_1008_drama_0504","vo_minigame_1008","0","0","","5008","5"
"0","0","0.5","11","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","104931","8","1","0","5009","5"
"","","","93","1","4.3","","","","5010","5"
"","0.2","","3","psy_talk_joy1","104931","1","","","5011","5"
"","","","91","","5009","","","","5012","5"
"","0.2","","3","psy_idle_joy1","104931","1","","","5013","5"
"1","0","","3","psy_miyako_appear","119931","0","psy_miyako_talk3","0.2","5014","5"
"0","0","","3","psy_smoke_appear","1","0","psy_smoke_start","0","5015","5"
"","","","21","vo_minigame_1008_drama_0501","vo_minigame_1008","0","0","","5016","5"
"0","0","0.5","11","うるさいの。\nいきなりなんなの？","119931","6","1","0","5017","5"
"","","","91","","0","","","","5018","5"
"","","","22","0","0","","","","5019","5"
"","0.2","","3","psy_miyako_idle","119931","1","","","5020","5"
"","0.2","","3","psy_talk_joy1","104931","1","","","5021","5"
"","","","21","vo_minigame_1008_drama_0505","vo_minigame_1008","0","0","","5022","5"
"0","0","0.5","11","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","104931","8","1","0","5023","5"
"","","","93","","4","","","","5024","5"
"","0.2","","3","psy_talk_wish","104931","1","","","5025","5"
"","","","91","","5023","","","","5026","5"
"","","","91","","0","","","","5027","5"
"","0.2","","3","psy_idle_wish","104931","1","","","5028","5"
"","0.2","","3","psy_miyako_anger3","119931","1","","","5029","5"
"","","","21","vo_minigame_1008_drama_0502","vo_minigame_1008","0","0","","5030","5"
"0","0","0.5","11","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","119931","6","1","0","5031","5"
"","","","93","1","5","","","","5032","5"
"1]","0.2","","3","psy_miyako_arm_crossed_in","119931","0","psy_miyako_arm_crossed_loop","0","5033","5"
"","","","91","","5031","","","","5034","5"
"","","","22","0","0","","","","5035","5"
"","0.2","","3","psy_miyako_arm_crossed_idle","119931","1","","","5036","5"
"","0.2","","3","psy_talk_wish","104931","1","","","5037","5"
"","","","21","vo_minigame_1008_drama_0506","vo_minigame_1008","0","0","","5038","5"
"0","0","0.5","11","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","104931","8","1","0","5039","5"
"","","","91","","0","","","","5040","5"
"","0.2","","3","psy_talk_joy2","104931","1","","","5041","5"
"","","","21","vo_minigame_1008_drama_0507","vo_minigame_1008","0","0","","5042","5"
"0","0","0.5","11","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","104931","8","1","0","5043","5"
"","","","91","","0","","","","5044","5"
"","0.2","","3","psy_talk_memory","104931","1","","","5045","5"
"","","","21","vo_minigame_1008_drama_0508","vo_minigame_1008","0","0","","5046","5"
"0","0","0.5","11","まずはそう、運命の出会いから……","104931","8","1","0","5047","5"
"","","","91","","0","","","","5048","5"
"","0.2","","3","psy_idle_memory","104931","1","","","5049","5"
"","0.2","","3","psy_miyako_sad1","119931","1","","","5050","5"
"","","","21","vo_minigame_1008_drama_0503","vo_minigame_1008","0","0","","5051","5"
"0","0","0.5","11","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","119931","6","1","0","5052","5"
"","","","91","","0","","","","5053","5"
"","","","22","0","0","","","","5054","5"
"","0.2","","3","psy_miyako_hide","119931","0","","","5055","5"
"0","0","","3","psy_smoke_hide","1","0","psy_smoke_start","0","5056","5"
"","","","93","","2","","","","5057","5"
"","","","91","","0","","","","5058","5"
"-200","1.7","psy_miyako_idle_thinking","1","119931","1","100","-300","1","6001","6"
"-220","1.7","psy_walk","1","103131","1","100","300","1","6002","6"
"1","1","","31","11","1","0","0","","6003","6"
"0","0","0","12","17","119931","2","0","0","6004","6"
"0","","","2","185","103131","-220","2","","6005","6"
"","","","93","","2","","","","6006","6"
"","0.2","","3","psy_talk_wish","103131","1","","","6007","6"
"","","","21","vo_minigame_1008_drama_0605","vo_minigame_1008","0","0","","6008","6"
"0","0","0.5","11","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","103131","8","1","0","6009","6"
"","","","91","","0","","","","6010","6"
"","0.2","","3","psy_idle_wish","103131","1","","","6011","6"
"","","","4","0","119931","","","","6012","6"
"1","0.2","","3","psy_miyako_surprise2_in","119931","0","psy_miyako_talk_joy2","0.2","6013","6"
"","","","93","","1","","","","6014","6"
"","","","21","vo_minigame_1008_drama_0601","vo_minigame_1008","0","0","","6015","6"
"0","0","0.5","11","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","119931","6","1","0","6016","6"
"","","","93","1","3","","","","6017","6"
"","0.2","","3","psy_miyako_talk2","119931","1","","","6018","6"
"","","","91","","6016","","","","6019","6"
"","","","22","0","0","","","","6020","6"
"","0.2","","3","psy_miyako_idle_sad","119931","1","","","6021","6"
"","0.2","","3","psy_talk_sad","103131","1","","","6022","6"
"","","","21","vo_minigame_1008_drama_0606","vo_minigame_1008","0","0","","6023","6"
"0","0","0.5","11","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","103131","8","1","0","6024","6"
"","","","91","","0","","","","6025","6"
"","0.2","","3","psy_idle_sad","103131","1","","","6026","6"
"","0.2","","3","psy_miyako_panic3","119931","1","","","6027","6"
"","","","21","vo_minigame_1008_drama_0602","vo_minigame_1008","0","0","","6028","6"
"0","0","0.5","11","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","119931","5","1","0","6029","6"
"","","","93","1","5.5","","","","6030","6"
"","0.2","","3","psy_miyako_sad2","119931","1","","","6031","6"
"","","","91","","6029","","","","6032","6"
"","","","22","0","0","","","","6033","6"
"","0.2","","3","psy_miyako_idle_sad","119931","1","","","6034","6"
"1","0.2","","3","psy_surprise","103131","0","psy_talk_surprise1","0.2","6035","6"
"","","","21","vo_minigame_1008_drama_0607","vo_minigame_1008","0","0","","6036","6"
"0","0","0.5","11","ミヤコさんが……自分で……\nプリンを……","103131","8","1","0","6037","6"
"","","","91","","0","","","","6038","6"
"","0.2","","3","psy_idle_surprise1","103131","1","","","6039","6"
"","0.2","","3","psy_miyako_talk2","119931","1","","","6040","6"
"","","","21","vo_minigame_1008_drama_0603","vo_minigame_1008","0","0","","6041","6"
"0","0","0.5","11","どうしたの？","119931","6","1","0","6042","6"
"","","","91","","0","","","","6043","6"
"","","","22","0","0","","","","6044","6"
"","0.2","","3","psy_miyako_idle","119931","1","","","6045","6"
"","0.2","","3","psy_talk_joy1","103131","1","","","6046","6"
"","","","21","vo_minigame_1008_drama_0608","vo_minigame_1008","0","0","","6047","6"
"0","0","0.5","11","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","103131","8","1","0","6048","6"
"","","","93","1","4","","","","6049","6"
"","0.2","","3","psy_talk_wish","103131","1","","","6050","6"
"","","","91","","6048","","","","6051","6"
"","0.2","","3","psy_idle_wish","103131","1","","","6052","6"
"","0.2","","3","psy_miyako_joy1","119931","1","","","6053","6"
"","","","21","vo_minigame_1008_drama_0604","vo_minigame_1008","0","0","","6054","6"
"0","0","0.5","11","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","119931","6","1","0","6055","6"
"","","","93","1","5","","","","6056","6"
"1","0.2","","3","psy_miyako_guts1_in","119931","0","psy_miyako_guts1_loop","0","6057","6"
"","","","91","","6055","","","","6058","6"
"","","","22","0","0","","","","6059","6"
"","","","93","","1.5","","","","6060","6"
"","","","91","","0","","","","6061","6"
"-200","1.7","psy_miyako_idle","1","119931","1","100","-200","0","7001","7"
"-220","1.7","psy_fairy_idle","5","1","1","100","125","0","7002","7"
"1","1","","31","11","1","0","0","","7003","7"
