fb5f3b2bed134ad938374eb46dceb97cc3d1e9b48049e6712e4f6d3fdd2c55d1,9384e3f024a1499edb5dc1d20463302356aae3a483746eea165cb9ddc139340e,9255c9fc3601267d1901d6a24f2981907e6d2c8f729e509dc88ecf87e774b665,15a4f5d188350e8a4c75f9bee9b4a25b15c2bc22457a1bcd3a53cd9ec05901d7,f95233e8fdc86c78e9d3b988c059b8005d50dbae8d68010216054c092aea8824,a39360438af6c150023cba863059e4e5978c8656a560a7448f139086e2a97e79,2831def749ca03188a1693b42420cfbd1c80c68549f9c9ddc9fe08329d86d63d,d986767964bbce0d43c9f75c02f1ec07f291d7c010ba3e4167133d705f959754,471abf32454a83418fb6740a5cc0c7b0bb1d3b9134204f492614ca20f0ba8eaa,09def1854a8b2f2ae2953cd9170669798664635de6f436c58f7462a15a09190d,4f43689c8c743587ce18182554185e8112e51f2547c5710b0bbf61985c5ace66,81a0a57f318e2c144bc83b55b2c8fc3f1ed4c9832eaf4e4e1486350d92d1c0f7,0eb30ffe5235fe0e7736ac925d9f436a2f8d90525b126b219dabcad906d216e8,4545edd935d7d2224bbb7ea6de6b98f24b74738f4c32ecdd4802a7970c1e74dc
"311","106501","2020/07/31 12:00:00","2","0","10046","3.17","0","24022","24","2030/12/17 14:59:59","カヤ","1","いい勝負だったぜ！\nたぎっちまって\nつい本気で投げちまったよ"
"312","106501","2020/07/31 12:00:00","2","0","10046","4.42","0","24023","24","2030/12/17 14:59:59","カヤ","1","どうだ？\nオレ様のボールは熱かっただろ！\nま、でもおまえらの根性も\nなかなかのもんだったぜ"
"313","106501","2020/07/31 12:00:00","1","0","10046","2.89","0","24024","24","2030/12/17 14:59:59","カヤ","6","なんだよ、そんなもんか？\nこっちはまだまだ投げたりねえ\nもっと勝負しようぜ！"
"421","102301","2020/07/31 12:00:00","3","0","10046","3.71","0","24025","24","2030/12/17 14:59:59","アヤネ","4","あとちょっとだったのに～！\n次こそぷうきちと一緒に\n勝ってみせるからね！"
"721","192201","2020/07/31 12:00:00","1","0","10046","5.1","0","24026","24","2030/12/17 14:59:59","アサヒ","2","いい勝負だったね！\nでも、やっぱり悔しいな…\nもっと練習して\n今度は絶対に俺が勝つから！"
"821","192301","2020/07/31 12:00:00","3","0","10046","4.34","0","24027","24","2030/12/17 14:59:59","部員３","1","ちっ…あと一歩足りなかったか\n次こそは絶対に勝つから\nそのつもりでいろ"
"521","192501","2020/07/31 12:00:00","1","0","10046","0","0","24028","24","2030/12/17 14:59:59","","1","いい勝負だったよ\nまたやろうね"
"101","113501","2020/07/31 12:00:00","2","-360","10046","5.62","0","24029","24","2030/12/17 14:59:59","ミサト","1","とってもよくできました～♪\n頑張ってくれて先生うれしいわ\nこれからも試合に向けて\n練習していきましょうね～"
"102","113501","2020/07/31 12:00:00","2","-360","10046","9.58","0","24030","24","2030/12/17 14:59:59","ミサト","1","頑張った成果ね～！\nこのまま練習を続ければ\nもっとすごい成績を残せそうよ\n期待してますからね～！"
"103","113501","2020/07/31 12:00:00","2","-360","10046","0","0","24031","24","2030/12/17 14:59:59","ミサト","2","いい子、いい子～♪\n頑張り屋さんのあなたを\nたっくさん褒めてあげますからね"
"104","113501","2020/07/31 12:00:00","1","-360","10046","9.13","0","24032","24","2030/12/17 14:59:59","ミサト","2","夢に向けて、一歩前進できたわね\nこの調子で、夢を叶えましょう\n目指せ、全国大会～！"
"105","113501","2020/07/31 12:00:00","2","-360","10046","8.27","0","24033","24","2030/12/17 14:59:59","ミサト","1","絶好調ね～♪\nきっと試合でも大活躍\n間違いなしだわ\n楽しみにしていますからね～！"
