6b61ead8dcb11dd992f2cb486cd26d929dd7cd8998d74cb3ec88bc8152616b5e,e8f1a4be599009efcc41e9dbb3a4de6ac2078e6a9d76ae02bc1b770b5d9c2423,86a09dbdedd1ba3a754b5311eeedab24670c66425ff08298fe3eac27f95b9388,d9fbc4c1b161d150029a5e202d5c44ae38f85839b6ef9321ec63ca3ba0283847,df7d43adad19bf09233636262064aaa8a6768eaaaf169087526178b9b51c77b8,0d5f98f66b3040056368380af51e3fc3f01bafb08b9ae562ebc2d4cc5bc5aeef,41d19908ad3fa7df77b9c646dac1f047f99bfeb4ce795a9d9993034004fe6bbf,de1cd3967e2e5c3e21bc0751af1038242297693e275670849117bc066542bc7b,83cbb24c971ac87f474ce9d8a6ddd827771ea90dd529525b65614a4c806ffba2,7940d60382565d832af33a762cf1ac6b50d8f921a4522d7fa5ca063060d9fb1d,938fe9646e2bd88433e9d640d99dc28fc499062b3198c1beebf2d5e1dbdfd2ff
"drama_talk_smile_in","drama_talk_smile_loop","3","0","1","0","1","0.2","129911","","1014"
"vo_minigame_1013_top_talk_1_002","0","21","0","1","","","","vo_minigame_1013","","1015"
"訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","1","11","5","1","0","0","0","129911","0.5","1016"
"","","91","","1","","","","0","","1017"
"drama_idle","","3","1","1","","","0.2","129911","","1018"
"drama_idle","","3","1","1","","","0.2","129811","","1019"
"129811","167","1","100","2","1","-224","1.65","1","drama_idle","2001"
"129911","-49","1","100","2","0","-224","1.65","1","drama_idle","2002"
"drama_idle","","3","1","2","","","0.2","129911","","2003"
"drama_talk_admire_in","drama_talk_admire_loop","3","0","2","","1","0.2","129811","","2004"
"vo_minigame_1013_top_talk_2_000","0","21","0","2","","","","vo_minigame_1013","","2005"
"こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","1","11","7","2","0","0","0","129811","0.5","2006"
"","","91","","2","","","","0","","2007"
"drama_idle_admire","","3","1","2","","","0.2","129811","","2008"
"drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","3","0","2","","1","0.2","129911","","2009"
"vo_minigame_1013_top_talk_2_001","0","21","0","2","","","","vo_minigame_1013","","2010"
"そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","1","11","5","2","0","0","0","129911","0.3","2011"
"","","91","","2","","","","0","","2012"
"drama_idle_arm_crossed","","3","1","2","","","0.2","129911","","2013"
"drama_talk_guts2_in","drama_talk_guts2_loop","3","0","2","","1","0.2","129811","","2014"
"vo_minigame_1013_top_talk_2_002","0","21","0","2","","","","vo_minigame_1013","","2015"
"エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","1","11","8","2","0","0","0","129811","0.3","2016"
"","","91","","2","","","","0","","2017"
"drama_idle","","3","1","2","","","0.2","129811","","2018"
"drama_idle","","3","1","2","","","0.2","129911","","2019"
"129811","167","1","100","3","1","-224","1.65","1","drama_idle","3001"
"129911","-49","1","100","3","0","-224","1.65","1","drama_idle","3002"
"drama_idle","","3","1","3","","","0.2","129811","","3003"
"drama_talk_thinking","","3","1","3","","","0.2","129911","","3004"
"vo_minigame_1013_top_talk_3_000","0","21","0","3","","","","vo_minigame_1013","","3005"
"実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","1","11","5","3","0","0","0","129911","0.8","3006"
"","","91","","3","","","","0","","3007"
"drama_idle_thinking","","3","1","3","","","0.2","129911","","3008"
"drama_talk_sad_in","drama_talk_sad_loop","3","0","3","","1","0.2","129811","","3009"
"vo_minigame_1013_top_talk_3_001","0","21","0","3","","","","vo_minigame_1013","","3010"
"相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","1","11","7","3","0","0","0","129811","0.5","3011"
"","","91","","3","","","","0","","3012"
"drama_idle_sad","","3","1","3","","","0.2","129811","","3013"
"drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","3","0","3","","1","0.2","129911","","3014"
"vo_minigame_1013_top_talk_3_002","0","21","0","3","","","","vo_minigame_1013","","3015"
"では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","1","11","6","3","0","0","0","129911","0.3","3016"
"","","91","","3","","","","0","","3017"
"drama_idle","","3","1","3","","","0.2","129811","","3018"
"drama_idle","","3","1","3","","","0.2","129911","","3019"
"129811","167","1","100","4","1","-224","1.65","1","drama_idle","4001"
"129911","-49","1","100","4","0","-224","1.65","1","drama_idle","4002"
"drama_idle","","3","1","4","","","0.2","129911","","4003"
"drama_talk_doya_in_shy","drama_talk_doya_loop_shy","3","0","4","","1","0.2","129811","","4004"
"vo_minigame_1013_top_talk_4_000","0","21","0","4","","","","vo_minigame_1013","","4005"
"あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","1","11","7","4","0","0","0","129811","0.3","4006"
"","","91","","4","","","","0","","4007"
"drama_idle_doya_shy","","3","1","4","","","0.2","129811","","4008"
"drama_talk_wish_in","drama_talk_wish_loop","3","0","4","","1","0.2","129911","","4009"
"vo_minigame_1013_top_talk_4_001","0","21","0","4","","","","vo_minigame_1013","","4010"
"信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","1","11","5","4","0","0","0","129911","0.5","4011"
"","","91","","4","","","","0","","4012"
"drama_idle_wish","","3","1","4","","","0.2","129911","","4013"
"drama_idle_thinking_shy","","3","1","4","","0","0.2","129811","","4014"
"vo_minigame_1013_top_talk_4_002","0","21","0","4","","","","vo_minigame_1013","","4015"
"（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","1","11","8","4","0","0","0","129811","0","4016"
"","","91","","4","","","","0","","4017"
"drama_idle","","3","1","4","","","0.2","129911","","4018"
"drama_idle","","3","1","4","","","0.2","129811","","4019"
"129811","167","1","100","5","1","-224","1.65","1","drama_idle","5001"
"129911","-49","1","100","5","0","-224","1.65","1","drama_idle","5002"
"drama_idle","","3","1","5","","","0.2","129811","","5003"
"drama_talk_thinking","","3","1","5","","","0.2","129911","","5004"
"vo_minigame_1013_top_talk_5_000","0","21","0","5","","","","vo_minigame_1013","","5005"
"訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","1","11","6","5","0","0","0","129911","0.8","5006"
"","","91","","5","","","","0","","5007"
"drama_idle_thinking","","3","1","5","","","0.2","129911","","5008"
"drama_talk_wonder_in","drama_talk_wonder_loop","3","0","5","","1","0.2","129811","","5009"
"vo_minigame_1013_top_talk_5_001","0","21","0","5","","","","vo_minigame_1013","","5010"
"動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","1","11","7","5","0","0","0","129811","0.3","5011"
"","","91","","5","","","","0","","5012"
"drama_idle_wonder","","3","1","5","","","0.2","129811","","5013"
"drama_talk_memory","","3","1","5","","","0.2","129911","","5014"
"vo_minigame_1013_top_talk_5_002","0","21","0","5","","","","vo_minigame_1013","","5015"
"「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","1","11","5","5","0","0","0","129911","0.5","5016"
"","","91","","5","","","","0","","5017"
"drama_idle","","3","1","5","","","0.2","129811","","5018"
"drama_idle","","3","1","5","","","0.2","129911","","5019"
"129811","167","1","100","6","1","-224","1.65","1","drama_idle","6001"
"129911","-49","1","100","6","0","-224","1.65","1","drama_idle","6002"
"drama_idle","","3","1","6","","","0.2","129911","","6003"
"drama_talk_thinking_shy","","3","1","6","","","0.2","129811","","6004"
"vo_minigame_1013_top_talk_6_000","0","21","0","6","","","","vo_minigame_1013","","6005"
"あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","1","11","8","6","0","0","0","129811","0.3","6006"
"","","91","","6","","","","0","","6007"
"drama_idle_thinking_shy","","3","1","6","","","0.2","129811","","6008"
"drama_talk_doubt_in","drama_talk_doubt_loop","3","0","6","","1","0.2","129911","","6009"
"vo_minigame_1013_top_talk_6_001","0","21","0","6","","","","vo_minigame_1013","","6010"
"マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","1","11","6","6","0","0","0","129911","0.8","6011"
"","","91","","6","","","","0","","6012"
"drama_idle_doubt","","3","1","6","","","0.2","129911","","6013"
"drama_talk_surprise_in_shy","drama_talk_surprise_loop_shy","3","0","6","","1","0.2","129811","","6014"
"vo_minigame_1013_top_talk_6_002","0","21","0","6","","","","vo_minigame_1013","","6015"
"いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","1","11","9","6","0","0","0","129811","0.3","6016"
"","","91","","6","","","","0","","6017"
"drama_idle","","3","1","6","","","0.2","129911","","6018"
"drama_idle","","3","1","6","","","0.2","129811","","6019"
"129811","167","1","100","7","1","-224","1.65","1","drama_idle","7001"
"129911","-49","1","100","7","0","-224","1.65","1","drama_idle","7002"
"drama_idle","","3","1","7","","","0.2","129811","","7003"
"drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","3","0","7","","1","0.2","129911","","7004"
"vo_minigame_1013_top_talk_7_000","0","21","0","7","","","","vo_minigame_1013","","7005"
"私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","1","11","6","7","0","0","0","129911","0.3","7006"
"","","91","","7","","","","0","","7007"
"drama_idle_arm_crossed","","3","1","7","","","0.2","129911","","7008"
"drama_talk_guts2_in","drama_talk_guts2_loop","3","0","7","","1","0.2","129811","","7009"
"vo_minigame_1013_top_talk_7_001","0","21","0","7","","","","vo_minigame_1013","","7010"
"エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","1","11","6","7","0","0","0","129811","0","7011"
"","","91","","7","","","","0","","7012"
"drama_idle_guts2","","3","1","7","","","0.2","129811","","7013"
"drama_talk_thinking","","3","1","7","","","0.2","129911","","7014"
"vo_minigame_1013_top_talk_7_002","0","21","0","7","","","","vo_minigame_1013","","7015"
"彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","1","11","6","7","0","0","0","129911","0.5","7016"
"","","91","","7","","","","0","","7017"
"drama_idle","","3","1","7","","","0.2","129811","","7018"
"drama_idle","","3","1","7","","","0.2","129911","","7019"
"129811","167","1","100","8","1","-224","1.65","1","drama_idle","8001"
"129911","-49","1","100","8","0","-224","1.65","1","drama_idle","8002"
"drama_idle","","3","1","8","","","0.2","129911","","8003"
"drama_talk_doya_in_smile","drama_talk_doya_loop_smile","3","0","8","","1","0.2","129811","","8004"
"vo_minigame_1013_top_talk_8_000","0","21","0","8","","","","vo_minigame_1013","","8005"
"マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","1","11","7","8","0","0","0","129811","0.3","8006"
"","","91","","8","","","","0","","8007"
"drama_idle_doya_smile","","3","1","8","","","0.2","129811","","8008"
"drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","3","0","8","","1","0.2","129911","","8009"
"vo_minigame_1013_top_talk_8_001","0","21","0","8","","","","vo_minigame_1013","","8010"
"訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","1","11","5","8","0","0","0","129911","0.8","8011"
"","","91","","8","","","","0","","8012"
"drama_idle_arm_crossed","","3","1","8","","","0.2","129911","","8013"
"drama_talk_anger","","3","1","8","","","0.2","129811","","8014"
"vo_minigame_1013_top_talk_8_002","0","21","0","8","","","","vo_minigame_1013","","8015"
"くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","1","11","7","8","0","0","0","129811","0.3","8016"
"","","91","","8","","","","0","","8017"
"drama_idle","","3","1","8","","","0.2","129811","","8018"
"drama_idle","","3","1","8","","","0.2","129911","","8019"
"129811","167","1","100","30","1","-224","1.65","1","drama_idle","30001"
"129911","-49","1","100","30","0","-224","1.65","1","drama_idle","30002"
"drama_idle","","3","1","30","","","0.2","129811","","30003"
"drama_idle","","3","1","30","","","0.2","129911","","30004"
"0","","93","","30","","","","0.5","","30005"
"","","26","","30","","","","2","","30006"
"10","1.2","121","1.2","30","","0.9","3","-80","","30007"
"drama_joy_eriko","","3","0","30","0.2","","0.2","129911","","30008"
"1","","140","0","30","","","","1","","30009"
"129811","167","1","100","31","1","-224","1.65","1","drama_idle","31001"
"129911","-49","1","100","31","0","-224","1.65","1","drama_idle","31002"
"drama_idle","","3","1","31","","","0.2","129811","","31003"
"drama_idle","","3","1","31","","","0.2","129911","","31004"
"0","","93","","31","","","","0.5","","31005"
"","","26","","31","","","","2","","31006"
"10","1.2","121","1.2","31","","0.9","3","-80","","31007"
"drama_joy_makoto","","3","0","31","0.2","","0.2","129811","","31008"
"2","","140","0","31","","","","1","","31009"
"1","320","5","1","32","1","28","0.28","0","drama_talk_1","32001"
"2","228","5","0","32","0","28","0.28","0","drama_talk_2","32002"
"3","45","5","90","32","1","64","0.26","0","drama_swing","32003"
"4","-187","5","91","32","0","-23","0.3","0","drama_streach","32004"
"0","","93","","32","","","","1","","32005"
"drama_joy","","3","0","32","","","0.2","1","","32006"
"drama_joy","","3","0","32","","","0.2","2","","32007"
"drama_joy","","3","0","32","","","0.2","3","","32008"
"drama_joy","","3","0","32","","","0.2","4","","32009"
"0","","93","","32","","","","1.5","","32010"
"1","320","5","1","33","1","28","0.28","0","drama_talk_1","33001"
"2","228","5","0","33","0","28","0.28","0","drama_talk_2","33002"
"3","45","5","90","33","1","64","0.26","0","drama_swing","33003"
"4","-187","5","91","33","0","-23","0.3","0","drama_streach","33004"
