6b6f09b742c212aa26f4ea6217a37507b4e4599988bd9c8ab0b17920735c0c89,8a90742425b1ff9c32afc808572ac620d125234b85610ff2ce26b7a3739a3b5d,fd19503820a931d045da91a824f496b03fb52bb822648334a22a5cf62d31996e,383ea1935b02961d6e1d9e49cc6aa3dd293013af65090fb5ec3bc4f7e4b01306,5788e0fb807efdfcb5351594a489916617fb98ba26e5af5fe27ed6a40d4060c9,a0ef2f5f81458c5bdeec4543483c1ba00feebb6c53067cbd7bc219eaf26ad178,56160b046ddd3380f238defbcd1a98be605d5bb87374fd6f9d07bc12c2175975,740891a585ea3ffe0804c4785e41753c1e0a972da85c44f6ac6fa5c206841694,be81bc68e6bc467f84ad0cf1170808aaceab1c6ea05d47143293faf6208aaa25
"100217","100217","4","1002","2","難易度HARD3で1回戦おう","1","1004","0"
"100218","100218","5","1002","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100219","100219","5","1002","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100220","100220","5","1002","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100221","100221","6","1002","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100222","100222","6","1002","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100223","100223","6","1002","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100224","100224","7","1002","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100225","100225","7","1002","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100226","100226","7","1002","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100301","100301","0","1003","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100302","100302","0","1003","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100303","100303","0","1003","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100304","100304","0","1003","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100305","100305","1","1003","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100306","100306","1","1003","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100307","100307","1","1003","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100308","100308","1","1003","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100309","100309","2","1003","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100310","100310","2","1003","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100311","100311","2","1003","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100312","100312","3","1003","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100313","100313","3","1003","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100314","100314","3","1003","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100315","100315","4","1003","2","難易度HARD1で1回戦おう","1","1002","0"
"100316","100316","4","1003","2","難易度HARD2で1回戦おう","1","1003","0"
"100317","100317","4","1003","2","難易度HARD3で1回戦おう","1","1004","0"
"100318","100318","5","1003","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100319","100319","5","1003","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100320","100320","5","1003","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100321","100321","6","1003","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100322","100322","6","1003","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100323","100323","6","1003","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100324","100324","7","1003","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100325","100325","7","1003","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100326","100326","7","1003","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100401","100401","0","1004","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100402","100402","0","1004","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100403","100403","0","1004","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100404","100404","0","1004","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100405","100405","1","1004","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100406","100406","1","1004","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100407","100407","1","1004","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100408","100408","1","1004","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100409","100409","2","1004","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100410","100410","2","1004","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100411","100411","2","1004","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100412","100412","3","1004","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100413","100413","3","1004","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100414","100414","3","1004","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100415","100415","4","1004","2","難易度HARD1で1回戦おう","1","1002","0"
"100416","100416","4","1004","2","難易度HARD2で1回戦おう","1","1003","0"
"100417","100417","4","1004","2","難易度HARD3で1回戦おう","1","1004","0"
"100418","100418","5","1004","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100419","100419","5","1004","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100420","100420","5","1004","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100421","100421","6","1004","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100422","100422","6","1004","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100423","100423","6","1004","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100424","100424","7","1004","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100425","100425","7","1004","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100426","100426","7","1004","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100501","100501","0","1005","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100502","100502","0","1005","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100503","100503","0","1005","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100504","100504","0","1005","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100505","100505","1","1005","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100506","100506","1","1005","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100507","100507","1","1005","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100508","100508","1","1005","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100509","100509","2","1005","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100510","100510","2","1005","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100511","100511","2","1005","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100512","100512","3","1005","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100513","100513","3","1005","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100514","100514","3","1005","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100515","100515","4","1005","2","難易度HARD1で1回戦おう","1","1002","0"
"100516","100516","4","1005","2","難易度HARD2で1回戦おう","1","1003","0"
"100517","100517","4","1005","2","難易度HARD3で1回戦おう","1","1004","0"
"100518","100518","5","1005","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100519","100519","5","1005","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100520","100520","5","1005","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100521","100521","6","1005","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100522","100522","6","1005","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100523","100523","6","1005","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100524","100524","7","1005","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100525","100525","7","1005","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100526","100526","7","1005","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100601","100601","0","1006","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100602","100602","0","1006","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100603","100603","0","1006","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100604","100604","0","1006","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100605","100605","1","1006","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100606","100606","1","1006","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100607","100607","1","1006","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100608","100608","1","1006","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100609","100609","2","1006","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100610","100610","2","1006","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100611","100611","2","1006","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100612","100612","3","1006","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100613","100613","3","1006","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100614","100614","3","1006","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100615","100615","4","1006","2","難易度HARD1で1回戦おう","1","1002","0"
"100616","100616","4","1006","2","難易度HARD2で1回戦おう","1","1003","0"
"100617","100617","4","1006","2","難易度HARD3で1回戦おう","1","1004","0"
"100618","100618","5","1006","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100619","100619","5","1006","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100620","100620","5","1006","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100621","100621","6","1006","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100622","100622","6","1006","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100623","100623","6","1006","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100624","100624","7","1006","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100625","100625","7","1006","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100626","100626","7","1006","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100701","100701","0","1007","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100702","100702","0","1007","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100703","100703","0","1007","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100704","100704","0","1007","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100705","100705","1","1007","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100706","100706","1","1007","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100707","100707","1","1007","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100708","100708","1","1007","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100709","100709","2","1007","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100710","100710","2","1007","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100711","100711","2","1007","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100712","100712","3","1007","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100713","100713","3","1007","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100714","100714","3","1007","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100715","100715","4","1007","2","難易度HARD1で1回戦おう","1","1002","0"
"100716","100716","4","1007","2","難易度HARD2で1回戦おう","1","1003","0"
"100717","100717","4","1007","2","難易度HARD3で1回戦おう","1","1004","0"
"100718","100718","5","1007","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100719","100719","5","1007","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100720","100720","5","1007","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100721","100721","6","1007","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100722","100722","6","1007","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100723","100723","6","1007","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100724","100724","7","1007","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100725","100725","7","1007","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100726","100726","7","1007","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100801","100801","0","1008","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100802","100802","0","1008","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100803","100803","0","1008","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100804","100804","0","1008","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100805","100805","1","1008","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100806","100806","1","1008","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100807","100807","1","1008","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100808","100808","1","1008","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100809","100809","2","1008","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100810","100810","2","1008","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100811","100811","2","1008","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100812","100812","3","1008","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100813","100813","3","1008","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100814","100814","3","1008","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100815","100815","4","1008","2","難易度HARD1で1回戦おう","1","1002","0"
"100816","100816","4","1008","2","難易度HARD2で1回戦おう","1","1003","0"
"100817","100817","4","1008","2","難易度HARD3で1回戦おう","1","1004","0"
"100818","100818","5","1008","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100819","100819","5","1008","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100820","100820","5","1008","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100821","100821","6","1008","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100822","100822","6","1008","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100823","100823","6","1008","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100824","100824","7","1008","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100825","100825","7","1008","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100826","100826","7","1008","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100901","100901","0","1009","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100902","100902","0","1009","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100903","100903","0","1009","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100904","100904","0","1009","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100905","100905","1","1009","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100906","100906","1","1009","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100907","100907","1","1009","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100908","100908","1","1009","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100909","100909","2","1009","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100910","100910","2","1009","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100911","100911","2","1009","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100912","100912","3","1009","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100913","100913","3","1009","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100914","100914","3","1009","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100915","100915","4","1009","2","難易度HARD1で1回戦おう","1","1002","0"
"100916","100916","4","1009","2","難易度HARD2で1回戦おう","1","1003","0"
"100917","100917","4","1009","2","難易度HARD3で1回戦おう","1","1004","0"
"100918","100918","5","1009","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100919","100919","5","1009","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100920","100920","5","1009","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100921","100921","6","1009","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100922","100922","6","1009","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100923","100923","6","1009","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100924","100924","7","1009","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100925","100925","7","1009","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100926","100926","7","1009","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
