268e22ca3de4fec2a0ac2d3e4bfea458a9fbd86d7a84015792b607a3bd088e04,7189b221f8c685413fd5a1946fb5f49e1ea14f23831d53429a4e27cfcc4474a6,2bc486028c7d53cb96cac264791f452d92539d5bec2a303dc8636847c77e70b6,8fda1db22bcef6e280350c3077ca496a19ab55e1ac221b1441e7a38cd7e76d28,1545a1bc4fa889e6b0926a7eb1bef9bb939dfcf06bd8fcc5947768c8510d5ca7,367ed9cde6401bb608b0f18f2fbadfea4c09aaba93b1739b270da46a4e0ffa66,9d81d41736c21ab9a01ae00481bf4e539b16a86fe28b87da664bfbe70be70056,c4ef4145ded9f6ba02c36cc33b8dc5ed8c50877551d5c504739b590e64df2997,682795edc029457e9e7fb6d5e77cb3c7f7035eb978ebe4a6b2eebaf1ccd3a3d3,dea336e9ef7a4c48e04687ec332318996e8da9f160309e14f7fd9873fe1d90a9,fd25fc4885dde7742a9ab9a0266554c258d54921b2a3f4c22d0753d1c0f755ce
"","","20061","","91","","","0","","","1200610004"
"","0","20061","","93","","","10","","","1200610005"
"","","20061","","101","","","1200610005","","","1200610006"
"","none","20061","0","3","","","0","","0","1200610007"
"","","20061","","91","","","0","","","1200610008"
"","103","20062","","13","","","110911","","","1200620001"
"","104","20062","","13","","","110811","","","1200620002"
"","travel_topdrama_r_2000_talk_kyapi_in","20062","0.2","3","travel_topdrama_r_2000_talk_kyapi_loop","1","110911","","0","1200620003"
"","vo_travel_talk_20006_00","20062","","21","0","","vo_travel_talk","","0","1200620004"
"0","ちぇる～ん☆\nちぇるちぇら、ちぇりんぱ、\nちぇちぇりぽぷ！","20062","0","11","1","1","110911","0","10","1200620005"
"","","20062","","91","","","0","","","1200620006"
"","travel_topdrama_r_2000_idle_kyapi","20062","0.2","3","","","110911","","1","1200620007"
"","travel_topdrama_r_2000_talk_doya_in_sad","20062","0.2","3","travel_topdrama_r_2000_talk_doya_loop_sad","1","110811","","0","1200620008"
"","vo_travel_talk_20006_01","20062","","21","0","","vo_travel_talk","","0","1200620009"
"0","あのさ。いんだけどさ。\nそのアタマ悪めの奇声でさっき魔物が\nクソ集まってきた件、もう忘れたわけ。","20062","0","11","1","1","110811","0","10","1200620010"
"","","20062","","91","","","0","","","1200620011"
"","travel_topdrama_r_2000_idle_doya_sad","20062","0.2","3","","","110811","","1","1200620012"
"","travel_topdrama_r_2000_talk_normal2","20062","0.2","3","","1","110911","","1","1200620013"
"","vo_travel_talk_20006_02","20062","","21","0","","vo_travel_talk","","0","1200620014"
"0","……その節は\nたいへん御迷惑をおかけいたしました。","20062","0","11","1","1","110911","0","10","1200620015"
"","","20062","","91","","","0","","","1200620016"
"","travel_topdrama_r_2000_idle_normal","20062","0.2","3","","","110911","","1","1200620017"
"","","20062","","112","","","","","","1200620018"
"","","20062","","91","","","0","","","1200620019"
"1","102911","20071","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_smile","101","1200710001"
"0","105411","20071","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_sad","102","1200710002"
"0","0","20071","1","5","0","-75","0","mana","110","1200710003"
"","","20071","","91","","","0","","","1200710004"
"","0","20071","","93","","","10","","","1200710005"
"","","20071","","101","","","1200710005","","","1200710006"
"","none","20071","0","3","","","0","","0","1200710007"
"","","20071","","91","","","0","","","1200710008"
"","103","20072","","13","","","102911","","","1200720001"
"","104","20072","","13","","","105411","","","1200720002"
"","travel_topdrama_r_2000_talk_smile_in","20072","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","102911","","0","1200720003"
"","vo_travel_talk_20007_00","20072","","21","0","","vo_travel_talk","","0","1200720004"
"0","このあたりの地形って、ダンスの\n練習にちょうどいいんじゃないかな？\n一緒にステップを踏んでみてくれない？","20072","0","11","1","1","102911","0","10","1200720005"
"","","20072","","91","","","0","","","1200720006"
"","travel_topdrama_r_2000_idle_smile","20072","0.2","3","","","102911","","1","1200720007"
"0.2","travel_topdrama_r_2007_dance","20072","0.2","3","travel_topdrama_r_2000_talk_sad_loop","1","105411","","0","1200720008"
"","vo_travel_talk_20007_01","20072","","21","0","","vo_travel_talk","","0","1200720009"
"0","えっと、こんな感じですか？\n……わわっ、バランスが！？\nなかなか難しいですね……","20072","0","11","1","1","105411","0","10","1200720010"
"","","20072","","91","","","0","","","1200720011"
"","travel_topdrama_r_2000_idle_sad","20072","0.2","3","","","105411","","1","1200720012"
"","travel_topdrama_r_2000_talk_smile_in","20072","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","102911","","0","1200720013"
"","vo_travel_talk_20007_02","20072","","21","0","","vo_travel_talk","","0","1200720014"
"0","つまり、練習になるってことだよ！\nライブ前、ここに戻ってこれるように、\n場所をメモしておかなきゃね♪","20072","0","11","1","1","102911","0","10","1200720015"
"","","20072","","91","","","0","","","1200720016"
"","travel_topdrama_r_2000_idle_smile","20072","0.2","3","","","102911","","1","1200720017"
"","","20072","","112","","","","","","1200720018"
"","","20072","","91","","","0","","","1200720019"
"1","104711","20081","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_sad","101","1200810001"
"0","107111","20081","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_doya","102","1200810002"
"0","0","20081","1","5","0","-75","0","mana","110","1200810003"
"","","20081","","91","","","0","","","1200810004"
"","0","20081","","93","","","10","","","1200810005"
"","","20081","","101","","","1200810005","","","1200810006"
"","none","20081","0","3","","","0","","0","1200810007"
"","","20081","","91","","","0","","","1200810008"
"","103","20082","","13","","","104711","","","1200820001"
"","104","20082","","13","","","107111","","","1200820002"
"","travel_topdrama_r_2000_talk_sad_in","20082","0.2","3","travel_topdrama_r_2000_talk_sad_loop","1","104711","","0","1200820003"
"","vo_travel_talk_20008_00","20082","","21","0","","vo_travel_talk","","0","1200820004"
"0","王宮を離れる機会は何度かあったけど、\nやっぱり落ち着かないな……\n何かあった時に対応が難しいし。","20082","0","11","1","1","104711","0","10","1200820005"
"","","20082","","91","","","0","","","1200820006"
"","travel_topdrama_r_2000_idle_sad","20082","0.2","3","","","104711","","1","1200820007"
"","travel_topdrama_r_2000_talk_doya_in","20082","0.2","3","travel_topdrama_r_2000_talk_doya_loop","1","107111","","0","1200820008"
"","vo_travel_talk_20008_01","20082","","21","0","","vo_travel_talk","","0","1200820009"
"0","今さら不安がっても仕方ないだろう？\nもっと気楽にこの旅を愉しむべきだ。\nまだまだ先は長いのだからな☆","20082","0","11","1","1","107111","0","10","1200820010"
"","","20082","","91","","","0","","","1200820011"
"","travel_topdrama_r_2000_idle_doya","20082","0.2","3","","","107111","","1","1200820012"
"","travel_topdrama_r_2000_talk_guts_in","20082","0.2","3","travel_topdrama_r_2000_talk_guts_loop","1","104711","","0","1200820013"
"","vo_travel_talk_20008_02","20082","","21","0","","vo_travel_talk","","0","1200820014"
"0","ありがとう、クリスちゃん。\n王宮には優秀な部下たちもいるし、\n目の前の仕事に集中するよ。","20082","0","11","1","1","104711","0","10","1200820015"
"","","20082","","91","","","0","","","1200820016"
"","travel_topdrama_r_2000_idle_guts","20082","0.2","3","","","104711","","1","1200820017"
"","","20082","","112","","","","","","1200820018"
"","","20082","","91","","","0","","","1200820019"
"1","104011","20091","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_guts2","101","1200910001"
"0","101511","20091","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_smile","102","1200910002"
"0","0","20091","1","5","0","-75","0","mana","110","1200910003"
"","","20091","","91","","","0","","","1200910004"
"","0","20091","","93","","","10","","","1200910005"
"","","20091","","101","","","1200910005","","","1200910006"
"","none","20091","0","3","","","0","","0","1200910007"
"","","20091","","91","","","0","","","1200910008"
"","103","20092","","13","","","104011","","","1200920001"
"","104","20092","","13","","","101511","","","1200920002"
"","travel_topdrama_r_2000_talk_guts2_in","20092","0.2","3","travel_topdrama_r_2000_talk_guts2_loop","1","104011","","0","1200920003"
"","vo_travel_talk_20009_00","20092","","21","0","","vo_travel_talk","","0","1200920004"
"0","今回の冒険には、たくさんのギルドが\n参加してるんですよね……？\nもしかして、友達を作るチャンス……？","20092","0","11","1","1","104011","0","10","1200920005"
"","","20092","","91","","","0","","","1200920006"
"","travel_topdrama_r_2000_idle_guts2","20092","0.2","3","","","104011","","1","1200920007"
"","travel_topdrama_r_2000_talk_wish_in_joy","20092","0.2","3","travel_topdrama_r_2000_talk_wish_loop_joy","1","101511","","0","1200920008"
"","vo_travel_talk_20009_01","20092","","21","0","","vo_travel_talk","","0","1200920009"
"0","ふふっ、そうね～\nきっといろんな出会いがあるから、\nいっぱいお話してみるといいわよ～？","20092","0","11","1","1","101511","0","10","1200920010"
"","","20092","","91","","","0","","","1200920011"
"","travel_topdrama_r_2000_idle_wish_joy","20092","0.2","3","","","101511","","1","1200920012"
"","travel_topdrama_r_2000_talk_surprise_in_sad","20092","0.2","3","travel_topdrama_r_2000_talk_surprise_loop_sad","1","104011","","0","1200920013"
"","vo_travel_talk_20009_02","20092","","21","0","","vo_travel_talk","","0","1200920014"
"0","いっぱい……お話……！？\n一気に自信がなくなってきました……\nやっぱり、隅っこを歩きましょう……","20092","0","11","1","1","104011","0","10","1200920015"
"","","20092","","91","","","0","","","1200920016"
"","travel_topdrama_r_2000_idle_surprise_sad","20092","0.2","3","","","104011","","1","1200920017"
"","","20092","","112","","","","","","1200920018"
"","","20092","","91","","","0","","","1200920019"
"1","102611","20101","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_sad","101","1201010001"
"0","103311","20101","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_doya_sad","102","1201010002"
"0","0","20101","1","5","0","-75","0","mana","110","1201010003"
"","","20101","","91","","","0","","","1201010004"
"","0","20101","","93","","","10","","","1201010005"
"","","20101","","101","","","1201010005","","","1201010006"
"","none","20101","0","3","","","0","","0","1201010007"
"","","20101","","91","","","0","","","1201010008"
"","103","20102","","13","","","102611","","","1201020001"
"","104","20102","","13","","","103311","","","1201020002"
"","travel_topdrama_r_2000_talk_sad_in","20102","0.2","3","travel_topdrama_r_2000_talk_sad_loop","1","102611","","0","1201020003"
"","vo_travel_talk_20010_00","20102","","21","0","","vo_travel_talk","","0","1201020004"
"0","ふぇ～……ふぇ～……！\nもうだいぶ歩かされてるよ～！\n帰りたい～、ごろごろしてたい～！","20102","0","11","1","1","102611","0","10","1201020005"
"","","20102","","91","","","0","","","1201020006"
"","travel_topdrama_r_2000_idle_sad","20102","0.2","3","","","102611","","1","1201020007"
"","travel_topdrama_r_2000_talk_doya_in_sad","20102","0.2","3","travel_topdrama_r_2000_talk_doya_loop_sad","1","103311","","0","1201020008"
"","vo_travel_talk_20010_01","20102","","21","0","","vo_travel_talk","","0","1201020009"
"0","なに言ってるべさ～！\nリンリンこそしっかり歩いて、\n体を鍛え直さねぇと！","20102","0","11","1","1","103311","0","10","1201020010"
"","","20102","","91","","","0","","","1201020011"
"","travel_topdrama_r_2000_idle_doya_sad","20102","0.2","3","","","103311","","1","1201020012"
"","travel_topdrama_r_2000_talk_dead","20102","0.2","3","","1","102611","","1","1201020013"
"","vo_travel_talk_20010_02","20102","","21","0","","vo_travel_talk","","0","1201020014"
"0","そういうの、間に合ってるから……！\nとにかく休憩！　休憩しよ～！\nドングリ食べないと、足が棒になる～！","20102","0","11","1","1","102611","0","10","1201020015"
"","","20102","","91","","","0","","","1201020016"
"","travel_topdrama_r_2000_idle_dead","20102","0.2","3","","","102611","","1","1201020017"
"","","20102","","112","","","","","","1201020018"
"","","20102","","91","","","0","","","1201020019"
"1","104911","20111","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_smile","101","1201110001"
"0","101111","20111","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_normal","102","1201110002"
"0","0","20111","1","5","0","-75","0","mana","110","1201110003"
"","","20111","","91","","","0","","","1201110004"
"","0","20111","","93","","","10","","","1201110005"
"","","20111","","101","","","1201110005","","","1201110006"
"","none","20111","0","3","","","0","","0","1201110007"
"","","20111","","91","","","0","","","1201110008"
"","103","20112","","13","","","104911","","","1201120001"
"","104","20112","","13","","","101111","","","1201120002"
"","travel_topdrama_r_2000_talk_smile_in","20112","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","104911","","0","1201120003"
"","vo_travel_talk_20011_00","20112","","21","0","","vo_travel_talk","","0","1201120004"
"0","なにかいい物、落ちてないかな～？\n弟くんが喜びのあまり、お姉ちゃん\n大好き以外の感情を失う宝物とか。","20112","0","11","1","1","104911","0","10","1201120005"
"","","20112","","91","","","0","","","1201120006"
"","travel_topdrama_r_2000_idle_smile","20112","0.2","3","","","104911","","1","1201120007"
"","travel_topdrama_r_2000_shock_in","20112","0.2","3","travel_topdrama_r_2000_talk_shock","1","101111","","0","1201120008"
"","vo_travel_talk_20011_01","20112","","21","0","","vo_travel_talk","","0","1201120009"
"0","いやいやいや、お姉ちゃん？\nそれはもう呪いの装備の類です、\n見つけても持って帰らないでください。","20112","0","11","1","1","101111","0","10","1201120010"
"","","20112","","91","","","0","","","1201120011"
"","travel_topdrama_r_2000_idle_normal","20112","0.2","3","","","101111","","1","1201120012"
"","travel_topdrama_r_2000_talk_wish_in_joy","20112","0.2","3","travel_topdrama_r_2000_talk_wish_loop_joy","1","104911","","0","1201120013"
"","vo_travel_talk_20011_02","20112","","21","0","","vo_travel_talk","","0","1201120014"
"0","え～……まぁ、いいか。\nそんなものに頼らなくても、弟くんは\nお姉ちゃんのこと大好きだしね♪","20112","0","11","1","1","104911","0","10","1201120015"
"","","20112","","91","","","0","","","1201120016"
"","travel_topdrama_r_2000_idle_wish_joy","20112","0.2","3","","","104911","","1","1201120017"
"","","20112","","112","","","","","","1201120018"
"","","20112","","91","","","0","","","1201120019"
"1","101011","20121","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_sad","101","1201210001"
"0","101711","20121","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_guts2_joy","102","1201210002"
"0","3","20121","0.8","5","-42","-68","3","travel_topdrama_r_2012_empty","103","1201210003"
"0","0","20121","1","5","0","-75","0","mana","110","1201210004"
"","","20121","","91","","","0","","","1201210005"
"","0","20121","","93","","","10","","","1201210006"
"","","20121","","101","","","1201210006","","","1201210007"
"","none","20121","0","3","","","0","","0","1201210008"
"","","20121","","91","","","0","","","1201210009"
"","104","20122","","13","","","101011","","","1201220001"
"","105","20122","","13","","","101711","","","1201220002"
"","travel_topdrama_r_2000_talk_sad_in","20122","0.2","3","travel_topdrama_r_2000_talk_sad_loop","1","101011","","0","1201220003"
"","vo_travel_talk_20012_00","20122","","21","0","","vo_travel_talk","","0","1201220004"
"0","冒険って大変やなぁ～\nうちはちょっと疲れてきたんやけど、\nカオリはんはまだまだ元気そうやね～？","20122","0","11","1","1","101011","0","10","1201220005"
"","","20122","","91","","","0","","","1201220006"
"","travel_topdrama_r_2000_idle_sad","20122","0.2","3","","","101011","","1","1201220007"
"","travel_topdrama_r_2012_raise_in","20122","0.2","3","travel_topdrama_r_2012_raise_loop_talk","1","101711","","0","1201220008"
"","travel_topdrama_r_2012_raise_in","20122","0.2","3","travel_topdrama_r_2012_raise_loop_talk","1","3","","0","1201220009"
"","vo_travel_talk_20012_01","20122","","21","0","","vo_travel_talk","","0","1201220010"
"0","サーターアンダギーのおかげさ～♪\n甘くてお腹もいっぱいなるから、\nマホにもお裾分けしてあげるね～？","20122","0","11","1","1","101711","0","10","1201220011"
"","","20122","","91","","","0","","","1201220012"
"","travel_topdrama_r_2012_raise_loop_idle","20122","0.2","3","","","101711","","1","1201220013"
"","travel_topdrama_r_2012_raise_loop_talk","20122","0.2","3","","","3","","1","1201220014"
"","travel_topdrama_r_2000_talk_smile_in","20122","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","101011","","0","1201220015"
"","vo_travel_talk_20012_02","20122","","21","0","","vo_travel_talk","","0","1201220016"
