8a88da48443aaaae93c311ac403ffedb9157f08223c2590fd8a66b890b89535f,1d397981e993a6b48009c382b00313ad67189baff27f348e0d00466bf6ff65d7,577ed576bdfc78d5f33d0c5d23fd60e79fe3188377479de4980789c947c9b76f,a2feb1566ef3b312d593b58579fffdf050f257a847494b8d85d6f4cf2ef76756,7e75e1b151b1110c7780bee08898507ed596757d196e9c820782da9aa33c6091,30bbff47d1f7de69f56e563ffcea230a817fe9553b392078aa05d13275bb2864,1cdbd07d873b66be7f95ed15ef0794417fa40c0fba18911f6f0066c39fe2d329,3cb80280e00a1649e7359b0fb0efb261a998dcf10a114c9268ba5ae199ceca03,344c6e62bce5e7dc8c9d13cc1a2112bcb456ecb23722937a983ce6ffecd60b87,5d6236c397d4df47d7eed4b4dec373ef3a16c7a67fa64efd789c669bfdf6f77b,55768dd3a0601e1033883b5e1f1e4c65132ceef32cec34947137119ad0b5f9ef,4a0fc6cb46c7eba04fcf7b4caa68ae48767a1ba734eee9faf06da67893a51bf5
"8","100700208","2.018","0","0","0","0","0","1","4","0","1007002"
"9","100700209","0","0","0","0","vo_svd","0","0","2","vo_svd_0202","1007002"
"10","100700210","0","3","0.541","132","0","0","0","1","0","1007002"
"11","100700211","0.517","0","0","0","0","0","1","4","0","1007002"
"12","100700212","0","3","0.992","299","0","132","0","1","0","1007002"
"13","100700213","0.792","0","0","0","0","0","1","4","0","1007002"
"14","100700214","0","4","0.751","132","0","0","0","1","0","1007002"
"15","100700215","1.887","0","0","0","0","0","1","4","0","1007002"
"16","100700216","0","0","0","0","vo_svd","0","0","2","vo_svd_0203","1007002"
"17","100700217","0","4","1.482","441","0","132","0","1","0","1007002"
"18","100700218","0.858","0","0","0","0","0","1","4","0","1007002"
"19","100700219","0","5","1.255","255","0","0","0","1","0","1007002"
"20","100700220","2.752","0","0","0","0","0","1","4","0","1007002"
"21","100700221","0","0","0","0","vo_svd","0","0","2","vo_svd_0204","1007002"
"22","100700222","0","6","1.827","336","0","0","0","1","0","1007002"
"23","100700223","1.654","0","0","0","0","0","1","4","0","1007002"
"24","100700224","0","7","1.773","364","0","0","0","1","0","1007002"
"25","100700225","2.5","0","0","0","0","0","1","4","0","1007002"
"1","100700301","0.8","0","0","0","0","0","1","4","0","1007003"
"2","100700302","0","0","0","0","vo_svd","0","0","2","vo_svd_0301","1007003"
"3","100700303","0","1","1.205","185","0","0","0","1","0","1007003"
"4","100700304","1.739","0","0","0","0","0","1","4","0","1007003"
"5","100700305","0","1","1.278","355","0","185","0","1","0","1007003"
"6","100700306","0.687","0","0","0","0","0","1","4","0","1007003"
"7","100700307","0","2","0.735","132","0","0","0","1","0","1007003"
"8","100700308","2.357","0","0","0","0","0","1","4","0","1007003"
"9","100700309","0","0","0","0","vo_svd","0","0","2","vo_svd_0302","1007003"
"10","100700310","0","2","1.542","364","0","132","0","1","0","1007003"
"11","100700311","1.9","0","0","0","0","0","1","4","0","1007003"
"12","100700312","0","3","1.82","336","0","0","0","1","0","1007003"
"13","100700313","1.754","0","0","0","0","0","1","4","0","1007003"
"14","100700314","0","4","1.133","255","0","0","0","1","0","1007003"
"15","100700315","2.697","0","0","0","0","0","1","4","0","1007003"
"16","100700316","0","0","0","0","vo_svd","0","0","2","vo_svd_0303","1007003"
"17","100700317","0","5","1.827","336","0","0","0","1","0","1007003"
"18","100700318","2.182","0","0","0","0","0","1","4","0","1007003"
"19","100700319","0","6","1.186","275","0","0","0","1","0","1007003"
"20","100700320","2.842","0","0","0","0","0","1","4","0","1007003"
"21","100700321","0","0","0","0","vo_svd","0","0","2","vo_svd_0304","1007003"
"22","100700322","0","7","2.067","336","0","0","0","1","0","1007003"
"23","100700323","1.844","0","0","0","0","0","1","4","0","1007003"
"24","100700324","0","8","2.068","364","0","0","0","1","0","1007003"
"25","100700325","2.5","0","0","0","0","0","1","4","0","1007003"
"1","100700401","0.8","0","0","0","0","0","1","4","0","1007004"
"2","100700402","0","0","0","0","vo_svd","0","0","2","vo_svd_0401","1007004"
"3","100700403","0","1","1.105","201","0","0","0","1","0","1007004"
"4","100700404","1.504","0","0","0","0","0","1","4","0","1007004"
"5","100700405","0","1","0.62","313","0","201","0","1","0","1007004"
"6","100700406","0.554","0","0","0","0","0","1","4","0","1007004"
"7","100700407","0","2","0.728","165","0","0","0","1","0","1007004"
"8","100700408","2.154","0","0","0","0","0","1","4","0","1007004"
"9","100700409","0","0","0","0","vo_svd","0","0","2","vo_svd_0402","1007004"
"10","100700410","0","2","1.051","334","0","165","0","1","0","1007004"
"11","100700411","0.915","0","0","0","0","0","1","4","0","1007004"
"12","100700412","0","3","0.927","161","0","0","0","1","0","1007004"
"13","100700413","1.701","0","0","0","0","0","1","4","0","1007004"
"14","100700414","0","3","0.905","311","0","161","0","1","0","1007004"
"15","100700415","0.816","0","0","0","0","0","1","4","0","1007004"
"16","100700416","0","4","1.249","329","0","0","0","1","0","1007004"
"17","100700417","1.252","0","0","0","0","0","1","4","0","1007004"
"18","100700418","0","5","0.987","268","0","0","0","1","0","1007004"
"19","100700419","2.864","0","0","0","0","0","1","4","0","1007004"
"20","100700420","0","0","0","0","vo_svd","0","0","2","vo_svd_0403","1007004"
"21","100700421","0","6","2.056","336","0","0","0","1","0","1007004"
"22","100700422","1.844","0","0","0","0","0","1","4","0","1007004"
"23","100700423","0","7","1.963","364","0","0","0","1","0","1007004"
"24","100700424","2.5","0","0","0","0","0","1","4","0","1007004"
"1","100700501","0.8","0","0","0","0","0","1","4","0","1007005"
"2","100700502","0","0","0","0","vo_svd","0","0","2","vo_svd_0501","1007005"
"3","100700503","0","1","1.741","329","0","0","0","1","0","1007005"
"4","100700504","2.972","0","0","0","0","0","1","4","0","1007005"
"5","100700505","0","0","0","0","vo_svd","0","0","2","vo_svd_0502","1007005"
"6","100700506","0","2","1.539","320","0","0","0","1","0","1007005"
"7","100700507","1.258","0","0","0","0","0","1","4","0","1007005"
"8","100700508","0","3","0.762","175","0","0","0","1","0","1007005"
"9","100700509","2.583","0","0","0","0","0","1","4","0","1007005"
"10","100700510","0","0","0","0","vo_svd","0","0","2","vo_svd_0503","1007005"
"11","100700511","0","4","2.131","336","0","0","0","1","0","1007005"
"12","100700512","2.924","0","0","0","0","0","1","4","0","1007005"
"13","100700513","0","5","1.868","329","0","0","0","1","0","1007005"
"14","100700514","3.266","0","0","0","0","0","1","4","0","1007005"
"15","100700515","0","0","0","0","vo_svd","0","0","2","vo_svd_0504","1007005"
"16","100700516","0","6","1.269","275","0","0","0","1","0","1007005"
"17","100700517","2.653","0","0","0","0","0","1","4","0","1007005"
"18","100700518","0","0","0","0","vo_svd","0","0","2","vo_svd_0505","1007005"
"19","100700519","0","7","2.056","336","0","0","0","1","0","1007005"
"20","100700520","1.844","0","0","0","0","0","1","4","0","1007005"
"21","100700521","0","8","1.965","364","0","0","0","1","0","1007005"
"22","100700522","2.5","0","0","0","0","0","1","4","0","1007005"
"1","100700601","0.8","0","0","0","0","0","1","4","0","1007006"
"2","100700602","0","0","0","0","vo_svd","0","0","2","vo_svd_0601","1007006"
"3","100700603","0","1","1.875","336","0","0","0","1","0","1007006"
"4","100700604","3.353","0","0","0","0","0","1","4","0","1007006"
"5","100700605","0","0","0","0","vo_svd","0","0","2","vo_svd_0602","1007006"
"6","100700606","0","2","1.734","336","0","0","0","1","0","1007006"
"7","100700607","1.665","0","0","0","0","0","1","4","0","1007006"
"8","100700608","0","3","1.035","219","0","0","0","1","0","1007006"
"9","100700609","1.893","0","0","0","0","0","1","4","0","1007006"
"10","100700610","0","3","0.821","354","0","248","0","1","0","1007006"
"11","100700611","0.664","0","0","0","0","0","1","4","0","1007006"
"12","100700612","0","4","1.361","275","0","0","0","1","0","1007006"
"13","100700613","1.108","0","0","0","0","0","1","4","0","1007006"
"14","100700614","0","5","1.269","259","0","0","0","1","0","1007006"
"15","100700615","3.112","0","0","0","0","0","1","4","0","1007006"
"16","100700616","0","0","0","0","vo_svd","0","0","2","vo_svd_0603","1007006"
"17","100700617","0","6","2.056","336","0","0","0","1","0","1007006"
"18","100700618","1.844","0","0","0","0","0","1","4","0","1007006"
"19","100700619","0","7","1.965","364","0","0","0","1","0","1007006"
"20","100700620","2.5","0","0","0","0","0","1","4","0","1007006"
"1","100700701","0.8","0","0","0","0","0","1","4","0","1007007"
"2","100700702","0","0","0","0","vo_svd","0","0","2","vo_svd_0701","1007007"
"3","100700703","0","1","0.926","132","0","0","0","1","0","1007007"
"4","100700704","1.549","0","0","0","0","0","1","4","0","1007007"
"5","100700705","0","1","1.457","345","0","132","0","1","0","1007007"
"6","100700706","1.228","0","0","0","0","0","1","4","0","1007007"
"7","100700707","0","2","0.762","168","0","0","0","1","0","1007007"
"8","100700708","2.221","0","0","0","0","0","1","4","0","1007007"
"9","100700709","0","0","0","0","vo_svd","0","0","2","vo_svd_0702","1007007"
"10","100700710","0","2","0.969","347","0","168","0","1","0","1007007"
"11","100700711","0.747","0","0","0","0","0","1","4","0","1007007"
"12","100700712","0","3","2.085","336","0","0","0","1","0","1007007"
"13","100700713","2.932","0","0","0","0","0","1","4","0","1007007"
"14","100700714","0","4","1.436","275","0","0","0","1","0","1007007"
"15","100700715","2.164","0","0","0","0","0","1","4","0","1007007"
"16","100700716","0","5","1.928","356","0","0","0","1","0","1007007"
"17","100700717","1.673","0","0","0","0","0","1","4","0","1007007"
"18","100700718","0","6","1.269","259","0","0","0","1","0","1007007"
"19","100700719","3.156","0","0","0","0","0","1","4","0","1007007"
"20","100700720","0","0","0","0","vo_svd","0","0","2","vo_svd_0703","1007007"
"21","100700721","0","7","2.077","336","0","0","0","1","0","1007007"
"22","100700722","1.841","0","0","0","0","0","1","4","0","1007007"
"23","100700723","0","8","1.965","364","0","0","0","1","0","1007007"
"24","100700724","2.5","0","0","0","0","0","0","4","0","1007007"
"1","100700801","0.8","0","0","0","0","0","1","4","0","1007008"
"2","100700802","0","0","0","0","vo_svd","0","0","2","vo_svd_0801","1007008"
"3","100700803","0","1","2.027","356","0","0","0","1","0","1007008"
"4","100700804","3.309","0","0","0","0","0","1","4","0","1007008"
"5","100700805","0","0","0","0","vo_svd","0","0","2","vo_svd_0802","1007008"
"6","100700806","0","2","1.879","336","0","0","0","1","0","1007008"
"7","100700807","3.041","0","0","0","0","0","1","4","0","1007008"
"8","100700808","0","0","0","0","vo_svd","0","0","2","vo_svd_0803","1007008"
"9","100700809","0","3","1.848","336","0","0","0","1","0","1007008"
"10","100700810","1.437","0","0","0","0","0","1","4","0","1007008"
"11","100700811","0","4","0.796","168","0","0","0","1","0","1007008"
"12","100700812","2.532","0","0","0","","0","1","4","","1007008"
"13","100700813","0","0","0","0","vo_svd","0","0","2","vo_svd_0804","1007008"
"14","100700814","0","5","1.002","101","0","0","0","1","0","1007008"
"15","100700815","2.164","0","0","0","0","0","1","4","0","1007008"
"16","100700816","0","5","1.574","299","0","101","0","1","0","1007008"
"17","100700817","2.164","0","0","0","0","0","1","4","0","1007008"
"18","100700818","0","6","1.269","259","0","0","0","1","0","1007008"
"19","100700819","2.5","0","0","0","0","0","1","4","0","1007008"
"1","100700901","0.8","0","0","0","0","0","1","4","0","1007009"
"2","100700902","0","0","0","0","vo_svd","0","0","2","vo_svd_0901","1007009"
"3","100700903","0","1","2.285","356","0","0","0","1","0","1007009"
"4","100700904","2.031","0","0","0","0","0","1","4","0","1007009"
"5","100700905","0","2","1.362","215","0","0","0","1","0","1007009"
"6","100700906","2.479","0","0","0","0","0","1","4","0","1007009"
"7","100700907","0","0","0","0","vo_svd","0","0","2","vo_svd_0902","1007009"
"8","100700908","0","3","2.004","356","0","0","0","1","0","1007009"
"9","100700909","1.804","0","0","0","0","0","1","4","0","1007009"
"10","100700910","0","4","2.026","266","0","0","0","1","0","1007009"
"11","100700911","2.473","0","0","0","0","0","1","4","0","1007009"
"12","100700912","0","4","0.518","338","0","266","0","1","0","1007009"
"13","100700913","0.556","0","0","0","0","0","1","4","0","1007009"
"14","100700914","0","5","2.021","336","0","0","0","1","0","1007009"
"15","100700915","1.713","0","0","0","0","0","1","4","0","1007009"
"16","100700916","0","6","1.513","250","0","0","0","1","0","1007009"
"17","100700917","1.981","0","0","0","0","0","1","4","0","1007009"
"18","100700918","0","0","0","0","vo_svd","0","0","2","vo_svd_0903","1007009"
"19","100700919","0","7","1.672","279","0","0","0","1","0","1007009"
"20","100700920","1.924","0","0","0","0","0","1","4","0","1007009"
"21","100700921","0","7","0.796","338","0","279","0","1","0","1007009"
"22","100700922","1.832","0","0","0","","0","1","4","","1007009"
"23","100700923","0","0","0","0","vo_svd","0","0","2","vo_svd_0904","1007009"
"24","100700924","0","8","0.703","96","0","0","0","1","0","1007009"
"25","100700925","1.523","0","0","0","0","0","1","4","0","1007009"
"26","100700926","0","0","0","0","vo_svd","0","0","2","vo_svd_0905","1007009"
"27","100700927","0","8","1.198","218","0","96","0","1","0","1007009"
"28","100700928","1.764","0","0","0","0","0","1","4","0","1007009"
"29","100700929","0","0","0","0","vo_svd","0","0","2","vo_svd_0906","1007009"
"30","100700930","0","9","2.335","336","0","0","0","1","0","1007009"
"31","100700931","3.423","0","0","0","0","0","1","4","0","1007009"
"32","100700932","0","0","0","0","vo_svd","0","0","2","vo_svd_0907","1007009"
"33","100700933","0","10","0.682","69","0","0","0","1","0","1007009"
"34","100700934","1.357","0","0","0","0","0","1","4","0","1007009"
"35","100700935","0","10","2.106","336","0","69","0","1","0","1007009"
"36","100700936","1.43","0","0","0","0","0","1","4","0","1007009"
"37","100700937","0","11","2.283","336","0","0","0","1","0","1007009"
"38","100700938","2.989","0","0","0","0","0","1","4","0","1007009"
"39","100700939","0","0","0","0","vo_svd","0","0","2","vo_svd_0908","1007009"
"40","100700940","0","12","1.978","322","0","0","0","1","0","1007009"
"41","100700941","1","0","0","0","0","0","1","4","0","1007009"
"1","100701001","0.8","0","0","0","0","0","1","4","0","1007010"
"2","100701002","0","0","0","0","vo_svd","0","0","2","vo_svd_1001","1007010"
"3","100701003","0","1","2.705","356","0","0","0","1","0","1007010"
"4","100701004","3.154","0","0","0","0","0","1","4","0","1007010"
"5","100701005","0","2","0.918","96","0","0","0","1","0","1007010"
"6","100701006","1.231","0","0","0","0","0","1","4","0","1007010"
"7","100701007","0","2","1.672","356","0","96","0","1","0","1007010"
"8","100701008","3.307","0","0","0","0","0","1","4","0","1007010"
"9","100701009","0","0","0","0","vo_svd","0","0","2","vo_svd_1002","1007010"
"10","100701010","0","3","0.835","131","0","0","0","1","0","1007010"
"11","100701011","1.164","0","0","0","0","0","1","4","0","1007010"
"12","100701012","0","3","1.623","336","0","131","0","1","0","1007010"
"13","100701013","1.712","0","0","0","0","0","1","4","0","1007010"
"14","100701014","0","4","2.294","356","0","0","0","1","0","1007010"
"15","100701015","2.186","0","0","0","0","0","1","4","0","1007010"
"16","100701016","0","5","2.184","322","0","0","0","1","0","1007010"
"17","100701017","3.034","0","0","0","0","0","1","4","0","1007010"
"18","100701018","0","0","0","0","vo_svd","0","0","2","vo_svd_1003","1007010"
"19","100701019","0","6","2.704","356","0","0","0","1","0","1007010"
"20","100701020","2.522","0","0","0","0","0","1","4","0","1007010"
"21","100701021","0","7","1.005","162","0","0","0","1","0","1007010"
"22","100701022","2.617","0","0","0","0","0","1","4","0","1007010"
"23","100701023","0","0","0","0","vo_svd","0","0","2","vo_svd_1004","1007010"
"24","100701024","0","8","0.975","131","0","0","0","1","0","1007010"
"25","100701025","1.202","0","0","0","0","0","1","4","0","1007010"
"26","100701026","0","8","1.214","291","0","131","0","1","0","1007010"
"27","100701027","1.187","0","0","0","0","0","1","4","0","1007010"
"28","100701028","0","9","2.043","345","0","0","0","1","0","1007010"
"29","100701029","3.356","0","0","0","0","0","1","4","0","1007010"
"30","100701030","0","0","0","0","vo_svd","0","0","2","vo_svd_1005","1007010"
"31","100701031","0","10","1.862","155","0","0","0","1","0","1007010"
"32","100701032","2.285","0","0","0","0","0","1","4","0","1007010"
"33","100701033","0","0","0","0","vo_svd","0","0","2","vo_svd_1006","1007010"
"34","100701034","0","11","0.682","85","0","0","0","1","0","1007010"
"35","100701035","1.529","0","0","0","0","0","1","4","0","1007010"
"36","100701036","0","11","1.042","220","0","85","0","1","0","1007010"
"37","100701037","2.384","0","0","0","0","0","1","4","0","1007010"
"38","100701038","0","0","0","0","vo_svd","0","0","2","vo_svd_1007","1007010"
"39","100701039","0","12","1.106","100","0","0","0","1","0","1007010"
"40","100701040","1.891","0","0","0","0","0","1","4","0","1007010"
"41","100701041","0","12","1.322","289","0","100","0","1","0","1007010"
"42","100701042","1","0","0","0","0","0","1","4","0","1007010"
