f5e6b209c43c67b6b45f4e49b9500c42fb69aeb7e03519574d5aa7d7afa6eed5,7a19db8afad87a0e4cc107e42b697629142cee76b29bb9a43e46c23c3b9bc676,96f5875a6336f223cc248d28454f36f5efdf8fbe7f6818b835d9de39e133491a,100968a720be9ed38d52d978871b1ad00dd15d24732a71bd58615f05e2400c26,cd13bde8a9cfe39fd6e61053c539a585c8174ebad74f911692963ed328fcc707,5045484b10b17bae432486e2ed6d78fce7f31ea4c12ad34590ce53862ee83d45,57350195adc3f3e215fb89d3908bfdd23f3e1d3cca520feb851f51fbdf79d895,55123b125372bd7c7c80cb42f4dd438481ac582886d186e16281d242fa2bb1b1,99c02525eb4e62cf8d39da81ca6470d553af57fe7d270cf158905af944e43dcc,fff09555d4f9893522104f3327c0693e08139aa80895af7a257a929265858018
"1010020","0","1","2.375","","0","20","4","0","1"
"1010021","0","0","0","でも……","0","21","1","8","1"
"1010022","0","1","2.5","","0","22","4","0","1"
"1010023","vo_10011600_0105","0","0","","vo_10011600","23","2","0","1"
"1010024","0","0","0","でも、","0","24","1","8","1"
"1010025","0","1","1.375","","0","25","4","0","1"
"1010026","0","0","0","もしも、","0","26","1","8","1"
"1010027","0","1","1.5","","0","27","4","0","1"
"1010028","0","0","0","私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","28","1","8","1"
"1010029","0","1","4.875","","0","29","4","0","1"
"1010030","vo_10011600_0106","0","0","","vo_10011600","30","2","0","1"
"1010031","0","0","0","……友達、","0","31","1","6","1"
"1010032","0","1","1.58333333333333","","0","32","4","0","1"
"1010033","0","0","0","できるかな？","0","33","1","8","1"
"1010034","0","1","1.75","","0","34","4","0","1"
"1020001","vo_10011600_0201","0","0","","vo_10011600","1","2","0","2"
"1020002","0","0","0","　ごきげんようという挨拶で","0","2","1","8","2"
"1020003","0","1","2.375","","0","3","4","0","2"
"1020004","0","0","0","私のぼっち心は最初から爆発寸前。\n","0","4","1","8","2"
"1020005","0","1","4","","0","5","4","0","2"
"1020006","vo_10011600_0202","0","0","","vo_10011600","6","2","0","2"
"1020007","0","0","0","ところが、","0","7","1","8","2"
"1020008","0","1","1.125","","0","8","4","0","2"
"1020009","0","0","0","なんとそこにBB団の団長さんが登場！","0","9","1","8","2"
"1020010","0","1","3.75","","0","10","4","0","2"
"1020011","vo_10011600_0203","0","0","","vo_10011600","11","2","0","2"
"1020012","0","0","0","　BB団の絆は","0","12","1","8","2"
"1020013","0","1","1.875","","0","13","4","0","2"
"1020014","0","0","0","どんな場所だろうと離れることはないんですね！\n","0","14","1","8","2"
"1020015","0","1","3.75","","0","15","4","0","2"
"1020016","vo_10011600_0204","0","0","","vo_10011600","16","2","0","2"
"1020017","0","0","0","そして、","0","17","1","8","2"
"1020018","0","1","1","","0","18","4","0","2"
"1020019","0","0","0","あの人と一緒にやってきた","0","19","1","8","2"
"1020020","0","1","2","","0","20","4","0","2"
"1020021","0","0","0","聖テレサ女学院","0","21","1","8","2"
"1020022","0","1","1.125","","0","22","4","0","2"
"1020023","0","0","0","（なかよし部）のみなさんとお知り合いに。","0","23","1","8","2"
"1020024","0","1","3.5","","0","24","4","0","2"
"1020025","vo_10011600_0205","0","0","","vo_10011600","25","2","0","2"
"1020026","0","0","0","　なんだかとても個性的な方々で、","0","26","1","8","2"
"1020027","0","1","3","","0","27","4","0","2"
"1020028","0","0","0","仲良くなれるか心配……","0","28","1","6","2"
"1020029","0","1","2.83333333333333","","0","29","4","0","2"
"1030001","vo_10011600_0301","0","0","","vo_10011600","1","2","0","3"
"1030002","0","0","0","　やっちゃった。","0","2","1","8","3"
"1030003","0","1","3","","0","3","4","0","3"
"1030004","vo_10011600_0302","0","0","","vo_10011600","4","2","0","3"
"1030005","0","0","0","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","0","5","1","8","3"
"1030006","0","1","5.125","","0","6","4","0","3"
"1030007","vo_10011600_0303","0","0","","vo_10011600","7","2","0","3"
"1030008","0","0","0","　何度もイメージトレーニングしたのに、","0","8","1","8","3"
"1030009","0","1","2.625","","0","9","4","0","3"
"1030010","0","0","0","ものの見事に玉砕しちゃった。","0","10","1","8","3"
"1030011","0","1","2.75","","0","11","4","0","3"
"1030012","vo_10011600_0304","0","0","","vo_10011600","12","2","0","3"
"1030013","0","0","0","　クラスメイトのみんなの目がこっちを向いた瞬間、","0","13","1","8","3"
"1030014","0","1","3.5","","0","14","4","0","3"
"1030015","0","0","0","頭の中は真っ白、","0","15","1","8","3"
"1030016","0","1","2","","0","16","4","0","3"
"1030017","0","0","0","また訳の分からないことを口にしちゃった。\n","0","17","1","10","3"
"1030018","0","1","4.5","","0","18","4","0","3"
"1030019","vo_10011600_0305","0","0","","vo_10011600","19","2","0","3"
"1030020","0","0","0","みんなは楽しそうに笑ってくれたけど、","0","20","1","8","3"
"1030021","0","1","3","","0","21","4","0","3"
"1030022","0","0","0","これから先が不安……","0","22","1","8","3"
"1030023","0","1","2.25","","0","23","4","0","3"
"1040001","vo_10011600_0401","0","0","","vo_10011600","1","2","0","4"
"1040002","0","0","0","　ユニさんは","0","2","1","8","4"
"1040003","0","1","1.75","","0","3","4","0","4"
"1040004","0","0","0","とっても頭がいい人みたい。","0","4","1","8","4"
"1040005","0","1","2.625","","0","5","4","0","4"
"1040006","vo_10011600_0402","0","0","","vo_10011600","6","2","0","4"
"1040007","0","0","0","　なんだか難しい言葉をよく使ってるんだけど、","0","7","1","8","4"
"1040008","0","1","3.75","","0","8","4","0","4"
"1040009","0","0","0","理解できない単語があったりするし、","0","9","1","8","4"
"1040010","0","1","3.125","","0","10","4","0","4"
"1040011","0","0","0","これからは辞書を持ち歩こうかな？\n","0","11","1","8","4"
"1040012","0","1","4","","0","12","4","0","4"
"1040013","vo_10011600_0403","0","0","","vo_10011600","13","2","0","4"
"1040014","0","0","0","　象牙の塔っていう場所でいつも研究をしてて、","0","14","1","8","4"
"1040015","0","1","3.75","","0","15","4","0","4"
"1040016","0","0","0","普段はそこからほとんど出ないらし\nく、","0","16","1","8","4"
"1040017","0","1","3.25","","0","17","4","0","4"
"1040018","0","0","0","私と同じぼっちの匂いがします。","0","18","1","8","4"
"1040019","0","1","3.375","","0","19","4","0","4"
"1040020","vo_10011600_0404","0","0","","vo_10011600","20","2","0","4"
"1040021","0","0","0","　ぼっちはぼっちを呼ぶ、","0","21","1","8","4"
"1040022","0","1","2.5","","0","22","4","0","4"
"1040023","0","0","0","と","0","23","1","8","4"
"1040024","0","1","1.125","","0","24","4","0","4"
"1040025","0","0","0","誰が言ったのか知らないけど、","0","25","1","8","4"
"1040026","0","1","2.75","","0","26","4","0","4"
"1040027","0","0","0","もしかしたら……\n","0","27","1","8","4"
"1040028","0","1","2","","0","28","4","0","4"
"1040029","vo_10011600_0405","0","0","","vo_10011600","29","2","0","4"
"1040030","0","0","0","同じ宿命を持つ者同士、","0","30","1","8","4"
"1040031","0","1","2.375","","0","31","4","0","4"
"1040032","0","0","0","仲良くなれるかも？","0","32","1","8","4"
"1040033","0","1","2.125","","0","33","4","0","4"
"1050001","vo_10011600_0501","0","0","","vo_10011600","1","2","0","5"
"1050002","0","0","0","　クロエさんは私と同じ","0","2","1","8","5"
"1050003","0","1","1.875","","0","3","4","0","5"
"1050004","0","0","0","エルフ、","0","4","1","8","5"
"1050005","0","1","1.5","","0","5","4","0","5"
"1050006","0","0","0","なんだけど……","0","6","1","8","5"
"1050007","0","1","1.625","","0","7","4","0","5"
"1050008","0","0","0","雰囲気が少し、","0","8","1","8","5"
"1050009","0","1","1.375","","0","9","4","0","5"
"1050010","0","0","0","独特な人。\n","0","10","1","8","5"
"1050011","0","1","2.625","","0","11","4","0","5"
"1050012","vo_10011600_0502","0","0","","vo_10011600","12","2","0","5"
"1050013","0","0","0","もしかしたら同じエルフ同士で仲良くなれるかも、","0","13","1","8","5"
"1050014","0","1","3.625","","0","14","4","0","5"
"1050015","0","0","0","と思ったりもしたんだけど、","0","15","1","8","5"
"1050016","0","1","2.125","","0","16","4","0","5"
"1050017","0","0","0","そもそも話しかけられない！\n","0","17","1","8","5"
"1050018","0","1","3.125","","0","18","4","0","5"
"1050019","vo_10011600_0503","0","0","","vo_10011600","19","2","0","5"
"1050020","0","0","0","あの人が言うには","0","20","1","8","5"
"1050021","0","1","1.65","","0","21","4","0","5"
"1050022","0","0","0","世話焼きで優しい、","0","22","1","8","5"
"1050023","0","1","1.625","","0","23","4","0","5"
"1050024","0","0","0","らしいんだけど……\n","0","24","1","8","5"
"1050025","0","1","3.125","","0","25","4","0","5"
"1050026","vo_10011600_0504","0","0","","vo_10011600","26","2","0","5"
"1050027","0","0","0","そういえばあの、","0","27","1","8","5"
"1050028","0","1","2","","0","28","4","0","5"
"1050029","0","0","0","ぷー……","0","29","1","8","5"
"1050030","0","1","1.5","","0","30","4","0","5"
"1050031","0","0","0","っていうため息（？）、","0","31","1","8","5"
"1050032","0","1","2.375","","0","32","4","0","5"
"1050033","vo_10011600_0505","0","0","","vo_10011600","33","2","0","5"
"1050034","0","0","0","とても言えないけど……\n","0","34","1","8","5"
"1050035","0","1","2.375","","0","35","4","0","5"
"1050036","0","0","0","なんかかわいいな、","0","36","1","8","5"
"1050037","0","1","1.375","","0","37","4","0","5"
"1050038","0","0","0","と思っちゃった。","0","38","1","8","5"
"1050039","0","1","1","","0","39","4","0","5"
"1060001","vo_10011600_0601","0","0","","vo_10011600","1","2","0","6"
"1060002","0","0","0","　チエルさんはリア充。","0","2","1","8","6"
"1060003","0","1","2.375","","0","3","4","0","6"
"1060004","0","0","0","間違いない。\n","0","4","1","8","6"
"1060005","0","1","2.5","","0","5","4","0","6"
"1060006","vo_10011600_0602","0","0","","vo_10011600","6","2","0","6"
"1060007","0","0","0","かわいらしくて友達いっぱい、","0","7","1","8","6"
"1060008","0","1","2.5","","0","8","4","0","6"
"1060009","0","0","0","私のようなぼっちとは対極の人。","0","9","1","8","6"
"1060010","0","1","2.875","","0","10","4","0","6"
"1060011","vo_10011600_0603","0","0","","vo_10011600","11","2","0","6"
"1060012","0","0","0","見つめるだけで目が焼かれちゃいそう。\n","0","12","1","8","6"
"1060013","0","1","3.25","","0","13","4","0","6"
"1060014","vo_10011600_0604","0","0","","vo_10011600","14","2","0","6"
"1060015","0","0","0","面と向かい合ってお話しなんてしようものなら、","0","15","1","8","6"
"1060016","0","1","3.5","","0","16","4","0","6"
"1060017","0","0","0","私のぼっちハートはひび割れ、","0","17","1","8","6"
"1060018","0","1","2.5","","0","18","4","0","6"
"1060019","0","0","0","粉々に砕け散ること間違いなし。\n","0","19","1","8","6"
"1060020","0","1","3.875","","0","20","4","0","6"
"1060021","vo_10011600_0605","0","0","","vo_10011600","21","2","0","6"
"1060022","0","0","0","あのちぇるーん、","0","22","1","8","6"
"1060023","0","1","1.75","","0","23","4","0","6"
"1060024","0","0","0","っていう挨拶、","0","24","1","8","6"
"1060025","0","1","1.625","","0","25","4","0","6"
"1060026","0","0","0","私が口にするとその場で気絶して、","0","26","1","8","6"
"1060027","0","1","2.75","","0","27","4","0","6"
"1060028","0","0","0","天に召されちゃうんじゃないかな……","0","28","1","8","6"
"1060029","0","1","3.125","","0","29","4","0","6"
"1070001","vo_10011600_0701","0","0","","vo_10011600","1","2","0","7"
"1070002","0","0","0","　今日は何から何まで、","0","2","1","8","7"
"1070003","0","1","2.375","","0","3","4","0","7"
"1070004","0","0","0","ユニさんのお世話になっちゃった。\n","0","4","1","7","7"
"1070005","0","1","3.28571428571429","","0","5","4","0","7"
"1070006","vo_10011600_0702","0","0","","vo_10011600","6","2","0","7"
"1070007","0","0","0","クロエさんやチエルさんにからかわれているときとは全然違う、","0","7","1","8","7"
"1070008","0","1","4.625","","0","8","4","0","7"
"1070009","0","0","0","知的で、","0","9","1","8","7"
"1070010","0","1","1.5","","0","10","4","0","7"
"1070011","0","0","0","頼りになる姿をたくさん見た。","0","11","1","10","7"
"1070012","0","1","2.4","","0","12","4","0","7"
"1070013","vo_10011600_0703","0","0","","vo_10011600","13","2","0","7"
"1070014","0","0","0","てきぱきと指示する姿は","0","14","1","8","7"
"1070015","0","1","2.375","","0","15","4","0","7"
"1070016","0","0","0","ギルドマスターであるという貫禄たっぷり。","0","16","1","8","7"
"1070017","0","1","3.5","","0","17","4","0","7"
"1070018","vo_10011600_0704","0","0","","vo_10011600","18","2","0","7"
"1070019","0","0","0","ユニさんだったらきっと、","0","19","1","8","7"
"1070020","0","1","2.25","","0","20","4","0","7"
"1070021","0","0","0","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","0","21","1","8","7"
"1070022","0","1","6.625","","0","22","4","0","7"
"1070023","vo_10011600_0705","0","0","","vo_10011600","23","2","0","7"
"1070024","0","0","0","あれ？","0","24","1","8","7"
"1070025","0","1","1.125","","0","25","4","0","7"
"1070026","0","0","0","　こんなギルド名だったっけ？","0","26","1","8","7"
"1070027","0","1","2.75","","0","27","4","0","7"
"1080001","vo_10011600_0801","0","0","","vo_10011600","1","2","0","8"
"1080002","0","0","0","　初めて会ったときは","0","2","1","8","8"
"1080003","0","1","1.75","","0","3","4","0","8"
"1080004","0","0","0","怖くて話しかけることさえも出来なかったクロエさん。","0","4","1","8","8"
"1080005","0","1","4.125","","0","5","4","0","8"
"1080006","vo_10011600_0802","0","0","","vo_10011600","6","2","0","8"
"1080007","0","0","0","だけど本当はとても優しくて、","0","7","1","8","8"
"1080008","0","1","2.75","","0","8","4","0","8"
"1080009","0","0","0","こんな私のことを気にかけてくれてることが伝わってきた。\n","0","9","1","8","8"
"1080010","0","1","5.875","","0","10","4","0","8"
"1080011","vo_10011600_0803","0","0","","vo_10011600","11","2","0","8"
"1080012","0","0","0","クロエさんのおかげで少しだけだけど、","0","12","1","8","8"
"1080013","0","1","3.25","","0","13","4","0","8"
"1080014","0","0","0","ク\nラスに受け入れてもらえた。\n","0","14","1","8","8"
"1080015","0","1","4.25","","0","15","4","0","8"
"1080016","vo_10011600_0804","0","0","","vo_10011600","16","2","0","8"
"1080017","0","0","0","クロエさんにはご家族がたくさんいるみたい。","0","17","1","8","8"
"1080018","0","1","4.125","","0","18","4","0","8"
"1080019","vo_10011600_0805","0","0","","vo_10011600","19","2","0","8"
"1080020","0","0","0","　確かに、","0","20","1","8","8"
"1080021","0","1","1.625","","0","21","4","0","8"
"1080022","0","0","0","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","0","22","1","8","8"
"1080023","0","1","4.625","","0","23","4","0","8"
"1090001","vo_10011600_0901","0","0","","vo_10011600","1","2","0","9"
"1090002","0","0","0","　ちぇるーん。","0","2","1","8","9"
"1090003","0","1","3.875","","0","3","4","0","9"
"1090004","vo_10011600_0902","0","0","","vo_10011600","4","2","0","9"
"1090005","0","0","0","この挨拶を言えるようになれば","0","5","1","8","9"
"1090006","0","1","2.75","","0","6","4","0","9"
"1090007","0","0","0","私もチエルさんみたいな","0","7","1","8","9"
"1090008","0","1","2.375","","0","8","4","0","9"
"1090009","0","0","0","明るくて友達もたくさんいる、","0","9","1","8","9"
"1090010","0","1","2.75","","0","10","4","0","9"
"1090011","0","0","0","私の理想の女性になれるのかな。\n","0","11","1","8","9"
"1090012","0","1","4.375","","0","12","4","0","9"
"1090013","vo_10011600_0903","0","0","","vo_10011600","13","2","0","9"
"1090014","0","0","0","でも","0","14","1","8","9"
"1090015","0","1","1.25","","0","15","4","0","9"
"1090016","0","0","0","この挨拶はまだ私には早いので、","0","16","1","8","9"
"1090017","0","1","2.875","","0","17","4","0","9"
"1090018","0","0","0","今日は書き取りだけしておこう。\n","0","18","1","8","9"
"1090019","0","1","4.125","","0","19","4","0","9"
"1090020","vo_10011600_0904","0","0","","vo_10011600","20","2","0","9"
"1090021","0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","21","1","8","9"
"1090022","0","1","4.125","","0","22","4","0","9"
"1090023","vo_10011600_0905","0","0","","vo_10011600","23","2","0","9"
"1090024","0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","24","1","8","9"
"1090025","0","1","4.125","","0","25","4","0","9"
"1090026","vo_10011600_0906","0","0","","vo_10011600","26","2","0","9"
"1090027","0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","0","27","1","8","9"
"1090028","0","1","4.125","","0","28","4","0","9"
"1090029","vo_10011600_0907","0","0","","vo_10011600","29","2","0","9"
"1090030","0","0","0","ちぇるーんちぇるーんちぇるーん","0","30","1","8","9"
"1090031","0","1","2.875","","0","31","4","0","9"
"1100001","vo_10011600_1001","0","0","","vo_10011600","1","2","0","10"
"1100002","0","0","0","　忘れてた忘れてた忘れてた！\n","0","2","1","8","10"
"1100003","0","1","2.75","","0","3","4","0","10"
"1100004","0","0","0","どうしよう特別講座！","0","4","1","8","10"
"1100005","0","1","2.25","","0","5","4","0","10"
"1100006","vo_10011600_1002","0","0","","vo_10011600","6","2","0","10"
"1100007","0","0","0","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","0","7","1","8","10"
"1100008","0","1","3.625","","0","8","4","0","10"
"1100009","0","0","0","何の準備もしてないよ！\n","0","9","1","8","10"
"1100010","0","1","2.375","","0","10","4","0","10"
"1100011","vo_10011600_1003","0","0","","vo_10011600","11","2","0","10"
"1100012","0","0","0","……エルフの森が","0","12","1","8","10"
"1100013","0","1","2","","0","13","4","0","10"
"1100014","0","0","0","私を呼んでる気が……","0","14","1","8","10"
"1100015","0","1","2.25","","0","15","4","0","10"
"1100016","vo_10011600_1004","0","0","","vo_10011600","16","2","0","10"
"1100017","0","0","0","いやダメダメ、","0","17","1","8","10"
"1100018","0","1","1.875","","0","18","4","0","10"
"1100019","0","0","0","ミサト先生の期待を裏切るわけには！\n","0","19","1","8","10"
"1100020","0","1","4.125","","0","20","4","0","10"
"1100021","vo_10011600_1005","0","0","","vo_10011600","21","2","0","10"
"1100022","0","0","0","でも本当にどうしよう、","0","22","1","8","10"
"1100023","0","1","3.125","","0","23","4","0","10"
"1100024","vo_10011600_1006","0","0","","vo_10011600","24","2","0","10"
"1100025","0","0","0","こうなったら","0","25","1","8","10"
"1100026","0","1","1.75","","0","26","4","0","10"
"1100027","0","0","0","ぼっちライフをどう生き抜くかをまとめて","0","27","1","8","10"
"1100028","0","1","3.375","","0","28","4","0","10"
"1100029","0","0","0","発表してみようかな……？","0","29","1","8","10"
"1100030","0","1","2.5","","0","30","4","0","10"
"1110001","vo_10011600_1101","0","0","","vo_10011600","1","2","0","11"
"1110002","0","0","0","　特別講座、","0","2","1","8","11"
"1110003","0","1","1.75","","0","3","4","0","11"
"1110004","0","0","0","終了！\n","0","4","1","8","11"
"1110005","0","1","2.625","","0","5","4","0","11"
"1110006","vo_10011600_1102","0","0","","vo_10011600","6","2","0","11"
"1110007","0","0","0","結果は……","0","7","1","8","11"
"1110008","0","1","1.625","","0","8","4","0","11"
"1110009","0","0","0","成功、","0","9","1","8","11"
"1110010","0","1","1.375","","0","10","4","0","11"
"1110011","0","0","0","だと思う。","0","11","1","8","11"
"1110012","0","1","3.125","","0","12","4","0","11"
"1110013","vo_10011600_1103","0","0","","vo_10011600","13","2","0","11"
"1110014","0","0","0","　それもこれもすべては、","0","14","1","8","11"
"1110015","0","1","2.5","","0","15","4","0","11"
"1110016","0","0","0","手伝ってくれたあの人、","0","16","1","8","11"
"1110017","0","1","1.875","","0","17","4","0","11"
"1110018","0","0","0","そして","0","18","1","8","11"
"1110019","0","1","0.875","","0","19","4","0","11"
"1110020","0","0","0","なかよし部のみなさんのおかげだ。\n","0","20","1","8","11"
"1110021","0","1","3","","0","21","4","0","11"
"1110022","vo_10011600_1104","0","0","","vo_10011600","22","2","0","11"
"1110023","0","0","0","講座が終わった後、","0","23","1","8","11"
"1110024","0","1","2.125","","0","24","4","0","11"
"1110025","0","0","0","たくさんの人に囲まれて怖かったけど、","0","25","1","8","11"
"1110026","0","1","3","","0","26","4","0","11"
"1110027","vo_10011600_1105","0","0","","vo_10011600","27","2","0","11"
"1110028","0","0","0","でも私、","0","28","1","8","11"
"1110029","0","1","1.5","","0","29","4","0","11"
"1110030","0","0","0","いつもみたいに逃げたりしなかった！\n","0","30","1","8","11"
"1110031","0","1","3.125","","0","31","4","0","11"
"1110032","vo_10011600_1106","0","0","","vo_10011600","32","2","0","11"
"1110033","0","0","0","私も少しだけ……","0","33","1","8","11"
"1110034","0","1","2","","0","34","4","0","11"
"1110035","0","0","0","ほんのちょっとだけだけど、","0","35","1","8","11"
"1110036","0","1","2.625","","0","36","4","0","11"
"1110037","0","0","0","成長……","0","37","1","8","11"
"1110038","0","1","1.5","","0","38","4","0","11"
"1110039","0","0","0","できたのかな。","0","39","1","8","11"
"1110040","0","1","1.875","","0","40","4","0","11"
"1120001","vo_10011600_1201","0","0","","vo_10011600","1","2","0","12"
"1120002","0","0","0","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","0","2","1","8","12"
"1120003","0","1","4.25","","0","3","4","0","12"
"1120004","0","0","0","あの人はやっぱりすごい！\n","0","4","1","8","12"
"1120005","0","1","3.5","","0","5","4","0","12"
"1120006","vo_10011600_1202","0","0","","vo_10011600","6","2","0","12"
"1120007","0","0","0","　廊下を歩いてるとき、","0","7","1","8","12"
"1120008","0","1","2.125","","0","8","4","0","12"
"1120009","0","0","0","他の生徒はあの人を見て驚いた顔をするんだけど、","0","9","1","8","12"
"1120010","0","1","3.375","","0","10","4","0","12"
"1120011","0","0","0","あの人はにこやかに挨拶するんです！\n","0","11","1","8","12"
"1120012","0","1","3.125","","0","12","4","0","12"
"1120013","vo_10011600_1203","0","0","","vo_10011600","13","2","0","12"
"1120014","0","0","0","そこできゃあ、","0","14","1","8","12"
"1120015","0","1","1.375","","0","15","4","0","12"
"1120016","0","0","0","と言われても","0","16","1","8","12"
"1120017","0","1","1.25","","0","17","4","0","12"
"1120018","0","0","0","涼しい顔で手を振り返す！","0","18","1","8","12"
"1120019","0","1","2.5","","0","19","4","0","12"
"1120020","vo_10011600_1204","0","0","","vo_10011600","20","2","0","12"
"1120021","0","0","0","　挨拶さえもできない私とは大違い！\n\n","0","21","1","8","12"
"1120022","0","1","4.625","","0","22","4","0","12"
"1120023","vo_10011600_1205","0","0","","vo_10011600","23","2","0","12"
"1120024","0","0","0","早く私も","0","24","1","8","12"
"1120025","0","1","1.25","","0","25","4","0","12"
"1120026","0","0","0","あんなふうになりたいなぁ……","0","26","1","8","12"
"1120027","0","1","2.5","","0","27","4","0","12"
"1130001","vo_10011600_1301","0","0","","vo_10011600","1","2","0","13"
"1130002","0","0","0","　私が持ってきたマンドラゴラが大変なことに……\n","0","2","1","8","13"
"1130003","0","1","4.875","","0","3","4","0","13"
"1130004","vo_10011600_1302","0","0","","vo_10011600","4","2","0","13"
"1130005","0","0","0","だけど、","0","5","1","8","13"
"1130006","0","1","1.25","","0","6","4","0","13"
"1130007","0","0","0","あの人となかよし部のみなさんが力を貸してくれたおかげで、","0","7","1","8","13"
"1130008","0","1","4","","0","8","4","0","13"
"1130009","0","0","0","大きな\n被害が出る前に食い止めることができた。","0","9","1","8","13"
"1130010","0","1","5","","0","10","4","0","13"
"1130011","vo_10011600_1303","0","0","","vo_10011600","11","2","0","13"
"1130012","0","0","0","　みなさんは","0","12","1","8","13"
"1130013","0","1","1.45","","0","13","4","0","13"
"1130014","0","0","0","下心があったなんて言ってたけど、","0","14","1","8","13"
"1130015","0","1","2.75","","0","15","4","0","13"
"1130016","0","0","0","そんなことは関係ないと思う。\n","0","16","1","8","13"
"1130017","0","1","3.25","","0","17","4","0","13"
"1130018","vo_10011600_1304","0","0","","vo_10011600","18","2","0","13"
"1130019","0","0","0","こうして一緒に戦うことができて、","0","19","1","8","13"
"1130020","0","1","2.75","","0","20","4","0","13"
"1130021","0","0","0","私は嬉しかった。\n","0","21","1","8","13"
"1130022","0","1","2.5","","0","22","4","0","13"
"1130023","vo_10011600_1305","0","0","","vo_10011600","23","2","0","13"
"1130024","0","0","0","なんだか……","0","24","1","8","13"
"1130025","0","1","1.75","","0","25","4","0","13"
"1130026","0","0","0","仲間、","0","26","1","8","13"
"1130027","0","1","1.375","","0","27","4","0","13"
"1130028","0","0","0","になれたみたいで。","0","28","1","8","13"
"1130029","0","1","2.125","","0","29","4","0","13"
"1140001","vo_10011600_1401","0","0","","vo_10011600","1","2","0","14"
"1140002","0","0","0","　今日は","0","2","1","8","14"
"1140003","0","1","1.5","","0","3","4","0","14"
"1140004","0","0","0","聖テレサ女学院に通う最終日","0","4","1","7","14"
"1140005","0","1","3.60714285714286","","0","5","4","0","14"
"1140006","0","0","0","……だった。\n","0","6","1","8","14"
"1140007","0","1","3.25","","0","7","4","0","14"
"1140008","vo_10011600_1402","0","0","","vo_10011600","8","2","0","14"
"1140009","0","0","0","最初にミサト先生からお願いされたときは","0","9","1","8","14"
"1140010","0","1","3.375","","0","10","4","0","14"
"1140011","0","0","0","絶対ムリだと思ってた。","0","11","1","8","14"
"1140012","0","1","3.125","","0","12","4","0","14"
"1140013","vo_10011600_1403","0","0","","vo_10011600","13","2","0","14"
"1140014","0","0","0","　だけど今は名残惜しくて、","0","14","1","8","14"
"1140015","0","1","2.625","","0","15","4","0","14"
"1140016","0","0","0","こうして日記を書いている。\n","0","16","1","8","14"
"1140017","0","1","3.375","","0","17","4","0","14"
"1140018","vo_10011600_1404","0","0","","vo_10011600","18","2","0","14"
"1140019","0","0","0","　目を閉じると、","0","19","1","8","14"
"1140020","0","1","2","","0","20","4","0","14"
"1140021","0","0","0","あの人や","0","21","1","8","14"
"1140022","0","1","1.5","","0","22","4","0","14"
"1140023","0","0","0","なかよし部のみなさん、","0","23","1","8","14"
"1140024","0","1","2.125","","0","24","4","0","14"
