0a965c043e984ab8280e26934ec72598a0c43107f6840a4c5be192d1b2c06c89,8e79a8e0e59e4ca6b29cc040c98b4b8868c10e9567495f541b0116359b7350e2,e4e8e5c584c0fa950b0eb43417a47c046876412763f81f90a95bb543e24ce802,a6c45bb426bf8ac30ef0bce35dc51cd9bf7ca32f4a000f285bf5e76891bb7f9a,eec829b8e9d43ff2229f60c6fe9847875f0f53e8f14639126f02d40181c140de,88bdb9e10a4e0de2480bf0e94644460348a0bf1abbcd2dd796b8976d3d624506,cf7fff6e6c17bbbc4d21e9752f3da02abc93962a73469bcea880f3e947057196,8ccdaca0897a888e5fe7062dae5fe0752ed9004c4f51505031a8f1ec188e8411,af8e492b068bc712544356a4d680194f27684eaf8df358144a6326b4f68112a0,90d34d6fa94c14afc7ce3f6cbba2a2d06f8af1024587a685240b2b8b418b89f3,c03a5c50817d498c3afde359e1a0fca4c8a0eff4a191f778273b66cb1b31cf6f,6af24833ea74f88e2faf4b47e731f2e8bdeaf20add52bd9c6fb24cec4e7fab86
"0","0","1020030","2","0","30","4","0","1","0","2.98","0"
"0","0","1020031","2","0","31","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_005"
"114","0","1020032","2","0.93","32","1","9","0","0","0","0"
"0","0","1020033","2","0","33","4","0","1","0","1.24","0"
"257","114","1020034","2","0.879","34","1","9","0","0","0","0"
"0","0","1020035","2","0","35","4","0","1","0","1.877","0"
"0","0","1020036","2","0","36","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_006"
"144","0","1020037","2","1.148","37","1","10","0","0","0","0"
"0","0","1020038","2","0","38","4","0","1","0","1.541","0"
"307","144","1020039","2","1.145","39","1","10","0","0","0","0"
"0","0","1020040","2","0","40","4","0","1","0","2.645","0"
"0","0","1030001","3","0","1","4","0","3","0","1","0"
"0","0","1030002","3","0","2","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_000"
"332","0","1030003","3","2.61","3","1","1","0","0","0","0"
"0","0","1030004","3","0","4","4","0","1","0","3.007","0"
"233","0","1030005","3","1.47","5","1","2","0","0","0","0"
"0","0","1030006","3","0","6","4","0","1","0","2.171","0"
"0","0","1030007","3","0","7","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_001"
"322","0","1030008","3","2.1","8","1","3","0","0","0","0"
"0","0","1030009","3","0","9","4","0","1","0","2.579","0"
"349","0","1030010","3","2.298","10","1","4","0","0","0","0"
"0","0","1030011","3","0","11","4","0","1","0","3.18","0"
"0","0","1030012","3","0","12","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_002"
"173","0","1030013","3","1.262","13","1","5","0","0","0","0"
"0","0","1030014","3","0","14","4","0","1","0","1.993","0"
"0","0","1030015","3","0","15","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_003"
"243","173","1030016","3","0.373","16","1","5","0","0","0","0"
"0","0","1030017","3","0","17","4","0","1","0","0.69","0"
"362","243","1030018","3","1.045","18","1","5","0","0","0","0"
"0","0","1030019","3","0","19","4","0","1","0","2.131","0"
"0","0","1030020","3","0","20","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_004"
"289","0","1030021","3","2.147","21","1","6","0","0","0","0"
"0","0","1030022","3","0","22","4","0","1","0","2.618","0"
"202","0","1030023","3","1.445","23","1","7","0","0","0","0"
"0","0","1030024","3","0","24","4","0","1","0","2.552","0"
"0","0","1030025","3","0","25","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_005"
"123","0","1030026","3","0.876","26","1","8","0","0","0","0"
"0","0","1030027","3","0","27","4","0","1","0","1.252","0"
"324","123","1030028","3","1.306","28","1","8","0","0","0","0"
"0","0","1030029","3","0","29","4","0","1","0","1.507","0"
"186","0","1030030","3","1.319","30","1","9","0","0","0","0"
"0","0","1030031","3","0","31","4","0","1","0","2.549","0"
"0","0","1030032","3","0","32","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_006"
"383","0","1030033","3","2.728","33","1","10","0","0","0","0"
"0","0","1030034","3","0","34","4","0","1","0","3.023","0"
"123","0","1030035","3","0.91","35","1","11","0","0","0","0"
"0","0","1030036","3","0","36","4","0","1","0","1.977","0"
"0","0","1030037","3","0","37","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_007"
"208","123","1030038","3","0.558","38","1","11","0","0","0","0"
"0","0","1030039","3","0","39","4","0","1","0","0.973","0"
"392","208","1030040","3","1.35","40","1","11","0","0","0","0"
"0","0","1030041","3","0","41","4","0","1","0","2.103","0"
"0","0","1030042","3","0","42","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_008"
"150","0","1030043","3","0.935","43","1","12","0","0","0","0"
"0","0","1030044","3","0","44","4","0","1","0","2.435","0"
"0","0","1040001","4","0","1","4","0","3","0","1","0"
"0","0","1040002","4","0","2","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_000"
"222","0","1040003","4","1.597","3","1","1","0","0","0","0"
"0","0","1040004","4","0","4","4","0","1","0","1.881","0"
"239","0","1040005","4","1.46","5","1","2","0","0","0","0"
"0","0","1040006","4","0","6","4","0","1","0","2.457","0"
"0","0","1040007","4","0","7","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_001"
"171","0","1040008","4","1.208","8","1","3","0","0","0","0"
"0","0","1040009","4","0","9","4","0","1","0","1.578","0"
"270","171","1040010","4","0.673","10","1","3","0","0","0","0"
"0","0","1040011","4","0","11","4","0","1","0","1.009","0"
"352","270","1040012","4","0.65","12","1","3","0","0","0","0"
"0","0","1040013","4","0","13","4","0","1","0","0.729","0"
"166","0","1040014","4","0.976","14","1","4","0","0","0","0"
"0","0","1040015","4","0","15","4","0","1","0","1.993","0"
"0","0","1040016","4","0","16","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_002"
"220","166","1040017","4","0.396","17","1","4","0","0","0","0"
"0","0","1040018","4","0","18","4","0","1","0","0.864","0"
"352","220","1040019","4","0.74","19","1","4","0","0","0","0"
"0","0","1040020","4","0","20","4","0","1","0","1.855","0"
"0","0","1040021","4","0","21","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_003"
"52","0","1040022","4","0.437","22","1","5","0","0","0","0"
"0","0","1040023","4","0","23","4","0","1","0","0.497","0"
"289","52","1040024","4","1.776","24","1","5","0","0","0","0"
"0","0","1040025","4","0","25","4","0","1","0","2.233","0"
"153","0","1040026","4","1.29","26","1","6","0","0","0","0"
"0","0","1040027","4","0","27","4","0","1","0","1.638","0"
"329","153","1040028","4","1.137","28","1","6","0","0","0","0"
"0","0","1040029","4","0","29","4","0","1","0","2.3","0"
"0","0","1040030","4","0","30","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_004"
"55","0","1040031","4","0.336","31","1","7","0","0","0","0"
"0","0","1040032","4","0","32","4","0","1","0","0.826","0"
"252","55","1040033","4","1.223","33","1","7","0","0","0","0"
"0","0","1040034","4","0","34","4","0","1","0","1.223","0"
"179","0","1040035","4","0.994","35","1","8","0","0","0","0"
"0","0","1040036","4","0","36","4","0","1","0","1.487","0"
"312","179","1040037","4","0.89","37","1","8","0","0","0","0"
"0","0","1040038","4","0","38","4","0","1","0","1.567","0"
"0","0","1040039","4","0","39","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_005"
"151","0","1040040","4","0.74","40","1","9","0","0","0","0"
"0","0","1040041","4","0","41","4","0","1","0","1.731","0"
"0","0","1040042","4","0","42","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_006"
"278","0","1040043","4","1.937","43","1","10","0","0","0","0"
"0","0","1040044","4","0","44","4","0","1","0","2.435","0"
"126","0","1040045","4","0.822","45","1","11","0","0","0","0"
"0","0","1040046","4","0","46","4","0","1","0","1.376","0"
"199","126","1040047","4","0.576","47","1","11","0","0","0","0"
"0","0","1040048","4","0","48","4","0","1","0","0.923","0"
"353","199","1040049","4","0.785","49","1","11","0","0","0","0"
"0","0","1040050","4","0","50","4","0","1","0","2.285","0"
"0","0","1050001","5","0","1","4","0","3","0","1","0"
"0","0","1050002","5","0","2","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_000"
"183","0","1050003","5","1.419","3","1","1","0","0","0","0"
"0","0","1050004","5","0","4","4","0","1","0","1.662","0"
"265","0","1050005","5","1.614","5","1","2","0","0","0","0"
"0","0","1050006","5","0","6","4","0","1","0","2.394","0"
"0","0","1050007","5","0","7","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_001"
"394","0","1050008","5","2.658","8","1","3","0","0","0","0"
"0","0","1050009","5","0","9","4","0","1","0","3.202","0"
"0","0","1050010","5","0","10","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_002"
"298","0","1050011","5","1.745","11","1","4","0","0","0","0"
"0","0","1050012","5","0","12","4","0","1","0","2.545","0"
"0","0","1050013","5","0","13","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_003"
"115","0","1050014","5","0.964","14","1","5","0","0","0","0"
"0","0","1050015","5","0","15","4","0","1","0","1.34","0"
"394","115","1050016","5","1.919","16","1","5","0","0","0","0"
"0","0","1050017","5","0","17","4","0","1","0","2.719","0"
"0","0","1050018","5","0","18","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_004"
"60","0","1050019","5","0.434","19","1","6","0","0","0","0"
"0","0","1050020","5","0","20","4","0","1","0","0.903","0"
"250","60","1050021","5","1.262","21","1","6","0","0","0","0"
"0","0","1050022","5","0","22","4","0","1","0","1.758","0"
"309","0","1050023","5","2.473","23","1","7","0","0","0","0"
"0","0","1050024","5","0","24","4","0","1","0","3.315","0"
"0","0","1050025","5","0","25","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_005"
"82","0","1050026","5","0.509","26","1","8","0","0","0","0"
"0","0","1050027","5","0","27","4","0","1","0","0.988","0"
"364","82","1050028","5","1.775","28","1","8","0","0","0","0"
"0","0","1050029","5","0","29","4","0","1","0","2.507","0"
"0","0","1050030","5","0","30","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_006"
"201","0","1050031","5","1.139","31","1","9","0","0","0","0"
"0","0","1050032","5","0","32","4","0","1","0","2.066","0"
"0","0","1050033","5","0","33","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_007"
"94","0","1050034","5","0.665","34","1","10","0","0","0","0"
"0","0","1050035","5","0","35","4","0","1","0","1.144","0"
"271","94","1050036","5","1.389","36","1","10","0","0","0","0"
"0","0","1050037","5","0","37","4","0","1","0","1.789","0"
"376","271","1050038","5","0.823","38","1","10","0","0","0","0"
"0","0","1050039","5","0","39","4","0","1","0","2.023","0"
