a704e5f385d9bac4eed9377ba3ee536cedfe5cc22bae8ea43dadfb12416f9bd2,9238e5f2c4f8d240928938d0ea731950e50f1126561f4be3cd0fc6415b1c32ae,eea7455dcc50145bd3d241609b03de4226767c1474aab688c001a5f4b1c1f5e8,abf7af128053447608e5541189c7d0da0b21e934b7ed7e34b8fe5f3ccc1d7f4e,ca9e83e39f7a68d1e6d9fd599ef32cac67698e02db0b6075b704ef8834fc58dc,86584faca590647390936aa27c1cbab09f23b4f3e8ef85ca64ac2e50ac02a482,ca8546d968613d7b56404833eab958cbc225e17c65bd1cdba9914a39b48715fb,408ed87868fa99e369d15af2cabb763ede1e3b2c0e501b581c60f2bbcc2ad508,8e8fdac58519650edd8f2d400a2d50789a0c86365a4b2fed6690e14005406fbe,552526357b334ef60b55be5d18e66cdc4e3a19a125e54e73435b02fd89fdbe35
"3050","1","500","3051","38","1300017","3","3049","11820","2"
"3053","1","500","3054","38","1300018","3","3052","11820","4"
"3056","1","500","3057","38","1300019","3","3055","11820","4"
"3059","1","500","3060","38","1300020","3","3058","11820","6"
"3062","1","375","3063","40","1300021","3","3061","13050","1"
"3065","1","375","3066","40","1300022","3","3064","13050","1"
"3068","1","375","3069","40","1300023","3","3067","13050","1"
"3071","1","375","3072","40","1300024","3","3070","13050","1"
"3074","1","375","3075","40","1300025","3","3073","13050","1"
"3077","1","375","3078","40","1300026","3","3076","13050","1"
"3080","1","375","3081","40","1300027","3","3079","13050","2"
"3083","1","375","3084","40","1300028","3","3082","13050","4"
"3086","1","375","3087","40","1300029","3","3085","13050","6"
"3089","1","375","3090","40","1300030","3","3088","13050","6"
"4002","2","700","4003","29","2100001","1","4001","9360","3"
"4005","2","700","4006","29","2100002","1","4004","9360","5"
"4008","2","700","4009","29","2100003","1","4007","9360","7"
"4011","2","700","4012","29","2100004","1","4010","9360","3"
"4014","2","700","4015","29","2100005","1","4013","9360","5"
"4017","2","700","4018","29","2100006","1","4016","9360","7"
"4020","2","575","4021","30","2100007","1","4019","10590","3"
"4023","2","575","4024","30","2100008","1","4022","10590","5"
"4026","2","575","4027","30","2100009","1","4025","10590","7"
"4029","2","575","4030","30","2100010","1","4028","10590","3"
"5002","2","700","5003","33","2200001","2","5001","9360","3"
"5005","2","700","5006","33","2200002","2","5004","9360","5"
"5008","2","700","5009","33","2200003","2","5007","9360","7"
"5011","2","700","5012","33","2200004","2","5010","9360","3"
"5014","2","700","5015","33","2200005","2","5013","9360","5"
"5017","2","700","5018","33","2200006","2","5016","9360","7"
"5020","2","700","5021","33","2200007","2","5019","9360","3"
"5023","2","700","5024","33","2200008","2","5022","9360","5"
"5026","2","700","5027","33","2200009","2","5025","9360","7"
"5029","2","700","5030","33","2200010","2","5028","9360","3"
"5032","2","700","5033","33","2200011","2","5031","9360","5"
"5035","2","700","5036","33","2200012","2","5034","9360","7"
"5038","2","575","5039","34","2200013","2","5037","10590","3"
"5041","2","575","5042","34","2200014","2","5040","10590","5"
"5044","2","575","5045","34","2200015","2","5043","10590","7"
"5047","2","575","5048","34","2200016","2","5046","10590","3"
"5050","2","575","5051","34","2200017","2","5049","10590","5"
"5053","2","575","5054","34","2200018","2","5052","10590","7"
"5056","2","575","5057","34","2200019","2","5055","10590","5"
"5059","2","575","5060","34","2200020","2","5058","10590","7"
"6002","2","700","6003","33","2300001","3","6001","9360","3"
"6005","2","700","6006","33","2300002","3","6004","9360","5"
"6008","2","700","6009","33","2300003","3","6007","9360","7"
"6011","2","700","6012","33","2300004","3","6010","9360","3"
"6014","2","700","6015","33","2300005","3","6013","9360","5"
"6017","2","700","6018","33","2300006","3","6016","9360","7"
"6020","2","700","6021","33","2300007","3","6019","9360","3"
"6023","2","700","6024","33","2300008","3","6022","9360","5"
"6026","2","700","6027","33","2300009","3","6025","9360","7"
"6029","2","700","6030","33","2300010","3","6028","9360","3"
"6032","2","700","6033","33","2300011","3","6031","9360","5"
"6035","2","700","6036","33","2300012","3","6034","9360","7"
"6038","2","700","6039","33","2300013","3","6037","9360","3"
"6041","2","700","6042","33","2300014","3","6040","9360","5"
"6044","2","700","6045","33","2300015","3","6043","9360","7"
"6047","2","700","6048","33","2300016","3","6046","9360","3"
"6050","2","700","6051","33","2300017","3","6049","9360","5"
"6053","2","700","6054","33","2300018","3","6052","9360","7"
"6056","2","575","6057","34","2300019","3","6055","10590","3"
"6059","2","575","6060","34","2300020","3","6058","10590","5"
"6062","2","575","6063","34","2300021","3","6061","10590","7"
"6065","2","575","6066","34","2300022","3","6064","10590","3"
"6068","2","575","6069","34","2300023","3","6067","10590","5"
"6071","2","575","6072","34","2300024","3","6070","10590","7"
"6074","2","575","6075","34","2300025","3","6073","10590","3"
"6077","2","575","6078","34","2300026","3","6076","10590","5"
"6080","2","575","6081","34","2300027","3","6079","10590","7"
"6083","2","575","6084","34","2300028","3","6082","10590","3"
"6086","2","575","6087","34","2300029","3","6085","10590","5"
"6089","2","575","6090","34","2300030","3","6088","10590","7"
"7002","3","340","7003","39","3100001","1","7001","14280","1"
"7005","3","340","7006","39","3100002","1","7004","14280","1"
"7008","3","340","7009","39","3100003","1","7007","14280","1"
"7011","3","340","7012","39","3100004","1","7010","14280","1"
"7014","3","340","7015","39","3100005","1","7013","14280","1"
"7017","3","340","7018","39","3100006","1","7016","14280","1"
"7020","3","375","7021","36","3100007","1","7019","13050","1"
"7023","3","375","7024","36","3100008","1","7022","13050","1"
"7026","3","375","7027","36","3100009","1","7025","13050","1"
"7029","3","375","7030","36","3100010","1","7028","13050","1"
"8002","3","340","8003","41","3200001","2","8001","14280","1"
"8005","3","340","8006","41","3200002","2","8004","14280","1"
"8008","3","340","8009","41","3200003","2","8007","14280","1"
"8011","3","340","8012","41","3200004","2","8010","14280","1"
"8014","3","340","8015","41","3200005","2","8013","14280","1"
"8017","3","340","8018","41","3200006","2","8016","14280","1"
"8020","3","340","8021","41","3200007","2","8019","14280","1"
"8023","3","340","8024","41","3200008","2","8022","14280","1"
"8026","3","340","8027","41","3200009","2","8025","14280","1"
"8029","3","340","8030","41","3200010","2","8028","14280","1"
"8032","3","340","8033","41","3200011","2","8031","14280","1"
"8035","3","340","8036","41","3200012","2","8034","14280","1"
"8038","3","375","8039","38","3200013","2","8037","13050","1"
"8041","3","375","8042","38","3200014","2","8040","13050","1"
"8044","3","375","8045","38","3200015","2","8043","13050","1"
"8047","3","375","8048","38","3200016","2","8046","13050","1"
"8050","3","375","8051","38","3200017","2","8049","13050","1"
"8053","3","375","8054","38","3200018","2","8052","13050","1"
"8056","3","375","8057","38","3200019","2","8055","13050","1"
"8059","3","375","8060","38","3200020","2","8058","13050","1"
"9002","3","340","9003","40","3300001","3","9001","14280","1"
"9005","3","340","9006","40","3300002","3","9004","14280","1"
"9008","3","340","9009","40","3300003","3","9007","14280","1"
"9011","3","340","9012","40","3300004","3","9010","14280","1"
"9014","3","340","9015","40","3300005","3","9013","14280","1"
"9017","3","340","9018","40","3300006","3","9016","14280","1"
"9020","3","340","9021","40","3300007","3","9019","14280","1"
"9023","3","340","9024","40","3300008","3","9022","14280","1"
"9026","3","340","9027","40","3300009","3","9025","14280","1"
"9029","3","340","9030","40","3300010","3","9028","14280","1"
"9032","3","340","9033","40","3300011","3","9031","14280","1"
"9035","3","340","9036","40","3300012","3","9034","14280","1"
"9038","3","340","9039","40","3300013","3","9037","14280","1"
"9041","3","340","9042","40","3300014","3","9040","14280","1"
"9044","3","340","9045","40","3300015","3","9043","14280","1"
"9047","3","340","9048","40","3300016","3","9046","14280","1"
"9050","3","340","9051","40","3300017","3","9049","14280","1"
"9053","3","340","9054","40","3300018","3","9052","14280","1"
"9056","3","375","9057","39","3300019","3","9055","13050","1"
"9059","3","375","9060","39","3300020","3","9058","13050","1"
"9062","3","375","9063","39","3300021","3","9061","13050","1"
"9065","3","375","9066","39","3300022","3","9064","13050","1"
"9068","3","375","9069","39","3300023","3","9067","13050","1"
"9071","3","375","9072","39","3300024","3","9070","13050","1"
"9074","3","375","9075","39","3300025","3","9073","13050","1"
"9077","3","375","9078","39","3300026","3","9076","13050","1"
"9080","3","375","9081","39","3300027","3","9079","13050","1"
"9083","3","375","9084","39","3300028","3","9082","13050","1"
"9086","3","375","9087","39","3300029","3","9085","13050","1"
"9089","3","375","9090","39","3300030","3","9088","13050","1"
