7104ad22ee380e258fe4411d5cd037fe9db532875838bdf9e5707a7f3bef91a3,7342db49a27a88885b2f85d0663e11ed70a2e6d75675e5a61901af08ce6d21f2,3989c9d94d43281311feedfd7182d6b53c0e76d998a900abc05f97f5f64950f7,59f8455fd911680630358b6fe9dd92467b22f8afc4013215d2693b0c79e70a1c,b4898c04a91228e73aeaa16ce58c44b40330210b3a769b662532ecad7d24e76b,2b8fa1199f129274f4b4908f2c1af76f26b9f0ecd889fb28c650aae192ebb6c5,f7759ae1b1c23881e8dc214793032d543d12bae9d88104e2dbefdc2a9e28b187,56f4e89c87b7ceb9cd226c5b238fe2b8461ea8d23998b60b4a6ef24276a62a9f,0199b7e32d5e7e6825e23913f7fa304e20dc5ffa1b76a53c257e092abbb3121f,b26ec7039c6af5769b5eff45c298ea093944b64ff77d9972521e93aeba8801c7,86235e3cd26be3b79b0cc89f09103af433bade1cb121de94715aceaf18133c21
"93","","1","1001","","0","","","1010010019","",""
"6","","1000001","1001","0","","","0.12","1010010020","",""
"6","","1000002","1001","0","","","0.12","1010010021","",""
"6","","1000003","1001","0","","","0.12","1010010022","",""
"6","","1000004","1001","0","","","0.12","1010010023","",""
"6","","1000005","1001","0","","","0.12","1010010024","",""
"6","","1","1001","0","","","0.12","1010010025","",""
"93","","0.12","1001","","0","","","1010010026","",""
"91","","0","1001","","","","","1010010027","",""
"23","","se_travel","1002","","se_travel_finish_assemble","0","","1010020001","",""
"1","-275","1","1002","-160","1000001","1","1.46","1010020002","0","travel_exdrama_r_100_run"
"1","-575","1","1002","-200","1000002","2","1.46","1010020003","0","travel_exdrama_r_100_run"
"1","-750","1","1002","-250","1000003","3","1.46","1010020004","0","travel_exdrama_r_100_run"
"1","575","1","1002","-175","1000004","4","1.46","1010020005","1","travel_exdrama_r_100_run"
"1","750","1","1002","-250","1000005","5","1.46","1010020006","1","travel_exdrama_r_100_run"
"31","20","10000","1002","1","10000","-40","0","1010020007","",""
"2","1","1000001","1002","0","-100","-160","","1010020008","",""
"2","1","1000002","1002","0","-275","-200","","1010020009","",""
"2","1","1000003","1002","0","-450","-250","","1010020010","",""
"2","1","1000004","1002","0","275","-175","","1010020011","",""
"2","1","1000005","1002","0","450","-250","","1010020012","",""
"93","0","1","1002","0","0","0","","1010020013","",""
"3","","1000001","1002","0","travel_exdrama_r_100_raiseup","0","0.2","1010020014","0",""
"3","","1000002","1002","0","travel_exdrama_r_100_idle","1","0","1010020015","0",""
"3","","1000003","1002","0","travel_exdrama_r_100_idle","1","0","1010020016","0",""
"3","","1000004","1002","0","travel_exdrama_r_100_idle","1","0","1010020017","0",""
"3","","1000005","1002","0","travel_exdrama_r_100_idle","1","0","1010020018","0",""
"5","-100","1","1002","-160","1","11","1.46","1010020019","0","travel_exdrama_r_100_raiseup"
"93","0","0.4","1002","0","0","0","0","1010020020","",""
"32","","10000","1002","0","1","","","1010020021","",""
"93","","0.6","1002","","0","","","1010020022","",""
"6","","1000001","1002","0","","","0.12","1010020023","",""
"6","","1000002","1002","0","","","0.12","1010020024","",""
"6","","1000003","1002","0","","","0.12","1010020025","",""
"6","","1000004","1002","0","","","0.12","1010020026","",""
"6","","1000005","1002","0","","","0.12","1010020027","",""
"6","","1","1002","0","","","0.12","1010020028","",""
"93","","0.12","1002","","0","","","1010020029","",""
"91","","0","1002","","","","","1010020030","",""
"31","5","10100","1011","1","10100","-350","1","1010110001","",""
"31","50","10002","1011","1","10002","-525","0","1010110002","",""
"31","-121","10101","1011","1","10101","-184","1","1010110003","",""
"31","5","10102","1011","1","10102","-350","0","1010110004","",""
"31","5","10103","1011","1","10103","-350","0","1010110005","",""
"31","5","10104","1011","1","10104","-350","0","1010110006","",""
"1","-470","1","1011","-200","1000001","11","1.46","1010110007","0","travel_exdrama_r_101_walk"
"1","-320","1","1011","-150","1000002","1","1.46","1010110008","0","travel_exdrama_r_101_walk"
"5","-470","1","1011","-200","1","12","1.46","1010110009","0","travel_exdrama_r_101_walk"
"5","-320","1","1011","-150","2","2","1.46","1010110010","0","travel_exdrama_r_101_walk"
"23","","se_travel","1012","","se_travel_finish_cave_rare","0","","1010120001","",""
"2","0.1","1000001","1012","0","-500","-200","","1010120002","",""
"2","0.1","1000002","1012","0","-350","-150","","1010120003","",""
"2","0.1","1","1012","0","-500","-200","","1010120004","",""
"2","0.1","2","1012","0","-350","-150","","1010120005","",""
"3","travel_exdrama_r_101_walk","1000001","1012","1","travel_exdrama_r_101_joy","0","0.2","1010120006","0.2",""
"3","travel_exdrama_r_101_walk","1000002","1012","1","travel_exdrama_r_101_joy","0","0.2","1010120007","0.2",""
"3","travel_exdrama_r_101_walk","1","1012","1","travel_exdrama_r_101_joy","0","0.2","1010120008","0.2",""
"3","travel_exdrama_r_101_walk","2","1012","1","travel_exdrama_r_101_joy","0","0.2","1010120009","0.2",""
"32","","10101","1012","","0","0","","1010120010","",""
"32","","10102","1012","","1","0","","1010120011","",""
"93","","1.66","1012","","0","","","1010120012","",""
"32","","10101","1012","","1","0","","1010120013","",""
"32","","10102","1012","","0","0","","1010120014","",""
"2","0.2","1000001","1012","0","-470","-200","","1010120015","",""
"2","0.2","1000002","1012","0","-320","-150","","1010120016","",""
"2","0.2","1","1012","0","-470","-200","","1010120017","",""
"2","0.2","2","1012","0","-320","-150","","1010120018","",""
"23","","se_travel","1013","","se_travel_finish_cave_event","0","","1010130001","",""
"3","travel_exdrama_r_101_walk","1000001","1013","1","travel_exdrama_r_101_panic_A","0","0.2","1010130002","0",""
"3","travel_exdrama_r_101_walk","1000002","1013","1","travel_exdrama_r_101_panic_B","0","0.2","1010130003","0",""
"3","travel_exdrama_r_101_walk","1","1013","1","travel_exdrama_r_101_panic_A","0","0.2","1010130004","0",""
"3","travel_exdrama_r_101_walk","2","1013","1","travel_exdrama_r_101_panic_B","0","0.2","1010130005","0",""
"32","","10002","1013","","1","","","1010130006","",""
"32","","10103","1013","","1","","","1010130007","",""
"93","","3","1013","","0","","","1010130008","",""
"32","","10002","1013","","0","","","1010130009","",""
"32","","10103","1013","","0","","","1010130010","",""
"2","0.1","1000001","1014","0","-500","-200","0","1010140001","0",""
"2","0.1","1000002","1014","0","-350","-150","0","1010140002","0",""
"2","0.1","1","1014","0","-500","-200","0","1010140003","0",""
"2","0.1","2","1014","0","-350","-150","0","1010140004","0",""
"3","","1000001","1014","0","travel_exdrama_r_finish_B_hand","0","0","1010140005","0",""
"3","","1000002","1014","0","travel_exdrama_r_finish_B_hand","0","0","1010140006","0",""
"3","","1","1014","0","travel_exdrama_r_101_finish","0","0","1010140007","0",""
"3","","2","1014","0","travel_exdrama_r_101_finish","0","0","1010140008","0",""
"32","","10101","1014","","0","0","","1010140009","",""
"32","","10104","1014","","1","0","","1010140010","",""
"31","5","10200","1021","1","10200","-350","1","1010210001","",""
"31","5","10201","1021","1","10201","-350","0","1010210002","",""
"31","5","10202","1021","1","10202","-350","0","1010210003","",""
"31","86","10203","1021","1","10203","-490","0","1010210004","",""
"31","105","10204","1021","1","10204","-200","0","1010210005","",""
"31","50","10001","1021","1","10001","-525","0","1010210006","",""
"1","-490","1","1021","-180","1000001","1","1.46","1010210007","0","travel_exdrama_r_102_book"
"1","-200","1","1021","-180","1000002","2","1.46","1010210008","0","travel_exdrama_r_102_loupe"
"5","-490","1","1021","-180","1","11","1.46","1010210009","0","travel_exdrama_r_102_book"
"5","-200","1","1021","-180","2","12","1.46","1010210010","0","travel_exdrama_r_102_loupe"
"5","-339","5","1021","-136","5","13","2","1010210011","0","reliclight_none"
"23","","se_travel","1022","","se_travel_finish_ruins_rare","0","","1010220001","",""
"3","travel_exdrama_r_102_book","1000001","1022","1","travel_exdrama_r_102_bookFind_A","0","0.2","1010220002","0.2",""
"3","travel_exdrama_r_102_loupe","1000002","1022","1","travel_exdrama_r_102_loupeFind_A","0","0.2","1010220003","0.2",""
"3","travel_exdrama_r_102_book","1","1022","1","travel_exdrama_r_102_bookFind_A","0","0.2","1010220004","0.2",""
"3","travel_exdrama_r_102_loupe","2","1022","1","travel_exdrama_r_102_loupeFind_A","0","0.2","1010220005","0.2",""
"32","","10202","1022","","1","","","1010220006","",""
"32","","10203","1022","","1","","","1010220007","",""
"32","","10204","1022","","1","","","1010220008","",""
"93","","1.66","1022","","0","","","1010220009","",""
"32","","10202","1022","","0","","","1010220010","",""
"32","","10203","1022","","0","","","1010220011","",""
"32","","10204","1022","","0","","","1010220012","",""
"23","","se_travel","1023","","se_travel_finish_ruins_event","0","","1010230001","",""
"3","travel_exdrama_r_102_book","1000001","1023","1","travel_exdrama_r_102_bookFind_B","0","0.2","1010230002","0",""
"3","travel_exdrama_r_102_loupe","1000002","1023","1","travel_exdrama_r_102_loupeFind_B","0","0.2","1010230003","0",""
"3","travel_exdrama_r_102_book","1","1023","1","travel_exdrama_r_102_bookFind_B","0","0.2","1010230004","0",""
"3","travel_exdrama_r_102_loupe","2","1023","1","travel_exdrama_r_102_loupeFind_B","0","0.2","1010230005","0",""
"3","","5","1023","","reliclight_on","0","","1010230006","",""
"32","","10201","1023","","1","","","1010230007","",""
"32","","10001","1023","","1","","","1010230008","",""
"93","","3","1023","","0","","","1010230009","",""
"32","","10201","1023","","0","","","1010230010","",""
"32","","10001","1023","","0","","","1010230011","",""
"3","","5","1023","","reliclight_none","0","","1010230012","",""
"4","","1000002","1024","0","1","0","0","1010240001","0",""
"4","","2","1024","0","1","0","0","1010240002","0",""
"3","","1000001","1024","0","travel_exdrama_r_finish_A","0","0","1010240003","0",""
"3","","1000002","1024","0","travel_exdrama_r_finish_A_front","0","0","1010240004","0",""
"3","","1","1024","0","travel_exdrama_r_102_book_finish","0","0","1010240005","0",""
"3","","2","1024","0","travel_exdrama_r_102_loupe_finish","0","0","1010240006","0",""
"3","","5","1024","","reliclight_none","0","","1010240007","",""
"31","5","10300","1031","1","10300","-350","1","1010310001","",""
"31","5","10301","1031","1","10301","-350","0","1010310002","",""
"31","5","10302","1031","1","10302","-350","0","1010310003","",""
"31","50","10002","1031","1","10002","-525","0","1010310004","",""
"1","-510","1","1031","-200","1000001","5","1.46","1010310005","0","travel_exdrama_r_103_dig_A"
"1","-400","1","1031","-175","1000002","3","1.46","1010310006","0","travel_exdrama_r_103_dig_B"
"1","-190","1","1031","-140","1000003","1","1.46","1010310007","0","travel_exdrama_r_103_map"
"5","-510","1","1031","-200","1","6","1.46","1010310008","0","travel_exdrama_r_103_dig_A"
"5","-400","1","1031","-175","2","4","1.46","1010310009","0","travel_exdrama_r_103_dig_B"
"5","-190","1","1031","-140","3","2","1.46","1010310010","0","travel_exdrama_r_103_map"
"23","","se_travel","1032","","se_travel_finish_dig_rare","0","","1010320001","",""
"3","travel_exdrama_r_103_dig_A","1000001","1032","1","travel_exdrama_r_103_surprise_A","0","0.2","1010320002","0.2",""
"3","travel_exdrama_r_103_dig_B","1000002","1032","1","travel_exdrama_r_103_surprise_A","0","0.2","1010320003","0.2",""
"3","travel_exdrama_r_103_map","1000003","1032","1","travel_exdrama_r_103_mapSurprise_A","0","0.2","1010320004","0.2",""
"3","travel_exdrama_r_103_dig_A","1","1032","1","travel_exdrama_r_103_surprise_A","0","0.2","1010320005","0.2",""
"3","travel_exdrama_r_103_dig_B","2","1032","1","travel_exdrama_r_103_surprise_A","0","0.2","1010320006","0.2",""
"3","travel_exdrama_r_103_map","3","1032","1","travel_exdrama_r_103_mapSurprise_A","0","0.2","1010320007","0.2",""
"32","","10302","1032","","1","","","1010320008","",""
"93","","1.25","1032","","0","","","1010320009","",""
"32","","10302","1032","","0","","","1010320010","",""
"23","","se_travel","1033","","se_travel_finish_dig_event","0","","1010330001","",""
"3","travel_exdrama_r_103_dig_A","1000001","1033","1","travel_exdrama_r_103_surprise_B","0","0.2","1010330002","0",""
"3","travel_exdrama_r_103_dig_B","1000002","1033","1","travel_exdrama_r_103_surprise_B","0","0.2","1010330003","0",""
"3","travel_exdrama_r_103_map","1000003","1033","1","travel_exdrama_r_103_mapSurprise_B","0","0.2","1010330004","0",""
"3","travel_exdrama_r_103_dig_A","1","1033","1","travel_exdrama_r_103_surprise_B","0","0.2","1010330005","0",""
"3","travel_exdrama_r_103_dig_B","2","1033","1","travel_exdrama_r_103_surprise_B","0","0.2","1010330006","0",""
"3","travel_exdrama_r_103_map","3","1033","1","travel_exdrama_r_103_mapSurprise_B","0","0.2","1010330007","0",""
"32","","10301","1033","","1","","","1010330008","",""
"32","","10002","1033","","1","","","1010330009","",""
"93","","3","1033","","0","","","1010330010","",""
"32","","10301","1033","","0","","","1010330011","",""
"32","","10002","1033","","0","","","1010330012","",""
"4","","1000003","1034","","1","","","1010340001","",""
"4","","3","1034","","1","","","1010340002","",""
"3","","1000001","1034","0","travel_exdrama_r_finish_B","0","0","1010340003","0",""
"3","","1000002","1034","0","travel_exdrama_r_finish_B","0","0","1010340004","0",""
"3","","1000003","1034","0","travel_exdrama_r_finish_A_front","0","0","1010340005","0",""
"3","","1","1034","0","travel_exdrama_r_103_shovel","0","0","1010340006","0",""
"3","","2","1034","0","travel_exdrama_r_103_shovel","0","0","1010340007","0",""
"3","","3","1034","0","travel_exdrama_r_103_map_finish","0","0","1010340008","0",""
"31","5","10400","1041","1","10400","-350","1","1010410001","",""
"31","5","10401","1041","1","10401","-350","1","1010410002","",""
"31","5","10402","1041","1","10402","-350","0","1010410003","",""
"31","5","10403","1041","1","10403","-350","0","1010410004","",""
"31","50","10001","1041","1","10001","-525","0","1010410005","",""
"1","-450","1","1041","-150","1000001","12","1.46","1010410006","0","travel_exdrama_r_104_fishingIdle"
"1","-200","1","1041","-125","1000002","10","1.46","1010410007","0","travel_exdrama_r_104_idle_B"
"5","-450","2","1041","-150","1","11","1.46","1010410008","0","travel_exdrama_r_104_fishingIdle"
"5","-350","4","1041","-150","10","20","1","1010410009","0","none"
"23","","se_travel","1042","","se_travel_finish_bridge_rare","0","","1010420001","",""
"3","travel_exdrama_r_104_fishingIdle","1000001","1042","1","travel_exdrama_r_104_fishingCatch","0","0.2","1010420002","0.2",""
"3","travel_exdrama_r_104_idle_B","1000002","1042","1","travel_exdrama_r_104_glad_B","0","0.2","1010420003","0.2",""
"3","travel_exdrama_r_104_fishingIdle","1","1042","1","travel_exdrama_r_104_fishingCatch","0","0.2","1010420004","0.2",""
"3","none","10","1042","1","fish","0","0","1010420005","0",""
"32","","10402","1042","","1","","","1010420006","",""
"93","","1.25","1042","","0","","","1010420007","",""
"32","","10402","1042","","0","","","1010420008","",""
"23","","se_travel","1043","","se_travel_finish_bridge_event","0","","1010430001","",""
"3","travel_exdrama_r_104_fishingIdle","1000001","1043","1","travel_exdrama_r_104_fishingBig","0","0","1010430002","0",""
"3","travel_exdrama_r_104_idle_B","1000002","1043","1","travel_exdrama_r_104_surprise_B","0","0","1010430003","0",""
"3","travel_exdrama_r_104_fishingIdle","1","1043","1","travel_exdrama_r_104_fishingBig","0","0","1010430004","0",""
"32","","10403","1043","","1","","","1010430005","",""
"32","","10001","1043","","1","","","1010430006","",""
"93","","3","1043","","0","","","1010430007","",""
"32","","10403","1043","","0","","","1010430008","",""
"32","","10001","1043","","0","","","1010430009","",""
"4","","1000002","1044","","1","","","1010440001","",""
"3","","1000001","1044","0","travel_exdrama_r_104_fishing_finish","0","0","1010440002","0",""
"3","","1000002","1044","0","travel_exdrama_r_finish_A_front","0","0","1010440003","0",""
"3","","1","1044","0","travel_exdrama_r_104_fishing_finish","0","0.2","1010440004","0",""
"31","5","10500","1051","1","10500","-350","1","1010510001","",""
"31","-200","10501","1051","1","10501","-350","0","1010510002","",""
"31","50","10001","1051","1","10001","-525","0","1010510003","",""
"1","-470","1","1051","-200","1000001","1","1.46","1010510004","0","travel_exdrama_r_105_netSearch"
"1","-200","1","1051","-220","1000002","2","1.46","1010510005","0","travel_exdrama_r_105_binoculars"
"5","-470","1","1051","-200","1","5","1.46","1010510006","0","travel_exdrama_r_105_netSearch"
"5","-200","1","1051","-220","2","3","1.46","1010510007","0","travel_exdrama_r_105_binoculars"
"5","-350","3","1051","-230","10","4","1.46","1010510008","0","idle"
"3","travel_exdrama_r_105_netSearch","1000001","1052","1","travel_exdrama_r_105_netFind_A","0","0.2","1010520001","0.1",""
"3","travel_exdrama_r_105_binoculars","1000002","1052","1","travel_exdrama_r_105_binocularsFind_A","0","0.2","1010520002","0.2",""
"3","travel_exdrama_r_105_netSearch","1","1052","1","travel_exdrama_r_105_netFind_A","0","0.2","1010520003","0.1",""
"3","travel_exdrama_r_105_binoculars","2","1052","1","travel_exdrama_r_105_binocularsFind_A","0","0.2","1010520004","0.2",""
"3","idle","10","1052","1","beetle","0","0.2","1010520005","0.2",""
"32","","10501","1052","","1","","","1010520006","",""
"93","","1.2","1052","","0","","","1010520007","",""
"32","","10501","1052","","0","","","1010520008","",""
"23","","se_travel","1053","","se_travel_finish_insects_event","0","","1010530001","",""
"3","travel_exdrama_r_105_netSearch","1000001","1053","1","travel_exdrama_r_105_netFind_B","0","0.2","1010530002","0",""
"3","travel_exdrama_r_105_binoculars","1000002","1053","1","travel_exdrama_r_105_binocularsFind_B","0","0.2","1010530003","0",""
"3","travel_exdrama_r_105_netSearch","1","1053","1","travel_exdrama_r_105_netFind_B","0","0.2","1010530004","0",""
"3","travel_exdrama_r_105_binoculars","2","1053","1","travel_exdrama_r_105_binocularsFind_B","0","0.2","1010530005","0",""
"3","idle","10","1053","1","butterfly","0","0.2","1010530006","0",""
"32","","10501","1053","","1","","","1010530007","",""
"32","","10001","1053","","1","","","1010530008","",""
"93","","2.6","1053","","0","","","1010530009","",""
"32","","10501","1053","","0","","","1010530010","",""
"32","","10501","1053","","1","","","1010530011","",""
"93","","0.4","1053","","0","","","1010530012","",""
"32","","10501","1053","","0","","","1010530013","",""
"32","","10001","1053","","0","","","1010530014","",""
"4","","1000002","1054","","1","","","1010540001","",""
"4","","2","1054","","1","","","1010540002","",""
"3","","1000001","1054","0","travel_exdrama_r_finish_B_hand","0","0","1010540003","0",""
"3","","1000002","1054","0","travel_exdrama_r_finish_B","0","0","1010540004","0",""
"3","","1","1054","0","travel_exdrama_r_105_net_finish","0","0","1010540005","0",""
"3","","2","1054","0","travel_exdrama_r_105_binoculars_finish","0","0","1010540006","0",""
"3","","10","1054","0","stop","0","0","1010540007","0",""
"31","5","10600","1061","1","10600","-350","1","1010610001","",""
"31","5","10601","1061","1","10601","-350","0","1010610002","",""
"31","5","10602","1061","1","10602","-350","0","1010610003","",""
"31","5","10603","1061","1","10603","-350","0","1010610004","",""
"31","5","10604","1061","1","10604","-350","1","1010610005","",""
"31","5","10605","1061","1","10605","-350","1","1010610006","",""
"31","50","10001","1061","1","10001","-525","0","1010610007","",""
"1","-497","1","1061","-224","1000001","18","1.46","1010610008","0","travel_exdrama_r_106_idle_A"
"1","-208","1","1061","-116","1000002","2","1.46","1010610009","0","travel_exdrama_r_106_idle_B"
"5","-497","1","1061","-224","1","30","1.46","1010610010","0","travel_exdrama_r_106_idle_A"
"5","-208","1","1061","-116","2","3","1.46","1010610011","0","travel_exdrama_r_000_none"
"23","","se_travel","1062","","se_travel_finish_beach_rare","0","","1010620001","",""
"3","travel_exdrama_r_106_idle_A","1000001","1062","1","travel_exdrama_r_106_rare_A","0","0","1010620002","0.2",""
"3","travel_exdrama_r_106_idle_B","1000002","1062","1","travel_exdrama_r_106_rare_B","0","0","1010620003","0.2",""
"3","travel_exdrama_r_106_idle_A","1","1062","1","travel_exdrama_r_106_rare_A","0","0","1010620004","0.2",""
"3","travel_exdrama_r_000_none","2","1062","0","travel_exdrama_r_106_rare_B","0","0","1010620005","0.2",""
"32","","10603","1062","","1","","","1010620006","",""
"93","","1.2","1062","","0","","","1010620007","",""
"32","","10603","1062","","0","","","1010620008","",""
"23","","se_travel","1063","","se_travel_finish_beach_event","0","","1010630001","",""
"3","travel_exdrama_r_106_idle_A","1000001","1063","1","travel_exdrama_r_106_memory_A","0","0","1010630002","0",""
"3","travel_exdrama_r_106_idle_B","1000002","1063","1","travel_exdrama_r_106_memory_B","0","0","1010630003","0",""
"3","travel_exdrama_r_106_idle_A","1","1063","1","travel_exdrama_r_106_memory_A","0","0","1010630004","0",""
"32","","10601","1063","","1","","","1010630005","",""
"32","","10602","1063","","1","","","1010630006","",""
"32","","10001","1063","","1","","","1010630007","",""
"93","","3","1063","","0","","","1010630008","",""
"32","","10601","1063","","0","","","1010630009","",""
"32","","10602","1063","","0","","","1010630010","",""
"32","","10001","1063","","0","","","1010630011","",""
"4","","1000002","1064","","1","","","1010640001","",""
"4","","1000001","1064","","1","","","1010640002","",""
"4","","2","1064","","1","","","1010640003","",""
"3","","1000001","1064","","travel_exdrama_r_106_finish_A","0","0","1010640004","0",""
"3","","1000002","1064","","travel_exdrama_r_106_finish_B","0","0","1010640005","0",""
"3","","1","1064","","travel_exdrama_r_106_rare_A","0","0","1010640006","0",""
"3","","2","1064","","travel_exdrama_r_000_none","0","0","1010640007","0",""
"31","5","10700","1071","1","10700","-350","1","1010710001","",""
"31","5","10701","1071","1","10701","-350","1","1010710002","",""
"31","5","10702","1071","1","10702","-350","0","1010710003","",""
"31","5","10703","1071","1","10703","-350","0","1010710004","",""
"31","50","10001","1071","1","10001","-525","0","1010710005","",""
"1","-470","1","1071","-170","1000001","32","1.46","1010710006","0","travel_exdrama_r_107_dig_A"
"1","-215","1","1071","-170","1000002","30","1.46","1010710007","1","travel_exdrama_r_107_dig_B"
"5","-470","1","1071","-170","1","33","1.46","1010710008","0","travel_exdrama_r_107_dig_A"
"5","-215","1","1071","-170","10","31","1.46","1010710009","1","travel_exdrama_r_107_dig_B"
"23","","se_travel","1072","","se_travel_finish_raredrop","0","","1010720001","",""
"3","travel_exdrama_r_107_dig_A","1000001","1072","1","travel_exdrama_r_107_joy","0","0.2","1010720002","0.2",""
"3","travel_exdrama_r_107_dig_B","1000002","1072","1","travel_exdrama_r_107_joy","0","0.2","1010720003","0.2",""
"3","travel_exdrama_r_107_dig_A","1","1072","1","travel_exdrama_r_107_joy","0","0.2","1010720004","0.2",""
"3","travel_exdrama_r_107_dig_B","10","1072","1","travel_exdrama_r_107_joy","0","0.2","1010720005","0.2",""
"32","","10701","1072","","0","","","1010720006","",""
"32","","10702","1072","","1","","","1010720007","",""
"93","","1.4","1072","","0","","","1010720008","",""
"32","","10701","1072","","1","","","1010720009","",""
"32","","10702","1072","","0","","","1010720010","",""
"23","","se_travel","1073","","se_travel_finish_memory_event","0","","1010730001","",""
"3","travel_exdrama_r_107_dig_A","1000001","1073","1","travel_exdrama_r_107_surprise_A","0","0.2","1010730002","0",""
"3","travel_exdrama_r_107_dig_B","1000002","1073","1","travel_exdrama_r_107_surprise_B","0","0.2","1010730003","0",""
"3","travel_exdrama_r_107_dig_A","1","1073","1","travel_exdrama_r_107_surprise_A","0","0.2","1010730004","0",""
"3","travel_exdrama_r_107_dig_B","10","1073","1","travel_exdrama_r_107_surprise_B","0","0.2","1010730005","0",""
"32","","10703","1073","","1","","","1010730006","",""
"32","","10001","1073","","1","","","1010730007","",""
"32","","10701","1073","","0","","","1010730008","",""
"93","","3","1073","","0","","","1010730009","",""
"32","","10703","1073","","0","","","1010730010","",""
"32","","10001","1073","","0","","","1010730011","",""
"32","","10701","1073","","1","","","1010730012","",""
"4","","1000002","1074","","1","","","1010740001","",""
"4","","10","1074","","1","","","1010740002","",""
"3","","1000001","1074","0","travel_exdrama_r_finish_B_hand","0","0","1010740003","0",""
"3","","1000002","1074","0","travel_exdrama_r_finish_B_hand","0","0","1010740004","0",""
"3","","1","1074","0","travel_exdrama_r_107_finish_A","0","0","1010740005","0",""
"3","","10","1074","0","travel_exdrama_r_107_finish_A","0","0","1010740006","0",""
"32","","10701","1074","","0","","","1010740007","",""
"31","5","10800","1081","1","10800","-350","1","1010810001","",""
"31","5","10401","1081","1","10401","-350","1","1010810002","",""
"31","5","10402","1081","1","10402","-350","0","1010810003","",""
"31","5","10403","1081","1","10403","-350","0","1010810004","",""
"31","50","10001","1081","1","10001","-525","0","1010810005","",""
"1","-450","1","1081","-150","1000001","12","1.46","1010810006","0","travel_exdrama_r_104_fishingIdle"
"1","-200","1","1081","-125","1000002","10","1.46","1010810007","0","travel_exdrama_r_104_idle_B"
"5","-450","2","1081","-150","1","11","1.46","1010810008","0","travel_exdrama_r_104_fishingIdle"
"5","-350","4","1081","-150","10","20","1","1010810009","0","none"
"23","","se_travel","1082","","se_travel_finish_bridge_rare","0","","1010820001","",""
"3","travel_exdrama_r_104_fishingIdle","1000001","1082","1","travel_exdrama_r_104_fishingCatch","0","0.2","1010820002","0.2",""
"3","travel_exdrama_r_104_idle_B","1000002","1082","1","travel_exdrama_r_104_glad_B","0","0.2","1010820003","0.2",""
"3","travel_exdrama_r_104_fishingIdle","1","1082","1","travel_exdrama_r_104_fishingCatch","0","0.2","1010820004","0.2",""
"3","none","10","1082","1","fish","0","0","1010820005","0",""
"32","","10402","1082","","1","","","1010820006","",""
"93","","1.25","1082","","0","","","1010820007","",""
"32","","10402","1082","","0","","","1010820008","",""
"23","","se_travel","1083","","se_travel_finish_bridge_event","0","","1010830001","",""
"3","travel_exdrama_r_104_fishingIdle","1000001","1083","1","travel_exdrama_r_104_fishingBig","0","0","1010830002","0",""
"3","travel_exdrama_r_104_idle_B","1000002","1083","1","travel_exdrama_r_104_surprise_B","0","0","1010830003","0",""
