c5462845f17fff6139b3125420fa7a14e8685296b34e93e16f9eb78335a6f865,dba80a2dc8a89f3c58308dfdfc1c5619ea0634888bd7f2bacb88f68ce0490f23,eee07379f7f5802de45f8eccd332e9c17b67636962d9fde289023f3287cc6048,49d1da0a36c1ce22e6d09754deaba835fabf37a200de4de6247f950370891f80,07c04ec021506927a386b5047f04e9332ed9fb597be05f0d286faf750945be42,ceee40fa7990cd8f2bc656bb709586cfd3409b7272b94505e35c5580fd6f1c38,829cf125cf6309432cf5816f394574b53b44bad6e37ba38abf4fee9716d17735,0da2555285d65b09d383aa0a0c5273be0b93d1defe87018504cab9921fccbd93,c99179550b60a5ed0a2560fe68a352887541ee54d0e043113947f661df57e85c,eb6219591457867ad6ed602903c8f2ae3057a99f4c772e4ae93f7b73ac902f4a,486dbf7f07cbd6fef07572458a5506c87a96b9048ca21a2a36ec83b0de9dbd6a
"61034","","5146061","","","201","0","0102_in","","0","3"
"61035","","5146061","","","4.6","","1","","","93"
"61036","","5146061","","","201","0","0102_mid","","0","3"
"61037","","5146061","","","","","","","","92"
"61038","","5146061","","","201","0","0102_out","","0","3"
"61039","","5146061","","","0.2","","0","","","93"
"61040","kyaru_smile_idle","5146061","","0","106011","0","kyaru_smile_in","1","0.2","3"
"61041","kyaru_smile_idle","5146061","","0","1060","0","kyaru_smile_in","1","0.2","3"
"61042","0","5146061","","","vo_apg","0","vo_apg_0103","","","21"
"61043","","5146061","","","201","0","0103_in","","0","3"
"61044","","5146061","","","5.4","","1","","","93"
"61045","","5146061","","","201","0","0103_mid","","0","3"
"61046","","5146061","","","","","","","","92"
"61047","","5146061","","","201","0","0103_out","","0","3"
"61048","","5146061","","","0.2","","0","","","93"
"61049","","5146061","","","2","","fade105_out","","","37"
"61050","","5146061","","","105811","","1","","","4"
"61051","","5146061","","","1058","","1","","","4"
"61052","","5146061","","","105811","1","surprise_talk","","0.2","3"
"61053","","5146061","","","1058","1","surprise_talk","","0.2","3"
"61054","0","5146061","","","vo_apg","0","vo_apg_0104","","","21"
"61055","1","5146061","0","0","105811","10","……キャルちゃん、\n写真写りたくないんですかね…？","1","0","11"
"61056","","5146061","","","0","","","","","91"
"61057","","5146061","","","105811","1","surprise_idle_talk1R","","0.2","3"
"61058","","5146061","","","1058","1","surprise_idle_talk1R","","0.2","3"
"61059","","5146061","","","105911","1","kokkoro_surprise_talk","","0.2","3"
"61060","","5146061","","","1059","1","kokkoro_surprise_talk","","0.2","3"
"61061","0","5146061","","","vo_apg","0","vo_apg_0105","","","21"
"61062","1","5146061","0","0","105911","10","はい。\nどうやらそのようでございます","1","0","11"
"61063","","5146061","","","0","","","","","91"
"61064","","5146061","","","105911","1","kokkoro_idle_normal","","0.2","3"
"61065","","5146061","","","1059","1","kokkoro_idle_normal","","0.2","3"
"61066","","5146061","","","105811","1","idle_normal_talk1R","","0.2","3"
"61067","","5146061","","","1058","1","idle_normal_talk1R","","0.2","3"
"61068","","5146061","","","105811","","0","","","4"
"61069","","5146061","","","1058","","0","","","4"
"61070","","5146061","","","106011","","1","","","4"
"61071","","5146061","","","1060","","1","","","4"
"61072","cool_talk_sing_shy","5146061","","0","106011","0","cool_in_sing_shy","1","0.2","3"
"61073","cool_talk_sing_shy","5146061","","0","1060","0","cool_in_sing_shy","1","0.2","3"
"61074","0","5146061","","","vo_apg","0","vo_apg_0106","","","21"
"61075","1","5146061","0","0","106011","10","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","1","0","11"
"61076","","5146061","","","0","","","","","91"
"61077","","5146061","","","0","","0","","","22"
"61078","","5146061","","","106011","1","walk_kyapi_shy","","0.2","3"
"61079","","5146061","","","1060","1","walk_kyapi_shy","","0.2","3"
"61080","","5146061","","","105811","1","walk_furimuki","","0.2","3"
"61081","","5146061","","","1058","1","walk_furimuki","","0.2","3"
"61082","","5146061","","","105911","1","kokkoro_walk_surprise","","0.2","3"
"61083","","5146061","","","1059","1","kokkoro_walk_surprise","","0.2","3"
"61084","2","5146061","","","106011","-278","149","0","","2"
"61085","2","5146061","","","1060","-278","149","0","","2"
"61086","2","5146061","","","105811","-278","-54","0","","2"
"61087","2","5146061","","","1058","-278","-54","0","","2"
"61088","2","5146061","","","105911","-288","-214","0","","2"
"61089","2","5146061","","","1059","-288","-214","0","","2"
"61090","","5146061","","","1","","0","","","93"
"61091","","5146061","","","2","","iris_in","","","37"
"61092","","5146061","","","2","","0","","","93"
"61093","","5146061","","","se_10055900","1","se_10055900_coaster_02","","","23"
"61094","","5146061","","","10","","1","","","32"
"61095","","5146061","","","30","0.5","30","","","122"
"61096","0","5146061","","","vo_apg","0","vo_apg_0107","","","21"
"61097","","5146061","","","202","0","0107_in","","0","3"
"61098","","5146061","","","0.7","","1","","","93"
"61099","","5146061","","","202","0","0107_mid","","0","3"
"61100","","5146061","","","","","","","","92"
"61101","","5146061","","","202","0","0107_out","","0","3"
"61102","","5146061","","","0.2","","0","","","93"
"61103","0","5146061","","","202","-211","0","0","","2"
"61104","","5146061","","","30","0.5","30","","","122"
"61105","0","5146061","","","vo_apg","0","vo_apg_0108","","","21"
"61106","","5146061","","","203","0","0108_in","","0","3"
"61107","","5146061","","","0.8","","1","","","93"
"61108","","5146061","","","203","0","0108_mid","","0","3"
"61109","","5146061","","","","","","","","92"
"61110","","5146061","","","203","0","0108_out","","0","3"
"61111","","5146061","","","0.2","","0","","","93"
"61112","0","5146061","","","201","16","315","0","","2"
"61113","","5146061","","","30","0.5","30","","","122"
"61114","0","5146061","","","vo_apg","0","vo_apg_0109","","","21"
"61115","","5146061","","","201","0","0109_in","","0","3"
"61116","","5146061","","","1.1","","1","","","93"
"61117","","5146061","","","201","0","0109_mid","","0","3"
"61118","","5146061","","","","","","","","92"
"61119","","5146061","","","201","0","0109_out","","0","3"
"61120","","5146061","","","0.2","","0","","","93"
"61121","","5146061","","","30","0.5","30","","","122"
"61122","0","5146061","","","vo_apg","0","vo_apg_0110","","","21"
"61123","","5146061","","","202","0","0107_in","","0","3"
"61124","","5146061","","","203","0","0108_in","","0","3"
"61125","","5146061","","","201","0","0109_in","","0","3"
"61126","","5146061","","","1.1","","1","","","93"
"61127","","5146061","","","202","0","0107_mid","","0","3"
"61128","","5146061","","","203","0","0108_mid","","0","3"
"61129","","5146061","","","201","0","0109_mid","","0","3"
"61130","","5146061","","","","","","","","92"
"61131","","5146061","","","202","0","0107_out","","0","3"
"61132","","5146061","","","203","0","0108_out","","0","3"
"61133","","5146061","","","201","0","0109_out","","0","3"
"61134","","5146061","","","0.2","","0","","","93"
"61135","0","5146061","","","201","0","216","0","","2"
"61136","0","5146061","","","vo_apg","0","vo_apg_0111","","","21"
"61137","","5146061","","","201","0","0111_in","","0","3"
"61138","","5146061","","","1.8","","1","","","93"
"61139","","5146061","","","201","0","0111_mid","","0","3"
"61140","","5146061","","","","","","","","92"
"61141","","5146061","","","201","0","0111_out","","0","3"
"61142","","5146061","","","0.2","","0","","","93"
"61143","","5146061","","","0","","0","","","22"
"61144","","5146061","","","0.5","","","","","93"
"61145","","5146061","","","11","","1","","","32"
"61146","","5146061","","","se_10055900","0","se_10055900_camera","","","23"
"61147","","5146061","","","0.2","","0","","","93"
"61148","","5146061","","","10","","0","","","32"
"61149","","5146061","","","1.8","","0","","","93"
"61150","","5146061","","","se_10055900_coaster_02","","0.5","","","24"
"61151","","5146061","","","2","","iris_out","","","37"
"61152","0","5146061","","","106011","-278","129","0","","2"
"61153","0","5146061","","","1060","-278","129","0","","2"
"61154","0","5146061","","","105811","-278","-34","0","","2"
"61155","0","5146061","","","1058","-278","-34","0","","2"
"61156","0","5146061","","","105911","-288","-194","0","","2"
"61157","0","5146061","","","1059","-288","-194","0","","2"
"61158","","5146061","","","106011","1","walk_normal_dere2","","0.2","3"
"61159","","5146061","","","1060","1","walk_normal_dere2","","0.2","3"
"61160","","5146061","","","105811","1","walk_normal_joy","","0.2","3"
"61161","","5146061","","","1058","1","walk_normal_joy","","0.2","3"
"61162","","5146061","","","105911","1","kokkoro_walk_normal_dere","","0.2","3"
"61163","","5146061","","","1059","1","kokkoro_walk_normal_dere","","0.2","3"
"61164","2","5146061","","","106011","-278","290","0","","2"
"61165","2","5146061","","","1060","-278","290","0","","2"
"61166","2","5146061","","","105811","-278","-225","0","","2"
"61167","2","5146061","","","1058","-278","-225","0","","2"
"61168","2","5146061","","","105911","-288","-385","0","","2"
"61169","2","5146061","","","1059","-288","-385","0","","2"
"61170","","5146061","","","106011","","0","","","4"
"61171","","5146061","","","1060","","0","","","4"
"61172","","5146061","","","105811","","1","","","4"
"61173","","5146061","","","1058","","1","","","4"
"61174","","5146061","","","105911","","1","","","4"
"61175","","5146061","","","1059","","1","","","4"
"61176","","5146061","","","2","","0","","","93"
"61177","","5146061","","","106011","","1","","","4"
"61178","","5146061","","","1060","","1","","","4"
"61179","","5146061","","","105811","","0","","","4"
"61180","","5146061","","","1058","","0","","","4"
"61181","","5146061","","","105911","","0","","","4"
"61182","","5146061","","","1059","","0","","","4"
"61183","","5146061","","","106011","1","joy_idle_doya_shy","","0.2","3"
"61184","","5146061","","","1060","1","joy_idle_doya_shy","","0.2","3"
"61185","","5146061","","","105811","1","idle_normal","","0.2","3"
"61186","","5146061","","","1058","1","idle_normal","","0.2","3"
"61187","","5146061","","","105911","1","kokkoro_idle_normal_joy","","0.2","3"
"61188","","5146061","","","1059","1","kokkoro_idle_normal_joy","","0.2","3"
"61189","","5146061","","","0.3","","0","","","93"
"61190","guts2_talk_joy","5146061","","0.2","105811","0","jump_short","1","0.2","3"
"61191","guts2_talk_joy","5146061","","0.2","1058","0","jump_short","1","0.2","3"
"61192","0","5146061","","","vo_apg","0","vo_apg_0112","","","21"
"61193","1","5146061","0","0","105811","10","はぁ～♪\n楽しかったですねー☆","1","0","11"
"61194","","5146061","","","0","","","","","91"
"61195","","5146061","","","105811","1","idle_normal","","0.2","3"
"61196","","5146061","","","1058","1","idle_normal","","0.2","3"
"61197","","5146061","","","105911","1","kokkoro_talk_normal","","0.2","3"
"61198","","5146061","","","1059","1","kokkoro_talk_normal","","0.2","3"
"61199","0","5146061","","","vo_apg","0","vo_apg_0113","","","21"
"61200","1","5146061","0","0","105911","10","みなさま。\nお写真が\n仕上がったみたいです","1","0","11"
"61201","","5146061","","","0","","","","","91"
"61202","","5146061","","","105911","1","kokkoro_idle_normal_joy","","0.2","3"
"61203","","5146061","","","1059","1","kokkoro_idle_normal_joy","","0.2","3"
"61204","armcrossed_talk_dere_shy","5146061","","0","106011","0","armcrossed_in_dere_shy","1","0.2","3"
"61205","armcrossed_talk_dere_shy","5146061","","0","1060","0","armcrossed_in_dere_shy","1","0.2","3"
"61206","0","5146061","","","vo_apg","0","vo_apg_0114","","","21"
"61207","1","5146061","0","0","106011","10","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","1","0","11"
"61208","","5146061","","","0","","","","","91"
"61209","","5146061","","","0","","0","","","22"
"61210","","5146061","","","106011","0","armcrossed_idle_anger_lookup","","0.2","3"
"61211","","5146061","","","1060","0","armcrossed_idle_anger_lookup","","0.2","3"
"61212","","5146061","","","105811","1","idle_normal_lookup","","0.2","3"
"61213","","5146061","","","1058","1","idle_normal_lookup","","0.2","3"
"61214","","5146061","","","105911","1","kokkoro_wish_idle_joy_lookup","","0.2","3"
"61215","","5146061","","","1059","1","kokkoro_wish_idle_joy_lookup","","0.2","3"
"61216","","5146061","","","21","0","coaster_1_in","","0","3"
"61217","","5146061","","","se_10055900","0","se_10055900_photo","","","23"
"61218","","5146061","","","2.3","","0","","","93"
"61219","","5146061","","","105811","1","idle_normal_surprise","","0.2","3"
"61220","","5146061","","","1058","1","idle_normal_surprise","","0.2","3"
"61221","","5146061","","","105911","1","kokkoro_idle_normal_surprise","","0.2","3"
"61222","","5146061","","","1059","1","kokkoro_idle_normal_surprise","","0.2","3"
"61223","pointing_loop_noface","5146061","","0","106011","0","pointing_in_noface","1","0.2","3"
"61224","pointing_loop_kyaru","5146061","","0","1060","0","pointing_in_kyaru","1","0.2","3"
"61225","0","5146061","","","vo_apg","0","vo_apg_0115","","","21"
"61226","1","5146061","0","0","106011","10","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","1","0","11"
"61227","","5146061","","","0.5","","1","","","93"
"61228","","5146061","","","30","0.5","30","","","122"
"61229","","5146061","","","61226","","","","","91"
"61230","","5146061","","","105811","1","surprise_talk","","0.2","3"
"61231","","5146061","","","1058","1","surprise_talk","","0.2","3"
"61232","0","5146061","","","vo_apg","0","vo_apg_0116","","","21"
"61233","1","5146061","0","0","105811","10","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","1","0","11"
"61234","","5146061","","","0","","","","","91"
"61235","","5146061","","","105811","1","idle_normal_talk1R","","0.2","3"
"61236","","5146061","","","1058","1","idle_normal_talk1R","","0.2","3"
"61237","","5146061","","","105911","1","kokkoro_sad_talk","","0.2","3"
"61238","","5146061","","","1059","1","kokkoro_sad_talk","","0.2","3"
"61239","0","5146061","","","vo_apg","0","vo_apg_0117","","","21"
"61240","1","5146061","0","0","105911","10","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","1","0","11"
"61241","","5146061","","","0","","","","","91"
"61242","","5146061","","","105911","1","kokkoro_idle_normal","","0.2","3"
"61243","","5146061","","","1059","1","kokkoro_idle_normal","","0.2","3"
"61244","shock_loop_shy_red","5146061","","0","106011","0","shock_in_shy_red","1","0.2","3"
"61245","shock_loop_shy_red","5146061","","0","1060","0","shock_in_shy_red","1","0.2","3"
"61246","0","5146061","","","vo_apg","0","vo_apg_0118","","","21"
"61247","1","5146061","0","0","106011","10","い…いやそういう訳じゃ\nないけどっ！！？","1","0","11"
"61248","","5146061","","","0","","","","","91"
"61249","","5146061","","","21","0","coaster_1_out","","0","3"
"61250","","5146061","","0.2","105911","1","kokkoro_idle_normal_joy","","0.2","3"
"61251","","5146061","","0.2","1059","1","kokkoro_idle_normal_joy","","0.2","3"
"61252","","5146061","","0.2","105811","1","joy_talk","","0.2","3"
"61253","","5146061","","0.2","1058","1","joy_talk","","0.2","3"
"61254","0","5146061","","","vo_apg","0","vo_apg_0119","","","21"
"61255","1","5146061","0","0","105811","10","なんだ♪\nじゃあもう一回乗りましょー♪","1","0","11"
"61256","","5146061","","","0","","","","","91"
"61257","","5146061","","","105811","1","joy_idle","","0.2","3"
"61258","","5146061","","","1058","1","joy_idle","","0.2","3"
"61259","","5146061","","","105911","1","kokkoro_wish_talk_normal2","","0.2","3"
"61260","","5146061","","","1059","1","kokkoro_wish_talk_normal2","","0.2","3"
"61261","0","5146061","","","vo_apg","0","vo_apg_0120","","","21"
"61262","1","5146061","0","0","105911","10","はい、そういたしましょう♪","1","0","11"
"61263","","5146061","","","0","","","","","91"
"61264","","5146061","","","0","","0","","","22"
"61265","","5146061","","","105911","1","kokkoro_wish_idle_joy","","0.2","3"
"61266","","5146061","","","1059","1","kokkoro_wish_idle_joy","","0.2","3"
"61267","","5146061","","","106011","1","anger_talk_anger2_red","","0.2","3"
"61268","","5146061","","","1060","1","anger_talk_anger2_red","","0.2","3"
"61269","0","5146061","0","0","106011","2","2","0","0","12"
"61270","0","5146061","0","0","105811","2","10","0","0","12"
"61271","0","5146061","0","0","105911","2","10","0","0","12"
"61272","","5146061","","","2","","0","","","93"
"61273","","5146061","","","61274","","","","","101"
"61274","","5146061","","","0","","0.2","","","22"
"62001","-290","5146062","idle_normal","0","1","103","100911","-278","1.8","1"
"62002","-290","5146062","idle_normal","0","3","104","1009","-278","1.8","5"
"62003","290","5146062","idle_normal","1","1","100","131011","-278","1.8","1"
"62004","","5146062","","","100911","","203","","","13"
"62005","","5146062","","","131011","","200","","","13"
"62006","0","5146062","idle","0","7","15","7","-174","0.85","5"
"62007","-132","5146062","empty","0","20","210","20","71","1","5"
"62008","0","5146062","empty","0","22","210","22","-42","1","5"
"62009","0","5146062","empty","0","21","60","21","153","1","5"
"62010","0","5146062","","","1","0","1","1","1","31"
"62011","-57.7","5146062","","","2","0","2","1","0","31"
"62012","0","5146062","","","10","0","10","1","0","31"
"62013","0","5146062","","","11","0","11","1","0","31"
"62014","-278","5146062","","","14","-290","14","1","0","31"
"62015","0","5146062","","","20","0","20","1","1","31"
"62016","","5146062","","","20","","100911","","","36"
"62017","","5146062","","","20","","20","","","36"
"62018","","5146062","","","20","","22","","","36"
"62019","","5146062","","","0","","0","","","91"
"62020","","5146062","","","0","0","0","","","102"
"62021","","5146062","","","1","","0","","","93"
"62022","cool_talk_dere","5146062","","0","100911","0","cool_in_dere","1","0.2","3"
"62023","cool_talk_dere","5146062","","0","1009","0","cool_in_dere","1","0.2","3"
"62024","0","5146062","","","vo_apg","0","vo_apg_0201","","","21"
"62025","1","5146062","0","0","100911","10","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","1","0","11"
"62026","","5146062","","","0","","","","","91"
"62027","","5146062","","","100911","1","cool_idle","","0.2","3"
"62028","","5146062","","","1009","1","cool_idle","","0.2","3"
"62029","","5146062","","","131011","1","wish_talk_joy","","0.2","3"
"62030","0","5146062","","","vo_apg","0","vo_apg_0202","","","21"
"62031","1","5146062","0","0","131011","10","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","1","0","11"
"62032","","5146062","","","0","","","","","91"
"62033","","5146062","","","131011","1","wish_idle","","0.2","3"
"62034","sad_talk","5146062","","0.2","100911","0","anna_armcrossed","1","0.2","3"
"62035","sad_talk","5146062","","0.2","1009","0","anna_armcrossed","1","0.2","3"
"62036","0","5146062","","","vo_apg","0","vo_apg_0203","","","21"
"62037","1","5146062","0","0","100911","10","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","1","0","11"
"62038","","5146062","","","0","","","","","91"
"62039","","5146062","","","100911","1","sad_idle","","0.2","3"
"62040","","5146062","","","1009","1","sad_idle","","0.2","3"
"62041","surprise_talk","5146062","","0.2","131011","0","maho_talk_normal","1","0.2","3"
"62042","0","5146062","","","vo_apg","0","vo_apg_0204","","","21"
"62043","1","5146062","0","0","131011","10","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","1","0","11"
"62044","","5146062","","","0","","","","","91"
"62045","","5146062","","","131011","1","surprise_idle","","0.2","3"
"62046","","5146062","","","100911","1","anger_talk_shy","","0.2","3"
"62047","","5146062","","","1009","1","anger_talk_shy","","0.2","3"
"62048","0","5146062","","","vo_apg","0","vo_apg_0205","","","21"
"62049","1","5146062","0","0","100911","10","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","1","0","11"
"62050","","5146062","","","0","","","","","91"
"62051","","5146062","","","100911","1","anger_idle_shy","","0.2","3"
"62052","","5146062","","","1009","1","anger_idle_shy","","0.2","3"
"62053","","5146062","","","131011","1","worry_talk","","0.2","3"
"62054","0","5146062","","","vo_apg","0","vo_apg_0206","","","21"
"62055","1","5146062","0","0","131011","10","せやけど、無理はせん方が\nええんとちゃいます？","1","0","11"
"62056","","5146062","","","0","","","","","91"
"62057","","5146062","","","131011","1","wish_idle_shy","","0.2","3"
"62058","","5146062","","","100911","1","anger_talk_pain","","0.2","3"
"62059","","5146062","","","1009","1","anger_talk_pain","","0.2","3"
"62060","0","5146062","","","vo_apg","0","vo_apg_0207","","","21"
"62061","1","5146062","0","0","100911","10","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","1","0","11"
"62062","","5146062","","","0","","","","","91"
"62063","","5146062","","","0","","0","","","22"
"62064","","5146062","","","100911","1","run_dash_anger2","","0.2","3"
"62065","","5146062","","","1009","1","run_dash_anger2","","0.2","3"
"62066","","5146062","","","131011","1","walk_surprise","","0.2","3"
"62067","2","5146062","","","100911","-278","-129","0","","2"
"62068","2","5146062","","","1009","-278","-129","0","","2"
"62069","2","5146062","","","131011","-278","129","0","","2"
"62070","","5146062","","","14","","1","","","32"
"62071","","5146062","","","14","","left","","","37"
"62072","2","5146062","","","14","-278","-129","0","","33"
"62073","","5146062","","","1","","0","","","93"
"62074","","5146062","","","2","","1","","","32"
"62075","","5146062","","","1.5","","0","","","93"
"62076","","5146062","","","14","","0","","","32"
"62077","0","5146062","","","100911","-331","0","0","","2"
"62078","","5146062","","","20","","scale15","","","37"
"62079","","5146062","","","se_10055900","1","se_10055900_coaster_01","","","23"
"62080","0","5146062","","","vo_apg","0","vo_apg_0208","","","21"
"62081","","5146062","","","22","0","0208_in","","0","3"
"62082","","5146062","","","3.3","","1","","","93"
"62083","","5146062","","","22","0","0208_mid","","0","3"
"62084","","5146062","","","","","","","","92"
"62085","","5146062","","","22","0","0208_out","","0","3"
"62086","","5146062","","","0.2","","0","","","93"
"62087","","5146062","","","0.3","","0","","","93"
"62088","","5146062","","","20","","scale1","","","37"
"62089","","5146062","","","10","","1","","","32"
"62090","","5146062","","","se_10055900_coaster_01","","0.5","","","24"
"62091","","5146062","","","se_10055900","1","se_10055900_coaster_02","","","23"
"62092","0","5146062","","","20","0","0","0","","2"
"62093","","5146062","","","30","0.5","30","","","122"
"62094","0","5146062","","","vo_apg","0","vo_apg_0209","","","21"
"62095","","5146062","","","20","0","0209_in","","0","3"
"62096","","5146062","","","2.6","","1","","","93"
"62097","","5146062","","","20","0","0209_mid","","0","3"
"62098","","5146062","","","","","","","","92"
"62099","","5146062","","","20","0","0209_out","","0","3"
"62100","","5146062","","","0.2","","0","","","93"
"62101","","5146062","","","30","1","30","","","122"
"62102","0","5146062","","","vo_apg","0","vo_apg_0210","","","21"
"62103","","5146062","","","20","0","0210_in","","0","3"
"62104","","5146062","","","2.7","","1","","","93"
"62105","","5146062","","","20","0","0210_mid","","0","3"
"62106","","5146062","","","","","","","","92"
"62107","","5146062","","","20","0","0210_out","","0","3"
"62108","","5146062","","","0.2","","0","","","93"
"62109","","5146062","","","0","","0","","","22"
"62110","","5146062","","","20","1","empty","","0","3"
"62111","","5146062","","","1","","","","","93"
"62112","","5146062","","","11","","1","","","32"
"62113","","5146062","","","se_10055900","0","se_10055900_camera","","","23"
"62114","","5146062","","","0.2","","0","","","93"
"62115","","5146062","","","10","","0","","","32"
"62116","","5146062","","","1.8","","0","","","93"
"62117","","5146062","","","se_10055900_coaster_02","","0.5","","","24"
"62118","","5146062","","","2","","iris_out","","","37"
"62119","0","5146062","","","100911","-278","-129","0","","2"
"62120","0","5146062","","","1009","-278","-129","0","","2"
"62121","0","5146062","","","131011","-278","129","0","","2"
"62122","","5146062","","","100911","1","anna_walk","","0.2","3"
"62123","","5146062","","","1009","1","anna_walk","","0.2","3"
"62124","","5146062","","","131011","1","walk_normal_joy","","0.2","3"
"62125","2","5146062","","","100911","-278","-290","0","","2"
"62126","2","5146062","","","1009","-278","-290","0","","2"
"62127","2","5146062","","","131011","-278","290","0","","2"
"62128","","5146062","","","100911","","1","","","4"
"62129","","5146062","","","1009","","1","","","4"
"62130","","5146062","","","131011","","0","","","4"
"62131","","5146062","","","2","","0","","","93"
"62132","","5146062","","","100911","","0","","","4"
"62133","","5146062","","","1009","","0","","","4"
"62134","","5146062","","","131011","","1","","","4"
"62135","","5146062","","","100911","1","anna_idle","","0.2","3"
"62136","","5146062","","","1009","1","anna_idle","0","0.2","3"
"62137","","5146062","","","131011","1","idle_normal","","0.2","3"
"62138","","5146062","","","0.5","","0","","","93"
"62139","","5146062","","","131011","1","talk_normal_surprise","","0.2","3"
"62140","0","5146062","","","vo_apg","0","vo_apg_0211","","","21"
"62141","1","5146062","0","0","131011","10","どないでした？\nえらい声出してはったけど","1","0","11"
"62142","","5146062","","","0","","","","","91"
"62143","","5146062","","","131011","1","idle_normal_surprise","","0.2","3"
"62144","anna_kukuku_loop","5146062","","0","100911","0","anna_kukuku_in","1","0.2","3"
"62145","anna_kukuku_loop","5146062","","0","1009","0","anna_kukuku_in","1","0.2","3"
"62146","0","5146062","","","vo_apg","0","vo_apg_0212","","","21"
"62147","1","5146062","0","0","100911","10","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","1","20","11"
"62148","","5146062","","","0","","","","","91"
"62149","","5146062","","","21","0","coaster_2_in","","0","3"
"62150","","5146062","","","se_10055900","0","se_10055900_photo","","","23"
"62151","","5146062","","","0.1","","0","","","93"
"62152","anna_ahaha_loop","5146062","","0","100911","0","anna_ahaha_in","1","0.2","3"
"62153","anna_ahaha_loop","5146062","","0","1009","0","anna_ahaha_in","1","0.2","3"
"62154","0","5146062","","","vo_apg","0","vo_apg_0213","","","21"
"62155","1","5146062","0","0","100911","10","今、冥姫は\n疾風を追い越した！","1","-30","11"
"62156","","5146062","","","0","","","","","91"
"62157","","5146062","","","131011","1","wish_talk_joy","","0.2","3"
"62158","0","5146062","","","vo_apg","0","vo_apg_0214","","","21"
