6013da6f5961ff9b37c8f46421e62c2b2d342c272073a210d45cd8ee34ac6463,a5132be11301819a84b6f644d656a6e0cbce667ecdb76572fe27fe27d3448b69,8d29d428d0cbe3864334cb2c1b7ee2809f2e7fc1d23d9aaa3001494c3aabaa3d,052b9b830e77e6a20d0d3a9b6780b86139084470b396fe0de1447c5a9b5ca89b,6c5112c72a8c407f7ea259c6ae73933964ae0410d2d43c21aeec7a24f5090989,454a87147916e671fe0057c12d8364d661d48c89f35b75612658a5abb071603c,dd8fdfc8dcd9ebedd643cf7c52634d4053b36fbee048c75359f1c205597187d9
"ぐも…（かやピィノウキン）","vo_minigame_1004","1002201","2","3","10022","vo_minigame_1004_top_2_048"
"おい、今失礼なこと考えてるだろ？","vo_minigame_1004","1002202","1","2","10022","vo_minigame_1004_top_2_049"
"なあ、これいつまで続けるんだ？","vo_minigame_1004","1002301","1","2","10023","vo_minigame_1004_top_3_058"
"カヤぴぃが降参するまでです！","vo_minigame_1004","1002302","2","1","10023","vo_minigame_1004_top_3_059"
"ぐもも！（コウサンシロ！）","vo_minigame_1004","1002303","2","3","10023","vo_minigame_1004_top_3_060"
"ぐも！（イノリ チョコホシイ）","vo_minigame_1004","1002401","2","3","10024","vo_minigame_1004_top_3_065"
"しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004","1002402","1","1","10024","vo_minigame_1004_top_3_066"
"土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004","1002403","1","2","10024","vo_minigame_1004_top_3_067"
"ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004","1002501","2","3","10025","vo_minigame_1004_top_3_068"
"お？なんだ？腹でも減ってるのか？","vo_minigame_1004","1002502","1","2","10025","vo_minigame_1004_top_3_069"
"……全然話が通じてないです","vo_minigame_1004","1002503","2","1","10025","vo_minigame_1004_top_3_070"
