aae86cf7bf6178fbe370646840d571e9c3b278e7b2d20f6eaaff2bb54a2190c0,d79727cdf6a350d4c70d0d7aec2678bb9960e0cf7aa27e6aa51647001dd893ea,0f67de0d9dfac08a0e24f83329f70703c2097a234a1d3cc46f0dec2e9dfc012a,fc7fc6923ab3a3239b16087e74b3a82a357e24a672793e5d81bfe79dbb0efacd,90ed96559fdd5cd7afa024d6234174bfe9ab33aed44c72c8e6310bd7267fb711,f9e5f48a97a7dc94b6c3f23267f2f49b04d0dd241cc55db262fa9c45739fe56a,0b713e3a27f0e18d6d0db2f53d69c7a575c61317cb311d7af4bb2c7db62662b5,93311ec5dfb31e9947c84765dd9b0f01fa4410431e45c0586f02ded1f51c8301,3d4ce48da7f2c8dc72baff5aebafe7fe10e9cf8a505d4c14eaad997127d203c4,8c6c03731f69d8b99d03e50027defda37b2d74a45f155d877e5bc267a92cbc55,afd388fdf2489d088336ea0f0b32bea4b3148ee99c4f8f108f589f8e2c7d1a87
"","vo_minigame_1013","","","0","0","21","4015","vo_minigame_1013_top_talk_4_002","","4"
"0","129811","0","0","8","1","11","4016","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","4"
"","0","","","","","91","4017","","","4"
"","129911","0.2","","1","","3","4018","drama_idle","","4"
"","129811","0.2","","1","","3","4019","drama_idle","","4"
"-224","1","1.65","drama_idle","100","167","1","5001","129811","1","5"
"-224","1","1.65","drama_idle","100","-49","1","5002","129911","0","5"
"","129811","0.2","","1","","3","5003","drama_idle","","5"
"","129911","0.2","","1","","3","5004","drama_talk_thinking","","5"
"","vo_minigame_1013","","","0","0","21","5005","vo_minigame_1013_top_talk_5_000","","5"
"0","129911","0","0.8","6","1","11","5006","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0","5"
"","0","","","","","91","5007","","","5"
"","129911","0.2","","1","","3","5008","drama_idle_thinking","","5"
"1","129811","0.2","","0","drama_talk_wonder_loop","3","5009","drama_talk_wonder_in","","5"
"","vo_minigame_1013","","","0","0","21","5010","vo_minigame_1013_top_talk_5_001","","5"
"0","129811","0","0.3","7","1","11","5011","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0","5"
"","0","","","","","91","5012","","","5"
"","129811","0.2","","1","","3","5013","drama_idle_wonder","","5"
"","129911","0.2","","1","","3","5014","drama_talk_memory","","5"
"","vo_minigame_1013","","","0","0","21","5015","vo_minigame_1013_top_talk_5_002","","5"
"0","129911","0","0.5","5","1","11","5016","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0","5"
"","0","","","","","91","5017","","","5"
"","129811","0.2","","1","","3","5018","drama_idle","","5"
"","129911","0.2","","1","","3","5019","drama_idle","","5"
"-224","1","1.65","drama_idle","100","167","1","6001","129811","1","6"
"-224","1","1.65","drama_idle","100","-49","1","6002","129911","0","6"
"","129911","0.2","","1","","3","6003","drama_idle","","6"
"","129811","0.2","","1","","3","6004","drama_talk_thinking_shy","","6"
"","vo_minigame_1013","","","0","0","21","6005","vo_minigame_1013_top_talk_6_000","","6"
"0","129811","0","0.3","8","1","11","6006","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0","6"
"","0","","","","","91","6007","","","6"
"","129811","0.2","","1","","3","6008","drama_idle_thinking_shy","","6"
"1","129911","0.2","","0","drama_talk_doubt_loop","3","6009","drama_talk_doubt_in","","6"
"","vo_minigame_1013","","","0","0","21","6010","vo_minigame_1013_top_talk_6_001","","6"
"0","129911","0","0.8","6","1","11","6011","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0","6"
"","0","","","","","91","6012","","","6"
"","129911","0.2","","1","","3","6013","drama_idle_doubt","","6"
"1","129811","0.2","","0","drama_talk_surprise_loop_shy","3","6014","drama_talk_surprise_in_shy","","6"
"","vo_minigame_1013","","","0","0","21","6015","vo_minigame_1013_top_talk_6_002","","6"
"0","129811","0","0.3","9","1","11","6016","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0","6"
"","0","","","","","91","6017","","","6"
"","129911","0.2","","1","","3","6018","drama_idle","","6"
"","129811","0.2","","1","","3","6019","drama_idle","","6"
"-224","1","1.65","drama_idle","100","167","1","7001","129811","1","7"
"-224","1","1.65","drama_idle","100","-49","1","7002","129911","0","7"
"","129811","0.2","","1","","3","7003","drama_idle","","7"
"1","129911","0.2","","0","drama_talk_arm_crossed_loop","3","7004","drama_talk_arm_crossed_in","","7"
"","vo_minigame_1013","","","0","0","21","7005","vo_minigame_1013_top_talk_7_000","","7"
"0","129911","0","0.3","6","1","11","7006","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0","7"
"","0","","","","","91","7007","","","7"
"","129911","0.2","","1","","3","7008","drama_idle_arm_crossed","","7"
"1","129811","0.2","","0","drama_talk_guts2_loop","3","7009","drama_talk_guts2_in","","7"
"","vo_minigame_1013","","","0","0","21","7010","vo_minigame_1013_top_talk_7_001","","7"
"0","129811","0","0","6","1","11","7011","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","7"
"","0","","","","","91","7012","","","7"
"","129811","0.2","","1","","3","7013","drama_idle_guts2","","7"
"","129911","0.2","","1","","3","7014","drama_talk_thinking","","7"
"","vo_minigame_1013","","","0","0","21","7015","vo_minigame_1013_top_talk_7_002","","7"
"0","129911","0","0.5","6","1","11","7016","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0","7"
"","0","","","","","91","7017","","","7"
"","129811","0.2","","1","","3","7018","drama_idle","","7"
"","129911","0.2","","1","","3","7019","drama_idle","","7"
"-224","1","1.65","drama_idle","100","167","1","8001","129811","1","8"
"-224","1","1.65","drama_idle","100","-49","1","8002","129911","0","8"
"","129911","0.2","","1","","3","8003","drama_idle","","8"
"1","129811","0.2","","0","drama_talk_doya_loop_smile","3","8004","drama_talk_doya_in_smile","","8"
"","vo_minigame_1013","","","0","0","21","8005","vo_minigame_1013_top_talk_8_000","","8"
"0","129811","0","0.3","7","1","11","8006","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0","8"
"","0","","","","","91","8007","","","8"
"","129811","0.2","","1","","3","8008","drama_idle_doya_smile","","8"
"1","129911","0.2","","0","drama_talk_arm_crossed_loop","3","8009","drama_talk_arm_crossed_in","","8"
"","vo_minigame_1013","","","0","0","21","8010","vo_minigame_1013_top_talk_8_001","","8"
"0","129911","0","0.8","5","1","11","8011","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0","8"
"","0","","","","","91","8012","","","8"
"","129911","0.2","","1","","3","8013","drama_idle_arm_crossed","","8"
"","129811","0.2","","1","","3","8014","drama_talk_anger","","8"
"","vo_minigame_1013","","","0","0","21","8015","vo_minigame_1013_top_talk_8_002","","8"
"0","129811","0","0.3","7","1","11","8016","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0","8"
"","0","","","","","91","8017","","","8"
"","129811","0.2","","1","","3","8018","drama_idle","","8"
"","129911","0.2","","1","","3","8019","drama_idle","","8"
"-224","1","1.65","drama_idle","100","167","1","30001","129811","1","30"
"-224","1","1.65","drama_idle","100","-49","1","30002","129911","0","30"
"","129811","0.2","","1","","3","30003","drama_idle","","30"
"","129911","0.2","","1","","3","30004","drama_idle","","30"
"","0.5","","","","","93","30005","0","","30"
"","2","","","","","26","30006","","","30"
"0.9","-80","3","","1.2","1.2","121","30007","10","","30"
"","129911","0.2","","0","","3","30008","drama_joy_eriko","0.2","30"
"","1","","","0","","140","30009","1","","30"
"-224","1","1.65","drama_idle","100","167","1","31001","129811","1","31"
"-224","1","1.65","drama_idle","100","-49","1","31002","129911","0","31"
"","129811","0.2","","1","","3","31003","drama_idle","","31"
"","129911","0.2","","1","","3","31004","drama_idle","","31"
"","0.5","","","","","93","31005","0","","31"
"","2","","","","","26","31006","","","31"
"0.9","-80","3","","1.2","1.2","121","31007","10","","31"
"","129811","0.2","","0","","3","31008","drama_joy_makoto","0.2","31"
"","1","","","0","","140","31009","2","","31"
"28","0","0.28","drama_talk_1","1","320","5","32001","1","1","32"
"28","0","0.28","drama_talk_2","0","228","5","32002","2","0","32"
"64","0","0.26","drama_swing","90","45","5","32003","3","1","32"
"-23","0","0.3","drama_streach","91","-187","5","32004","4","0","32"
"","1","","","","","93","32005","0","","32"
"","1","0.2","","0","","3","32006","drama_joy","","32"
"","2","0.2","","0","","3","32007","drama_joy","","32"
"","3","0.2","","0","","3","32008","drama_joy","","32"
"","4","0.2","","0","","3","32009","drama_joy","","32"
"","1.5","","","","","93","32010","0","","32"
"28","0","0.28","drama_talk_1","1","320","5","33001","1","1","33"
"28","0","0.28","drama_talk_2","0","228","5","33002","2","0","33"
"64","0","0.26","drama_swing","90","45","5","33003","3","1","33"
"-23","0","0.3","drama_streach","91","-187","5","33004","4","0","33"
