a6df07ae70282f2f2318c7fb52511b5caa97e0fd986fd3ef08668b8664ca0c5b,21cd4f43a4f81f982bd34e81025eb25b3ea667d6a2559370753dbdb643f4ee8b,146a7c7b015ba36f82b2d1ed495f6a30e1e4cad90b5f9538fe663cbe0ef78eae,a09ff326cce8785f42691f222a56f8f484adc8a2ceb4e2a8ef4fbbd242868177,505cba7940ed213fbc64e16974392df20027b60dd25b5b1484f6501689cb0b3a,4530ddbf5e6c3689c47a474aedb14fea942b24c08b672b95922f5e220cf4020f,58173dcc5c517374a4829844a4d1b2792e47f954b6f6fe582bd20861b25332e0,12a7f1458706b6dd8a9d70c4942bb3cdc9d037c0f6bdc7cd5413215728115ad9,053f65598cf504d6ba6fb8023b4e9bc2563421670ba34353f3b0191c15fa985e,fe3fd4840a06d9d2e88c396714fda29a90f9d7534b625c3b379d71dd114c4021
"3","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","ミミ","1014","102001","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","アネモネ","1015","129601","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"1","1","","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","ミソギ","1016","100401","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる"
"2","1","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3","リンド","1017","127701","出たダイスの目が{0}だった場合、\n+{1}進める"
"1","1","","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","ヴルム","1018","127801","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ミフユ","1019","104801",""
"2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2","ジュン","1020","104701","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ミサキ","1021","105001","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"10002","0","","2","最大2000マイルを入手する","1","アキノ","1022","103201",""
"1","0","","12","福引券を{0}枚入手する","1","クルル","1023","130901",""
"1","0","","3","料理を{0}つ入手する","1","スズメ","1024","102501",""
"0","0","","8","ダイスの表と裏\nどちらを適用するか選択できる","2","ユキ","1025","100801","ダイスの表と裏\nどちらを適用するか選択できる"
"4","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","ネア","1026","123301","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","タマキ","1027","104601",""
"2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2","ランファ","1028","118101","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ユカリ","1029","103401","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"10002","0","","2","最大2000マイルを入手する","1","クレジッタ","1030","118001",""
"1","0","","12","福引券を{0}枚入手する","1","サレン","1031","102801",""
"1","0","","3","料理を{0}つ入手する","1","ユイ","1032","100201",""
"1","1","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3","ハツネ","1033","101201","出たダイスの目が{0}だった場合、\n+{1}進める"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","ミソラ","1034","118201","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ムイミ","1035","106101","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"4","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","シノブ","1036","103101","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","マヒル","1037","103301",""
"10002","0","","2","最大2000マイルを入手する","1","キョウカ","1038","103601",""
"1","0","","12","福引券を{0}枚入手する","1","グレイス","1039","133001",""
"1","0","","3","料理を{0}つ入手する","1","ヴァイオレット","1040","133101",""
"0","0","","8","ダイスの表と裏\nどちらを適用するか選択できる","2","ラビリスタ","1041","106801","ダイスの表と裏\nどちらを適用するか選択できる"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","クリスティーナ","1042","107101","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ネネカ","1043","107001","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"4","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","カヤ","1044","106501","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ユニ","1045","111001",""
"10002","0","","2","最大2000マイルを入手する","1","カノン","1046","134901",""
"1","0","","12","福引券を{0}枚入手する","1","ツムギ","1047","105401",""
"1","0","","3","料理を{0}つ入手する","1","ホウオウ","1048","134701",""
"0","0","","8","ダイスの表と裏\nどちらを適用するか選択できる","2","ヒヨリ","1049","100101","ダイスの表と裏\nどちらを適用するか選択できる"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","ミヤコ","1050","100701","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ニノン","1051","103001","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"2","1","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3","カスミ","1052","101401","出たダイスの目が{0}だった場合、\n+{1}進める"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","サツキ","1053","135901",""
"10002","0","","2","最大2000マイルを入手する","1","リン","1054","102601",""
"1","0","","12","福引券を{0}枚入手する","1","イロハ","1055","132401",""
"1","0","","3","料理を{0}つ入手する","1","ユキノ","1056","135801",""
"0","0","","8","ダイスの表と裏\nどちらを適用するか選択できる","2","レイ","1057","100301","ダイスの表と裏\nどちらを適用するか選択できる"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","ホマレ","1058","106701","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ルイズマリー","1059","132301","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"1","1","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3","リマ","1060","105201","出たダイスの目が{0}だった場合、\n+{1}進める"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ヨリ","1061","102201",""
"10002","0","","2","最大2000マイルを入手する","1","アカリ","1062","100601",""
"1","0","","12","福引券を{0}枚入手する","1","ナーナ","1063","136201",""
"1","0","","3","料理を{0}つ入手する","1","チエル","1064","110901",""
"4","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","シオリ","1065","103801","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","ミサト","1066","101501","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ノゾミ","1067","102901","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"2","1","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3","カオリ","1068","101701","出たダイスの目が{0}だった場合、\n+{1}進める"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ソノ","1069","132501",""
"10002","0","","2","最大2000マイルを入手する","1","チカ","1070","104201",""
"1","0","","12","福引券を{0}枚入手する","1","リノ","1071","101101",""
"1","0","","3","料理を{0}つ入手する","1","シズル","1072","104901",""
