aec0b56b68c806ee053629cf96d837a26128888643e31671df58c7814847b570,e7bedd2b5b7961f1ed578937b5e08b6b1f00c2984302fbf45140e01828718dc6,fd0aada4444c8a8c2693c2bac75e3b1b22e304a36efc35725cbd557ff1e8ec1b,f7c808d579db500e739ea75d86d23c035958ab115f2123bc8a7da0c01c773f58,f5d7adcb0b3cda20c0bf6055d9a4f5e895e0c0dfd08e31a47471bdb107abf525,e5e7b21263d93df3a7e731a07e5e063e9b10a9c4300b177237e42575b50c86c9,703973ac5e15b92a941fa9bb68c930264412f71e6a41d4dd345b53544a091ec5,1203e62312da005c20e7aabec75ca12d5c4e122e94a016918b316dd1c0ee621e,d1d70883add8181236fff4da94744df8a2f699dc5cba1b4ae05409d6ffa20b67,1752e363dec9c2263ded8351b1f0e17acb624ffd7d54f1f6d09e37d6cee48b7e,b2ccea95928af086844833b61019edf5465aed611b87b929331e06fdd2db8773,6598ce2a6b390e82f1c6ba426f217b75ad6ce10ebff57abcc01fa4fdf1f4ed76,3809179a4329563730edcd8393b3ad338b83ee875f2a6f701dd5a2d3d9ec3707,ec2356a329ea38c709fa2fc8abb6f1fc90efdb1fd5914d240c7547d3c85842f6
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10050","1005005"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10077","1007701"
"25","-40","1","-17","1.5","0","1.7","100000","1","10077101","0.03","0","10077","1007701"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10077","1007701"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10077","1007702"
"25","-40","1","-17","1.5","0","1.7","100000","1","10077201","0.03","0","10077","1007702"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10077","1007702"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10077","1007703"
"25","-40","1","-17","1.5","0","1.7","100000","1","10077301","0.03","0","10077","1007703"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10077","1007703"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10077","1007704"
"25","-40","1","-17","1.5","0","1.7","100000","1","10077401","0.03","0","10077","1007704"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10077","1007704"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10077","1007705"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","10077","1007705"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10077","1007705"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10088101","0.03","0","10088","1008801"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10088","1008801"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10088201","0.03","0","10088","1008802"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10088","1008802"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10088301","0.03","0","10088","1008803"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10088","1008803"
"-30","-50","1","-17","0.92","10","0.7","100000","1","10088401","0.03","0","10088","1008804"
"-30","-50","0","30","0.8","0","0.6","100000","2","0","0","0","10088","1008804"
"-30","-50","1","-17","0.92","10","0.7","100000","1","0","0.03","0","10088","1008805"
"-30","-50","0","30","0.8","0","0.6","100000","2","0","0","0","10088","1008805"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","20029","2002901"
"25","-40","1","-17","1.5","0","1.7","100000","1","20029101","0.03","0","20029","2002901"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","20029","2002901"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","20029","2002902"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","20029","2002902"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","20029","2002902"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","20029","2002903"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","20029","2002903"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","20029","2002903"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","20029","2002904"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","20029","2002904"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","20029","2002904"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","20029","2002905"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","20029","2002905"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","20029","2002905"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10115101","0.03","0","10115","1011501"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10115","1011501"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10115201","0.03","0","10115","1011502"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10115","1011502"
"-25","-50","1","-13","0.92","10","0.84","100000","1","10115301","0.03","0","10115","1011503"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","10115","1011503"
"-30","-50","1","-17","0.92","10","0.7","100000","1","10115401","0.03","0","10115","1011504"
"-30","-50","0","30","0.8","0","0.6","100000","2","0","0","0","10115","1011504"
"-30","-50","1","-17","0.92","10","0.7","100000","1","0","0.03","0","10115","1011505"
"-30","-50","0","30","0.8","0","0.6","100000","2","0","0","0","10115","1011505"
"-25","-50","1","-13","0.92","10","0.84","100000","1","0","0.03","0","20048","2004801"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","20048","2004801"
"-25","-50","1","-13","0.92","10","0.84","100000","1","0","0.03","0","20048","2004802"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","20048","2004802"
"-25","-50","1","-13","0.92","10","0.84","100000","1","0","0.03","0","20048","2004803"
"-25","-50","0","13","0.8","0","0.7","100000","2","0","0","0","20048","2004803"
