545e1fcb99a390fef3a00290d0cd7e229d6d2fc16569b883158f76c2862787e3,19bb7c2612b398c67658a8bf3dd778da0413c1bd53fe8301023f066053a839c5,df4ee1b573cde813597c5929b8692e7caa3f974bad9e8af652eccbd880991c61,10c220184dc00017bae1beef9e97709830aa8b4c5117a8fdae69bc92b2129d24,dc0544aab0b7678e40d48cde64d1779bf22e3be22da57b042c4314f7b46020cf,ba5381f43926ce603b9c857746c62e38e0e418186fa7ebe1714995d44bf6d3d0,0d0b355f855cff31ec347ba0c99b34195b73df898c05e473eeda59f11aa53b61,682180d4f197535586369738bd012faefc2c0c4d873108f593cb38d701afcc60
"【料理】移動時にマイルマスをスキップできる","0","1","29","0","52020","2","10"
"【料理】次回移動時に1マス分多く進める","2","1","30","2","52020","1","1"
"【料理】移動時にトレジャーマスをスキップできる","0","1","31","0","52021","2","10"
"【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","0","1","32","0","52022","1","1"
"【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","0","1","33","0","52023","1","1"
"【料理】次回移動時に3マス分多く進める","0","1","34","0","52024","1","1"
"【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","0","1","35","0","52025","2","10"
"【料理】ダイスの目が必ず「5」になる","0","1","36","0","52027","1","1"
"【料理】ダイスの目が\n「1・2」のみになる","0","1","37","0","52028","1","1"
"【料理】ダイスの目が必ず「2」になる","0","1","38","0","52029","1","1"
"【料理】次のターン数のカウントをスキップする","0","1","39","0","52029","3","2"
"【イベント】マイルショップの全商品が20%以上割引される","0","2","40","0","8","3","4"
"【料理】「マイルマス」を「トレジャーマス」に変化させる","0","1","41","0","52030","3","11"
"【料理】ダイスの目が\n「1・6・6・6・8・8」になる","0","1","42","0","52031","1","1"
"【料理】移動時に料理マスをスキップできる","0","1","43","0","52032","2","10"
"【料理】移動時にマイルマスをスキップできる","0","1","44","0","52034","1","8"
"【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","0","1","45","0","52036","1","1"
"【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","1","46","0","52037","2","6"
"【料理】ダイスが2個に増える","0","1","47","0","52038","1","1"
"【料理】「マイルマス」を「ショップマス」に変化させる","0","1","48","0","52039","3","11"
"【料理】移動時にトレジャーマスをスキップできる","0","1","49","0","52040","2","10"
"【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる","0","1","50","0","52041","1","1"
"【料理】ダイスの目が\n「4・5・6」のみになる","0","1","51","0","52042","1","1"
"【料理】移動系カテゴリーの料理が食べられなくなる","0","1","52","0","52043","1","9"
"【料理】ダイスの目が\n「1・2・3」のみになる","0","1","53","0","52044","1","1"
"【料理】次のターン数のカウントをスキップする","0","1","54","0","52044","3","2"
"最大ｎマイルを入手する","0","3","1001","0","1","1","99"
"ダイスを1回振りなおせる","0","3","1002","0","2","1","99"
"ダイスを1回振りなおせる_有効ターン2","0","3","1003","0","3","1","99"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11001","0","1001","1","126501"
"【仲間】最大1000マイルを入手する","0","3","11002","0","1002","1","105301"
"【仲間】料理を1つ入手する","0","3","11003","0","1003","1","126401"
"【仲間】ダイスの目を1回振りなおせる","0","3","11004","0","1004","1","100501"
"【仲間】ダイスの目を2回振りなおせる","0","3","11005","0","1005","1","101301"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","3","11006","0","1006","1","104301"
"【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","3","11007","0","1007","1","102701"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11008","0","1008","1","100901"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11009","0","1009","1","105101"
"【仲間】最大1000マイルを入手する","0","3","11010","0","1010","1","101801"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","0","3","11011","0","1011","1","129701"
"【仲間】ダイスの目を1回振りなおせる","0","3","11012","0","1012","1","101601"
"【仲間】ダイスの目を2回振りなおせる","0","3","11013","0","1013","1","105601"
"【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","3","11014","0","1014","1","102001"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11015","0","1015","1","129601"
"【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","3","11016","0","1016","1","100401"
"【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","3","11017","0","1017","1","127701"
"【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","3","11018","0","1018","1","127801"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11019","0","1019","1","104801"
"【仲間】ダイスの目を2回振りなおせる","0","3","11020","0","1020","1","104701"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11021","0","1021","1","105001"
"【仲間】最大2000マイルを入手する","0","3","11022","0","1022","1","103201"
"【仲間】福引券を1枚入手する","0","3","11023","0","1023","1","130901"
"【仲間】料理を1つ入手する","0","3","11024","0","1024","1","102501"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","0","3","11025","0","1025","1","100801"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","3","11026","0","1026","1","123301"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11027","0","1027","1","104601"
"【仲間】ダイスの目を2回振りなおせる","0","3","11028","0","1028","1","118101"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11029","0","1029","1","103401"
"【仲間】最大2000マイルを入手する","0","3","11030","0","1030","1","118001"
"【仲間】福引券を1枚入手する","0","3","11031","0","1031","1","102801"
"【仲間】料理を1つ入手する","0","3","11032","0","1032","1","100201"
"【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","0","3","11033","0","1033","1","101201"
"【仲間】ダイスの目を1回振りなおせる","0","3","11034","0","1034","1","118201"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11035","0","1035","1","106101"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","3","11036","0","1036","1","103101"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11037","0","1037","1","103301"
"【仲間】最大2000マイルを入手する","0","3","11038","0","1038","1","103601"
"【仲間】福引券を1枚入手する","0","3","11039","0","1039","1","133001"
"【仲間】料理を1つ入手する","0","3","11040","0","1040","1","133101"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","0","3","11041","0","1041","1","106801"
"【仲間】ダイスの目を1回振りなおせる","0","3","11042","0","1042","1","107101"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11043","0","1043","1","107001"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","3","11044","0","1044","1","106501"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11045","0","1045","1","111001"
"【仲間】最大2000マイルを入手する","0","3","11046","0","1046","1","134901"
"【仲間】福引券を1枚入手する","0","3","11047","0","1047","1","105401"
"【仲間】料理を1つ入手する","0","3","11048","0","1048","1","134701"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","0","3","11049","0","1049","1","100101"
"【仲間】ダイスの目を1回振りなおせる","0","3","11050","0","1050","1","100701"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11051","0","1051","1","103001"
"【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","3","11052","0","1052","1","101401"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11053","0","1053","1","135901"
"【仲間】最大2000マイルを入手する","0","3","11054","0","1054","1","102601"
"【仲間】福引券を1枚入手する","0","3","11055","0","1055","1","132401"
"【仲間】料理を1つ入手する","0","3","11056","0","1056","1","135801"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","0","3","11057","0","1057","1","100301"
"【仲間】ダイスの目を1回振りなおせる","0","3","11058","0","1058","1","106701"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11059","0","1059","1","132301"
"【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","0","3","11060","0","1060","1","105201"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11061","0","1061","1","102201"
"【仲間】最大2000マイルを入手する","0","3","11062","0","1062","1","100601"
"【仲間】福引券を1枚入手する","0","3","11063","0","1063","1","136201"
"【仲間】料理を1つ入手する","0","3","11064","0","1064","1","110901"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","3","11065","0","1065","1","103801"
"【仲間】ダイスの目を1回振りなおせる","0","3","11066","0","1066","1","101501"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","3","11067","0","1067","1","102901"
"【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","3","11068","0","1068","1","101701"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","3","11069","0","1069","1","132501"
"【仲間】最大2000マイルを入手する","0","3","11070","0","1070","1","104201"
"【仲間】福引券を1枚入手する","0","3","11071","0","1071","1","101101"
"【仲間】料理を1つ入手する","0","3","11072","0","1072","1","104901"
