b262fd8be67f95cb16dfebc6643e7185f8af6a3e6bd8c7a1d282fa9ea022ee41,a3cbc1cff45f379d1bc2d3fb38a872f48430e17fb14e99217a70069336f9da90,8def794353fa516c34cb68643980571f80a775752fc16aaf362277135cf56a29,727c2b9ca67343ebd40772f5e3f261dd5346144384f4dbc235475d1b815efa91,6c67ab4fe969f793679f9575d62f332170bcbb1b6acdd422bdfeaeba93767f32,816dddc3a860aea93fa405b51422b014e1d6d2fd5a5af8a3ae11a2285b2e1cc2,2ce5426e88377048456bb76afa382252782d8f4bfdbd0db34c63d8d5ffcf5f28,1fb5335e1b984e876e6b894bdd63a856699f44a4e56b72aaa475209f0c747733,8ef73acae34fde0be7b5b1f9535c154246d38c949407863f26b500aa33a9333b
"1220001","30000","0","1","2","0","3","15","0"
"1221001","30000","0","1","2","0","3","15","0"
"1222001","3000","0","1","2","0","2","20","0"
"1223001","3000","0","1","2","0","1","30","0"
"1224001","3000","0","1","2","0","2","15","0"
"1224002","0","0","0","21","0","3000","1224003","0"
"1224003","30000","0","1","2","0","1","20","0"
"1225001","3000","0","1","2","0","2","-10","0"
"1225002","0","0","0","21","0","3000","1225003","0"
"1225003","30000","0","2","2","0","1","-20","0"
"1227001","30000","0","2","2","0","1","-15","0"
"1227002","30000","0","2","2","0","2","-15","0"
"1228001","1500","0","2","2","0","3","-35","0"
"1229001","30000","0","1","2","0","3","20","0"
"1230001","3000","0","1","2","0","2","20","0"
"1230002","0","0","0","21","0","3000","1230003","0"
"1230003","30000","0","1","2","0","1","50","0"
"1232001","3000","0","2","2","0","3","-25","0"
"1234001","30000","0","1","2","0","3","25","0"
"1235001","30000","0","1","2","0","3","20","0"
"1236001","30000","0","1","2","0","3","20","0"
"1237001","30000","0","1","2","0","3","20","0"
"1238001","3000","0","1","2","0","2","25","0"
"1239001","3000","0","1","2","0","1","35","0"
"1240001","3000","0","1","2","0","2","20","0"
"1240002","0","0","0","21","0","3000","1240003","0"
"1240003","30000","0","1","2","0","1","25","0"
"1241001","3000","0","1","2","0","2","-10","0"
"1241002","0","0","0","21","0","3000","1241003","0"
"1241003","30000","0","2","2","0","1","-25","0"
"1242001","30000","0","2","2","0","1","-20","0"
"1242002","30000","0","2","2","0","2","-20","0"
"1244001","1500","0","2","2","0","3","-75","0"
"1246001","30000","0","1","2","0","3","20","0"
"1247001","30000","0","1","2","0","3","30","0"
"1247002","0","0","0","21","0","3000","1247003","0"
"1247003","3000","0","1","2","0","1","25","0"
"1248001","3000","0","1","2","0","1","75","0"
"1249001","1500","0","2","2","0","3","-90","0"
"2101001","30000","0","1","2","0","2","10","0"
"2102001","30000","0","1","2","0","2","10","0"
"2103001","3000","0","2","2","0","2","-15","0"
"2103002","3000","0","2","2","0","3","-15","0"
"2105001","3000","0","2","2","0","3","-25","0"
"2107001","30000","0","1","2","0","3","25","0"
"2108001","30000","0","1","2","0","3","10","0"
"2109001","30000","0","1","2","0","3","10","0"
"2110001","30000","0","1","2","0","3","10","0"
"2111001","3000","0","1","2","0","2","15","0"
"2112001","3000","0","1","2","0","1","25","0"
"2113001","3000","0","1","2","0","2","10","0"
"2113002","0","0","0","21","0","3000","2113003","0"
"2113003","30000","0","1","2","0","1","25","0"
"2114001","3000","0","1","2","0","2","-10","0"
"2114002","0","0","1","21","0","3000","2114003","0"
"2114003","30000","0","2","2","0","1","-25","0"
"2116001","30000","0","2","2","0","1","-10","0"
"2116002","30000","0","2","2","0","2","-10","0"
"2117001","1500","0","2","2","0","3","-50","0"
"3301001","0","0","0","21","0","300","3301002","0"
"3301002","30","20","0","20","0","2","1","0"
"3301101","1","100","2","1","0","1","0","0"
"3302001","1","40","2","1","0","1","0","0"
"3302002","1","60","2","1","0","1","0","0"
"3303001","1","12","2","1","0","1","0","0"
"3303002","1","28","2","1","0","1","0","0"
"3304001","1","40","2","1","0","1","0","0"
"3304002","1","100","2","1","0","1","0","0"
"3305001","0","0","0","21","0","200","3305011","0"
"3305002","0","0","0","21","0","200","3305012","0"
"3305003","0","0","0","21","0","200","3305013","0"
"3305004","0","0","0","21","0","200","3305014","0"
"3305005","0","0","0","21","0","200","3305015","0"
"3305006","0","0","0","21","0","200","3305016","0"
"3305011","26","15","0","20","30","2","1","0"
"3305012","29","8","0","20","15","2","1","0"
"3305013","30","0","0","20","0","2","1","0"
"3305014","29","-8","0","20","-15","2","1","0"
"3305015","26","-15","0","20","-30","2","1","0"
"3305016","180","0","1","10","0","1","30000","0"
"3305101","1","20","2","1","0","1","0","0"
"3402001","274","29","0","20","0","2","1","0"
"3402101","0","0","3","11","0","2000","500000","0"
"3403001","0","0","0","21","0","200","3403002","0"
"3403002","0","0","1","10","0","1","200000","0"
"4001001","0","0","3","4","0","0","0","0"
"4001002","0","0","3","1","0","0","99999","0"
"4002001","9","9","3","1","9","9","99999","9"
