f76ac44d4f3e7cff0c391d44c9b77b4a87321ae44b55082aa5e238b82f7577aa,5524e483b462e80ceedd741c24ef930df4f7aeb3fbd7669039384a5ab5c18131,6a84129c597d5fad7a9215196c8a26365701e5c5668f4118961ba8c665c2f2cf,03946b1de8a01c860ab6c585531c16c0238700be9070f1d872760d4a0808b3bc,72957aa4c0a95f5821c89f24c887bd18fd1a117a90eedf5a909665d85514633d,5d2cb01ec40536b5a577a8868ac9971a19ebd0376934608030a2e701921fb417,ccfe51b3578121853b0b85f244ef7cd50f1d250520acc84c76b10723f7699c55,828bc640d8aa14c1b3ce6586f9f21ee93e658376acd12a016536f1f5ebacdff9,d433502673b2013d98e368e95f0423391ffaa4bd77dec6c3dd8a5a8ae2c1cc12
"5","22","53003","6","6","7","4","5","14501"
"5","22","53002","6","5","7","4","5","14502"
"4","22","53003","5","5","7","3","4","14601"
"4","22","53002","5","5","7","3","4","14701"
"3","22","53003","4","4","7","3","3","14801"
"3","22","53002","4","3","7","3","3","14802"
"2","22","53003","3","3","7","2","2","14901"
"2","22","53002","3","2","7","2","2","14902"
"1","22","53003","2","2","7","1","1","15001"
"1","22","53002","2","1","7","1","1","15002"
"0","22","53002","1","2","7","1","0","15101"
"-1","22","53003","7","8","8","5","6","15201"
"-1","22","53002","7","4","8","5","6","15202"
"5","22","53003","6","6","8","4","5","15301"
"5","22","53002","6","5","8","4","5","15302"
"4","22","53003","5","5","8","3","4","15401"
"4","22","53002","5","5","8","3","4","15402"
"3","22","53003","4","4","8","3","3","15501"
"3","22","53002","4","3","8","3","3","15502"
"2","22","53003","3","3","8","2","2","15601"
"2","22","53002","3","2","8","2","2","15602"
"1","22","53003","2","2","8","1","1","15701"
"1","22","53002","2","1","8","1","1","15702"
"0","22","53002","1","2","8","1","0","15901"
"-1","22","53003","7","8","9","5","6","16001"
"-1","22","53002","7","4","9","5","6","16002"
"5","22","53003","6","6","9","4","5","16101"
"5","22","53002","6","5","9","4","5","16102"
"4","22","53003","5","5","9","3","4","16201"
"4","22","53002","5","5","9","3","4","16202"
"3","22","53003","4","4","9","3","3","16301"
"3","22","53002","4","3","9","3","3","16302"
"2","22","53003","3","3","9","2","2","16401"
"2","22","53002","3","2","9","2","2","16402"
"1","22","53003","2","2","9","1","1","16501"
"1","22","53002","2","1","9","1","1","16502"
"0","22","53002","1","2","9","1","0","16601"
"-1","22","53003","7","8","10","5","6","16701"
"-1","22","53002","7","4","10","5","6","16702"
"5","22","53003","6","6","10","4","5","16801"
"5","22","53002","6","5","10","4","5","16802"
"4","22","53003","5","5","10","3","4","16901"
"4","22","53002","5","5","10","3","4","16902"
"3","22","53003","4","4","10","3","3","17001"
"3","22","53002","4","3","10","3","3","17002"
"2","22","53003","3","3","10","2","2","17101"
"2","22","53002","3","2","10","2","2","17102"
"1","22","53003","2","2","10","1","1","17201"
"1","22","53002","2","1","10","1","1","17202"
"0","22","53002","1","2","10","1","0","17301"
"-1","22","53003","7","8","11","5","6","17401"
"-1","22","53002","7","4","11","5","6","17402"
"5","22","53003","6","6","11","4","5","17501"
"5","22","53002","6","5","11","4","5","17502"
"4","22","53003","5","5","11","3","4","17601"
"4","22","53002","5","5","11","3","4","17602"
"3","22","53003","4","4","11","3","3","17701"
"3","22","53002","4","3","11","3","3","17702"
"2","22","53003","3","3","11","2","2","17801"
"2","22","53002","3","2","11","2","2","17802"
"1","22","53003","2","2","11","1","1","17901"
"1","22","53002","2","1","11","1","1","17902"
"0","22","53002","1","2","11","1","0","18001"
"-1","22","53003","7","8","12","5","6","18101"
"-1","22","53002","7","4","12","5","6","18102"
"5","22","53003","6","6","12","4","5","18201"
"5","22","53002","6","5","12","4","5","18202"
"4","22","53003","5","5","12","3","4","18301"
"4","22","53002","5","5","12","3","4","18302"
"3","22","53003","4","4","12","3","3","18401"
"3","22","53002","4","3","12","3","3","18402"
"2","22","53003","3","3","12","2","2","18501"
"2","22","53002","3","2","12","2","2","18502"
"1","22","53003","2","2","12","1","1","18601"
"1","22","53002","2","1","12","1","1","18602"
"0","22","53002","1","2","12","1","0","18701"
"-1","22","53003","7","8","13","5","6","18801"
"-1","22","53002","7","4","13","5","6","18802"
"5","22","53003","6","6","13","4","5","18901"
"5","22","53002","6","5","13","4","5","18902"
"4","22","53003","5","5","13","3","4","19001"
"4","22","53002","5","5","13","3","4","19002"
"3","22","53003","4","4","13","3","3","19101"
"3","22","53002","4","3","13","3","3","19102"
"2","22","53003","3","3","13","2","2","19201"
"2","22","53002","3","2","13","2","2","19202"
"1","22","53003","2","2","13","1","1","19301"
"1","22","53002","2","1","13","1","1","19302"
"0","22","53002","1","2","13","1","0","19401"
