ae2adfe4cd8b4073bdb226e84a9a0cfc7576c503da2156195a6cc9243afb48ef,3a4d4e1cf99cbc96df07d0673407646b449ab0446a435e301f78a87977ea6187,301fca8a4adee96960a2f88bff7747963957aec8e6e2269590c344ea26abaa10,459748a50fe8b3d59cfc1496661e73d7ed57113e7ae3385f0119c8dad8fb7a72,1ad8ba57db2a120bb8c03b996fe8dac3bc41d36b0ecea9645199a52bd2c83c10,9f50129995039fc3a9662cbd17df392b4dbe3fcbfb6d97c50304f8f8b670ed17,7fb34218cdcc1152e68b83256e19ebcd0d65caad2bf75a3f7627fe477ad1f05d,fbde344906f99b67c74e305135093178bd4ab441938b7fc73cd88cc19e037bd8,7b57efa79541fbf7130b5c3930474d023351ca3776f2ec3ad87e0b8a60e5be8f,0b54452c9f5ad2638da6dd8d77357122dfbe63163af771bae8bb04f7e237d179,187f4264fd81cd4ad6c6b5e34ecbf372331eea7d0d0ab2494c41a080e4959130
"絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","106431","512","1","0","0","11","1","10","512009","0.5"
"","0","512","","","","91","","","512010",""
"vo_wac_220219_001","vo_wac_220219","512","","","","21","0","0","512011",""
"私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","106431","512","1","0","0","11","1","10","512012","0.5"
"","0","512","","","","91","","","512013",""
"0","0","512","","","","22","","","512014",""
"wac_idle_smile","106431","513","","0.2","","3","","1","513001",""
"wac_no_items","111","513","","0.2","","3","","1","513002",""
"200","106431","513","","","","2","0","-340","513003",""
"200","111","513","","","","2","0","-340","513004",""
"0","1","513","","","","32","","","513005",""
"1","2","513","","","","32","","","513006",""
"0","11","513","","","","32","","","513007",""
"","0","513","","","","91","","","513008",""
"104411","1","611","-212.75","2","0","1","-108","202","611001","wac_default_01"
"111","1","611","-212.75","2","0","5","-108","201","611002","wac_default_01"
"1","1","611","1","1","","31","0","0","611003",""
"2","2","611","1","0","","31","0","0","611004",""
"11","11","611","1","0","","31","0","0","611005",""
"wac_paint_01","104411","611","","0.2","","3","","0","611006",""
"wac_paint_01","111","611","","0.2","","3","","0","611007",""
"1","11","611","","","","32","","","611008","wac_default_11"
"se_10035700_brush","se_10035700","611","0","0.2","","23","","0","611009",""
"","1","611","","","","131","","","611010",""
"wac_talk_doya_in","104411","612","1","0.2","","3","wac_talk_doya_loop","0","612001",""
"wac_no_items","111","612","","0.2","","3","","1","612002",""
"200","104411","612","","","","2","0","-340","612003",""
"200","111","612","","","","2","0","-340","612004",""
"0","1","612","","","","32","","","612005",""
"1","2","612","","","","32","","","612006",""
"0","11","612","","","","32","","","612007",""
"vo_wac_220220_000","vo_wac_220220","612","","","","21","0","0","612008",""
"ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","104411","612","1","0","0","11","1","10","612009","0.5"
"","0","612","","","","91","","","612010",""
"vo_wac_220220_001","vo_wac_220220","612","","","","21","0","0","612011",""
"ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","104411","612","1","0","0","11","1","10","612012","0.5"
"","0","612","","","","91","","","612013",""
"0","0","612","","","","22","","","612014",""
"wac_idle_doya","104411","613","","0.2","","3","","1","613001",""
"wac_no_items","111","613","","0.2","","3","","1","613002",""
"200","104411","613","","","","2","0","-340","613003",""
"200","111","613","","","","2","0","-340","613004",""
"0","1","613","","","","32","","","613005",""
"1","2","613","","","","32","","","613006",""
"0","11","613","","","","32","","","613007",""
"","0","613","","","","91","","","613008",""
"102211","1","711","-325","2","0","1","-108","202","711001","wac_default_bot_01"
"111","1","711","-325","2","0","5","-108","201","711002","wac_default_02"
"3","3","711","1","1","","31","0","0","711003",""
"2","2","711","1","0","","31","0","0","711004",""
"13","13","711","1","0","","31","0","0","711005",""
"wac_paint_bot_01","102211","711","","0.2","","3","","0","711006",""
"wac_paint_02","111","711","","0.2","","3","","0","711007",""
"1","13","711","","","","32","","","711008","wac_default_11"
"se_10035700_brush","se_10035700","711","0","0.2","","23","","0","711009",""
"","1","711","","","","131","","","711010",""
"wac_talk_sad_in","102211","712","1","0.2","","3","wac_talk_sad_loop","0","712001",""
"wac_no_items","111","712","","0.2","","3","","1","712002",""
"200","102211","712","","","","2","0","-340","712003",""
"200","111","712","","","","2","0","-340","712004",""
"0","3","712","","","","32","","","712005",""
"1","2","712","","","","32","","","712006",""
"0","13","712","","","","32","","","712007",""
"vo_wac_220221_000","vo_wac_220221","712","","","","21","0","0","712008",""
"こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","102211","712","1","0","0","11","1","10","712009","0.5"
"","0","712","","","","91","","","712010",""
"vo_wac_220221_001","vo_wac_220221","712","","","","21","0","0","712011",""
"緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","102211","712","1","0","0","11","1","10","712012","0.5"
"","0","712","","","","91","","","712013",""
"0","0","712","","","","22","","","712014",""
"wac_idle_sad","102211","713","","0.2","","3","","1","713001",""
"wac_no_items","111","713","","0.2","","3","","1","713002",""
"200","102211","713","","","","2","0","-340","713003",""
"200","111","713","","","","2","0","-340","713004",""
"0","3","713","","","","32","","","713005",""
"1","2","713","","","","32","","","713006",""
"0","13","713","","","","32","","","713007",""
"","0","713","","","","91","","","713008",""
"100611","1","811","-325","2","0","1","-108","202","811001","wac_default_bot_11"
"111","1","811","-325","2","0","5","-108","201","811002","wac_default_12"
"3","3","811","1","1","","31","0","0","811003",""
"2","2","811","1","0","","31","0","0","811004",""
"13","13","811","1","0","","31","0","0","811005",""
"wac_paint_bot_11","100611","811","","0.2","","3","","0","811006",""
"wac_paint_12","111","811","","0.2","","3","","0","811007",""
"0","0.3","811","","","","93","","","811008",""
"1","13","811","","","","32","","","811009","wac_default_11"
"se_10035700_roller","se_10035700","811","0","0.2","","23","","0","811010",""
"","1","811","","","","131","","","811011",""
"wac_talk_smile_in","100611","812","1","0.2","","3","wac_talk_smile_loop","0","812001",""
"wac_no_items","111","812","","0.2","","3","","1","812002",""
"200","100611","812","","","","2","0","-340","812003",""
"200","111","812","","","","2","0","-340","812004",""
"0","3","812","","","","32","","","812005",""
"1","2","812","","","","32","","","812006",""
"0","13","812","","","","32","","","812007",""
"vo_wac_220222_000","vo_wac_220222","812","","","","21","0","0","812008",""
"えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","100611","812","1","0","0","11","1","10","812009","0.5"
"","0","812","","","","91","","","812010",""
"vo_wac_220222_001","vo_wac_220222","812","","","","21","0","0","812011",""
"でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","100611","812","1","0","0","11","1","10","812012","0.5"
"","0","812","","","","91","","","812013",""
"0","0","812","","","","22","","","812014",""
"wac_idle_smile","100611","813","","0.2","","3","","1","813001",""
"wac_no_items","111","813","","0.2","","3","","1","813002",""
"200","100611","813","","","","2","0","-340","813003",""
"200","111","813","","","","2","0","-340","813004",""
"0","3","813","","","","32","","","813005",""
"1","2","813","","","","32","","","813006",""
"0","13","813","","","","32","","","813007",""
"","0","813","","","","91","","","813008",""
"103111","1","911","-212.75","2","0","1","-108","202","911001","wac_default_01"
"111","1","911","-212.75","2","0","5","-108","201","911002","wac_default_03"
"1","1","911","1","1","","31","0","0","911003",""
"2","2","911","1","0","","31","0","0","911004",""
"11","11","911","1","0","","31","0","0","911005",""
"wac_paint_01","103111","911","","0.2","","3","","0","911006",""
"wac_paint_03","111","911","","0.2","","3","","0","911007",""
"1","11","911","","","","32","","","911008","wac_default_11"
"se_10035700_brush","se_10035700","911","0","0.2","","23","","0","911009",""
"","1","911","","","","131","","","911010",""
"wac_talk_wish_in","103111","912","1","0.2","","3","wac_talk_wish_loop","0","912001",""
"wac_no_items","111","912","","0.2","","3","","1","912002",""
"200","103111","912","","","","2","0","-340","912003",""
"200","111","912","","","","2","0","-340","912004",""
"0","1","912","","","","32","","","912005",""
"1","2","912","","","","32","","","912006",""
"0","11","912","","","","32","","","912007",""
"vo_wac_220223_000","vo_wac_220223","912","","","","21","0","0","912008",""
"ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","103111","912","1","0","0","11","1","10","912009","0.5"
"","0","912","","","","91","","","912010",""
"vo_wac_220223_001","vo_wac_220223","912","","","","21","0","0","912011",""
"これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","103111","912","1","0","0","11","1","10","912012","0.5"
"","0","912","","","","91","","","912013",""
"0","0","912","","","","22","","","912014",""
"wac_idle_wish","103111","913","","0.2","","3","","1","913001",""
"wac_no_items","111","913","","0.2","","3","","1","913002",""
"200","103111","913","","","","2","0","-340","913003",""
"200","111","913","","","","2","0","-340","913004",""
"0","1","913","","","","32","","","913005",""
"1","2","913","","","","32","","","913006",""
"0","11","913","","","","32","","","913007",""
"","0","913","","","","91","","","913008",""
"100711","1","1011","-212.75","2","0","1","-108","202","1011001","wac_default_01"
"111","1","1011","-212.75","2","0","5","-108","201","1011002","wac_default_01"
"1","1","1011","1","1","","31","0","0","1011003",""
"2","2","1011","1","0","","31","0","0","1011004",""
"11","11","1011","1","0","","31","0","0","1011005",""
"wac_paint_01","100711","1011","","0.2","","3","","0","1011006",""
"wac_paint_01","111","1011","","0.2","","3","","0","1011007",""
"1","11","1011","","","","32","","","1011008","wac_default_11"
"se_10035700_brush","se_10035700","1011","0","0.2","","23","","0","1011009",""
"","1","1011","","","","131","","","1011010",""
"wac_talk_smile_in","100711","1012","1","0.2","","3","wac_talk_smile_loop","0","1012001",""
"wac_no_items","111","1012","","0.2","","3","","1","1012002",""
"200","100711","1012","","","","2","0","-340","1012003",""
"200","111","1012","","","","2","0","-340","1012004",""
"0","1","1012","","","","32","","","1012005",""
"1","2","1012","","","","32","","","1012006",""
"0","11","1012","","","","32","","","1012007",""
"vo_wac_220224_000","vo_wac_220224","1012","","","","21","0","0","1012008",""
"プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","100711","1012","1","0","0","11","1","10","1012009","0.5"
"","0","1012","","","","91","","","1012010",""
