378cb270ea56face5ec1579c8f0a3ad3281ed1feb376e950afc370ffbc307050,3b8b5dced42b1cf2d32b2ec2530603786bee65f50d2213170adeda1a86ed628b,318e621661beb1fac440fea49c072fefbfdcbe53de6da04b8ffdeb6a993690b1,a11597a9bb35a0451dd1c4abe0dd879ce0d504d7e463aafc5de292860d4f9fc4,e46d2d6cbefd187639e6ba3b7619c3e75893bee64ce047f39cc7462e1548d994,bfcf8ac886ccd1c6f60c2bdeeddd17bde3125a6da3d499a44bfcc13d64e69bc8,2c2e7641288c61dbc8416b45fb86e83dbe4e9dc60a32744563e1a5f3ce55c07e,5fcfeeb72956ca15c5bae123d95d46abaee374f1c8a818b2649d8c844c454ebd,b897e801bbd12659edf1b233120f2e344defeba71b1edd2c0807923a3c74491c,9a72168a0a3d7c68d02f9c99fa3603202eb17dc2a96ed24d1cb7409a3e80ca0a,a633238be7fc51a6fb83521b366ce1cb999ac1c6fb3ad93937e6ede494c8f253,3d7ef3e6ee78a4477b38c71a9af494376d4646cdd055d0007c8ca1fee9f173f2
"0","1","0","0","17","0.996","1005801","0","4","228","367","100580117"
"3.856","4","0","0","18","0","1005801","1","0","0","0","100580118"
"0","2","vo_ske_0104","vo_ske","19","0","1005801","0","0","0","0","100580119"
"0","1","0","0","20","0.67","1005801","0","5","0","102","100580120"
"1.785","4","0","0","21","0","1005801","1","0","0","0","100580121"
"0","1","0","0","22","2.253","1005801","0","5","102","364","100580122"
"2.253","4","0","0","23","0","1005801","1","0","0","0","100580123"
"0","1","0","0","24","0.962","1005801","0","6","0","120","100580124"
"2.244","4","0","0","25","0","1005801","1","0","0","0","100580125"
"0","1","0","0","26","1.707","1005801","0","6","120","334","100580126"
"4.225","4","0","0","27","0","1005801","1","0","0","0","100580127"
"0","2","vo_ske_0105","vo_ske","28","0","1005801","0","0","0","0","100580128"
"0","1","0","0","29","1.256","1005801","0","7","0","168","100580129"
"3.119","4","0","0","30","0","1005801","1","0","0","0","100580130"
"0","2","vo_ske_0106","vo_ske","31","0","1005801","0","0","0","0","100580131"
"0","1","0","0","32","0.702","1005801","0","8","0","89","100580132"
"1.386","4","0","0","33","0","1005801","1","0","0","0","100580133"
"0","1","0","0","34","1.352","1005801","0","8","89","278","100580134"
"2.053","4","0","0","35","0","1005801","1","0","0","0","100580135"
"0","1","0","0","36","0.733","1005801","0","8","278","383","100580136"
"1.868","4","0","0","37","0","1005801","1","0","0","0","100580137"
"0","1","0","0","38","1.764","1005801","0","9","0","195","100580138"
"2.905","4","0","0","39","0","1005801","1","0","0","0","100580139"
"0","1","0","0","40","0.969","1005801","0","9","195","314","100580140"
"0.969","4","0","0","41","0","1005801","1","0","0","0","100580141"
"0","1","0","0","42","0.808","1005801","0","10","0","115","100580142"
"2.8","4","0","0","43","0","1005801","1","0","0","0","100580143"
"0","2","vo_ske_0107","vo_ske","44","0","1005801","0","0","0","0","100580144"
"0","1","0","0","45","0.25","1005801","0","11","0","52","100580145"
"0.25","4","0","0","46","0","1005801","1","0","0","0","100580146"
"0","1","0","0","47","1.817","1005801","0","11","52","280","100580147"
"3.312","4","0","0","48","0","1005801","1","0","0","0","100580148"
"0","1","0","0","49","0.666","1005801","0","11","280","372","100580149"
"1.17","4","0","0","50","0","1005801","1","0","0","0","100580150"
"0","1","0","0","51","1.616","1005801","0","12","0","217","100580151"
"4.15","4","0","0","52","0","1005801","1","0","0","0","100580152"
"0","2","vo_ske_0108","vo_ske","53","0","1005801","0","0","0","0","100580153"
"0","1","0","0","54","1.198","1005801","0","13","0","142","100580154"
"2.442","4","0","0","55","0","1005801","1","0","0","0","100580155"
"0","1","0","0","56","1.934","1005801","0","14","0","267","100580156"
"4.434","4","0","0","57","0","1005801","1","0","0","0","100580157"
"0.8","4","0","0","1","0","1005802","1","0","0","0","100580201"
"0","2","vo_ske_0201","vo_ske","2","0","1005802","0","0","0","0","100580202"
"0","1","0","0","3","1.122","1005802","0","1","0","130","100580203"
"1.689","4","0","0","4","0","1005802","1","0","0","0","100580204"
"0","1","0","0","5","1.13","1005802","0","1","130","327","100580205"
"2.883","4","0","0","6","0","1005802","1","0","0","0","100580206"
"0","2","vo_ske_0202","vo_ske","7","0","1005802","0","0","0","0","100580207"
"0","1","0","0","8","1.057","1005802","0","2","0","119","100580208"
"1.962","4","0","0","9","0","1005802","1","0","0","0","100580209"
"0","1","0","0","10","1.166","1005802","0","2","119","266","100580210"
"1.747","4","0","0","11","0","1005802","1","0","0","0","100580211"
"0","1","0","0","12","1.216","1005802","0","2","266","389","100580212"
"1.216","4","0","0","13","0","1005802","1","0","0","0","100580213"
"0","1","0","0","14","1.868","1005802","0","3","0","272","100580214"
"3.78","4","0","0","15","0","1005802","1","0","0","0","100580215"
"0","2","vo_ske_0203","vo_ske","16","0","1005802","0","0","0","0","100580216"
"0","1","0","0","17","0.655","1005802","0","4","0","90","100580217"
"1.632","4","0","0","18","0","1005802","1","0","0","0","100580218"
"0","1","0","0","19","1.586","1005802","0","4","90","270","100580219"
"2.357","4","0","0","20","0","1005802","1","0","0","0","100580220"
"0","1","0","0","21","0.386","1005802","0","4","270","336","100580221"
"0.386","4","0","0","22","0","1005802","1","0","0","0","100580222"
"0","1","0","0","23","0.872","1005802","0","5","0","110","100580223"
"3.189","4","0","0","24","0","1005802","1","0","0","0","100580224"
"0","2","vo_ske_0204","vo_ske","25","0","1005802","0","0","0","0","100580225"
"0","1","0","0","26","1.065","1005802","0","5","110","241","100580226"
"1.882","4","0","0","27","0","1005802","1","0","0","0","100580227"
"0","1","0","0","28","0.888","1005802","0","5","241","359","100580228"
"0.888","4","0","0","29","0","1005802","1","0","0","0","100580229"
"0","1","0","0","30","0.607","1005802","0","6","0","66","100580230"
"1.21","4","0","0","31","0","1005802","1","0","0","0","100580231"
"0","1","0","0","32","0.933","1005802","0","6","66","158","100580232"
"2.332","4","0","0","33","0","1005802","1","0","0","0","100580233"
"0","1","0","0","34","1.649","1005802","0","6","158","360","100580234"
"4.223","4","0","0","35","0","1005802","1","0","0","0","100580235"
"0","2","vo_ske_0205","vo_ske","36","0","1005802","0","0","0","0","100580236"
"0","1","0","0","37","0.349","1005802","0","7","0","102","100580237"
"1.46","4","0","0","38","0","1005802","1","0","0","0","100580238"
"0","1","0","0","39","1.532","1005802","0","7","102","285","100580239"
"2.11","4","0","0","40","0","1005802","1","0","0","0","100580240"
"0","1","0","0","41","0.341","1005802","0","7","285","336","100580241"
"0.341","4","0","0","42","0","1005802","1","0","0","0","100580242"
"0","1","0","0","43","1.202","1005802","0","8","0","176","100580243"
"3.101","4","0","0","44","0","1005802","1","0","0","0","100580244"
"0","2","vo_ske_0206","vo_ske","45","0","1005802","0","0","0","0","100580245"
"0","1","0","0","46","0.706","1005802","0","9","0","85","100580246"
"1.796","4","0","0","47","0","1005802","1","0","0","0","100580247"
"0","1","0","0","48","1.854","1005802","0","9","85","331","100580248"
"2.709","4","0","0","49","0","1005802","1","0","0","0","100580249"
"0","1","0","0","50","1.202","1005802","0","10","0","139","100580250"
"3.52","4","0","0","51","0","1005802","1","0","0","0","100580251"
"0","2","vo_ske_0207","vo_ske","52","0","1005802","0","0","0","0","100580252"
"0","1","0","0","53","0.754","1005802","0","10","139","228","100580253"
"1.291","4","0","0","54","0","1005802","1","0","0","0","100580254"
"0","1","0","0","55","0.505","1005802","0","10","228","293","100580255"
"2.624","4","0","0","56","0","1005802","1","0","0","0","100580256"
"0","2","vo_ske_0208","vo_ske","57","0","1005802","0","0","0","0","100580257"
"0","1","0","0","58","1.061","1005802","0","11","0","130","100580258"
"1.6","4","0","0","59","0","1005802","1","0","0","0","100580259"
"0","1","0","0","60","1.645","1005802","0","11","130","310","100580260"
"2.3","4","0","0","61","0","1005802","1","0","0","0","100580261"
"0","1","0","0","62","1.616","1005802","0","12","0","240","100580262"
"3.913","4","0","0","63","0","1005802","1","0","0","0","100580263"
"0","2","vo_ske_0209","vo_ske","64","0","1005802","0","0","0","0","100580264"
"0","1","0","0","65","1.258","1005802","0","13","0","128","100580265"
"3.579","4","0","0","66","0","1005802","1","0","0","0","100580266"
"0","2","vo_ske_0210","vo_ske","67","0","1005802","0","0","0","0","100580267"
"0","1","0","0","68","1.496","1005802","0","14","0","250","100580268"
"3.996","4","0","0","69","0","1005802","1","0","0","0","100580269"
"0.8","4","0","0","1","0","1005803","1","0","0","0","100580301"
"0","2","vo_ske_0301","vo_ske","2","0","1005803","0","0","0","0","100580302"
"0","1","0","0","3","1.797","1005803","0","1","0","200","100580303"
"2.514","4","0","0","4","0","1005803","1","0","0","0","100580304"
"0","1","0","0","5","0.612","1005803","0","1","200","304","100580305"
"0.612","4","0","0","6","0","1005803","1","0","0","0","100580306"
"0","1","0","0","7","0.464","1005803","0","2","0","56","100580307"
"0.889","4","0","0","8","0","1005803","1","0","0","0","100580308"
"0","1","0","0","9","1.164","1005803","0","2","56","179","100580309"
"2.59","4","0","0","10","0","1005803","1","0","0","0","100580310"
"0","2","vo_ske_0302","vo_ske","11","0","1005803","0","0","0","0","100580311"
"0","1","0","0","12","1.185","1005803","0","2","179","316","100580312"
"1.185","4","0","0","13","0","1005803","1","0","0","0","100580313"
"0","1","0","0","14","0.952","1005803","0","3","0","137","100580314"
"1.747","4","0","0","15","0","1005803","1","0","0","0","100580315"
"0","1","0","0","16","0.961","1005803","0","3","137","219","100580316"
"2.398","4","0","0","17","0","1005803","1","0","0","0","100580317"
"0","2","vo_ske_0303","vo_ske","18","0","1005803","0","0","0","0","100580318"
"0","1","0","0","19","1.401","1005803","0","4","0","188","100580319"
"1.935","4","0","0","20","0","1005803","1","0","0","0","100580320"
"0","1","0","0","21","1.288","1005803","0","4","188","356","100580321"
"2.418","4","0","0","22","0","1005803","1","0","0","0","100580322"
"0","2","vo_ske_0304","vo_ske","23","0","1005803","0","0","0","0","100580323"
"0","1","0","0","24","0.619","1005803","0","5","0","55","100580324"
"1.407","4","0","0","25","0","1005803","1","0","0","0","100580325"
"0","1","0","0","26","2.1","1005803","0","5","55","333","100580326"
"4.561","4","0","0","27","0","1005803","1","0","0","0","100580327"
"0","2","vo_ske_0305","vo_ske","28","0","1005803","0","0","0","0","100580328"
"0","1","0","0","29","2.309","1005803","0","6","0","280","100580329"
"3.378","4","0","0","30","0","1005803","1","0","0","0","100580330"
"0","1","0","0","31","0.664","1005803","0","7","0","79","100580331"
"1.555","4","0","0","32","0","1005803","1","0","0","0","100580332"
"0","1","0","0","33","1.706","1005803","0","7","79","328","100580333"
"4.399","4","0","0","34","0","1005803","1","0","0","0","100580334"
"0","2","vo_ske_0306","vo_ske","35","0","1005803","0","0","0","0","100580335"
"0","1","0","0","36","2.137","1005803","0","8","0","212","100580336"
"3.014","4","0","0","37","0","1005803","1","0","0","0","100580337"
"0","1","0","0","38","0.788","1005803","0","8","212","340","100580338"
"2.288","4","0","0","39","0","1005803","1","0","0","0","100580339"
"0","2","vo_ske_0307","vo_ske","40","0","1005803","0","0","0","0","100580340"
"0","1","0","0","41","2.054","1005803","0","9","0","267","100580341"
"2.931","4","0","0","42","0","1005803","1","0","0","0","100580342"
"0","1","0","0","43","0.801","1005803","0","9","267","358","100580343"
"1.48","4","0","0","44","0","1005803","1","0","0","0","100580344"
"0","1","0","0","45","2.75","1005803","0","10","0","347","100580345"
"5.052","4","0","0","46","0","1005803","1","0","0","0","100580346"
"0","2","vo_ske_0308","vo_ske","47","0","1005803","0","0","0","0","100580347"
"0","1","0","0","48","0.527","1005803","0","11","0","71","100580348"
"1.38","4","0","0","49","0","1005803","1","0","0","0","100580349"
"0","1","0","0","50","1.473","1005803","0","11","71","247","100580350"
"1.759","4","0","0","51","0","1005803","1","0","0","0","100580351"
"0","1","0","0","52","0.68","1005803","0","11","247","354","100580352"
"1.838","4","0","0","53","0","1005803","1","0","0","0","100580353"
"0","2","vo_ske_0309","vo_ske","54","0","1005803","0","0","0","0","100580354"
"0","1","0","0","55","0.477","1005803","0","12","0","63","100580355"
"1.108","4","0","0","56","0","1005803","1","0","0","0","100580356"
"0","1","0","0","57","2.144","1005803","0","12","63","323","100580357"
"3.802","4","0","0","58","0","1005803","1","0","0","0","100580358"
"0","2","vo_ske_0310","vo_ske","59","0","1005803","0","0","0","0","100580359"
"0","1","0","0","60","1.251","1005803","0","13","0","113","100580360"
"2.672","4","0","0","61","0","1005803","1","0","0","0","100580361"
"0","1","0","0","62","0.65","1005803","0","13","113","197","100580362"
"1.349","4","0","0","63","0","1005803","1","0","0","0","100580363"
"0","1","0","0","64","0.589","1005803","0","13","197","290","100580364"
"3.089","4","0","0","65","0","1005803","1","0","0","0","100580365"
"0.8","4","0","0","1","0","1005804","1","0","0","0","100580401"
"0","2","vo_ske_0401","vo_ske","2","0","1005804","0","0","0","0","100580402"
"0","1","0","0","3","1.769","1005804","0","1","0","186","100580403"
"3.723","4","0","0","4","0","1005804","1","0","0","0","100580404"
"0","2","vo_ske_0402","vo_ske","5","0","1005804","0","0","0","0","100580405"
"0","1","0","0","6","0.818","1005804","0","2","0","70","100580406"
"1.553","4","0","0","7","0","1005804","1","0","0","0","100580407"
"0","1","0","0","8","1.87","1005804","0","2","70","289","100580408"
"2.537","4","0","0","9","0","1005804","1","0","0","0","100580409"
"0","1","0","0","10","0.487","1005804","0","2","289","347","100580410"
"0.487","4","0","0","11","0","1005804","1","0","0","0","100580411"
"0","1","0","0","12","0.822","1005804","0","3","0","101","100580412"
"2.459","4","0","0","13","0","1005804","1","0","0","0","100580413"
"0","1","0","0","14","1.696","1005804","0","3","101","268","100580414"
"2.551","4","0","0","15","0","1005804","1","0","0","0","100580415"
"0","1","0","0","16","0.688","1005804","0","3","268","356","100580416"
"1.121","4","0","0","17","0","1005804","1","0","0","0","100580417"
"0","1","0","0","18","1.807","1005804","0","4","0","221","100580418"
"4.87","4","0","0","19","0","1005804","1","0","0","0","100580419"
"0","2","vo_ske_0403","vo_ske","20","0","1005804","0","0","0","0","100580420"
"0","1","0","0","21","0.78","1005804","0","5","0","101","100580421"
"2.288","4","0","0","22","0","1005804","1","0","0","0","100580422"
"0","1","0","0","23","1.497","1005804","0","5","101","324","100580423"
"3.177","4","0","0","24","0","1005804","1","0","0","0","100580424"
"0","2","vo_ske_0404","vo_ske","25","0","1005804","0","0","0","0","100580425"
"0","1","0","0","26","0.729","1005804","0","6","0","102","100580426"
"1.799","4","0","0","27","0","1005804","1","0","0","0","100580427"
"0","1","0","0","28","0.823","1005804","0","6","102","177","100580428"
"1.447","4","0","0","29","0","1005804","1","0","0","0","100580429"
"0","1","0","0","30","0.982","1005804","0","6","177","275","100580430"
"1.587","4","0","0","31","0","1005804","1","0","0","0","100580431"
"0","1","0","0","32","0.639","1005804","0","6","275","325","100580432"
"0.639","4","0","0","33","0","1005804","1","0","0","0","100580433"
"0","1","0","0","34","1.712","1005804","0","7","0","266","100580434"
"3.735","4","0","0","35","0","1005804","1","0","0","0","100580435"
"0","2","vo_ske_0405","vo_ske","36","0","1005804","0","0","0","0","100580436"
"0","1","0","0","37","0.793","1005804","0","8","0","58","100580437"
"2.073","4","0","0","38","0","1005804","1","0","0","0","100580438"
"0","1","0","0","39","0.405","1005804","0","8","58","80","100580439"
"1.081","4","0","0","40","0","1005804","1","0","0","0","100580440"
"0","1","0","0","41","0.962","1005804","0","8","80","228","100580441"
"3.994","4","0","0","42","0","1005804","1","0","0","0","100580442"
"0","2","vo_ske_0406","vo_ske","43","0","1005804","0","0","0","0","100580443"
"0","1","0","0","44","0.869","1005804","0","9","0","117","100580444"
"2.298","4","0","0","45","0","1005804","1","0","0","0","100580445"
"0","2","vo_ske_0407","vo_ske","46","0","1005804","0","0","0","0","100580446"
"0","1","0","0","47","1.07","1005804","0","9","117","242","100580447"
"2.401","4","0","0","48","0","1005804","1","0","0","0","100580448"
"0","2","vo_ske_0408","vo_ske","49","0","1005804","0","0","0","0","100580449"
"0","1","0","0","50","0.939","1005804","0","9","242","368","100580450"
"0.939","4","0","0","51","0","1005804","1","0","0","0","100580451"
"0","1","0","0","52","0.816","1005804","0","10","0","124","100580452"
"2.428","4","0","0","53","0","1005804","1","0","0","0","100580453"
"0","2","vo_ske_0409","vo_ske","54","0","1005804","0","0","0","0","100580454"
"0","1","0","0","55","0.626","1005804","0","10","124","172","100580455"
"1.776","4","0","0","56","0","1005804","1","0","0","0","100580456"
"0","1","0","0","57","1.439","1005804","0","10","172","360","100580457"
"1.439","4","0","0","58","0","1005804","1","0","0","0","100580458"
"0","1","0","0","59","0.447","1005804","0","11","0","71","100580459"
"2.012","4","0","0","60","0","1005804","1","0","0","0","100580460"
"0","2","vo_ske_0410","vo_ske","61","0","1005804","0","0","0","0","100580461"
"0","1","0","0","62","0.504","1005804","0","11","71","130","100580462"
"1.659","4","0","0","63","0","1005804","1","0","0","0","100580463"
"0","1","0","0","64","0.488","1005804","0","11","130","235","100580464"
"3.099","4","0","0","65","0","1005804","1","0","0","0","100580465"
"0","2","vo_ske_0411","vo_ske","66","0","1005804","0","0","0","0","100580466"
"0","1","0","0","67","0.743","1005804","0","12","0","89","100580467"
"1.683","4","0","0","68","0","1005804","1","0","0","0","100580468"
"0","1","0","0","69","2.16","1005804","0","12","89","319","100580469"
"3.689","4","0","0","70","0","1005804","1","0","0","0","100580470"
"0","1","0","0","71","1.846","1005804","0","13","0","220","100580471"
"4.239","4","0","0","72","0","1005804","1","0","0","0","100580472"
"0","2","vo_ske_0412","vo_ske","73","0","1005804","0","0","0","0","100580473"
"0","1","0","0","74","0.584","1005804","0","14","0","80","100580474"
"1.837","4","0","0","75","0","1005804","1","0","0","0","100580475"
"0","1","0","0","76","1.393","1005804","0","14","80","275","100580476"
"3.893","4","0","0","77","0","1005804","1","0","0","0","100580477"
"0.8","4","0","0","1","0","1005805","1","0","0","0","100580501"
"0","2","vo_ske_0501","vo_ske","2","0","1005805","0","0","0","0","100580502"
"0","1","0","0","3","1.013","1005805","0","1","0","123","100580503"
"1.598","4","0","0","4","0","1005805","1","0","0","0","100580504"
"0","1","0","0","5","1.062","1005805","0","1","123","271","100580505"
"2.428","4","0","0","6","0","1005805","1","0","0","0","100580506"
"0","2","vo_ske_0502","vo_ske","7","0","1005805","0","0","0","0","100580507"
"0","1","0","0","8","1.244","1005805","0","2","0","107","100580508"
"1.839","4","0","0","9","0","1005805","1","0","0","0","100580509"
"0","1","0","0","10","1.989","1005805","0","2","107","357","100580510"
"3.898","4","0","0","11","0","1005805","1","0","0","0","100580511"
"0","2","vo_ske_0503","vo_ske","12","0","1005805","0","0","0","0","100580512"
"0","1","0","0","13","1.43","1005805","0","3","0","188","100580513"
"1.915","4","0","0","14","0","1005805","1","0","0","0","100580514"
"0","1","0","0","15","0.906","1005805","0","3","188","309","100580515"
"2.75","4","0","0","16","0","1005805","1","0","0","0","100580516"
"0","2","vo_ske_0504","vo_ske","17","0","1005805","0","0","0","0","100580517"
"0","1","0","0","18","1.11","1005805","0","4","0","103","100580518"
"1.656","4","0","0","19","0","1005805","1","0","0","0","100580519"
"0","1","0","0","20","1.445","1005805","0","4","103","235","100580520"
"1.899","4","0","0","21","0","1005805","1","0","0","0","100580521"
"0","1","0","0","22","0.574","1005805","0","4","235","326","100580522"
"2.491","4","0","0","23","0","1005805","1","0","0","0","100580523"
"0","2","vo_ske_0505","vo_ske","24","0","1005805","0","0","0","0","100580524"
"0","1","0","0","25","1.192","1005805","0","5","0","167","100580525"
"1.943","4","0","0","26","0","1005805","1","0","0","0","100580526"
"0","1","0","0","27","0.864","1005805","0","5","167","279","100580527"
"1.47","4","0","0","28","0","1005805","1","0","0","0","100580528"
"0","1","0","0","29","0.713","1005805","0","5","279","340","100580529"
"3.073","4","0","0","30","0","1005805","1","0","0","0","100580530"
"0","2","vo_ske_0506","vo_ske","31","0","1005805","0","0","0","0","100580531"
"0","1","0","0","32","1.159","1005805","0","6","0","153","100580532"
"1.779","4","0","0","33","0","1005805","1","0","0","0","100580533"
"0","1","0","0","34","1.634","1005805","0","6","153","391","100580534"
"5.206","4","0","0","35","0","1005805","1","0","0","0","100580535"
"0","2","vo_ske_0507","vo_ske","36","0","1005805","0","0","0","0","100580536"
"0","1","0","0","37","1.363","1005805","0","7","0","183","100580537"
"2.334","4","0","0","38","0","1005805","1","0","0","0","100580538"
"0","1","0","0","39","1.128","1005805","0","7","183","343","100580539"
"3.267","4","0","0","40","0","1005805","1","0","0","0","100580540"
"0","2","vo_ske_0508","vo_ske","41","0","1005805","0","0","0","0","100580541"
"0","1","0","0","42","2.341","1005805","0","8","0","305","100580542"
"3.817","4","0","0","43","0","1005805","1","0","0","0","100580543"
"0","1","0","0","44","0.614","1005805","0","8","305","360","100580544"
"1.798","4","0","0","45","0","1005805","1","0","0","0","100580545"
"0","1","0","0","46","1.942","1005805","0","9","0","286","100580546"
"4.447","4","0","0","47","0","1005805","1","0","0","0","100580547"
"0","2","vo_ske_0509","vo_ske","48","0","1005805","0","0","0","0","100580548"
"0","1","0","0","49","0.441","1005805","0","10","0","108","100580549"
"1.691","4","0","0","50","0","1005805","1","0","0","0","100580550"
"0","1","0","0","51","2.177","1005805","0","10","108","382","100580551"
"4.215","4","0","0","52","0","1005805","1","0","0","0","100580552"
"0","2","vo_ske_0510","vo_ske","53","0","1005805","0","0","0","0","100580553"
"0","1","0","0","54","1.116","1005805","0","11","0","118","100580554"
"2.252","4","0","0","55","0","1005805","1","0","0","0","100580555"
"0","1","0","0","56","2.025","1005805","0","11","118","380","100580556"
"4.486","4","0","0","57","0","1005805","1","0","0","0","100580557"
"0","2","vo_ske_0511","vo_ske","58","0","1005805","0","0","0","0","100580558"
"0","1","0","0","59","0.473","1005805","0","12","0","64","100580559"
"1.015","4","0","0","60","0","1005805","1","0","0","0","100580560"
"0","1","0","0","61","0.759","1005805","0","12","64","164","100580561"
"2.172","4","0","0","62","0","1005805","1","0","0","0","100580562"
"0","1","0","0","63","2.606","1005805","0","13","0","362","100580563"
"5.313","4","0","0","64","0","1005805","1","0","0","0","100580564"
"0","2","vo_ske_0512","vo_ske","65","0","1005805","0","0","0","0","100580565"
"0","1","0","0","66","1.072","1005805","0","14","0","197","100580566"
"2.416","4","0","0","67","0","1005805","1","0","0","0","100580567"
"0","1","0","0","68","1.331","1005805","0","14","197","362","100580568"
"3.831","4","0","0","69","0","1005805","1","0","0","0","100580569"
"0.8","4","0","0","1","0","1005901","1","0","0","0","100590101"
"0","2","vo_ske_0601","vo_ske","2","0","1005901","0","0","0","0","100590102"
"0","1","0","0","3","1.86","1005901","0","1","0","198","100590103"
"2.5","4","0","0","4","0","1005901","1","0","0","0","100590104"
"0","1","0","0","5","1.2","1005901","0","1","198","365","100590105"
"3.1","4","0","0","6","0","1005901","1","0","0","0","100590106"
"0","2","vo_ske_0602","vo_ske","7","0","1005901","0","0","0","0","100590107"
"0","1","0","0","8","2.2","1005901","0","2","0","268","100590108"
"3.3","4","0","0","9","0","1005901","1","0","0","0","100590109"
"0","1","0","0","10","0.9","1005901","0","2","268","356","100590110"
"1.5","4","0","0","11","0","1005901","1","0","0","0","100590111"
"0","1","0","0","12","1.5","1005901","0","3","0","186","100590112"
"3.7","4","0","0","13","0","1005901","1","0","0","0","100590113"
"0","2","vo_ske_0603","vo_ske","14","0","1005901","0","0","0","0","100590114"
"0","1","0","0","15","1.5","1005901","0","3","186","381","100590115"
"1.5","4","0","0","16","0","1005901","1","0","0","0","100590116"
"0","1","0","0","17","0.3","1005901","0","4","0","50","100590117"
"1.5","4","0","0","18","0","1005901","1","0","0","0","100590118"
"0","1","0","0","19","0.8","1005901","0","4","50","132","100590119"
"1.5","4","0","0","20","0","1005901","1","0","0","0","100590120"
"0","1","0","0","21","1.9","1005901","0","4","132","378","100590121"
"4.5","4","0","0","22","0","1005901","1","0","0","0","100590122"
"0","2","vo_ske_0604","vo_ske","23","0","1005901","0","0","0","0","100590123"
"0","1","0","0","24","2.3","1005901","0","5","0","273","100590124"
"3.3","4","0","0","25","0","1005901","1","0","0","0","100590125"
"0","1","0","0","26","1.1","1005901","0","5","273","385","100590126"
"1.1","4","0","0","27","0","1005901","1","0","0","0","100590127"
"0","1","0","0","28","1.1","1005901","0","6","0","223","100590128"
"3.9","4","0","0","29","0","1005901","1","0","0","0","100590129"
"0","2","vo_ske_0605","vo_ske","30","0","1005901","0","0","0","0","100590130"
"0","1","0","0","31","0.5","1005901","0","7","0","76","100590131"
"1.7","4","0","0","32","0","1005901","1","0","0","0","100590132"
"0","1","0","0","33","1.2","1005901","0","7","76","210","100590133"
"1.9","4","0","0","34","0","1005901","1","0","0","0","100590134"
"0","1","0","0","35","0.9","1005901","0","7","210","292","100590135"
"2.6","4","0","0","36","0","1005901","1","0","0","0","100590136"
"0","2","vo_ske_0606","vo_ske","37","0","1005901","0","0","0","0","100590137"
"0","1","0","0","38","1.6","1005901","0","8","0","217","100590138"
"2","4","0","0","39","0","1005901","1","0","0","0","100590139"
"0","1","0","0","40","1","1005901","0","8","217","340","100590140"
"1","4","0","0","41","0","1005901","1","0","0","0","100590141"
"0","1","0","0","42","1.3","1005901","0","9","0","166","100590142"
"2.2","4","0","0","43","0","1005901","1","0","0","0","100590143"
"0","1","0","0","44","1.4","1005901","0","9","166","372","100590144"
"4","4","0","0","45","0","1005901","1","0","0","0","100590145"
"0","2","vo_ske_0607","vo_ske","46","0","1005901","0","0","0","0","100590146"
"0","1","0","0","47","1.1","1005901","0","10","0","115","100590147"
"1.8","4","0","0","48","0","1005901","1","0","0","0","100590148"
"0","1","0","0","49","1","1005901","0","10","115","220","100590149"
"2.3","4","0","0","50","0","1005901","1","0","0","0","100590150"
