7f29455f6a31ffafec3a79efa1d8eb80a61d10de8e4cd6718ae1378cb28bd5bf,4df548f8a259ea48831035ca7527074c7e06e780d14a379012cc66d0cca67544,f647eadb3dd644aeef5a90f6e714d3930586062264420e58eba7fe6c510edb6c,3ef173f782d4e44342e069887e7503997ada4dd05440e09052d9c26b535b9568,91b42425451b45ab43f0bd8f8d10125c470a8fe622cc8a6eed060366a4ae4e72,14aafad1b9d5e0fe9312ec9a3099dfded54911e70aa5fae26ffd25d44400e367,a7fd9c33951f56db6bb8da0ab7a6e135bc16b5800c0f6e3305db01ad09dfa8e6
"1","7","0","1","2","6","10"
"2","6","0","1","2","7","10"
"11","10","0","1","1","8","10"
"8","10","0","2","1","9","10"
"9","8","0","1","1","1","11"
"5","0","0","2","1","2","11"
"6","12","0","2","1","3","11"
"1","5","0","1","1","4","11"
"5","10","0","2","1","5","11"
"6","12","0","2","1","6","11"
"1","4","0","1","1","7","11"
"11","0","0","1","1","8","11"
"6","0","0","1","1","9","11"
"1","10","0","2","1","10","11"
"6","11","0","1","1","11","11"
"1","12","0","2","1","12","11"
"5","6","0","2","1","13","11"
"10","7","0","1","1","14","11"
"4","7","0","2","1","15","11"
"11","4","0","2","1","1","12"
"1","5","0","1","1","2","12"
"6","10","0","2","1","3","12"
"5","10","0","2","1","4","12"
"11","0","0","1","1","5","12"
"6","0","0","2","1","6","12"
"12","17","0","2","1","7","12"
"5","1","0","1","1","8","12"
"1","2","0","1","1","9","12"
"6","10","0","2","1","10","12"
"4","10","0","2","1","11","12"
"1","0","0","1","1","12","12"
"5","13","0","1","1","13","12"
"11","8","0","2","1","14","12"
"8","10","0","1","1","15","12"
"11","10","0","1","1","1","13"
"11","8","0","3","1","2","13"
"6","0","0","2","1","3","13"
"11","10","0","1","1","4","13"
"11","7","0","2","1","5","13"
"2","6","0","3","1","6","13"
"1","0","1500","3","1","7","13"
"11","5","0","1","3","8","13"
"5","10","0","3","1","9","13"
"1","4","0","2","1","10","13"
"1","4","0","1","1","11","13"
"6","6","0","3","1","12","13"
"4","6","0","1","1","13","13"
"9","10","0","1","3","14","13"
"8","10","0","3","1","15","13"
"4","6","0","1","1","16","13"
"1","0","0","3","1","17","13"
"8","8","0","2","1","18","13"
"11","0","0","1","1","1","14"
"2","13","0","1","2","2","14"
"11","10","0","3","1","3","14"
"1","10","0","1","1","4","14"
"4","10","0","1","2","5","14"
"11","0","0","2","1","6","14"
"1","0","0","2","1","7","14"
"1","10","0","1","1","8","14"
"12","12","0","3","1","9","14"
"12","12","0","3","1","10","14"
"5","0","0","3","1","11","14"
"5","12","0","1","1","12","14"
"10","6","0","1","2","13","14"
"11","10","0","1","1","14","14"
"10","6","0","1","3","15","14"
"11","10","0","1","1","16","14"
"2","6","0","1","3","17","14"
"10","6","0","1","2","18","14"
"11","4","0","1","1","19","14"
"8","10","0","2","1","20","14"
"8","4","0","1","3","21","14"
"12","10","0","2","1","1","15"
"12","12","0","1","1","2","15"
"11","12","0","3","1","3","15"
"11","6","0","1","1","4","15"
"12","12","0","2","1","5","15"
"5","0","0","2","1","6","15"
"11","12","0","1","1","7","15"
"1","0","0","1","1","8","15"
"5","0","0","1","1","9","15"
"12","12","0","1","2","10","15"
"11","0","0","3","1","11","15"
"12","11","0","3","1","12","15"
"1","9","0","2","1","13","15"
"1","12","0","1","1","14","15"
"12","0","0","1","1","15","15"
"12","9","0","1","1","16","15"
"11","4","0","2","1","17","15"
"11","4","0","1","3","18","15"
"5","12","0","2","1","19","15"
"12","0","0","2","1","20","15"
"12","7","0","2","1","21","15"
"12","12","0","1","3","22","15"
"1","7","0","1","3","23","15"
"4","0","0","3","1","24","15"
"4","10","0","1","3","25","15"
"8","0","0","2","1","26","15"
"11","0","0","1","1","27","15"
"11","0","0","2","1","28","15"
"6","0","0","1","1","1","16"
"11","10","0","2","1","2","16"
"12","0","0","3","1","3","16"
"4","0","0","2","1","4","16"
"6","12","0","1","1","5","16"
"6","0","0","1","1","6","16"
"4","4","0","2","1","7","16"
"5","4","0","3","1","8","16"
"1","0","0","3","1","9","16"
"12","17","0","1","1","10","16"
"11","0","0","2","1","11","16"
"1","10","0","3","1","12","16"
"11","11","0","2","1","13","16"
"11","0","0","3","1","14","16"
"12","12","0","1","1","15","16"
"11","10","0","1","1","16","16"
"11","10","0","1","1","17","16"
"6","6","0","1","1","18","16"
"11","6","0","2","1","19","16"
"1","8","0","3","1","20","16"
"5","8","0","3","1","21","16"
"4","9","0","1","1","22","16"
"11","10","0","1","1","23","16"
"11","4","0","1","1","1","17"
"4","10","0","1","3","2","17"
"11","4","0","1","1","3","17"
"1","0","0","1","1","4","17"
"1","10","0","1","2","5","17"
"11","4","0","2","1","6","17"
"1","10","0","1","2","7","17"
"11","4","0","2","1","8","17"
"1","0","0","3","1","9","17"
"8","10","0","1","2","10","17"
"12","12","0","1","1","11","17"
"11","4","0","3","1","12","17"
"1","4","0","1","3","13","17"
"11","10","0","1","1","14","17"
"1","0","0","1","2","15","17"
"11","4","0","1","2","16","17"
"8","7","0","1","2","17","17"
"11","0","0","1","1","18","17"
"2","6","0","1","3","19","17"
"10","10","0","1","1","20","17"
"11","10","0","2","1","21","17"
"8","7","0","3","1","22","17"
"11","4","0","1","1","1","18"
"5","13","0","1","2","2","18"
"4","10","0","1","1","3","18"
"4","10","0","2","1","4","18"
"11","10","0","3","1","5","18"
"5","7","0","1","3","6","18"
"11","10","0","1","1","7","18"
"4","10","0","3","1","8","18"
"11","10","0","2","1","9","18"
"5","6","0","1","3","10","18"
"11","10","0","1","1","11","18"
"11","10","0","2","1","12","18"
"4","10","0","3","1","13","18"
"5","8","0","1","2","14","18"
"6","6","0","1","2","15","18"
"10","0","0","3","1","16","18"
"10","0","0","2","1","17","18"
"10","0","0","1","1","18","18"
"10","7","0","1","2","19","18"
"8","10","0","1","1","20","18"
"11","10","0","1","1","21","18"
"2","9","0","1","2","22","18"
"13","0","0","1","2","1","19"
"4","8","0","1","2","2","19"
"8","0","0","1","2","3","19"
"14","10","0","1","2","1","20"
"8","0","0","1","2","2","20"
"15","13","0","1","2","1","21"
"15","0","0","1","2","1","22"
"13","0","0","1","2","2","22"
"42","0","0","1","2","1","23"
"72","0","0","1","2","2","23"
"43","0","0","1","2","1","24"
"44","0","0","1","2","1","25"
"45","0","0","1","2","1","26"
"46","0","0","1","2","1","27"
"47","0","0","1","2","1","28"
"14","0","0","1","2","1","29"
"15","0","0","1","1","1","30"
"8","0","0","2","1","2","30"
"10","13","0","1","1","3","30"
"10","13","0","2","1","4","30"
"12","9","0","2","1","5","30"
"72","6","0","1","1","6","30"
"2","8","0","1","2","7","30"
"13","0","0","1","2","8","30"
"4","8","0","1","1","1","31"
"1","0","0","2","1","2","31"
"10","6","0","1","1","3","31"
"4","0","0","2","1","4","31"
"9","7","0","1","1","5","31"
"1","0","0","2","1","6","31"
"10","6","0","1","1","1","32"
"10","13","0","2","1","2","32"
"1","0","0","3","1","3","32"
"2","11","0","2","1","4","32"
"2","8","0","1","1","5","32"
"1","0","0","3","1","6","32"
"72","7","0","3","1","7","32"
"6","0","0","3","1","1","33"
"10","13","0","1","3","2","33"
"3","3","0","3","1","3","33"
"72","0","0","1","3","4","33"
"12","2","0","3","1","5","33"
"4","6","0","1","2","1","34"
"5","7","0","1","1","2","34"
"1","0","0","2","1","3","34"
"12","8","0","2","1","4","34"
"1","0","0","1","1","5","34"
"15","0","0","1","2","6","34"
"8","0","0","1","2","1","35"
"72","10","0","1","2","2","35"
"13","0","0","1","2","3","35"
"4","0","0","1","2","1","36"
"6","6","0","1","1","2","36"
"1","0","0","1","1","3","36"
"72","10","0","2","1","4","36"
"9","0","0","2","1","5","36"
"2","7","0","2","2","6","36"
"8","7","0","1","2","1","37"
"4","0","0","1","1","2","37"
"5","0","0","2","1","3","37"
"13","6","0","1","2","4","37"
"13","10","0","1","2","1","38"
"5","8","0","1","1","2","38"
"6","7","0","2","1","3","38"
"1","0","0","1","1","4","38"
"9","7","0","2","1","5","38"
"15","13","0","2","1","6","38"
"8","0","0","1","2","7","38"
"4","6","0","1","2","1","39"
"6","13","0","1","1","2","39"
"72","10","0","2","1","3","39"
"13","6","0","1","2","4","39"
