811d6f64e32a15947f249c7bd185908a448be46e349e841f1e5df28dae11bca7,87e28da3e5038d4dc762f5fc63487d880c4eb2a31b1e84991ba7bac83c5c4288,a1752c9e0b5af951dd60f502dc5def7b70d9a26ea5a1cf0e2d38989c21e6dd45,a0d21ced7dbd61b42f34721c383069004c35606399e1fefb59f91ab754b39778,4144da616c0d201fdc0f29c0d7803c4b3fe7279453a2d4f77cb98b38b1e6bedb,4417af11fbcf485892f12d941841907a93a68a9873fb02007c8b861bb100d2e2,cf912bad49690987769a0934af483c14e2a6e53289a906440a9fb8fd5b00d22b
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72027021","ボスNORMAL討伐で解放！","20027","31","113501"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72029021","ボスNORMAL討伐で解放！","20029","32","114101"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72031021","ボスNORMAL討伐で解放！","20031","33","114601"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72032021","ボスNORMAL討伐で解放！","20032","34","114701"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72033021","ボスNORMAL討伐で解放！","20033","35","115601"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72035021","ボスNORMAL討伐で解放！","20035","36","115801"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72038021","ボスNORMAL討伐で解放！","20038","37","116801"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72040021","ボスNORMAL討伐で解放！","20040","38","117401"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72042021","ボスNORMAL討伐で解放！","20042","39","117801"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72044021","ボスNORMAL討伐で解放！","20044","40","119201"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72045021","ボスNORMAL討伐で解放！","20045","41","120801"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72047021","ボスNORMAL討伐で解放！","20047","42","121201"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72051021","ボスNORMAL討伐で解放！","20051","43","122101"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72052021","ボスNORMAL討伐で解放！","20052","44","122401"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72053021","ボスNORMAL討伐で解放！","20053","45","122801"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72055021","ボスNORMAL討伐で解放！","20055","46","123501"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72057021","ボスNORMAL討伐で解放！","20057","47","124101"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72058021","ボスNORMAL討伐で解放！","20058","48","124701"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72059021","ボスNORMAL討伐で解放！","20059","49","124901"
"[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","72063021","ボスNORMAL討伐で解放！","20063","50","125701"
