e34d1cd769a1ae42eb94cc35636285dc815a88f32bd976b057e045be4cd8a6c6,9fb735f8215a4c0eb85c57468bb6824da1dd4c6b4b595787120d97bfa43d99a3,ee0e2c8292601cd710db74cd37fb8c91f8e6c91e1a159bc67330da7e105b7e54,38c24b1774f7a59b7d34cff684faaf7b94d420429dbbd0aa8509338d65732be8,b7d8f1a42e1a576dd1392c79ec9bfef3c85ed1835425ca1d717a67829ce93493
"43","24","2","88","88"
"43","99","2","89","89"
"62","24","2","90","90"
"72","107","2","91","91"
"43","21","2","92","92"
"43","104","2","93","93"
"67","46","2","94","94"
"55","69","2","95","95"
"40","28","2","96","96"
"40","86","2","97","97"
"65","43","2","98","98"
"44","21","2","99","99"
"44","98","2","100","100"
"65","54","2","101","101"
"38","36","2","102","102"
"38","83","2","103","103"
"58","93","2","104","104"
"43","17","2","105","105"
"43","98","2","106","106"
"61","28","2","107","107"
"37","36","2","108","108"
"37","86","2","109","109"
"65","72","2","110","110"
"44","26","3","111","111"
"44","102","3","112","112"
"91","50","3","113","113"
"78","88","3","114","114"
"35","43","3","115","115"
"35","86","3","116","116"
"85","43","3","117","117"
"66","53","3","118","118"
"47","28","3","119","119"
"47","101","3","120","120"
"66","46","3","121","121"
"85","79","3","122","122"
"37","39","3","123","123"
"37","91","3","124","124"
"78","57","3","125","125"
"60","71","3","126","126"
"37","36","3","127","127"
"37","93","3","128","128"
"62","39","3","129","129"
"88","50","3","130","130"
"106","65","3","131","131"
"35","39","3","132","132"
"35","91","3","133","133"
"86","65","3","134","134"
"57","41","3","135","135"
"70","93","3","136","136"
"106","65","3","137","137"
"41","30","3","138","138"
"41","99","3","139","139"
"91","78","3","140","140"
"60","57","3","141","141"
"72","37","3","142","142"
"106","65","3","143","143"
"41","36","3","144","144"
"41","93","3","145","145"
"57","57","3","146","146"
"75","39","3","147","147"
"85","86","3","148","148"
"106","65","3","149","149"
"38","39","3","150","150"
"38","91","3","151","151"
"88","48","3","152","152"
"63","67","3","153","153"
"81","83","3","154","154"
"106","65","3","155","155"
"35","39","3","156","156"
"35","91","3","157","157"
"72","92","3","158","158"
"57","43","3","159","159"
"88","46","3","160","160"
"35","39","3","161","161"
"35","90","3","162","162"
"60","46","3","163","163"
"91","79","3","164","164"
"33","41","3","165","165"
"33","88","3","166","166"
"85","43","3","167","167"
"60","83","3","168","168"
"36","36","3","169","169"
"36","93","3","170","170"
"86","83","3","171","171"
"60","50","3","172","172"
"42","28","3","173","173"
"42","101","3","174","174"
"88","50","3","175","175"
"66","75","3","176","176"
"38","32","3","177","177"
"38","97","3","178","178"
"63","93","3","179","179"
"86","43","3","180","180"
"40","24","4","181","181"
"40","107","4","182","182"
"61","87","4","183","183"
"86","54","4","184","184"
"40","35","4","185","185"
"40","94","4","186","186"
"65","42","4","187","187"
"86","71","4","188","188"
"41","28","4","189","189"
"41","101","4","190","190"
"65","55","4","191","191"
"86","61","4","192","192"
"43","26","4","193","193"
"43","107","4","194","194"
"86","61","4","195","195"
"68","71","4","196","196"
"46","35","4","197","197"
"46","94","4","198","198"
"71","82","4","199","199"
"91","59","4","200","200"
"102","58","4","201","201"
"41","26","4","202","202"
"41","104","4","203","203"
"60","48","4","204","204"
"80","71","4","205","205"
"102","58","4","206","206"
"40","35","4","207","207"
"40","94","4","208","208"
"80","78","4","209","209"
"65","45","4","210","210"
"102","58","4","211","211"
"46","29","4","212","212"
"46","100","4","213","213"
"65","80","4","214","214"
"75","45","4","215","215"
"102","58","4","216","216"
"41","29","4","217","217"
"41","105","4","218","218"
"83","57","4","219","219"
"65","45","4","220","220"
"102","58","4","221","221"
"46","32","4","222","222"
"46","97","4","223","223"
"62","68","4","224","224"
"86","74","4","225","225"
"41","32","4","226","226"
"41","104","4","227","227"
"65","42","4","228","228"
"86","57","4","229","229"
"73","78","4","230","230"
"40","24","4","231","231"
"40","110","4","232","232"
"58","44","4","233","233"
"71","81","4","234","234"
"93","57","4","235","235"
"40","42","4","236","236"
"40","97","4","237","237"
"61","65","4","238","238"
"83","75","4","239","239"
"77","46","4","240","240"
"41","41","4","241","241"
"41","105","4","242","242"
"71","48","4","243","243"
"91","58","4","244","244"
"61","88","4","245","245"
"41","31","4","246","246"
"41","97","4","247","247"
"74","45","4","248","248"
"65","81","4","249","249"
"86","72","4","250","250"
"30","47","5","251","251"
"30","88","5","252","252"
"52","85","5","253","253"
"70","79","5","254","254"
"32","39","5","255","255"
"32","99","5","256","256"
"90","50","5","257","257"
"60","85","5","258","258"
"35","38","5","259","259"
"35","100","5","260","260"
"64","52","5","261","261"
"52","81","5","262","262"
"31","44","5","263","263"
"31","91","5","264","264"
"50","58","5","265","265"
"62","79","5","266","266"
"30","47","5","267","267"
"30","88","5","268","268"
"71","50","5","269","269"
"54","82","5","270","270"
"35","38","5","271","271"
"35","97","5","272","272"
"70","50","5","273","273"
"55","70","5","274","274"
"95","50","5","275","275"
"30","46","5","276","276"
"30","89","5","277","277"
"50","49","5","278","278"
"70","66","5","279","279"
"60","86","5","280","280"
"31","44","5","281","281"
"31","91","5","282","282"
"75","73","5","283","283"
"65","85","5","284","284"
"48","50","5","285","285"
"31","41","5","286","286"
"31","94","5","287","287"
"90","50","5","288","288"
"65","86","5","289","289"
"50","68","5","290","290"
"31","46","5","291","291"
"31","89","5","292","292"
"60","59","5","293","293"
"47","70","5","294","294"
"75","69","5","295","295"
"32","44","5","296","296"
"32","88","5","297","297"
"90","52","5","298","298"
"52","58","5","299","299"
"72","83","5","300","300"
"33","41","5","301","301"
"33","96","5","302","302"
"65","50","5","303","303"
"80","63","5","304","304"
"52","81","5","305","305"
"30","44","5","306","306"
"30","91","5","307","307"
"45","54","5","308","308"
"67","62","5","309","309"
"55","83","5","310","310"
"30","50","5","311","311"
"30","85","5","312","312"
"56","50","5","313","313"
"90","63","5","314","314"
"67","82","5","315","315"
"30","46","5","316","316"
"30","91","5","317","317"
"60","68","5","318","318"
"48","82","5","319","319"
"75","83","5","320","320"
"59","98","2","321","321"
"58","26","2","322","322"
"72","107","2","323","323"
"61","83","2","324","324"
"63","65","2","325","325"
"58","33","2","326","326"
"57","57","2","327","327"
"72","107","2","328","328"
"57","39","2","329","329"
"55","92","2","330","330"
