3b0cbf489a8593f5f17641fafef21bf8f7dd401682c67f212c9e7ef066bc0273,a8d44bbabe89ef3f728d86383cd99bdecbd9ada26807021221b1fd07dac6ea56,319972355f072b92dfa55903a35a7d9a25b5c852f47f342f497b0a23a0c35df6,736ffc47c1540c99c91085475f4e66683a1489c2631f3af9c89ae47300928a6a,a97847e08288fbfe0174a573236134cb3d865e6a4d2a43b91d04e5b5948bf472,4bb9cd676b08cd691f59c91ec234d4a8ad0bd3f8cbda4cb3efd035b895c9bb0c,6f0f5fcfeb239d0781fefec18f1ade07ab3025b45fa4d864501f7833271bdaec,987f3963a2879c12e19353fcd7d49ff3c8d058dca4e2ac4fac8c20540c32bf07,9362f8ffd64aee5c373427cd8516b2c24fe183411cc42911b771f3c96ce3cb9d,9c0677aaaa305305b5b720c2c4473159938aff955802bb5aa9a459a7b86ec9df,453e602069b6a2bfc1b33983c6a9958a0a29c95281237bbe9470eb580e029d39,af9fe9e3424bff7b7a22548b77866e00b0fbc0ce298f6095457d4e8a06914b5e,8f63a10f51435b37420bb87bfbd851d09cfc7b184697f39f9935d3f27ee01663,6744ae3d97f4463b4da3660bf34adc0f35565aa754b61e07b770b8a807b7ee6a
"1.5","1","1.7","0","100000","-40","0","2002901","20029101","25","0.03","-17","1","20029"
"1.5","3","1.7","0","100000","-23","10","2002901","0","-47","0","-32","0","20029"
"1.5","2","1.7","0","100000","0","10","2002902","0","-30","0","30","0","20029"
"1.5","1","1.7","0","100000","-40","0","2002902","0","25","0.03","-17","1","20029"
"1.5","3","1.7","0","100000","-23","10","2002902","0","-47","0","-32","0","20029"
"1.5","2","1.7","0","100000","0","10","2002903","0","-30","0","30","0","20029"
"1.5","1","1.7","0","100000","-40","0","2002903","0","25","0.03","-17","1","20029"
"1.5","3","1.7","0","100000","-23","10","2002903","0","-47","0","-32","0","20029"
"1.5","2","1.7","0","100000","0","10","2002904","0","-30","0","30","0","20029"
"1.5","1","1.7","0","100000","-40","0","2002904","0","25","0.03","-17","1","20029"
"1.5","3","1.7","0","100000","-23","10","2002904","0","-47","0","-32","0","20029"
"1.5","2","1.7","0","100000","0","10","2002905","0","-30","0","30","0","20029"
"1.5","1","1.7","0","100000","-40","0","2002905","0","25","0.03","-17","1","20029"
"1.5","3","1.7","0","100000","-23","10","2002905","0","-47","0","-32","0","20029"
"0.92","1","0.84","0","100000","-50","10","1011501","10115101","-25","0.03","-13","1","10115"
"0.8","2","0.7","0","100000","-50","0","1011501","0","-25","0","13","0","10115"
"0.92","1","0.84","0","100000","-50","10","1011502","10115201","-25","0.03","-13","1","10115"
"0.8","2","0.7","0","100000","-50","0","1011502","0","-25","0","13","0","10115"
"0.92","1","0.84","0","100000","-50","10","1011503","10115301","-25","0.03","-13","1","10115"
"0.8","2","0.7","0","100000","-50","0","1011503","0","-25","0","13","0","10115"
"0.92","1","0.7","0","100000","-50","10","1011504","10115401","-30","0.03","-17","1","10115"
"0.8","2","0.6","0","100000","-50","0","1011504","0","-30","0","30","0","10115"
"0.92","1","0.7","0","100000","-50","10","1011505","0","-30","0.03","-17","1","10115"
"0.8","2","0.6","0","100000","-50","0","1011505","0","-30","0","30","0","10115"
"0.92","1","0.84","0","100000","-50","10","2004801","0","-25","0.03","-13","1","20048"
"0.8","2","0.7","0","100000","-50","0","2004801","0","-25","0","13","0","20048"
"0.92","1","0.84","0","100000","-50","10","2004802","0","-25","0.03","-13","1","20048"
"0.8","2","0.7","0","100000","-50","0","2004802","0","-25","0","13","0","20048"
"0.92","1","0.84","0","100000","-50","10","2004803","0","-25","0.03","-13","1","20048"
"0.8","2","0.7","0","100000","-50","0","2004803","0","-25","0","13","0","20048"
