d4a5ec10fdbaf305ef340b5efd40d8946f487493628ff162717d899c47216b9d,2d672d1007973f7f959b9a3b834483652266fe54d8de5c3bed43d4fe8bf5dd9a,11d46a9c2453270c2173ad9c0860e9e81e1d17d4e11548a48e0b5808bd6c917c,d5984c47c6076b12ee909eb0a3eb3887bd48b71f12d9d8b9cb5b722538247b23,ea52f129ad5e01d9f43f96d071a719f452cc405875305edae12f0f70e06057dd,38afb6566198ba00b90c7e99471f47f828b05fde9a894a7a31d5d6c8c0212547,67ca770ffeb7c81dfc8923e1a5112fe9619060769b98cabd5b7524f8ede54730,4f8e2cf7d751bb2bbbc4c080897d59cd309f61a9ef8557afcf9871aab4cd1a32,789027dd9c1a37b3d317b1cdf6b9b27275cd60f90dee5ad5a6812ed9090d19dc,e9700a7737fe5c17f8cd5949c69824df588676dc4ad1a7aa76f4fbd14eb351fb,8b1ef3d18b9baa54bb9b3dbd292325e20c949312adb4ede87731ddef751ca0f1
"3","0","11","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0.3","1","6","3016","0","129911","0"
"3","","91","","","","","3017","","0",""
"3","","3","drama_idle","","","1","3018","0.2","129811",""
"3","","3","drama_idle","","","1","3019","0.2","129911",""
"4","1","1","129811","drama_idle","167","100","4001","1.65","1","-224"
"4","0","1","129911","drama_idle","-49","100","4002","1.65","1","-224"
"4","","3","drama_idle","","","1","4003","0.2","129911",""
"4","","3","drama_talk_doya_in_shy","","drama_talk_doya_loop_shy","0","4004","0.2","129811","1"
"4","","21","vo_minigame_1013_top_talk_4_000","","0","0","4005","","vo_minigame_1013",""
"4","0","11","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0.3","1","7","4006","0","129811","0"
"4","","91","","","","","4007","","0",""
"4","","3","drama_idle_doya_shy","","","1","4008","0.2","129811",""
"4","","3","drama_talk_wish_in","","drama_talk_wish_loop","0","4009","0.2","129911","1"
"4","","21","vo_minigame_1013_top_talk_4_001","","0","0","4010","","vo_minigame_1013",""
"4","0","11","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0.5","1","5","4011","0","129911","0"
"4","","91","","","","","4012","","0",""
"4","","3","drama_idle_wish","","","1","4013","0.2","129911",""
"4","","3","drama_idle_thinking_shy","","","1","4014","0.2","129811","0"
"4","","21","vo_minigame_1013_top_talk_4_002","","0","0","4015","","vo_minigame_1013",""
"4","0","11","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","1","8","4016","0","129811","0"
"4","","91","","","","","4017","","0",""
"4","","3","drama_idle","","","1","4018","0.2","129911",""
"4","","3","drama_idle","","","1","4019","0.2","129811",""
"5","1","1","129811","drama_idle","167","100","5001","1.65","1","-224"
"5","0","1","129911","drama_idle","-49","100","5002","1.65","1","-224"
"5","","3","drama_idle","","","1","5003","0.2","129811",""
"5","","3","drama_talk_thinking","","","1","5004","0.2","129911",""
"5","","21","vo_minigame_1013_top_talk_5_000","","0","0","5005","","vo_minigame_1013",""
"5","0","11","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0.8","1","6","5006","0","129911","0"
"5","","91","","","","","5007","","0",""
"5","","3","drama_idle_thinking","","","1","5008","0.2","129911",""
"5","","3","drama_talk_wonder_in","","drama_talk_wonder_loop","0","5009","0.2","129811","1"
"5","","21","vo_minigame_1013_top_talk_5_001","","0","0","5010","","vo_minigame_1013",""
"5","0","11","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0.3","1","7","5011","0","129811","0"
"5","","91","","","","","5012","","0",""
"5","","3","drama_idle_wonder","","","1","5013","0.2","129811",""
"5","","3","drama_talk_memory","","","1","5014","0.2","129911",""
"5","","21","vo_minigame_1013_top_talk_5_002","","0","0","5015","","vo_minigame_1013",""
"5","0","11","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0.5","1","5","5016","0","129911","0"
"5","","91","","","","","5017","","0",""
"5","","3","drama_idle","","","1","5018","0.2","129811",""
"5","","3","drama_idle","","","1","5019","0.2","129911",""
"6","1","1","129811","drama_idle","167","100","6001","1.65","1","-224"
"6","0","1","129911","drama_idle","-49","100","6002","1.65","1","-224"
"6","","3","drama_idle","","","1","6003","0.2","129911",""
"6","","3","drama_talk_thinking_shy","","","1","6004","0.2","129811",""
"6","","21","vo_minigame_1013_top_talk_6_000","","0","0","6005","","vo_minigame_1013",""
"6","0","11","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0.3","1","8","6006","0","129811","0"
"6","","91","","","","","6007","","0",""
"6","","3","drama_idle_thinking_shy","","","1","6008","0.2","129811",""
"6","","3","drama_talk_doubt_in","","drama_talk_doubt_loop","0","6009","0.2","129911","1"
"6","","21","vo_minigame_1013_top_talk_6_001","","0","0","6010","","vo_minigame_1013",""
"6","0","11","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0.8","1","6","6011","0","129911","0"
"6","","91","","","","","6012","","0",""
"6","","3","drama_idle_doubt","","","1","6013","0.2","129911",""
"6","","3","drama_talk_surprise_in_shy","","drama_talk_surprise_loop_shy","0","6014","0.2","129811","1"
"6","","21","vo_minigame_1013_top_talk_6_002","","0","0","6015","","vo_minigame_1013",""
"6","0","11","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0.3","1","9","6016","0","129811","0"
"6","","91","","","","","6017","","0",""
"6","","3","drama_idle","","","1","6018","0.2","129911",""
"6","","3","drama_idle","","","1","6019","0.2","129811",""
"7","1","1","129811","drama_idle","167","100","7001","1.65","1","-224"
"7","0","1","129911","drama_idle","-49","100","7002","1.65","1","-224"
"7","","3","drama_idle","","","1","7003","0.2","129811",""
"7","","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","0","7004","0.2","129911","1"
"7","","21","vo_minigame_1013_top_talk_7_000","","0","0","7005","","vo_minigame_1013",""
"7","0","11","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0.3","1","6","7006","0","129911","0"
"7","","91","","","","","7007","","0",""
"7","","3","drama_idle_arm_crossed","","","1","7008","0.2","129911",""
"7","","3","drama_talk_guts2_in","","drama_talk_guts2_loop","0","7009","0.2","129811","1"
"7","","21","vo_minigame_1013_top_talk_7_001","","0","0","7010","","vo_minigame_1013",""
"7","0","11","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","1","6","7011","0","129811","0"
"7","","91","","","","","7012","","0",""
"7","","3","drama_idle_guts2","","","1","7013","0.2","129811",""
"7","","3","drama_talk_thinking","","","1","7014","0.2","129911",""
"7","","21","vo_minigame_1013_top_talk_7_002","","0","0","7015","","vo_minigame_1013",""
"7","0","11","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0.5","1","6","7016","0","129911","0"
"7","","91","","","","","7017","","0",""
"7","","3","drama_idle","","","1","7018","0.2","129811",""
"7","","3","drama_idle","","","1","7019","0.2","129911",""
"8","1","1","129811","drama_idle","167","100","8001","1.65","1","-224"
"8","0","1","129911","drama_idle","-49","100","8002","1.65","1","-224"
"8","","3","drama_idle","","","1","8003","0.2","129911",""
"8","","3","drama_talk_doya_in_smile","","drama_talk_doya_loop_smile","0","8004","0.2","129811","1"
"8","","21","vo_minigame_1013_top_talk_8_000","","0","0","8005","","vo_minigame_1013",""
"8","0","11","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0.3","1","7","8006","0","129811","0"
"8","","91","","","","","8007","","0",""
"8","","3","drama_idle_doya_smile","","","1","8008","0.2","129811",""
"8","","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","0","8009","0.2","129911","1"
"8","","21","vo_minigame_1013_top_talk_8_001","","0","0","8010","","vo_minigame_1013",""
"8","0","11","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0.8","1","5","8011","0","129911","0"
"8","","91","","","","","8012","","0",""
"8","","3","drama_idle_arm_crossed","","","1","8013","0.2","129911",""
"8","","3","drama_talk_anger","","","1","8014","0.2","129811",""
"8","","21","vo_minigame_1013_top_talk_8_002","","0","0","8015","","vo_minigame_1013",""
"8","0","11","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0.3","1","7","8016","0","129811","0"
"8","","91","","","","","8017","","0",""
"8","","3","drama_idle","","","1","8018","0.2","129811",""
"8","","3","drama_idle","","","1","8019","0.2","129911",""
"30","1","1","129811","drama_idle","167","100","30001","1.65","1","-224"
"30","0","1","129911","drama_idle","-49","100","30002","1.65","1","-224"
"30","","3","drama_idle","","","1","30003","0.2","129811",""
"30","","3","drama_idle","","","1","30004","0.2","129911",""
"30","","93","0","","","","30005","","0.5",""
"30","","26","","","","","30006","","2",""
"30","","121","10","","1.2","1.2","30007","3","-80","0.9"
"30","0.2","3","drama_joy_eriko","","","0","30008","0.2","129911",""
"30","","140","1","","","0","30009","","1",""
"31","1","1","129811","drama_idle","167","100","31001","1.65","1","-224"
"31","0","1","129911","drama_idle","-49","100","31002","1.65","1","-224"
"31","","3","drama_idle","","","1","31003","0.2","129811",""
"31","","3","drama_idle","","","1","31004","0.2","129911",""
"31","","93","0","","","","31005","","0.5",""
"31","","26","","","","","31006","","2",""
"31","","121","10","","1.2","1.2","31007","3","-80","0.9"
"31","0.2","3","drama_joy_makoto","","","0","31008","0.2","129811",""
"31","","140","2","","","0","31009","","1",""
"32","1","5","1","drama_talk_1","320","1","32001","0.28","0","28"
"32","0","5","2","drama_talk_2","228","0","32002","0.28","0","28"
"32","1","5","3","drama_swing","45","90","32003","0.26","0","64"
"32","0","5","4","drama_streach","-187","91","32004","0.3","0","-23"
"32","","93","0","","","","32005","","1",""
"32","","3","drama_joy","","","0","32006","0.2","1",""
"32","","3","drama_joy","","","0","32007","0.2","2",""
"32","","3","drama_joy","","","0","32008","0.2","3",""
"32","","3","drama_joy","","","0","32009","0.2","4",""
"32","","93","0","","","","32010","","1.5",""
"33","1","5","1","drama_talk_1","320","1","33001","0.28","0","28"
"33","0","5","2","drama_talk_2","228","0","33002","0.28","0","28"
"33","1","5","3","drama_swing","45","90","33003","0.26","0","64"
"33","0","5","4","drama_streach","-187","91","33004","0.3","0","-23"
