bb96ac412d3a9ead4fe480dd4fd99271b756fe81482a1c3d6664c8454bdfc017,b097dc1d3adb3c95362d4e88768637206796b8816d2dca63c4926c7b5df10df7,e400b9e669d6a23e3d6e5ea287a830b4b41e82b13d33d2db671500830829e379,dc2cf6607773ab865e54a9a0849ebd57e7f97bff61885d85bc6d4ec109bad0a2,e8ed96a7dc24a0959f4ac9388ff70784f70163826e8f94dfb7a4839920738336,343a222647e02a59885d6acf4340de2fbafdf4a20e448f0f6bc5ac0ab0adafcb,6c6012043095fc507ef69304a0ce931aa3561d17df9f5063380c99aa72c1daf3,6b517bb56bb87f5f2cec024ba1f42d4317b38ee0d1cf4b4fc51724da430ad6e0
"102","4711","1","3","4","2","1","5"
"104","4811","1","3","4","2","200","5"
"103","4911","1","3","4","2","1","5"
"104","5011","1","3","4","2","200","5"
"101","5111","1","3","4","2","2","5"
"102","5211","1","3","4","2","1","5"
"104","5311","1","3","4","2","200","5"
"6","5411","1","3","4","2","150","5"
"7","5412","1","3","4","2","150","5"
"103","5511","1","3","4","2","1","5"
"104","5611","1","3","4","2","200","5"
"100","5711","1","3","4","2","2","5"
"101","5811","1","3","4","2","2","5"
"103","5911","1","3","4","2","1","5"
"104","6011","1","3","4","2","200","5"
"102","6111","1","3","4","2","1","5"
"2","6211","1","3","4","2","250","5"
"4","6212","1","3","4","2","250","5"
"104","6311","1","3","4","2","200","5"
"103","6411","1","3","4","2","1","5"
"102","6511","1","3","4","2","1","5"
"104","6611","1","3","4","2","200","5"
"6","6711","1","3","4","2","150","5"
"7","6712","1","3","4","2","150","5"
"102","6811","1","3","4","2","1","5"
"104","6911","1","3","4","2","200","5"
"103","7011","1","3","4","2","1","5"
"101","7111","1","3","4","2","2","5"
"100","7211","1","3","4","2","2","5"
"104","7311","1","3","4","2","200","5"
"103","7411","1","3","4","2","1","5"
"102","7511","1","3","4","2","1","5"
"2","7611","1","3","4","2","250","5"
"4","7612","1","3","4","2","250","5"
"104","7711","1","3","4","2","200","5"
"101","7811","1","3","4","2","2","5"
"100","7911","1","3","4","2","2","5"
"104","8011","1","3","4","2","200","5"
"6","8111","1","3","4","2","150","5"
"7","8112","1","3","4","2","150","5"
"101","8211","1","3","4","2","2","5"
"2","8311","1","3","4","2","250","5"
"4","8312","1","3","4","2","250","5"
"103","8411","1","3","4","2","1","5"
"104","8511","1","3","4","2","200","5"
"100","8611","1","3","4","2","2","5"
"102","8711","1","3","4","2","1","5"
"103","8811","1","3","4","2","1","5"
"104","8911","1","3","4","2","200","5"
"102","9011","1","3","4","2","1","5"
"104","9111","1","3","4","2","200","5"
"2","9211","1","3","4","2","250","5"
"4","9212","1","3","4","2","250","5"
"104","9311","1","3","4","2","200","5"
"102","9411","1","3","4","2","1","5"
"103","9511","1","3","4","2","1","5"
"104","9611","1","3","4","2","200","5"
"104","9711","1","3","4","2","200","5"
"101","9811","1","3","4","2","2","5"
"104","9911","1","3","4","2","200","5"
"102","10011","1","3","4","2","1","5"
"103","10111","1","3","4","2","1","5"
"104","10211","1","3","4","2","200","5"
"2","10311","1","3","4","2","250","5"
"4","10312","1","3","4","2","250","5"
"100","10411","1","3","4","2","2","5"
"104","10511","1","3","4","2","200","5"
"103","10611","1","3","4","2","1","5"
"104","10711","1","3","4","2","200","5"
"103","10811","1","3","4","2","1","5"
"100","10911","1","3","4","2","2","5"
"104","11011","1","3","4","2","200","5"
"101","11111","1","3","4","2","2","5"
"104","11211","1","3","4","2","200","5"
"102","11311","1","3","4","2","1","5"
"104","11411","1","3","4","2","200","5"
"103","11511","1","3","4","2","1","5"
"104","11611","1","3","4","2","200","5"
"102","11711","1","3","4","2","1","5"
"104","11811","1","3","4","2","200","5"
"6","11911","1","3","4","2","150","5"
"7","11912","1","3","4","2","150","5"
"104","12011","1","3","4","2","200","5"
"102","12111","1","3","4","2","1","5"
"103","12211","1","3","4","2","1","5"
"100","12311","1","3","4","2","2","5"
"102","12411","1","3","4","2","1","5"
"104","12511","1","3","4","2","200","5"
"101","12611","1","3","4","2","2","5"
