9c85ae0384f57d712a24c31b14bc89273800d6b0049c6d7caee9f44fa8bdcf27,a57630ce7140f4cde04be88b4d88b625c9ff7085ccb4b37c22b9f2e39b781af1,d25b998b21049c5af497866a44eb8ca7a124ea593db49bac20b1aba6ab84abb1,1d78259e67bb10abdeff88685e7b1732108d3135a1d0ebca7c3106aedef82573,6c8a931f0af4ef0b8d579ea8eaaae96b544dc2e3179c96397a278ce2728094e3,ba9e48c3c8617f027642152082170455cb5ac8e3de25105baad2495d8169326a,fd864e92ccbd55853edf356d0c971addb0e0131d25cf8cc1145ec04935667a1c,20d5542ae6ea9d64ceefc0ac71a7e5c103b9ee0394328530b46f9e94514468ce,75d8fa817e2a882ed1f90c5f90334f4ba125ecb9f1ca797487a3931506bde1b0,51c35cccc380cf9ec95c94c1b03b0fab3ad0c063ec8045953a5708e258b6a09d,460da955f29327c9562669584fd9de78b6a26dfe0617d3e67cb122af9823a1e9
"13018","","","0.3","-190","2","","2","13","2","-255"
"13019","","","0.3","220","2","","2","13","3","-245"
"13020","","","0.3","0","2","","2","13","0","0"
"13021","","","","1","","","32","13","100",""
"13022","","","","0","","","93","13","0.6",""
"13023","","0.2","","sad_talk_look_shy_riri","","","3","13","1","1"
"13024","","","0","vo_asb_1521","","","21","13","vo_asb","0"
"13025","0","0","1","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","1","0","11","13","1","10"
"13026","","","0","","","","91","13","0","0"
"13027","","0.2","","sad_idle_normal_look_shy_riri","","","3","13","1","1"
"13028","","0.2","","clear_talk_look_shy","","","3","13","2","1"
"13029","","","0","vo_asb_1522","","","21","13","vo_asb","0"
"13030","0","0","1","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","1","0","11","13","2","10"
"13031","","","0","","","","91","13","0","0"
"13032","","0.3","","clear_idle_look_shy","","","3","13","2","1"
"13033","","0.2","","sad_talk_look_precia","","","3","13","3","1"
"13034","","","0","vo_asb_1523","","","21","13","vo_asb","0"
"13035","0","0","1","せきらら\nぼうけんき。","1","0","11","13","3","10"
"13036","","","0","","","","91","13","0","0"
"13037","","0.2","","idle_look_precia","","","3","13","3","1"
"13038","","0.3","","talk_look_shy_riri","","","3","13","1","1"
"13039","","","0","vo_asb_1524","","","21","13","vo_asb","0"
"13040","0","0","1","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","1","0","11","13","1","10"
"13041","","","0","","","","91","13","0","0"
"13042","","0.2","","wish_talk_look_shy_riri","","","3","13","1","1"
"13043","","","0","vo_asb_1525","","","21","13","vo_asb","0"
"13044","0","0","1","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","1","0","11","13","1","10"
"13045","","","0","","","","91","13","0","0"
"13046","","0.2","","idle_look_shy","","","3","13","2","1"
"13047","","0.3","","joy_idle_look_shy_precia","","","3","13","3","1"
"13048","","0.2","","wish_talk_Ex4","","","3","13","1","1"
"13049","","","0","vo_asb_1526","","","21","13","vo_asb","0"
"13050","0","0","1","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","1","0","11","13","1","10"
"13051","","","0","","","","91","13","0","0"
"13052","","0.2","","idle_look_shy_riri","","","3","13","1","1"
"13053","","0.4","","surprise_idle_lookR_precia","","","3","13","3","1"
"13054","","","0","vo_asb_1527","","","21","13","vo_asb","0"
"13055","0","0","1","お兄……","1","0","11","13","3","10"
"13056","","","0","","","","91","13","0","0"
"13057","","0.4","","joy_idle_look_shy_precia2","","","3","13","3","1"
"13058","","0.2","","clear_talk2_look","","","3","13","2","1"
"13059","","","0","vo_asb_1528","","","21","13","vo_asb","0"
"13060","0","0","1","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","1","0","11","13","2","10"
"13061","","","0","","","","91","13","0","0"
"13062","","0.2","","wish_talk_Ex3","","","3","13","1","1"
"13063","","0.3","","joy_idle_look_shy_precia","","","3","13","3","1"
"13064","","0.2","clear_wish_talk_joy_look","talk2ToWish_look","1","0","3","13","2","0"
"13065","","","0","vo_asb_1529","","","21","13","vo_asb","0"
"13066","0","0","1","……ありがとうございます！","1","0","11","13","1","10"
"13067","","","0","","","","91","13","0","0"
"13068","","0.2","","idle_look_shy_riri","","","3","13","1","1"
"13069","","0.2","","idle_look_shy","","","3","13","2","1"
"13070","","0.2","doya_talk_precia","doya_in_precia","1","0","3","13","3","0"
"13071","","","0","vo_asb_1530","","","21","13","vo_asb","0"
"13072","0","0","1","むねはり。\nぼうけんき。","1","0","11","13","3","10"
"13073","","","0","","","","91","13","0","0"
"13074","","0.4","","idle_look_normal_precia","","","3","13","3","1"
"13075","","0.2","","riri_talk_look_shy","","","3","13","1","1"
"13076","","","0","vo_asb_1531","","","21","13","vo_asb","0"
"13077","0","0","1","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","1","0","11","13","1","10"
"13078","","","0","","","","91","13","0","0"
"13079","","0.2","","riri_idle_look_normal_shy","","","3","13","1","1"
"13080","","0.2","","clear_talk3_look","","","3","13","2","1"
"13081","","","0","vo_asb_1532","","","21","13","vo_asb","0"
"13082","0","0","1","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","1","0","11","13","2","10"
"13083","","","0","","","","91","13","0","0"
"13084","","0.2","","clear_wish_talk_joy_look","","","3","13","2","1"
"13085","","","0","vo_asb_1533","","","21","13","vo_asb","0"
"13086","0","0","1","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","1","0","11","13","2","10"
"13087","","","0","","","","91","13","0","0"
"13088","","0.2","","clear_wish_idle_look","","","3","13","2","1"
"13089","","0.1","joy_idle_look_shy_precia2","agree","1","0.2","3","13","3","0"
"13090","","","0","vo_asb_1534","","","21","13","vo_asb","0"
"13091","0","0","1","よろしく。","1","0","11","13","3","10"
"13092","","","0","","","","91","13","0","0"
"13093","","0.2","idle_look_shy_riri","bow_riri","1","0.2","3","13","1","0"
"13094","","","0","vo_asb_1535","","","21","13","vo_asb","0"
"13095","0","0","1","お願いいたします……！","1","0","11","13","1","10"
"13096","","","0","","","","91","13","0","0"
"13097","","","","","","","101","13","13098",""
"13098","","0.3","1","1","0","0","6","13","1","1"
"13099","","0.3","1","1","0","0","6","13","2","1"
"13100","","0.3","1","1","0","0","6","13","3","1"
"13101","","0.3","1","1","0","0","6","13","0","1"
"13102","","","0.3","-130","1","","2","13","1","-230"
"13103","","","0.3","-290","1","","2","13","2","-255"
"13104","","","0.3","120","1","","2","13","3","-245"
"13105","","","0.3","-100","1","","2","13","0","0"
"13106","","","","0","","","22","13","0",""
"13107","","","","1","","","35","13","100",""
"13108","","","0.3","-100","1","","33","13","100","0"
"13109","","","","0","","","93","13","0.4",""
"13110","","","","0","","","32","13","100",""
"22001","surprise_idle_normal2_precia","2.2","30","1","-250","0","5","22","3","52"
"22002","","0","1","1","0","0","6","22","1","1"
"22003","black","1","50","0","0","0","5","22","0","29"
"22004","","0","1","1","0","0","6","22","0","1"
"22005","","","","","","","91","22","0",""
"22006","","0.2","1","1","1","0","6","22","1","1"
"22007","","0.2","1","1","1","0","6","22","0","1"
"22008","","","0.3","-20","2","","2","22","1","-250"
"22009","","","0.3","0","2","","2","22","0","0"
"22010","","","","0","","","93","22","0.6",""
"22011","","","0","vo_asb_0221","","","21","22","vo_asb","0"
"22012","0","0","1","ざぶとん。\nくっきー。\nいっぱいたべた。","1","0","11","22","1","10"
"22013","","","0","","","","91","22","0","0"
"22014","","0.3","","talk_surprise_precia","","","3","22","1","1"
"22015","","","0","vo_asb_0222","","","21","22","vo_asb","0"
"22016","0","0","1","スズメ。\nいろいろつくってる。\nらしい。","1","0","11","22","1","10"
"22017","","","0","","","","91","22","0","0"
"22018","","0.3","","think_idle_precia","","","3","22","1","1"
"22019","","","0","vo_asb_0223","","","21","22","vo_asb","0"
"22020","0","0","1","ざぶとん、ほっとけーき。\nとか？","1","0","11","22","1","10"
"22021","","","0","","","","91","22","0","0"
"22022","","0.3","","think_idle_dere_precia","","","3","22","1","1"
"22023","","","0","vo_asb_0224","","","21","22","vo_asb","0"
"22024","0","0","1","ざぶとん、まふぃん。\nとか？","1","0","11","22","1","10"
"22025","","","0","","","","91","22","0","0"
"22026","","0.3","","think_idle_angerR","","","3","22","1","1"
"22027","","","0","vo_asb_0225","","","21","22","vo_asb","0"
"22028","0","0","1","ざぶとん、にくまん……\nとか……（ごくり）","1","0","11","22","1","10"
"22029","","","0","","","","91","22","0","0"
"22030","","0.1","speak1_light_precia","thinkToSpeak_precia","1","0","3","22","1","0"
"22031","","","0","vo_asb_0226","","","21","22","vo_asb","0"
"22032","0","0","1","スズメ。\nすかうとする。\n【あるたーめいでん】に。","1","0","11","22","1","10"
"22033","","","0","","","","91","22","0","0"
"22034","","","","","","","101","22","22035",""
"22035","","0.3","1","1","0","0","6","22","1","1"
"22036","","0.3","1","1","0","0","6","22","0","1"
"22037","","","0.3","-120","1","","2","22","1","-250"
"22038","","","0.3","-100","1","","2","22","0","0"
"22039","","","","0","","","22","22","0",""
"22040","","","","0","","","93","22","0.4",""
"32001","riri_idle_look","2.2","20","1","-230","0","5","32","1","52"
"32002","clear_book_read","2.2","-140","2","-255","0","5","32","2","58"
"32003","joy_idle_precia","2.2","270","3","-245","1","5","32","3","55"
"32004","","0","1","1","0","0","6","32","1","1"
"32005","","0","1","1","0","0","6","32","2","1"
"32006","","0","1","1","0","0","6","32","3","1"
"32007","black","1","50","0","0","0","5","32","0","29"
"32008","","0","1","1","0","0","6","32","0","1"
"32009","","","","","","","91","32","0",""
"32010","","0.2","1","1","1","0","6","32","1","1"
"32011","","0.2","1","1","1","0","6","32","2","1"
"32012","","0.2","1","1","1","0","6","32","3","1"
"32013","","0.2","1","1","1","0","6","32","0","1"
"32014","","","0.3","-30","2","","2","32","1","-230"
"32015","","","0.3","-190","2","","2","32","2","-255"
"32016","","","0.3","220","2","","2","32","3","-245"
"32017","","","0.3","0","2","","2","32","0","0"
"32018","","","","0","","","93","32","0.6",""
"32019","","0.2","","clear_book_talk","","","3","32","2","1"
"32020","","","0","vo_asb_0321","","","21","32","vo_asb","0"
"32021","0","0","1","この牛さんの絵、\n上手すぎませんか！？","1","0","11","32","2","10"
"32022","","","0","","","","91","32","0","0"
"32023","","0.4","","clear_book_idle","","","3","32","2","1"
"32024","","0.2","","riri_talk_look","","","3","32","1","1"
"32025","","","0","vo_asb_0322","","","21","32","vo_asb","0"
"32026","0","0","1","プレシアさん作です。\n彼女は天才タイプなので。","1","0","11","32","1","10"
"32027","","","0","","","","91","32","0","0"
"32028","","0.2","","riri_idle_look","","","3","32","1","1"
"32029","","0.1","clear_talk2_noShy","clear_bookToTalk2","1","0","3","32","2","0"
"32030","","","0","vo_asb_0323","","","21","32","vo_asb","0"
"32031","0","0","1","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","1","0","11","32","2","10"
"32032","","","0","","","","91","32","0","0"
"32033","","0.1","idle_talkjoy2","talk2ToIdle_talkjoy2","1","0","3","32","2","0"
"32034","","0.2","","sad_talk_joy2R","","","3","32","1","1"
"32035","","","0","vo_asb_0324","","","21","32","vo_asb","0"
"32036","0","0","1","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","1","0","11","32","1","10"
"32037","","","0","","","","91","32","0","0"
"32038","","0.2","","sad_idle_normal_riri","","","3","32","1","1"
"32039","","0.2","","idle","","","3","32","2","1"
"32040","","0.3","","talk_precia","","","3","32","3","1"
"32041","","","0","vo_asb_0325","","","21","32","vo_asb","0"
"32042","0","0","1","みたい？","1","0","11","32","3","10"
"32043","","","0","","","","91","32","0","0"
"32044","","0.3","","joy_idle_precia","","","3","32","3","1"
"32045","","0.2","","guts2_talk_riri","","","3","32","1","1"
"32046","","0.2","","clear_hope_talk","","","3","32","2","1"
"32047","","","0","vo_asb_0326","","","21","32","vo_asb","0"
"32048","0","0","1","ぜひっ。","1","0","11","32","1","10"
"32049","","","0","","","","91","32","0","0"
"32050","","0.2","","guts2_idle_riri","","","3","32","1","1"
"32051","","0.2","","clear_hope_idle","","","3","32","2","1"
"32052","","0.2","cool_idle","cool_in","1","0","3","32","3","0"
"32053","","","0","vo_asb_0327","","","21","32","vo_asb","0"
"32054","0","0","1","びしっ。","1","0","11","32","3","10"
"32055","","","0","","","","91","32","0","0"
"32056","","0.2","cool_idle_doya","cool_idle_doya_in","1","0.1","3","32","3","0"
"32057","","0.2","","guts2_idle_joy_riri","","","3","32","1","1"
"32058","","0.2","","clear_hope_joy","","","3","32","2","1"
"32059","","","0","vo_asb_0328","","","21","32","vo_asb","0"
"32060","0","-85","1","わぁ～♪","1","-22","11","32","1","10"
"32061","","","0","","","","91","32","0","0"
"32062","","","","","","","101","32","32063",""
"32063","","0.3","1","1","0","0","6","32","1","1"
"32064","","0.3","1","1","0","0","6","32","2","1"
"32065","","0.3","1","1","0","0","6","32","3","1"
"32066","","0.3","1","1","0","0","6","32","0","1"
"32067","","","0.3","-130","1","","2","32","1","-230"
"32068","","","0.3","-290","1","","2","32","2","-255"
"32069","","","0.3","120","1","","2","32","3","-245"
"32070","","","0.3","-100","1","","2","32","0","0"
"32071","","","","0","","","22","32","0",""
"32072","","","","0","","","93","32","0.4",""
"42001","clear_wish_talk_joy_noShy","2.2","30","1","-250","0","5","42","2","52"
"42002","","0","1","1","0","0","6","42","1","1"
"42003","black","1","50","0","0","0","5","42","0","29"
"42004","","0","1","1","0","0","6","42","0","1"
"42005","","","","","","","91","42","0",""
"42006","","0.2","1","1","1","0","6","42","1","1"
"42007","","0.2","1","1","1","0","6","42","0","1"
"42008","","","0.3","-20","2","","2","42","1","-250"
"42009","","","0.3","0","2","","2","42","0","0"
"42010","","","","0","","","93","42","0.6",""
"42011","","","0","vo_asb_0421","","","21","42","vo_asb","0"
"42012","0","0","1","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","1","0","11","42","1","10"
"42013","","","0","","","","91","42","0","0"
"42014","","0.1","","clear_talk_normal","","","3","42","1","1"
"42015","","","0","vo_asb_0422","","","21","42","vo_asb","0"
"42016","0","0","1","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","1","0","11","42","1","10"
"42017","","","0","","","","91","42","0","0"
"42018","","0.2","clear_kohon_loop","clear_kohon_in","1","0","3","42","1","0"
"42019","","","0","vo_asb_0423","","","21","42","vo_asb","0"
"42020","0","0","1","…………\n……こほん。","1","0","11","42","1","10"
"42021","","","0","","","","91","42","0","0"
"42022","","0.2","clear_speak2_talk","clear_imitation_in","1","0","3","42","1","0"
"42023","","","0","vo_asb_0424","","","21","42","vo_asb","0"
"42024","0","0","1","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","1","0","11","42","1","10"
"42025","","","0","","","","91","42","0","0"
"42026","","0.3","clear_surprise_talk_red","clear_surprise_in_red","1","0","3","42","1","0"
"42027","","","0","vo_asb_0425","","","21","42","vo_asb","0"
"42028","0","0","1","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","1","0","11","42","1","10"
"42029","","","0","","","","91","42","0","0"
"42030","","0.2","","clear_wish_talk_pain_red","","","3","42","1","1"
"42031","","","0","vo_asb_0426","","","21","42","vo_asb","0"
"42032","0","0","1","色んな意味で、まだまだです……っ！","1","0","11","42","1","10"
"42033","","","0","","","","91","42","0","0"
"42034","","","","","","","101","42","42035",""
"42035","","0.3","1","1","0","0","6","42","1","1"
"42036","","0.3","1","1","0","0","6","42","0","1"
"42037","","","0.3","-120","1","","2","42","1","-250"
"42038","","","0.3","-100","1","","2","42","0","0"
"42039","","","","0","","","22","42","0",""
"42040","","","","0","","","93","42","0.4",""
"52001","dance_riri","2.2","70","1","-243","0","5","52","1","55"
"52002","dance_clear","2.2","320","2","-245","1","5","52","2","52"
"52003","dance_precia","2.2","-90","3","-255","0","5","52","3","58"
"52004","","0","1","1","0","0","6","52","1","1"
"52005","","0","1","1","0","0","6","52","2","1"
"52006","","0","1","1","0","0","6","52","3","1"
"52007","black","1","50","0","0","0","5","52","0","29"
"52008","","0","1","1","0","0","6","52","0","1"
"52009","","","","","","","91","52","0",""
"52010","","0.1","","dance_riri","","","3","52","1","0"
"52011","","0.1","idle","dance_clear","1","0","3","52","2","0"
"52012","","0.1","idle_precia","dance_precia","1","0","3","52","3","0"
"52013","","0.2","1","1","1","0","6","52","1","1"
"52014","","0.2","1","1","1","0","6","52","2","1"
"52015","","0.2","1","1","1","0","6","52","3","1"
"52016","","0.2","1","1","1","0","6","52","0","1"
"52017","","","0.3","-30","2","","2","52","1","-243"
"52018","","","0.3","220","2","","2","52","2","-245"
"52019","","","0.3","-190","2","","2","52","3","-255"
"52020","","","0.3","0","2","","2","52","0","0"
"52021","","","","0","","","93","52","0.6",""
"52022","","","0","vo_asb_0521","","","21","52","vo_asb","0"
"52023","0.15","0","0","くいっく、くいっく、すろー。","0","0","11","52","3","26"
"52024","","","0","","","","91","52","0","0"
"52025","","","0","vo_asb_0522","","","21","52","vo_asb","0"
"52026","0.75","0","0","ターンエン、ターンエン、\nクイッククイックスロー！","0","0","11","52","1","10"
"52027","","","","","","","91","52","52010",""
"52028","","0.1","","idle","","","3","52","1","1"
"52029","","","","0","","","93","52","0.2",""
"52030","","0.1","talk_joy","smile_riri","1","0.2","3","52","1","0"
"52031","","","0","vo_asb_0523","","","21","52","vo_asb","0"
"52032","0","0","1","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","1","0","11","52","1","10"
"52033","","","","","","","91","52","0",""
"52034","","0.2","","riri_idle","","","3","52","1","1"
"52035","","0.2","","clear_talk2_noShy","","","3","52","2","1"
"52036","","","0","vo_asb_0524","","","21","52","vo_asb","0"
"52037","0","0","1","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","1","0","11","52","2","10"
"52038","","","0","","","","91","52","0","0"
"52039","","0.2","idle","talk2ToIdle","1","0","3","52","2","0"
"52040","","0.2","","riri_talk","","","3","52","1","1"
"52041","","","0","vo_asb_0525","","","21","52","vo_asb","0"
"52042","0","0","1","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","1","0","11","52","1","10"
"52043","","","0","","","","91","52","0","0"
"52044","","0.2","","riri_idle_look","","","3","52","1","1"
"52045","","0.2","","idle_talkjoy2","","","3","52","2","1"
"52046","","0.3","","talk_precia","","","3","52","3","1"
"52047","","","0","vo_asb_0526","","","21","52","vo_asb","0"
"52048","0","0","1","はんようせい。\nありすぎ。","1","0","11","52","3","10"
"52049","","","0","","","","91","52","0","0"
"52050","","","","","","","101","52","52051",""
"52051","","0.3","1","1","0","0","6","52","1","1"
"52052","","0.3","1","1","0","0","6","52","2","1"
"52053","","0.3","1","1","0","0","6","52","3","1"
"52054","","0.3","1","1","0","0","6","52","0","1"
"52055","","","0.3","-130","1","","2","52","1","-230"
"52056","","","0.3","120","1","","2","52","2","-245"
"52057","","","0.3","-290","1","","2","52","3","-255"
"52058","","","0.3","-100","1","","2","52","0","0"
"52059","","","","0","","","22","52","0",""
"52060","","","","0","","","93","52","0.4",""
"62001","talk_joy","2.2","30","1","-250","0","5","62","1","52"
"62002","","0","1","1","0","0","6","62","1","1"
"62003","black","1","50","0","0","0","5","62","0","29"
"62004","","0","1","1","0","0","6","62","0","1"
"62005","","","","","","","91","62","0",""
"62006","","0.2","1","1","1","0","6","62","1","1"
"62007","","0.2","1","1","1","0","6","62","0","1"
"62008","","","0.3","-20","2","","2","62","1","-250"
"62009","","","0.3","0","2","","2","62","0","0"
"62010","","","","0","","","93","62","0.6",""
"62011","","","0","vo_asb_0621","","","21","62","vo_asb","0"
"62012","0","0","1","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","1","0","11","62","1","10"
"62013","","","0","","","","91","62","0","0"
"62014","","0.2","","wish_talk_joyR_riri","","","3","62","1","1"
"62015","","","0","vo_asb_0622","","","21","62","vo_asb","0"
"62016","0","0","1","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","1","0","11","62","1","10"
"62017","","","0","","","","91","62","0","0"
"62018","","0.3","","memoly_talk_joy","","","3","62","1","1"
"62019","","","0","vo_asb_0623","","","21","62","vo_asb","0"
"62020","0","0","1","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","1","0","11","62","1","10"
"62021","","","0","","","","91","62","0","0"
"62022","","0.2","","sad_talk2_dere","","","3","62","1","1"
"62023","","","0","vo_asb_0624","","","21","62","vo_asb","0"
"62024","0","0","1","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","1","0","11","62","1","10"
"62025","","","0","","","","91","62","0","0"
"62026","","0.3","","wish_talk_nervous_riri","","","3","62","1","1"
"62027","","","0","vo_asb_0625","","","21","62","vo_asb","0"
"62028","0","0","1","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","1","0","11","62","1","10"
"62029","","","0","","","","91","62","0","0"
"62030","","","","","","","101","62","62031",""
"62031","","0.3","1","1","0","0","6","62","1","1"
"62032","","0.3","1","1","0","0","6","62","0","1"
"62033","","","0.3","-120","1","","2","62","1","-250"
"62034","","","0.3","-100","1","","2","62","0","0"
"62035","","","","0","","","22","62","0",""
"62036","","","","0","","","93","62","0.4",""
"72001","idle","2.2","30","1","-250","0","5","72","2","52"
"72002","","0","1","1","0","0","6","72","1","1"
"72003","black","1","50","0","0","0","5","72","0","29"
"72004","","0","1","1","0","0","6","72","0","1"
"72005","","","","","","","91","72","0",""
"72006","","0.2","1","1","1","0","6","72","1","1"
"72007","","0.2","1","1","1","0","6","72","0","1"
"72008","","","0.3","-20","2","","2","72","1","-250"
"72009","","","0.3","0","2","","2","72","0","0"
"72010","","","","0","","","93","72","0.6",""
"72011","","0.2","","clear_talk_normal","","","3","72","1","1"
"72012","","","0","vo_asb_0721","","","21","72","vo_asb","0"
"72013","0","0","1","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","1","0","11","72","1","10"
"72014","","","0","","","","91","72","0","0"
"72015","","0.2","","clear_kohon_talk_surprise","","","3","72","1","1"
"72016","","","0","vo_asb_0722","","","21","72","vo_asb","0"
"72017","0","0","1","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","1","0","11","72","1","10"
"72018","","","0","","","","91","72","0","0"
"72019","","0.2","","clear_talk2_noShy","","","3","72","1","1"
"72020","","","0","vo_asb_0723","","","21","72","vo_asb","0"
"72021","0","0","1","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","1","0","11","72","1","10"
"72022","","","0","","","","91","72","0","0"
"72023","","0.2","clear_wish_talk_joy","talk2ToWish","1","0","3","72","1","0"
"72024","","","0","vo_asb_0724","","","21","72","vo_asb","0"
"72025","0","0","1","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","1","0","11","72","1","10"
"72026","","","0","","","","91","72","0","0"
"72027","","0.2","","clear_talk2_nervous","","","3","72","1","1"
"72028","","","0","vo_asb_0725","","","21","72","vo_asb","0"
"72029","0","0","1","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","1","0","11","72","1","10"
"72030","","","0","","","","91","72","0","0"
