2ea675b7755e760dac895e15706562c9b4fa0681ffe21b69c7cd5772932f788b,adac5f3c1061785526d7e618f20fbed29efac22b78b166b3d32e440fd3b39896,d237d600d7885febbd2017f062f4e8337671d8a2f271078d7a8a9b9502bf753b,8707f7d4594c899b7c807034b942bb55f288d65564d5b2b84d24f4f28ccb78be,e4ebd0641889f674d46fdbc9146ac7f6156b8b88ce5e323097811d5c23323c35,8fe1c7cf7b3dddfcba123a77b3dae292341cb1d62587bec33fbcaa5aba7164f7,4dc25ee52af1d5b8d965bd5c6f620c50a6772f5804b446309dda2cb6766fcb3f,0621d82eca0fe946d99e61c3c775e08783acb06420dd3ebad133ce8215c5f1ff
"【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3","0","0","1","127801","11018","1018"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","0","0","1","104801","11019","1019"
"【仲間】ダイスの目を2回振りなおせる","3","0","0","1","104701","11020","1020"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","0","0","1","105001","11021","1021"
"【仲間】最大2000マイルを入手する","3","0","0","1","103201","11022","1022"
"【仲間】福引券を1枚入手する","3","0","0","1","130901","11023","1023"
"【仲間】料理を1つ入手する","3","0","0","1","102501","11024","1024"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","3","0","0","1","100801","11025","1025"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","0","0","1","123301","11026","1026"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","0","0","1","104601","11027","1027"
"【仲間】ダイスの目を2回振りなおせる","3","0","0","1","118101","11028","1028"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","0","0","1","103401","11029","1029"
"【仲間】最大2000マイルを入手する","3","0","0","1","118001","11030","1030"
"【仲間】福引券を1枚入手する","3","0","0","1","102801","11031","1031"
"【仲間】料理を1つ入手する","3","0","0","1","100201","11032","1032"
