83a79edc88375abc5602f04b82096bd46069ae33fbf87ba1d846c22954dd34b3,f9b1b5a4a355c2054b8907061f0241f05dd9fea74555384a8e8e4a0a15ccc5b3,e3134d2e44a50d09f7b3ad0476e959a26cb12b3338be8de7abec6306d4589f80,bea4568be2a2e16d08decf4f7d1a798db09671476035352c839e2a33f9b2f16f,4aba4cb02888a172941f54b7d834c4be9c07448e4689a544d98485c35d1b0029,8f81ade916e81d9e9ad7b5273f579a6564eb701b03589179dd3aa794352522c1,1f3148a4e980a6cf781f17914d659c5f3da07c7652d77938cd8e015c25bb8791,42da21efc103c69bd136d3874a072c0db5501b97136e09e24de62dc696a8986d,c4dcdf41d7641284c12a545dee5ce83494409d5942072589bf21376f2ee6cc40,b4c53ac9f975b77d97d43df0a796a4aa17ded6d549edf2afcb42ba30ecba356d,59f3132a13e7209fbcec359b226b6c4cd3f19261de4b2095cd90138d9ae9bcb4
"1002001","1","0","-500","2","52","-240","<weapon>_idle","211","0.68","102110015"
"1002002","1","0","-570","2","51","-165","<weapon>_idle","211","0.68","102110016"
"1002003","1","0","-640","2","53","-255","<weapon>_idle","211","0.68","102110017"
"1002004","1","0","-710","2","51","-165","<weapon>_idle","211","0.68","102110018"
"1002005","1","0","-780","2","52","-240","<weapon>_idle","211","0.68","102110019"
"1002001","31","0","-240","10012","-500","0.68","","211","1","102110020"
"1002002","31","0","-165","10012","-570","0.68","","211","1","102110021"
"1002003","31","0","-255","10012","-640","0.68","","211","1","102110022"
"1002004","31","0","-165","10012","-710","0.68","","211","1","102110023"
"1002005","31","0","-240","10012","-780","0.68","","211","1","102110024"
"10030","31","","0","10030","0","1","","211","0","102110025"
"10031","31","","0","10031","0","1","","211","0","102110026"
"0","91","","","","","","","211","","102110027"
"1","32","","","10030","","","","211","","102110028"
"0","91","","","0","","","","211","","102110029"
"<weapon>_run","3","","","1001001","1","0","","211","0","102110030"
"<weapon>_run","3","","","1001002","1","0","","211","0","102110031"
"<weapon>_run","3","","","1001003","1","0","","211","0","102110032"
"<weapon>_run","3","","","1001004","1","0","","211","0","102110033"
"<weapon>_run","3","","","1001005","1","0","","211","0","102110034"
"850","2","","3","1001001","-90","0","","211","","102110035"
"780","2","","3","1001002","-15","0","","211","","102110036"
"710","2","","3","1001003","-105","0","","211","","102110037"
"640","2","","3","1001004","-15","0","","211","","102110038"
"570","2","","3","1001005","-90","0","","211","","102110039"
"850","33","","3","1001001","-90","0","","211","","102110040"
"780","33","","3","1001002","-15","0","","211","","102110041"
"710","33","","3","1001003","-105","0","","211","","102110042"
"640","33","","3","1001004","-15","0","","211","","102110043"
"570","33","","3","1001005","-90","0","","211","","102110044"
"<weapon>_run","3","","","1002001","1","0","","211","0","102110045"
"<weapon>_run","3","","","1002002","1","0","","211","0","102110046"
"<weapon>_run","3","","","1002003","1","0","","211","0","102110047"
"<weapon>_run","3","","","1002004","1","0","","211","0","102110048"
"<weapon>_run","3","","","1002005","1","0","","211","0","102110049"
"450","2","","3","1002001","-240","0","","211","","102110050"
"380","2","","3","1002002","-165","0","","211","","102110051"
"310","2","","3","1002003","-255","0","","211","","102110052"
"240","2","","3","1002004","-165","0","","211","","102110053"
"170","2","","3","1002005","-240","0","","211","","102110054"
"450","33","","3","1002001","-240","0","","211","","102110055"
"380","33","","3","1002002","-165","0","","211","","102110056"
"310","33","","3","1002003","-255","0","","211","","102110057"
"240","33","","3","1002004","-165","0","","211","","102110058"
"170","33","","3","1002005","-240","0","","211","","102110059"
"1","32","","","10020","","","","211","","102110060"
"0","93","","","2.5","","","","211","","102110061"
"1","32","","","10031","","","","211","","102110062"
"0","93","","","0.4","","","","211","","102110063"
"0","91","","","0","","","","211","","102110064"
"se_travel_start_3pt","23","","","se_travel","0","","","311","","103110001"
"10010","31","","0","10010","0","1","","311","1","103110002"
"10011","31","","0","10011","0","1","","311","1","103110003"
"10020","31","","0","10020","0","1","","311","0","103110004"
"1001001","1","0","0","2","62","-240","<weapon>_idle","311","0.68","103110005"
"1001002","1","0","-70","2","61","-165","<weapon>_idle","311","0.68","103110006"
"1001003","1","0","-140","2","63","-255","<weapon>_idle","311","0.68","103110007"
"1001004","1","0","-210","2","61","-165","<weapon>_idle","311","0.68","103110008"
"1001005","1","0","-280","2","62","-240","<weapon>_idle","311","0.68","103110009"
"1001001","31","0","-240","10012","0","0.68","","311","1","103110010"
"1001002","31","0","-165","10012","-70","0.68","","311","1","103110011"
"1001003","31","0","-255","10012","-140","0.68","","311","1","103110012"
"1001004","31","0","-165","10012","-210","0.68","","311","1","103110013"
"1001005","31","0","-240","10012","-280","0.68","","311","1","103110014"
"1002001","1","0","-250","2","52","-60","<weapon>_idle","311","0.68","103110015"
"1002002","1","0","-320","2","51","15","<weapon>_idle","311","0.68","103110016"
"1002003","1","0","-390","2","53","-75","<weapon>_idle","311","0.68","103110017"
"1002004","1","0","-460","2","51","15","<weapon>_idle","311","0.68","103110018"
"1002005","1","0","-530","2","52","-60","<weapon>_idle","311","0.68","103110019"
"1002001","31","0","-60","10012","-250","0.68","","311","1","103110020"
"1002002","31","0","15","10012","-320","0.68","","311","1","103110021"
"1002003","31","0","-75","10012","-390","0.68","","311","1","103110022"
"1002004","31","0","15","10012","-460","0.68","","311","1","103110023"
"1002005","31","0","-60","10012","-530","0.68","","311","1","103110024"
"1003001","1","0","-500","2","62","-250","<weapon>_idle","311","0.68","103110025"
"1003002","1","0","-570","2","61","-175","<weapon>_idle","311","0.68","103110026"
"1003003","1","0","-640","2","63","-265","<weapon>_idle","311","0.68","103110027"
"1003004","1","0","-710","2","61","-175","<weapon>_idle","311","0.68","103110028"
"1003005","1","0","-780","2","62","-250","<weapon>_idle","311","0.68","103110029"
"1003001","31","0","-250","10012","-500","0.68","","311","1","103110030"
"1003002","31","0","-175","10012","-570","0.68","","311","1","103110031"
"1003003","31","0","-265","10012","-640","0.68","","311","1","103110032"
"1003004","31","0","-175","10012","-710","0.68","","311","1","103110033"
"1003005","31","0","-250","10012","-780","0.68","","311","1","103110034"
"10030","31","","0","10030","0","1","","311","0","103110035"
"10031","31","","0","10031","0","1","","311","0","103110036"
"0","91","","","","","","","311","","103110037"
"1","32","","","10030","","","","311","","103110038"
"0","91","","","0","","","","311","","103110039"
"<weapon>_run","3","","","1001001","1","0","","311","0","103110040"
"<weapon>_run","3","","","1001002","1","0","","311","0","103110041"
"<weapon>_run","3","","","1001003","1","0","","311","0","103110042"
"<weapon>_run","3","","","1001004","1","0","","311","0","103110043"
"<weapon>_run","3","","","1001005","1","0","","311","0","103110044"
"950","2","","3","1001001","-240","0","","311","","103110045"
"880","2","","3","1001002","-165","0","","311","","103110046"
"810","2","","3","1001003","-255","0","","311","","103110047"
"740","2","","3","1001004","-165","0","","311","","103110048"
"670","2","","3","1001005","-240","0","","311","","103110049"
"950","33","","3","1001001","-240","0","","311","","103110050"
"880","33","","3","1001002","-165","0","","311","","103110051"
"810","33","","3","1001003","-255","0","","311","","103110052"
"740","33","","3","1001004","-165","0","","311","","103110053"
"670","33","","3","1001005","-240","0","","311","","103110054"
"<weapon>_run","3","","","1002001","1","0","","311","0","103110055"
"<weapon>_run","3","","","1002002","1","0","","311","0","103110056"
"<weapon>_run","3","","","1002003","1","0","","311","0","103110057"
"<weapon>_run","3","","","1002004","1","0","","311","0","103110058"
"<weapon>_run","3","","","1002005","1","0","","311","0","103110059"
"700","2","","3","1002001","-60","0","","311","","103110060"
"630","2","","3","1002002","15","0","","311","","103110061"
"560","2","","3","1002003","-75","0","","311","","103110062"
"490","2","","3","1002004","15","0","","311","","103110063"
"420","2","","3","1002005","-60","0","","311","","103110064"
"700","33","","3","1002001","-60","0","","311","","103110065"
"630","33","","3","1002002","15","0","","311","","103110066"
"560","33","","3","1002003","-75","0","","311","","103110067"
"490","33","","3","1002004","15","0","","311","","103110068"
"420","33","","3","1002005","-60","0","","311","","103110069"
"<weapon>_run","3","","","1003001","1","0","","311","0","103110070"
"<weapon>_run","3","","","1003002","1","0","","311","0","103110071"
"<weapon>_run","3","","","1003003","1","0","","311","0","103110072"
"<weapon>_run","3","","","1003004","1","0","","311","0","103110073"
"<weapon>_run","3","","","1003005","1","0","","311","0","103110074"
"450","2","","3","1003001","-250","0","","311","","103110075"
"380","2","","3","1003002","-175","0","","311","","103110076"
"310","2","","3","1003003","-265","0","","311","","103110077"
"240","2","","3","1003004","-175","0","","311","","103110078"
"170","2","","3","1003005","-250","0","","311","","103110079"
"450","33","","3","1003001","-250","0","","311","","103110080"
"380","33","","3","1003002","-175","0","","311","","103110081"
"310","33","","3","1003003","-265","0","","311","","103110082"
"240","33","","3","1003004","-175","0","","311","","103110083"
"170","33","","3","1003005","-250","0","","311","","103110084"
"1","32","","","10020","","","","311","","103110085"
"0","93","","","2.5","","","","311","","103110086"
"1","32","","","10031","","","","311","","103110087"
"0","93","","","0.4","","","","311","","103110088"
"0","91","","","0","","","","311","","103110089"
