875c37cfe2932885425984fdc174447e09519f9465cded52513ea15c278ba672,28d0bac316ffb0a2138bdb9d0420d4ccd1db5b57b86f98be4eda4bedca0c909b,1dadefd61ef15b86b2f8cf46e884c5252f67455c1d5757e50d6f74fd12a89f31,3df3573feab3dd4171629e09c2e17fe1ed522b6c4e42495deb890b0f822a7809,f7ab5dcd4c496487be2977c1c67ff7b661dc1633f8ee4680cbb62148eb092ae5,9654bfd965ab9626794bc5ee942f30f501ee7a9e4690130154eb06cf5c3399a6
"15","1001","1","11001191","99001191","359"
"8","0","30","91002","99001191","360"
"15","1002","1","11001192","99001192","361"
"8","0","30","91002","99001192","362"
"15","1003","1","11001193","99001193","363"
"8","0","30","91002","99001193","364"
"15","1001","1","11001194","99001194","365"
"8","0","30","91002","99001194","366"
"15","1001","1","11001195","99001195","367"
"8","0","30","91002","99001195","368"
"15","1002","1","11001196","99001196","369"
"8","0","30","91002","99001196","370"
"15","1003","1","11001197","99001197","371"
"8","0","30","91002","99001197","372"
"15","1002","1","11001198","99001198","373"
"15","1003","1","11001199","99001199","374"
"15","1001","1","11001200","99001200","375"
"8","0","30","91002","99001200","376"
"15","1001","1","11001201","99001201","377"
"8","0","30","91002","99001201","378"
"15","1002","1","11001202","99001202","379"
"8","0","30","91002","99001202","380"
"15","1003","1","11001203","99001203","381"
"8","0","30","91002","99001203","382"
"15","1003","1","11001204","99001204","383"
"15","1001","1","11001205","99001205","384"
"8","0","30","91002","99001205","385"
"15","1001","1","11001206","99001206","386"
"8","0","30","91002","99001206","387"
"15","1002","1","11001207","99001207","388"
"8","0","30","91002","99001207","389"
"15","1003","1","11001208","99001208","390"
"8","0","30","91002","99001208","391"
"15","1001","1","11001209","99001209","392"
"8","0","30","91002","99001209","393"
"15","1001","1","11001210","99001210","394"
"8","0","30","91002","99001210","395"
"15","1002","1","11001211","99001211","396"
"8","0","30","91002","99001211","397"
"15","1003","1","11001212","99001212","398"
"8","0","30","91002","99001212","399"
"15","1001","1","11001213","99001213","400"
"8","0","30","91002","99001213","401"
"15","1001","1","11001214","99001214","402"
"8","0","30","91002","99001214","403"
"15","1002","1","11001215","99001215","404"
"8","0","30","91002","99001215","405"
"15","1003","1","11001216","99001216","406"
"8","0","30","91002","99001216","407"
"15","1001","1","11001217","99001217","408"
"8","0","30","91002","99001217","409"
"15","1001","1","11001218","99001218","410"
"8","0","30","91002","99001218","411"
"15","1002","1","11001219","99001219","412"
"8","0","30","91002","99001219","413"
"15","1003","1","11001220","99001220","414"
"8","0","30","91002","99001220","415"
"15","1001","1","11001221","99001221","416"
"8","0","30","91002","99001221","417"
"15","1001","1","11001222","99001222","418"
"8","0","30","91002","99001222","419"
"15","1002","1","11001223","99001223","420"
"8","0","30","91002","99001223","421"
"15","1003","1","11001224","99001224","422"
"8","0","30","91002","99001224","423"
"15","1001","1","11001225","99001225","424"
"8","0","30","91002","99001225","425"
"15","1001","1","11001226","99001226","426"
"8","0","30","91002","99001226","427"
"15","1002","1","11001227","99001227","428"
"8","0","30","91002","99001227","429"
"15","1003","1","11001228","99001228","430"
"8","0","30","91002","99001228","431"
"15","1001","1","11001229","99001229","432"
"8","0","30","91002","99001229","433"
"15","1001","1","11001230","99001230","434"
"8","0","30","91002","99001230","435"
"15","1002","1","11001231","99001231","436"
"8","0","30","91002","99001231","437"
"15","1003","1","11001232","99001232","438"
"8","0","30","91002","99001232","439"
"15","1001","1","11001233","99001233","440"
"8","0","30","91002","99001233","441"
"15","1001","1","11001234","99001234","442"
"8","0","30","91002","99001234","443"
"15","1002","1","11001235","99001235","444"
"8","0","30","91002","99001235","445"
"15","1003","1","11001236","99001236","446"
"8","0","30","91002","99001236","447"
"15","1001","1","11001237","99001237","448"
"8","0","30","91002","99001237","449"
"15","1001","1","11001238","99001238","450"
"8","0","30","91002","99001238","451"
"15","1002","1","11001239","99001239","452"
"8","0","30","91002","99001239","453"
"15","1003","1","11001240","99001240","454"
"8","0","30","91002","99001240","455"
"15","1001","1","11001241","99001241","456"
"8","0","30","91002","99001241","457"
"15","1001","1","11001242","99001242","458"
"8","0","30","91002","99001242","459"
"15","1002","1","11001243","99001243","460"
"8","0","30","91002","99001243","461"
"15","1003","1","11001244","99001244","462"
"8","0","30","91002","99001244","463"
"15","1001","1","11001245","99001245","464"
"8","0","30","91002","99001245","465"
"15","1001","1","11001246","99001246","466"
"8","0","30","91002","99001246","467"
"15","1002","1","11001247","99001247","468"
"8","0","30","91002","99001247","469"
"15","1003","1","11001248","99001248","470"
"8","0","30","91002","99001248","471"
"15","1003","1","11001249","99001249","472"
"15","1001","1","11001250","99001250","473"
"8","0","30","91002","99001250","474"
"15","1001","1","11001251","99001251","475"
"8","0","30","91002","99001251","476"
"15","1002","1","11001252","99001252","477"
"8","0","30","91002","99001252","478"
"15","1003","1","11001253","99001253","479"
"8","0","30","91002","99001253","480"
"15","1001","1","11001254","99001254","481"
"8","0","30","91002","99001254","482"
"15","1001","1","11001255","99001255","483"
"8","0","30","91002","99001255","484"
"15","1002","1","11001256","99001256","485"
"8","0","30","91002","99001256","486"
"15","1003","1","11001257","99001257","487"
"8","0","30","91002","99001257","488"
"15","1001","1","11001258","99001258","489"
"8","0","30","91002","99001258","490"
"15","1001","1","11001259","99001259","491"
"8","0","30","91002","99001259","492"
"15","1002","1","11001260","99001260","493"
"8","0","30","91002","99001260","494"
"15","1003","1","11001261","99001261","495"
"8","0","30","91002","99001261","496"
"15","1001","1","11001262","99001262","497"
"15","1001","1","11001263","99001263","498"
"15","1001","1","11001264","99001264","499"
"15","1002","1","11001265","99001265","500"
"15","1003","1","11001266","99001266","501"
"15","1001","1","11001267","99001267","502"
"8","0","30","91002","99001267","503"
"15","1001","1","11001268","99001268","504"
"8","0","30","91002","99001268","505"
"15","1002","1","11001269","99001269","506"
"8","0","30","91002","99001269","507"
"15","1003","1","11001270","99001270","508"
"8","0","30","91002","99001270","509"
"15","1003","1","11001271","99001271","510"
"15","1001","1","11001272","99001272","511"
"8","0","30","91002","99001272","512"
"15","1001","1","11001273","99001273","513"
"8","0","30","91002","99001273","514"
"15","1002","1","11001274","99001274","515"
"8","0","30","91002","99001274","516"
"15","1003","1","11001275","99001275","517"
"8","0","30","91002","99001275","518"
"15","1003","1","11001276","99001276","519"
"15","1001","1","11001277","99001277","520"
"8","0","30","91002","99001277","521"
"15","1001","1","11001278","99001278","522"
"8","0","30","91002","99001278","523"
"15","1002","1","11001279","99001279","524"
"8","0","30","91002","99001279","525"
"15","1003","1","11001280","99001280","526"
"8","0","30","91002","99001280","527"
"15","1001","1","11001281","99001281","528"
"8","0","30","91002","99001281","529"
"15","1001","1","11001282","99001282","530"
"8","0","30","91002","99001282","531"
"15","1002","1","11001283","99001283","532"
"8","0","30","91002","99001283","533"
"15","1003","1","11001284","99001284","534"
"8","0","30","91002","99001284","535"
"15","1003","1","11001285","99001285","536"
"15","1001","1","11001286","99001286","537"
"8","0","30","91002","99001286","538"
"15","1001","1","11001287","99001287","539"
"8","0","30","91002","99001287","540"
"15","1002","1","11001288","99001288","541"
"8","0","30","91002","99001288","542"
"15","1003","1","11001289","99001289","543"
"8","0","30","91002","99001289","544"
"15","1001","1","11001290","99001290","545"
"8","0","30","91002","99001290","546"
"15","1001","1","11001291","99001291","547"
"8","0","30","91002","99001291","548"
"15","1002","1","11001292","99001292","549"
"8","0","30","91002","99001292","550"
"15","1003","1","11001293","99001293","551"
"8","0","30","91002","99001293","552"
"15","1001","1","11001294","99001294","553"
"8","0","30","91002","99001294","554"
"15","1001","1","11001295","99001295","555"
"8","0","30","91002","99001295","556"
"15","1002","1","11001296","99001296","557"
"8","0","30","91002","99001296","558"
"15","1003","1","11001297","99001297","559"
"8","0","30","91002","99001297","560"
"15","1001","1","11001298","99001298","561"
"8","0","30","91002","99001298","562"
"15","1001","1","11001299","99001299","563"
"8","0","30","91002","99001299","564"
"15","1002","1","11001300","99001300","565"
"8","0","30","91002","99001300","566"
"15","1003","1","11001301","99001301","567"
"8","0","30","91002","99001301","568"
"15","1003","1","11001302","99001302","569"
"15","1003","1","11001303","99001303","570"
"15","1003","1","11001304","99001304","571"
"15","1001","1","11001305","99001305","572"
"8","0","30","91002","99001305","573"
"15","1001","1","11001306","99001306","574"
"8","0","30","91002","99001306","575"
"15","1002","1","11001307","99001307","576"
"8","0","30","91002","99001307","577"
"15","1003","1","11001308","99001308","578"
"8","0","30","91002","99001308","579"
"15","1001","1","11001309","99001309","580"
"8","0","30","91002","99001309","581"
"15","1001","1","11001310","99001310","582"
"8","0","30","91002","99001310","583"
"15","1002","1","11001311","99001311","584"
"8","0","30","91002","99001311","585"
"15","1003","1","11001312","99001312","586"
"8","0","30","91002","99001312","587"
"15","1003","1","11001313","99001313","588"
"15","1001","1","11001314","99001314","589"
"8","0","30","91002","99001314","590"
"15","1001","1","11001315","99001315","591"
"8","0","30","91002","99001315","592"
"15","1002","1","11001316","99001316","593"
"8","0","30","91002","99001316","594"
"15","1003","1","11001317","99001317","595"
"8","0","30","91002","99001317","596"
"15","1003","1","11001318","99001318","597"
"15","1001","1","11001319","99001319","598"
"8","0","30","91002","99001319","599"
"15","1001","1","11001320","99001320","600"
"8","0","30","91002","99001320","601"
"15","1002","1","11001321","99001321","602"
"8","0","30","91002","99001321","603"
"15","1003","1","11001322","99001322","604"
"8","0","30","91002","99001322","605"
"15","1003","1","11001323","99001323","606"
"15","1001","1","11001324","99001324","607"
"8","0","30","91002","99001324","608"
"15","1001","1","11001325","99001325","609"
"8","0","30","91002","99001325","610"
"15","1002","1","11001326","99001326","611"
"8","0","30","91002","99001326","612"
"15","1003","1","11001327","99001327","613"
"8","0","30","91002","99001327","614"
"15","1003","1","11001328","99001328","615"
"15","1001","1","11001329","99001329","616"
"8","0","30","91002","99001329","617"
"15","1001","1","11001330","99001330","618"
"8","0","30","91002","99001330","619"
"15","1002","1","11001331","99001331","620"
"8","0","30","91002","99001331","621"
"15","1003","1","11001332","99001332","622"
"8","0","30","91002","99001332","623"
"15","1001","1","11001333","99001333","624"
"8","0","30","91002","99001333","625"
"15","1001","1","11001334","99001334","626"
"8","0","30","91002","99001334","627"
"15","1002","1","11001335","99001335","628"
"8","0","30","91002","99001335","629"
"15","1003","1","11001336","99001336","630"
"8","0","30","91002","99001336","631"
"15","1002","1","11001337","99001337","632"
"15","1002","1","11001338","99001338","633"
"15","1003","1","11001339","99001339","634"
"15","1001","1","11001340","99001340","635"
"8","0","30","91002","99001340","636"
"15","1001","1","11001341","99001341","637"
"8","0","30","91002","99001341","638"
"15","1002","1","11001342","99001342","639"
"8","0","30","91002","99001342","640"
"15","1003","1","11001343","99001343","641"
"8","0","30","91002","99001343","642"
"15","1003","1","19901001","99900001","643"
"15","1003","1","19901002","99900002","644"
"15","1003","1","19901003","99900003","645"
"15","1001","1","11001344","99001344","646"
"8","0","30","91002","99001344","647"
"15","1001","1","11001345","99001345","648"
"8","0","30","91002","99001345","649"
"15","1002","1","11001346","99001346","650"
"8","0","30","91002","99001346","651"
"15","1003","1","11001347","99001347","652"
"8","0","30","91002","99001347","653"
"15","1003","1","19901004","99900004","654"
"15","1003","1","19901005","99900005","655"
"15","1003","1","19901006","99900006","656"
