cd5d384881ed7a0175a47fb7916dfac5cd03fcc51ed05eebefd28f57da0b815c,54dcc00afbb375a8328e3492f3a9c3aacbe4d3d2365b77e438bd0073bc6f1a6b,d84a2380f70a30a83e4d6314232bb3ac4dd37537e21ecb6e08fb06cc9b863eb9,6f6195d8dbc6a7010fa9ee49757f4bea46d1be6e19815a77453b841fe8b31347,92fced3b234f6e2e58610c431008354c89b1b2b6a1ca6f902a3e493d01e7b3de
"85","5","1054","0","250"
"86","1","1055","0","252"
"87","2","1055","0","253"
"88","3","1055","0","254"
"89","4","1055","0","255"
"90","5","1055","0","256"
"91","1","1056","0","258"
"92","2","1056","0","259"
"93","3","1056","0","260"
"94","4","1056","0","261"
"95","5","1056","0","262"
"96","1","1057","0","264"
"97","2","1057","0","265"
"98","3","1057","0","266"
"99","4","1057","0","267"
"100","5","1057","0","268"
"101","1","1058","0","270"
"102","2","1058","0","271"
"103","3","1058","0","272"
"104","4","1058","0","273"
"105","5","1058","0","274"
"106","1","1059","0","276"
"107","2","1059","0","277"
"108","3","1059","0","278"
"109","4","1059","0","279"
"110","5","1059","0","280"
"111","1","1060","0","282"
"112","2","1060","0","283"
"113","3","1060","0","284"
"114","4","1060","0","285"
"115","5","1060","0","286"
"116","1","1061","0","288"
"117","2","1061","0","289"
"118","3","1061","0","290"
"119","4","1061","0","291"
"120","5","1061","0","292"
"121","1","1063","0","294"
"122","2","1063","0","295"
"123","3","1063","0","296"
"124","4","1063","0","297"
"125","1","1064","0","299"
"126","2","1064","0","300"
"127","3","1064","0","301"
"128","4","1064","0","302"
"129","1","1065","0","304"
"130","2","1065","0","305"
"131","3","1065","0","306"
"132","4","1065","0","307"
"133","1","1066","0","308"
"134","2","1066","0","310"
"135","3","1066","0","311"
"136","4","1066","0","312"
"137","1","1067","0","313"
"138","2","1067","0","315"
"139","3","1067","0","316"
"140","4","1067","0","317"
"141","1","1068","0","318"
"142","2","1068","0","320"
"143","3","1068","0","321"
"144","4","1068","0","322"
"145","1","1069","0","323"
"146","2","1069","0","325"
"147","3","1069","0","326"
"148","4","1069","0","327"
"149","1","1070","0","328"
"150","2","1070","0","330"
"151","3","1070","0","331"
"152","4","1070","0","332"
"153","1","1071","0","333"
"154","2","1071","0","335"
"155","3","1071","0","336"
"156","4","1071","0","337"
"157","1","1072","0","338"
"158","2","1072","0","340"
"159","3","1072","0","341"
"160","4","1072","0","342"
"161","1","1073","0","343"
"162","2","1073","0","345"
"163","3","1073","0","346"
"164","4","1073","0","347"
"165","1","1074","0","348"
"166","2","1074","0","350"
"167","3","1074","0","351"
"168","4","1074","0","352"
"169","1","1075","0","353"
"170","2","1075","0","355"
"171","3","1075","0","356"
"172","4","1075","0","357"
"173","1","1076","0","358"
"174","2","1076","0","360"
"175","3","1076","0","361"
"176","4","1076","0","362"
"177","1","1077","0","363"
"178","2","1077","0","365"
"179","3","1077","0","366"
"180","4","1077","0","367"
"181","1","1078","0","368"
"182","2","1078","0","370"
"183","3","1078","0","371"
"184","4","1078","0","372"
"185","1","1079","0","373"
"186","2","1079","0","375"
"187","3","1079","0","376"
"188","4","1079","0","377"
"189","1","1080","0","378"
"190","2","1080","0","380"
"191","3","1080","0","381"
"192","4","1080","0","382"
"193","1","1081","0","383"
"194","2","1081","0","385"
"195","3","1081","0","386"
"196","4","1081","0","387"
"197","1","1082","0","388"
"198","2","1082","0","390"
"199","3","1082","0","391"
"200","4","1082","0","392"
