67eb4479210c7af4ac26ae3677508a4655b0d50862cddd9afd1728652ef21ffb,b91192de5440a9393ef0764179a776ccf76d490644535e3455b6132ed6b72e71,016c143b424c4978ed7bc0501380760eb652018b8e545e17b120ebab0161c919,62cffd8235651528af82ae401cce7430b192b1e956f2cb538855109455794b92,cbda460a4e7208d505876a85e7eadb4f6554d4fde9634a7106835f80847e7b5d,f8361de46a6d1bc88bffe6aaf171cc9f73bdc157b33d0af9fb3b4cfd9caf154d,f00972df97ed1d193ddba179700cf704d836eedc77cd89fce686481be76b544c,6ffc669231c0c5c14b5a60aa283981abfd54112fd34739354147a37f254a626f,be6635557e57d40fcd20a03ee77ad3c33b8e284e3d1fe3c056c2798694d6c860
"18000","4","12","","4500","94002","21600","","2"
"24000","4","12","","6000","94002","21600","","3"
"30000","4","12","","7500","94002","21600","","4"
"42000","4","12","","10500","94002","21600","","5"
"54000","4","12","","13500","94002","21600","","6"
"66000","4","12","","16500","94002","21600","","7"
"84000","4","12","","21000","94002","21600","","8"
"102000","4","12","","25500","94002","21600","","9"
"120000","4","12","","30000","94002","21600","","10"
"144000","4","12","","36000","94002","21600","","11"
"168000","4","12","","42000","94002","21600","","12"
"192000","4","12","","48000","94002","21600","","13"
"222000","4","12","","55500","94002","21600","","14"
"252000","4","12","","63000","94002","21600","","15"
"282000","4","12","","70500","94002","21600","","16"
"318000","4","12","","79500","94002","21600","","17"
"354000","4","12","","88500","94002","21600","","18"
"390000","4","12","","97500","94002","21600","","19"
"432000","4","12","","108000","94002","21600","","20"
"474000","4","12","","118500","94002","21600","","21"
"516000","4","12","","129000","94002","21600","","22"
"562000","4","12","","140500","94002","21600","","23"
"600000","4","12","","150000","94002","21600","","24"
"642000","4","12","","160500","94002","21600","","25"
"684000","4","12","","171000","94002","21600","","26"
"726000","4","12","","181500","94002","21600","","27"
"768000","4","12","","192000","94002","21600","","28"
"810000","4","12","","202500","94002","21600","","29"
"852000","4","12","","213000","94002","21600","","30"
"894000","4","12","","223500","94002","21600","","31"
"920000","4","12","","230000","94002","21600","","32"
"48","5","6","","12","93001","21600","","1"
"48","6","6","","12","93001","21600","","1"
"48","7","6","","12","93001","21600","","1"
"48","8","6","","12","93001","21600","","1"
"48","11","6","","12","93001","21600","","1"
"48","12","6","","12","93001","21600","","1"
"48","19","6","","12","93001","21600","","1"
"0","23","0","4999999999","1","0","0","14999999999","0"
"48","25","6","","12","93001","21600","","1"
"48","28","6","","12","93001","21600","","1"
"48","30","6","","12","93001","21600","","1"
