29f5a7acd9fe8f40f3bd2118de9da02091e9acb9f5fd5d01a678c03b97bc2aee,8101e33ad167479784018437ef3dff82ef55c324957dee918491b2d010b3355f,371f2236ea92e91afea391e68bffa98058736d892360c8641ed26f9f34af6e5b,9bcca0aefe469628c209672a80250c872228dd87dbd45c696a18a8f0745f1006,809885a92c81c017c954b607f6d3cad0b436d06fe00b75c3405dcd3062688ed3,434849ae866f0af54d28608f2ea03e8bb5bb6f9dc65dfc273ca94c30bd8f399f,6fd4fa5214362be228a0ecec8ba3b93b51193fff5d74e2c14d35cbb675841a74,66700cfcec0f6fd58ab58f692b36d4e97dd2fc95a2e6576d80e55728c9d84654,ed1bc886e1dbfccd78da93e57710d85f6d839c2c8f985bb5b6b172b030af722c,610386ff3923676bd9b6fd9b63485f397b270735ec6f81fd0ff22457b3ef4397,acedead0824f64e2cccf0c7dc29a168f1c70df75a530d57eed7090064ad1ecfc,8e0339dbc94bde6f10d808f600b392809b2dabf0926adf307b0aea638012c8da,01ce2f0ae3e7caf6d664057b696c29122409af9798b1ed3228905714030739de,13c2165e8938854d272346352ddcc796eaef58d025c09e30668cff7a3c0a3bcb
"4","3","1","1","5","-1","1","30","1","-1","7","1","1","1201"
"31","3","1","1","5","-1","1","60","1","-1","11","1","1","1202"
"61","3","1","1","5","-1","1","90","1","-1","15","1","1","1203"
"91","3","1","1","5","-1","1","120","1","-1","19","1","1","1204"
"121","3","1","1","5","-1","1","150","1","-1","23","1","1","1205"
"151","3","1","1","5","-1","1","180","1","-1","27","1","1","1206"
"181","3","1","1","5","-1","1","210","1","-1","29","1","1","1207"
"211","3","1","1","5","-1","1","240","1","-1","31","1","1","1208"
"241","3","1","1","5","-1","1","270","1","-1","31","1","1","1209"
"271","3","1","1","5","-1","1","300","1","-1","31","1","1","1210"
"301","3","1","1","5","-1","1","-1","1","-1","31","1","1","1211"
"4","4","1","1","5","-1","1","30","1","30","7","1","1","1301"
"31","4","1","1","5","-1","1","60","1","60","10","1","1","1302"
"61","4","1","1","5","-1","1","90","1","90","13","1","1","1303"
"91","4","1","1","5","-1","1","120","1","120","16","1","1","1304"
"121","4","1","1","5","-1","1","150","1","150","19","1","1","1305"
"151","4","1","1","5","-1","1","180","1","180","22","1","1","1306"
"181","4","1","1","5","-1","1","210","1","210","25","1","1","1307"
"211","4","1","1","5","-1","1","240","1","240","28","1","1","1308"
"241","4","1","1","5","-1","1","270","1","270","28","1","1","1309"
"271","4","1","1","5","-1","1","300","1","300","28","1","1","1310"
"301","4","1","1","5","-1","1","-1","1","310","28","1","1","1311"
"4","5","1","1","5","-1","1","30","1","-1","7","1","1","1401"
"31","5","1","1","5","-1","1","60","1","-1","10","1","1","1402"
"61","5","1","1","5","-1","1","90","1","-1","13","1","1","1403"
"91","5","1","1","5","-1","1","120","1","-1","16","1","1","1404"
"121","5","1","1","5","-1","1","150","1","-1","19","1","1","1405"
"151","5","1","1","5","-1","1","180","1","-1","22","1","1","1406"
"181","5","1","1","5","-1","1","210","1","-1","25","1","1","1407"
"211","5","1","1","5","-1","1","240","1","-1","28","1","1","1408"
"241","5","1","1","5","-1","1","270","1","-1","28","1","1","1409"
"271","5","1","1","5","-1","1","300","1","-1","28","1","1","1410"
"301","5","1","1","5","-1","1","-1","1","-1","28","1","1","1411"
"4","6","1","1","3","-1","1","30","1","-1","7","1","1","1501"
"31","6","1","1","3","-1","1","60","1","-1","10","1","1","1502"
"61","6","1","1","3","-1","1","90","1","-1","13","1","1","1503"
"91","6","1","1","3","-1","1","120","1","-1","16","1","1","1504"
"121","6","1","1","3","-1","1","150","1","-1","19","1","1","1505"
"151","6","1","1","3","-1","1","180","1","-1","22","1","1","1506"
"181","6","1","1","3","-1","1","210","1","-1","22","1","1","1507"
"211","6","1","1","3","-1","1","240","1","-1","22","1","1","1508"
"241","6","1","1","3","-1","1","270","1","-1","22","1","1","1509"
"271","6","1","1","3","-1","1","-1","1","-1","22","1","1","1510"
"4","7","1","1","6","5","1","30","1","30","7","1","1","1601"
"31","7","1","1","6","5","1","60","1","60","11","1","1","1602"
"61","7","1","1","6","5","1","90","1","90","15","1","1","1603"
"91","7","1","1","6","5","1","120","1","120","19","1","1","1604"
"121","7","1","1","6","5","1","150","1","150","23","1","1","1605"
"151","7","1","1","6","5","1","180","1","180","27","1","1","1606"
"181","7","1","1","6","5","1","210","1","210","29","1","1","1607"
"211","7","1","1","6","5","1","240","1","240","31","1","1","1608"
"241","7","1","1","6","5","1","270","1","270","31","1","1","1609"
"271","7","1","1","6","5","1","300","1","300","31","1","1","1610"
"301","7","1","1","6","5","1","-1","1","310","31","1","1","1611"
"4","8","1","1","5","5","1","30","1","30","7","1","1","1701"
"31","8","1","1","5","5","1","60","1","60","11","1","1","1702"
"61","8","1","1","5","5","1","90","1","90","15","1","1","1703"
"91","8","1","1","5","5","1","120","1","120","19","1","1","1704"
"121","8","1","1","5","5","1","150","1","150","23","1","1","1705"
"151","8","1","1","5","5","1","180","1","180","27","1","1","1706"
"181","8","1","1","5","5","1","210","1","210","29","1","1","1707"
"211","8","1","1","5","5","1","240","1","240","31","1","1","1708"
"241","8","1","1","5","5","1","270","1","270","31","1","1","1709"
"271","8","1","1","5","5","1","300","1","300","31","1","1","1710"
"301","8","1","1","5","5","1","-1","1","310","31","1","1","1711"
