f758b023c51a79dd93f465c6b82b0081f5acf9d1674df1eef23fd04a4fc1be60,6aceccfba116e7f401a29cc338372a6fc335c61b1709d1898692815dd690df1b,0879f7cf5cf339478814174ca64f3d58fe7a22b66b45160bd0060f92624985aa,ea9ba8ce680ac8b9615833d2f02b5c7b5baa896926f34da50f8bd6446bef2bc0,7aeb0f64b1154f74bc90690be48a3929ee1546d9ba464c5bb4300efc2640f0d7,6d31d85bacc3850fd245a5a6001c2df071bf3139168c497570d21aa1d634ea03,27d901cf5deca85dea6916658fe503311381213ea9d9046a489db25431b8199e,85d29ae17527981baea08ec75198fc7848b697381f3cd7be58c21df83b6eb531
"201","5","96010","2","10","31317","5","1500"
"202","10","96010","2","10","90005","5","2500"
"203","50","96010","4","10","140001","10","2500"
"204","10","96010","2","10","25001","10","1000"
"205","30","96010","4","10","150003","5","500"
"206","30","96010","4","10","150004","5","650"
"207","30","96010","4","10","150005","5","750"
"208","30","96010","4","10","150006","5","900"
"209","30","96010","4","10","150007","5","1000"
"210","30","96010","4","10","150008","5","1150"
"211","30","96010","4","10","150009","5","1300"
"212","500","96010","2","10","20004","5","2500"
"213","500","96010","2","10","22003","5","1000"
"214","100","96010","2","10","20004","0","1000"
"215","100","96010","2","10","22003","0","400"
