2e0d4f68db77b0db4c102b5fd3d05168f00f6971569a5fad0d52c9d6b824aa9c,4a5f273936ef450ca94b257413031b7b95cb8a817f7c2e27b825006eaf25c34e,9216a96d83a2fc93549cebbcdb4fd41d4f5dbb383402df353ac18ad27b1f86e2,46defb3f1a845cde2ed7f1ab38b0bc86ce65c570cab5692c5334b4e1ea650ffb
"3","10404","【デバッファー】デバフ強化Lv3","84403"
"4","10404","【デバッファー】デバフ強化Lv4","84404"
"5","10404","【デバッファー】デバフ強化Lv5","84405"
"1","10501","【ブースター】ＨＰアップLv1","85101"
"2","10501","【ブースター】ＨＰアップLv2","85102"
"3","10501","【ブースター】ＨＰアップLv3","85103"
"4","10501","【ブースター】ＨＰアップLv4","85104"
"5","10501","【ブースター】ＨＰアップLv5","85105"
"1","10502","【ブースター】物理防御力アップLv1","85201"
"2","10502","【ブースター】物理防御力アップLv2","85202"
"3","10502","【ブースター】物理防御力アップLv3","85203"
"4","10502","【ブースター】物理防御力アップLv4","85204"
"5","10502","【ブースター】物理防御力アップLv5","85205"
"1","10503","【ブースター】魔法防御力アップLv1","85301"
"2","10503","【ブースター】魔法防御力アップLv2","85302"
"3","10503","【ブースター】魔法防御力アップLv3","85303"
"4","10503","【ブースター】魔法防御力アップLv4","85304"
"5","10503","【ブースター】魔法防御力アップLv5","85305"
"1","10504","【ブースター】ＴＰチャージLv1","85401"
"2","10504","【ブースター】ＴＰチャージLv2","85402"
"3","10504","【ブースター】ＴＰチャージLv3","85403"
"4","10504","【ブースター】ＴＰチャージLv4","85404"
"5","10504","【ブースター】ＴＰチャージLv5","85405"
"1","10601","【ヒーラー】ＨＰアップLv1","86101"
"2","10601","【ヒーラー】ＨＰアップLv2","86102"
"3","10601","【ヒーラー】ＨＰアップLv3","86103"
"4","10601","【ヒーラー】ＨＰアップLv4","86104"
"5","10601","【ヒーラー】ＨＰアップLv5","86105"
"1","10602","【ヒーラー】物理防御力アップLv1","86201"
"2","10602","【ヒーラー】物理防御力アップLv2","86202"
"3","10602","【ヒーラー】物理防御力アップLv3","86203"
"4","10602","【ヒーラー】物理防御力アップLv4","86204"
"5","10602","【ヒーラー】物理防御力アップLv5","86205"
"1","10603","【ヒーラー】魔法防御力アップLv1","86301"
"2","10603","【ヒーラー】魔法防御力アップLv2","86302"
"3","10603","【ヒーラー】魔法防御力アップLv3","86303"
"4","10603","【ヒーラー】魔法防御力アップLv4","86304"
"5","10603","【ヒーラー】魔法防御力アップLv5","86305"
"1","10604","【ヒーラー】回復強化Lv1","86401"
"2","10604","【ヒーラー】回復強化Lv2","86402"
"3","10604","【ヒーラー】回復強化Lv3","86403"
"4","10604","【ヒーラー】回復強化Lv4","86404"
"5","10604","【ヒーラー】回復強化Lv5","86405"
"1","10701","【タンク】ＨＰアップLv1","87101"
"2","10701","【タンク】ＨＰアップLv2","87102"
"3","10701","【タンク】ＨＰアップLv3","87103"
"4","10701","【タンク】ＨＰアップLv4","87104"
"5","10701","【タンク】ＨＰアップLv5","87105"
"1","10702","【タンク】物理防御力アップLv1","87201"
"2","10702","【タンク】物理防御力アップLv2","87202"
"3","10702","【タンク】物理防御力アップLv3","87203"
"4","10702","【タンク】物理防御力アップLv4","87204"
"5","10702","【タンク】物理防御力アップLv5","87205"
"1","10703","【タンク】魔法防御力アップLv1","87301"
"2","10703","【タンク】魔法防御力アップLv2","87302"
"3","10703","【タンク】魔法防御力アップLv3","87303"
"4","10703","【タンク】魔法防御力アップLv4","87304"
"5","10703","【タンク】魔法防御力アップLv5","87305"
"1","10704","【タンク】状態異常抵抗Lv1","87401"
"2","10704","【タンク】状態異常抵抗Lv2","87402"
"3","10704","【タンク】状態異常抵抗Lv3","87403"
"4","10704","【タンク】状態異常抵抗Lv4","87404"
"5","10704","【タンク】状態異常抵抗Lv5","87405"
"1","10801","【ジャマー】ＨＰアップLv1","88101"
"2","10801","【ジャマー】ＨＰアップLv2","88102"
"3","10801","【ジャマー】ＨＰアップLv3","88103"
"4","10801","【ジャマー】ＨＰアップLv4","88104"
"5","10801","【ジャマー】ＨＰアップLv5","88105"
"1","10802","【ジャマー】攻撃力アップLv1","88201"
"2","10802","【ジャマー】攻撃力アップLv2","88202"
"3","10802","【ジャマー】攻撃力アップLv3","88203"
"4","10802","【ジャマー】攻撃力アップLv4","88204"
"5","10802","【ジャマー】攻撃力アップLv5","88205"
"1","10803","【ジャマー】状態異常命中Lv1","88301"
"2","10803","【ジャマー】状態異常命中Lv2","88302"
"3","10803","【ジャマー】状態異常命中Lv3","88303"
"4","10803","【ジャマー】状態異常命中Lv4","88304"
"5","10803","【ジャマー】状態異常命中Lv5","88305"
"1","10804","【ジャマー】状態異常抵抗Lv1","88401"
"2","10804","【ジャマー】状態異常抵抗Lv2","88402"
"3","10804","【ジャマー】状態異常抵抗Lv3","88403"
"4","10804","【ジャマー】状態異常抵抗Lv4","88404"
"5","10804","【ジャマー】状態異常抵抗Lv5","88405"
