dd3fca2c4a36aa88deb129035336d13ad030fa21474e84f25337c4cabc28a600,0b75d0b0ebf92baed7eaf5367f885f2d8dff1ac38ce19e0ae89559ec6f067f43,4964311ee273790d8ea893ceb1181af669d5a7457e42c947cde68a3532d845c3,a1d3cdf6ebff46a267eb9a99ff8589ab41e51e7d509af399b04d689e484ebf44,dca09c4a7f24e722a851a359e57cca9f62636846542c20f1b900620e2d4ae7ff,d29e1c0f0f652491d6d8154b1beced2f8f8388d3af7f480a6e369f87cb372b89,c304a0886bcbac3c8a83a1ac2abaca02b57cc45467959a64dacc2c621bc465ac,946eb03ff451309ab9b9c518dedf43e5e6b8a23c6e35a69a3999ed886ec9b548,aa4dbd8212f696e286c33bc610e6e13de70254787d38538ee79f045611f70cec,342796af282620193992d26cc2e262b883da33d459494522fc13ff129d7a95d3,91402ffe968ace2c6b0daae100c41d80dcf51c6578b65fa178932da9bd58ac0b
"123","10","42","25021","2","27","91002","25015","2","285001042","8"
"125","10","43","25021","2","28","91002","25015","2","285001043","8"
"128","10","44","25021","2","28","91002","25015","2","285001044","8"
"130","10","45","25021","2","29","91002","25015","2","285001045","8"
"132","10","46","25021","2","30","91002","25015","2","285001046","8"
"135","10","47","25021","2","30","91002","25015","2","285001047","8"
"137","10","48","25021","2","31","91002","25015","2","285001048","8"
"139","10","49","25021","2","31","91002","25015","2","285001049","8"
"142","30","50","25021","2","31","91002","25015","2","285001050","8"
"144","10","51","25021","2","32","91002","25015","2","285001051","8"
"146","10","52","25021","2","32","91002","25015","2","285001052","8"
"149","10","53","25021","2","32","91002","25015","2","285001053","8"
"152","10","54","25021","2","33","91002","25015","2","285001054","8"
"155","10","55","25021","2","33","91002","25015","2","285001055","8"
"157","10","56","25021","2","33","91002","25015","2","285001056","8"
"160","10","57","25021","2","34","91002","25015","2","285001057","8"
"163","10","58","25021","2","34","91002","25015","2","285001058","8"
"166","10","59","25021","2","34","91002","25015","2","285001059","8"
"169","30","60","25021","2","35","91002","25015","2","285001060","8"
"171","10","61","25021","2","35","91002","25015","2","285001061","8"
"174","10","62","25021","2","35","91002","25015","2","285001062","8"
"177","10","63","25021","2","36","91002","25015","2","285001063","8"
"180","10","64","25021","2","36","91002","25015","2","285001064","8"
"182","10","65","25021","2","36","91002","25015","2","285001065","8"
"185","10","66","25021","2","37","91002","25015","2","285001066","8"
"187","10","67","25021","2","37","91002","25015","2","285001067","8"
"190","10","68","25021","2","37","91002","25015","2","285001068","8"
"193","10","69","25021","2","38","91002","25015","2","285001069","8"
"196","30","70","25021","2","38","91002","25015","2","285001070","8"
"200","10","71","25021","2","39","91002","25015","2","285001071","8"
"204","10","72","25021","2","39","91002","25015","2","285001072","8"
"208","10","73","25021","2","40","91002","25015","2","285001073","8"
"212","10","74","25021","2","40","91002","25015","2","285001074","8"
"216","10","75","25021","2","41","91002","25015","2","285001075","8"
"220","10","76","25021","2","41","91002","25015","2","285001076","8"
"224","10","77","25021","2","42","91002","25015","2","285001077","8"
"228","10","78","25021","2","42","91002","25015","2","285001078","8"
"232","10","79","25021","2","43","91002","25015","2","285001079","8"
"236","30","80","25021","2","43","91002","25015","2","285001080","8"
"240","10","81","25021","2","44","91002","25015","2","285001081","8"
"244","10","82","25021","2","44","91002","25015","2","285001082","8"
"248","10","83","25021","2","45","91002","25015","2","285001083","8"
"252","10","84","25021","2","45","91002","25015","2","285001084","8"
"256","10","85","25021","2","46","91002","25015","2","285001085","8"
"260","10","86","25021","2","46","91002","25015","2","285001086","8"
"264","10","87","25021","2","47","91002","25015","2","285001087","8"
"268","10","88","25021","2","47","91002","25015","2","285001088","8"
"272","10","89","25021","2","48","91002","25015","2","285001089","8"
"276","30","90","25021","2","48","91002","25015","2","285001090","8"
