f237bd64b7861b6aeb86648c2f7b33c0b0afb9c7cb5abd189abb0ee564f1a917,64e7a9b68f0c14e26b4bd8f4d005653f513605fdf39140ae6f2636a65924af86,fc02c650c8b47cc83b99fec92bf0746c2d50223d8c563fd1a8bfeb35698b74be,5eaa71cf005e06d7f4fa023193c6bec2d8491ebdb685947d49ea3cd640bd2ed7,9e8d5e3016713e796d5b6fe0eda5a0f630ea0955ce64d98fbf6983fb45a059ab,b98a9926a08beb898022a12ac2e30b975fa5636ab94dd1482a0020014d267db9,5b2bf642afe3a99edcea4158c8d3331cc54a8c4b78528ae7e9ac3b2b71cbc202,2a8a55e718dc4a0207caacc6dd81d0d496e3414481912d7056cb42c521a037aa,b1b41276e3d1d08c09b60bf4498d6ea5dc89aa76fa8e12ceb3ead59824130a53,bb932f08ca3c2b82ab7ee952adf3a92e60e049d58382628d2ea45d340492b392,154c8517d93727feb023be4a61b9d2104fe21d6933412a2255820b0e6be88558
"","1","1","10","11","","","112511","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","1","1010039"
"","","1","","91","","","0","","","1010040"
"","","1","","93","","","0.4","","","1010041"
"0","-180","2","1600","1","omp_idle_normal","1.8","1","112511","-195","1020001"
"1","20","2","1500","1","omp_talk_normal","1.8","1","112411","-190","1020002"
"1","220","2","1600","1","omp_idle_normal","1.8","1","112611","-205","1020003"
"","0","2","0","31","","1","1","1","1","1020004"
"","","2","","93","","","1","","","1020005"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_000","","1020006"
"","1","2","10","11","","","112411","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","1","1020007"
"","","2","","91","","","0","","","1020008"
"","","2","","4","","","112411","0","","1020009"
"","","2","1","3","","0","112411","omp_idle_normal","","1020010"
"","","2","1","3","","0","112611","omp_talk_joy1","","1020011"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_001","","1020012"
"","1","2","10","11","","","112611","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","1","1020013"
"","","2","","91","","","0","","","1020014"
"","","2","1","3","","0","112611","omp_idle_joy1","","1020015"
"","","2","1","3","","0","112411","omp_talk_surprise1","","1020016"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_002","","1020017"
"","1","2","10","11","","","112411","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","1","1020018"
"","","2","","91","","","0","","","1020019"
"","","2","","4","","","112411","1","","1020020"
"","","2","1","3","","0","112411","omp_idle_surprise1","","1020021"
"","","2","1","3","","0","112511","omp_talk_normal","","1020022"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_003","","1020023"
"","1","2","10","11","","","112511","全然想像できない味だったね\nいい意味で","1","1020024"
"","","2","","91","","","0","","","1020025"
"","","2","1","3","","0","112511","omp_talk_sad","","1020026"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_004","","1020027"
"","1","2","10","11","","","112511","でも魔物が調理されてるところは\nまあ、何て言うか…","1","1020028"
"","","2","","91","","","0","","","1020029"
"","","2","1","3","","0","112511","omp_idle_sad","","1020030"
"","","2","1","3","","0","112411","omp_talk_bitter","","1020031"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_005","","1020032"
"","1","2","10","11","","","112411","…す、すごかったですよね","1","1020033"
"","","2","","91","","","0","","","1020034"
"","","2","1","3","","0","112411","omp_idle_bitter","","1020035"
"","","2","1","3","","0","112611","omp_talk_joy1","","1020036"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_006","","1020037"
"","1","2","10","11","","","112611","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","1","1020038"
"","","2","","91","","","0","","","1020039"
"","","2","1","3","","0","112611","omp_idle_joy1","","1020040"
"","","2","1","3","","0","112511","omp_talk_bitter","","1020041"
"","0","2","0","21","","","vo_omp_7002","vo_omp_7002_007","","1020042"
"","1","2","10","11","","","112511","冒険って、奥が深いね…","1","1020043"
"","","2","","91","","","0","","","1020044"
"","","2","","93","","","0.4","","","1020045"
"0","-140","3","1500","1","omp_talk_joy1","1.8","1","112411","-190","1030001"
"1","140","3","1500","1","omp_idle_normal","1.8","1","112611","-190","1030002"
"","0","3","0","31","","1","1","1","1","1030003"
"","","3","","93","","","1","","","1030004"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_000","","1030005"
"","1","3","10","11","","","112411","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","1","1030006"
"","","3","","91","","","0","","","1030007"
"","","3","1","3","","0","112411","omp_psn_20","","1030008"
"","","3","1","3","","0","112611","omp_psn_19","","1030009"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_001","","1030010"
"","1","3","10","11","","","112611","た、楽しいかな～？","1","1030011"
"","","3","","91","","","0","","","1030012"
"","","3","1","3","","0","112611","omp_psn_18","","1030013"
"","","3","1","3","","0","112411","omp_talk_joy1","","1030014"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_002","","1030015"
"","1","3","10","11","","","112411","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","1","1030016"
"","","3","","91","","","0","","","1030017"
"","","3","1","3","","0","112411","omp_psn_20","","1030018"
"","","3","1","3","","0","112611","omp_talk_joy1","","1030019"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_003","","1030020"
"","1","3","10","11","","","112611","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","1","1030021"
"","","3","","93","","","1.5","1","","1030022"
"","","3","1","3","","0.2","112611","omp_psn_19","","1030023"
"","","3","","91","","","1030021","","","1030024"
"","","3","1","3","","0","112611","omp_psn_18","","1030025"
"","","3","1","3","","0","112411","omp_talk_joy1","","1030026"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_004","","1030027"
"","1","3","10","11","","","112411","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","1","1030028"
"","","3","","91","","","0","","","1030029"
"","","3","1","3","","0","112411","omp_psn_20","","1030030"
"","","3","1","3","","0","112611","omp_psn_19","","1030031"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_005","","1030032"
"","1","3","10","11","","","112611","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","1","1030033"
"","","3","","91","","","0","","","1030034"
"","","3","1","3","","0","112611","omp_psn_18","","1030035"
"","","3","1","3","","0","112411","omp_talk_joy2","","1030036"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_006","","1030037"
"","1","3","10","11","","","112411","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","1","1030038"
"","","3","","91","","","0","","","1030039"
"","","3","1","3","","0","112411","omp_psn_20","","1030040"
"","","3","1","3","","0","112611","omp_talk_sad","","1030041"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_007","","1030042"
"","1","3","10","11","","","112611","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","1","1030043"
"","","3","","93","","","6","1","","1030044"
"","","3","1","3","","0.2","112611","omp_talk_joy2","","1030045"
"","","3","","91","","","1030043","","","1030046"
"","","3","1","3","","0","112611","omp_idle_joy2","","1030047"
"","","3","1","3","","0","112411","omp_talk_joy2","","1030048"
"","0","3","0","21","","","vo_omp_7003","vo_omp_7003_008","","1030049"
"","1","3","10","11","","","112411","はい！\n一緒に頑張りましょう！","1","1030050"
"","","3","","91","","","0","","","1030051"
"","","3","","93","","","0.4","","","1030052"
"0","-180","4","1600","1","omp_talk_normal","1.8","1","105831","-195","1040001"
"1","20","4","1500","1","omp_idle_normal","1.8","1","105931","-190","1040002"
"1","220","4","1600","1","omp_idle_normal","1.8","1","106031","-205","1040003"
"","0","4","0","31","","1","1","1","1","1040004"
"","","4","","93","","","1","","","1040005"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_000","","1040006"
"","1","4","10","11","","","105831","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","1","1040007"
"","","4","","91","","","0","","","1040008"
"","","4","1","3","","0","105831","omp_idle_normal","","1040009"
"","","4","1","3","","0","105931","omp_talk_normal","","1040010"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_001","","1040011"
"","1","4","10","11","","","105931","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","1","1040012"
"","","4","","91","","","0","","","1040013"
"","","4","","4","","","105931","0","","1040014"
"","","4","1","3","","0","105931","omp_idle_normal","","1040015"
"","omp_idle_surprise1","4","0","3","","0","106031","omp_surprise","1","1040016"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_002","","1040017"
"","1","4","10","11","","","106031","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","1","1040018"
"","","4","","93","","","2","1","","1040019"
"","","4","1","3","","0.1","106031","omp_talk_tsun","","1040020"
"","","4","","91","","","1040018","","","1040021"
"","","4","1","3","","0","106031","omp_talk_tsun","","1040022"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_003","","1040023"
"","1","4","10","11","","","106031","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","1","1040024"
"","","4","","91","","","0","","","1040025"
"","","4","1","3","","0","106031","omp_idle_tsun","","1040026"
"","","4","1","3","","0","105931","omp_talk_worry","","1040027"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_004","","1040028"
"","1","4","10","11","","","105931","それはそうでございますが…\n好奇心が勝ってしまいまして","1","1040029"
"","","4","","91","","","0","","","1040030"
"","","4","","4","","","105931","1","","1040031"
"","","4","1","3","","0","105931","omp_idle_worry","","1040032"
"","","4","1","3","","0","105831","omp_talk_joy1","","1040033"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_005","","1040034"
"","1","4","10","11","","","105831","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","1","1040035"
"","","4","","93","","","5.5","1","","1040036"
"","","4","0","3","","0.2","105831","omp_psn_11","","1040037"
"","","4","","91","","","1040035","","","1040038"
"","","4","1","3","","0","105931","omp_talk_normal","","1040039"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_006","","1040040"
"","1","4","10","11","","","105931","はい♪\nいえーい、でございます…！","1","1040041"
"","","4","","93","","","1.5","1","","1040042"
"","","4","0","3","","0.2","105931","omp_psn_11","1","1040043"
"","","4","","91","","","1040041","","","1040044"
"","","4","","4","","","105931","0","","1040045"
"","","4","1","3","","0","105931","omp_idle_normal","","1040046"
"","","4","1","3","","0.2","105831","omp_idle_joy1","","1040047"
"","","4","1","3","","0","106031","omp_idle_tsun","","1040048"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_007","","1040049"
"","1","4","10","11","","","106031","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","1","1040050"
"","","4","","93","","","7","1","","1040051"
"","","4","0","3","","0.1","106031","omp_psn_12","","1040052"
"","","4","","93","","","1.5","","","1040053"
"","","4","","91","","","1040050","","","1040054"
"","","4","1","3","","0.2","106031","omp_idle_normal","","1040055"
"","","4","1","3","","0","105831","omp_idle_surprise1","","1040056"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_008","","1040057"
"","1","4","10","11","","","105831","キャ、キャルちゃん…","1","1040058"
"","","4","","91","","","0","","","1040059"
"","","4","1","3","","0","105831","omp_idle_surprise1","","1040060"
"","","4","1","3","","0","105931","omp_talk_sad","","1040061"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_009","","1040062"
"","1","4","10","11","","","105931","ものすごく、本気でございますね","1","1040063"
"","","4","","91","","","0","","","1040064"
"","","4","1","3","","0","105931","omp_idle_sad","","1040065"
"0.1","omp_talk_surprise2","4","0","3","","0","106031","omp_surprise","1","1040066"
"","0","4","0","21","","","vo_omp_7004","vo_omp_7004_010","","1040067"
"","1","4","10","11","","","106031","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","1","1040068"
"","","4","","93","","","6.5","1","","1040069"
"","","4","1","3","","0.2","106031","omp_talk_tsun","","1040070"
"","","4","","91","","","1040068","","","1040071"
"","","4","","93","","","0.4","","","1040072"
"0","-140","5","1500","1","omp_talk_joy1","1.8","1","112611","-190","1050001"
"1","140","5","1500","1","omp_idle_normal","1.8","1","112511","-190","1050002"
"","0","5","0","31","","1","1","1","1","1050003"
"","","5","","93","","","1","","","1050004"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_000","","1050005"
"","1","5","10","11","","","112611","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","1","1050006"
"","","5","","91","","","0","","","1050007"
"","","5","1","3","","0","112611","omp_idle_joy1","","1050008"
"","","5","1","3","","0","112511","omp_talk_normal","","1050009"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_001","","1050010"
"","1","5","10","11","","","112511","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","1","1050011"
"","","5","","91","","","0","","","1050012"
"","","5","1","3","","0","112511","omp_idle_normal","","1050013"
"","","5","1","3","","0","112611","omp_talk_joy1","","1050014"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_002","","1050015"
"","1","5","10","11","","","112611","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","1","1050016"
"","","5","","93","","","6.2","1","","1050017"
"","","5","1","3","","0.2","112611","omp_talk_thinking","","1050018"
"","","5","","91","","","1050016","","","1050019"
"","","5","1","3","","0","112611","omp_idle_thinking","","1050020"
"","","5","1","3","","0","112511","omp_talk_normal2","","1050021"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_003","","1050022"
"","1","5","10","11","","","112511","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","1","1050023"
"","","5","","91","","","0","","","1050024"
"","","5","1","3","","0","112511","omp_idle_calm","","1050025"
"","","5","1","3","","0.1","112611","omp_talk_sad","","1050026"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_004","","1050027"
"","1","5","10","11","","","112611","し…し…","1","1050028"
"","","5","","91","","","0","","","1050029"
"","","5","1","3","","0","112611","omp_idle_sad","","1050030"
"","","5","1","3","","0","112511","omp_psn_19","","1050031"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_005","","1050032"
"","1","5","10","11","","","112511","し…？","1","1050033"
"","","5","","91","","","0","","","1050034"
"","","5","1","3","","0","112511","omp_psn_18","","1050035"
"","","5","1","3","","0","112611","omp_talk_sad","","1050036"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_006","","1050037"
"","1","5","10","11","","","112611","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","1","1050038"
"","","5","","93","","","4.5","1","","1050039"
"","","5","1","3","","0.2","112611","omp_talk_surprise2","","1050040"
"","","5","","91","","","1050038","","","1050041"
"","","5","1","3","","0","112611","omp_idle_surprise2","","1050042"
"","","5","1","3","","0","112511","omp_talk_normal","","1050043"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_007","","1050044"
"","1","5","10","11","","","112511","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","1","1050045"
"","","5","","93","","","3.5","1","","1050046"
"","","5","1","3","","0.2","112511","omp_talk_anger","","1050047"
"","","5","","91","","","1050045","","","1050048"
"","","5","1","3","","0","112511","omp_idle_anger","","1050049"
"","","5","1","3","","0","112611","omp_talk_joy1","","1050050"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_008","","1050051"
"","1","5","10","11","","","112611","えへへ、ごめんごめん☆","1","1050052"
"","","5","","91","","","0","","","1050053"
"","","5","1","3","","0","112611","omp_idle_joy1","","1050054"
"","","5","1","3","","0","112511","omp_talk_sad","","1050055"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_009","","1050056"
"","1","5","10","11","","","112511","まったく\n…けど、さっきのは\nほんとのことだからね","1","1050057"
"","","5","","93","","","2","1","","1050058"
"","","5","1","3","","0.2","112511","omp_talk_normal","","1050059"
"","","5","","91","","","1050057","","","1050060"
"","","5","1","3","","0","112511","omp_idle_normal","","1050061"
"","","5","1","3","","0","112611","omp_talk_joy2","","1050062"
"","0","5","0","21","","","vo_omp_7005","vo_omp_7005_010","","1050063"
"","1","5","10","11","","","112611","うん！\nありがとっ、しぶりん！","1","1050064"
"","","5","","91","","","0","","","1050065"
"","","5","","93","","","0.4","","","1050066"
"0","-180","6","1600","1","omp_talk_normal","1.8","1","112511","-195","1060001"
"1","20","6","1500","1","omp_idle_normal","1.8","1","112411","-190","1060002"
"1","220","6","1600","1","omp_idle_normal","1.8","1","112611","-205","1060003"
"","0","6","0","31","","1","1","1","1","1060004"
"","","6","","93","","","1","","","1060005"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_000","","1060006"
"","1","6","10","11","","","112511","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","1","1060007"
"","","6","","91","","","0","","","1060008"
"","","6","1","3","","0","112511","omp_idle_normal","","1060009"
"","","6","1","3","","0","112611","omp_talk_joy1","","1060010"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_001","","1060011"
"","1","6","10","11","","","112611","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","1","1060012"
"","","6","","91","","","0","","","1060013"
"","","6","","4","","","112411","0","","1060014"
"","","6","1","3","","0","112611","omp_idle_joy1","","1060015"
"","","6","1","3","","0","112411","omp_talk_joy1","","1060016"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_002","","1060017"
"","1","6","10","11","","","112411","えへへっ、ありがとうございます！\nえっと…","1","1060018"
"","","6","","91","","","0","","","1060019"
"","","6","1","3","","0","112411","omp_talk_normal","","1060020"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_003","","1060021"
"","1","6","10","11","","","112411","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","1","1060022"
"","","6","","91","","","0","","","1060023"
"","","6","1","3","","0","112411","omp_talk_thinking","","1060024"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_004","","1060025"
"","1","6","10","11","","","112411","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","1","1060026"
"","","6","","91","","","0","","","1060027"
"","","6","1","3","","0","112411","omp_talk_normal2","","1060028"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_005","","1060029"
"","1","6","10","11","","","112411","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","1","1060030"
"","","6","","91","","","0","","","1060031"
"","","6","1","3","","0","112411","omp_idle_calm","","1060032"
"","","6","1","3","","0","112611","omp_talk_sad","","1060033"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_006","","1060034"
"","1","6","10","11","","","112611","しまむー…！","1","1060035"
"","","6","","91","","","0","","","1060036"
"","","6","","4","","","112411","1","","1060037"
"","","6","1","3","","0","112611","omp_idle_sad","","1060038"
"","","6","1","3","","0","112511","omp_talk_thinking","","1060039"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_007","","1060040"
"","1","6","10","11","","","112511","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","1","1060041"
"","","6","","91","","","0","","","1060042"
"","","6","","4","","","112411","0","","1060043"
"","","6","1","3","","0","112511","omp_idle_thinking","","1060044"
"","","6","1","3","","0","112611","omp_talk_joy1","","1060045"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_008","","1060046"
"","1","6","10","11","","","112611","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","1","1060047"
"","","6","","91","","","0","","","1060048"
"","","6","","4","","","112411","1","","1060049"
"","","6","1","3","","0","112611","omp_idle_joy1","","1060050"
"","","6","1","3","","0","112411","omp_talk_joy2","","1060051"
"","0","6","0","21","","","vo_omp_7006","vo_omp_7006_009","","1060052"
"","1","6","10","11","","","112411","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","1","1060053"
"","","6","","93","","","1.2","1","","1060054"
"","","6","","4","","","112411","0","","1060055"
"","","6","","91","","","1060053","","","1060056"
"","0","6","-195","2","","","112511","-180","1","1060057"
"","0","6","-190","2","","","112411","0","1","1060058"
"","0","6","-195","2","","","112611","180","1","1060059"
"","","6","0","3","","0.1","112511","omp_psn_dicision_rin","","1060060"
"","","6","0","3","","0.1","112411","omp_psn_dicision_uduki","","1060061"
"","","6","0","3","","0.1","112611","omp_psn_dicision_mio","","1060062"
"","0","6","0","31","","1","2","2","1","1060063"
"","","6","","91","","","1060062","","","1060064"
"","","6","","93","","","0.6","","","1060065"
"0","-100","7","1600","1","omp_idle_normal","1.8","1","105831","-205","1070001"
"0","-390","7","1600","1","omp_idle_normal","1.8","1","105931","-225","1070002"
"0","-260","7","1500","1","omp_idle_normal","1.8","1","106031","-190","1070003"
"1","250","7","1500","1","omp_idle_normal","1.8","1","112511","-185","1070004"
"1","385","7","1600","1","omp_idle_normal","1.8","1","112411","-220","1070005"
"1","100","7","1600","1","omp_idle_normal","1.8","1","112611","-195","1070006"
"","0","7","0","31","","1","1","1","1","1070007"
"","","7","","93","","","0.2","","","1070008"
"","","7","1","3","","0.1","112611","omp_idle_normal","","1070009"
"","","7","1","3","","0","112411","omp_talk_normal","","1070010"
"","","7","1","3","","0.1","112511","omp_idle_normal","","1070011"
"","","7","1","3","","0.1","105831","omp_idle_normal","","1070012"
"","","7","","93","","","0.1","","","1070013"
"","","7","","93","","","1","","","1070014"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_000","","1070015"
"","1","7","10","11","","","112411","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","1","1070016"
"","","7","","91","","","0","","","1070017"
"","","7","1","3","","0.1","112411","omp_idle_normal","","1070018"
"","","7","1","3","","0.1","105831","omp_talk_normal","","1070019"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_001","","1070020"
"","1","7","10","11","","","105831","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","1","1070021"
"","","7","","91","","","0","","","1070022"
"","","7","1","3","","0","105831","omp_idle_normal","","1070023"
"","","7","1","3","","0","105931","omp_talk_worry","","1070024"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_002","","1070025"
"","1","7","10","11","","","105931","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","1","1070026"
"","","7","","91","","","0","","","1070027"
"","","7","1","3","","0","105931","omp_idle_worry","","1070028"
"","","7","1","3","","0","106031","omp_talk_normal","","1070029"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_003","","1070030"
"","1","7","10","11","","","106031","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","1","1070031"
"","","7","","91","","","0","","","1070032"
"","","7","1","3","","0","106031","omp_idle_normal","","1070033"
"","","7","1","3","","0","112611","omp_talk_worry","","1070034"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_004","","1070035"
"","1","7","10","11","","","112611","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","1","1070036"
"","","7","","91","","","0","","","1070037"
"","","7","1","3","","0","112611","omp_idle_worry","","1070038"
"","","7","1","3","","0","105931","omp_talk_normal2","","1070039"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_005","","1070040"
"","1","7","10","11","","","105931","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","1","1070041"
"","","7","","91","","","0","","","1070042"
"","","7","1","3","","0","105931","omp_idle_calm","","1070043"
"","","7","1","3","","0","112511","omp_talk_normal2","","1070044"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_006","","1070045"
