9d62172377b316d95f6e94b445b6712b789d4c5bef230d21be3cc59268c2efa7,f372b8545cc8224c885c6646c890a773feeaa4e1cedf374e0b5402b18dae5318,f3d608b72a595c091aaed6c534d56b39d6425f78ba8cc8ee0813a073298e3110,024daeac62f66c02a6f3f329fb18044e5ac93d35006b01df82c76915144323f3,2bba1388355832f8894357cc225b6c39de9c0a81c46368a7637bf243c470189a,f6a4f5f9e6cee7033d37d8bd03b503d66ae66cdc38d64da10ea1b1fa7ec7823f,1c004dcfae142b778bd4dc1dbd16f559d2a4fdbc85a11793dc57c5a7a5a97e2c,652990a47d46dcbd5f69a5a59cbff9c002cef8b429499467507ed20ad0a9a7b8,aebbeb58aed2a3103c9ff7f90561b6fea469e0eba634591c96b525cdf2efebe7,77d8d79822eecee772880399e5f27f4ec726c5162a9211a482c34d925ae07444,7545de159cb66b4ee70c000311395b2f3f65f460e3cc1efb8f19df348d4c6390
"117531","0.2","1","","","1007401","3","","1007401016","","mhp_sit_talk_normal"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401017","","vo_mhp_4001"
"117531","0","8","0","0","1007401","11","0","1007401018","0.5","次の方どうぞー"
"0","","","","","1007401","91","","1007401019","",""
"117531","0.2","1","","","1007401","3","","1007401020","","mhp_sit_idle"
"100211","0.2","1","","","1007401","3","","1007401021","","mhp_anna_walk_sad"
"100211","","-220","","0","1007401","2","4","1007401022","","-200"
"31","0.2","1","","","1007401","3","","1007401023","","NoItem"
"31","","-220","","0","1007401","2","4","1007401024","","-200"
"0","","","","","1007401","91","","1007401025","",""
"100211","0.2","0","0.2","1","1007401","3","mhp_sit_idle_sad","1007401026","","mhp_sit_in_sad"
"1","","","","","1007401","93","","1007401027","",""
"100211","0.2","1","","","1007401","3","","1007401028","","mhp_sit_talk_sad"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401029","","vo_mhp_4002"
"100211","0","7","0","0","1007401","11","1","1007401030","0.5","え、ええっと……ご無沙汰してます。"
"0","","","","","1007401","91","","1007401031","",""
"100211","0.2","1","","","1007401","3","","1007401032","","mhp_sit_idle_sad"
"117531","0.2","1","","","1007401","3","","1007401033","","mhp_sit_talk_normal"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401034","","vo_mhp_4003"
"117531","0","6","0","0","1007401","11","1","1007401035","0.5","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。"
"0","","","","","1007401","91","","1007401036","",""
"117531","0.2","1","","","1007401","3","","1007401037","","mhp_sit_idle"
"100211","0.2","1","","","1007401","3","","1007401038","","mhp_sit_talk_memory"
"31","0","1","","","1007401","3","","1007401039","","mhp_yui_sit_talk_memory"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401040","","vo_mhp_4004"
"100211","0","4","0","0","1007401","11","1","1007401041","1.5","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……"
"14","","","","","1007401","93","","1007401042","","1"
"100211","0.2","1","","","1007401","3","","1007401043","","mhp_yui_hot"
"31","0.2","1","","","1007401","3","","1007401044","","mhp_yui_hot"
"123","","","","","1007401","32","","1007401045","","1"
"se_10031400","","","","","1007401","23","","1007401046","","se_10031400_love"
"1007401041","","","","","1007401","91","","1007401047","",""
"3","","","","","1007401","93","","1007401048","","0"
"117531","0.2","1","","","1007401","3","","1007401049","","mhp_sit_talk_worry"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401050","","vo_mhp_4005"
"117531","0","7","0","0","1007401","11","1","1007401051","0.5","どうしたの？　顔が真っ赤よ？"
"0","","","","","1007401","91","","1007401052","",""
"123","","","","","1007401","32","","1007401053","","0"
"117531","0.2","1","","","1007401","3","","1007401054","","mhp_sit_idle"
"100211","0.2","1","","","1007401","3","","1007401055","","mhp_yui_sit_talk_worry"
"31","0.2","1","","","1007401","3","","1007401056","","NoItem"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401057","","vo_mhp_4006"
"100211","0","5","0","0","1007401","11","1","1007401058","0.5","そ、それが、ここのところ急に\n顔が火照ってしまうんです……\nこれって、何かの病気なんでしょうか？"
"0","","","","","1007401","91","","1007401059","",""
"100211","0.2","1","","0","1007401","3","","1007401060","","mhp_yui_sit_idle_sad"
"117531","0.2","1","","0","1007401","3","","1007401061","","mhp_sit_talk_thinking"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401062","","vo_mhp_4007"
"117531","0","5","0","0","1007401","11","1","1007401063","0.5","今すぐ断定はできないわ\nでも、もしかしたら大きな病気\nそれも不治の病かもしれないわね。"
"0","","","","","1007401","91","","1007401064","",""
"117531","0.2","1","","","1007401","3","","1007401065","","mhp_sit_idle_thinking"
"100211","0.2","1","","","1007401","3","","1007401066","","mhp_yui_sit_talk_sad"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401067","","vo_mhp_4008"
"100211","0","8","0","0","1007401","11","1","1007401068","0.5","そんな……"
"0","","","","","1007401","91","","1007401069","",""
"100211","0.2","1","","","1007401","3","","1007401070","","mhp_yui_sit_idle_sad"
"117531","0.2","1","","","1007401","3","","1007401071","","mhp_sit_talk_normal"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401072","","vo_mhp_4009"
"117531","0","6","0","0","1007401","11","1","1007401073","0.5","普通なら命にかかわることはないけど\nこじらせると大変なことになるわ\nだから今日のところはひとまず――"
"0","","","","","1007401","91","","1007401074","",""
"0","","","","","1007401","22","","1007401075","","0"
"冷たいタオルをおでこに当てなさい。","","0","","","1007401","103","","1007401076","","1007401079"
"何も考えずゆっくり休みなさい。","","0","","","1007401","103","","1007401077","","1007401125"
"特製のカンポーを出しておくわ。","","0","","","1007401","103","","1007401078","","1007401142"
"117531","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401079","","mhp_sit_out"
"0.6","","","","","1007401","93","","1007401080","","0"
"100211","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401081","","mhp_sit_out"
"0.2","","","","","1007401","93","","1007401082","","0"
"100211","0.2","1","","0","1007401","3","","1007401083","","mhp_walk"
"100211","","-220","","0","1007401","2","1.5","1007401084","","35"
"31","","-220","","0","1007401","2","1.5","1007401085","","35"
"11","","-220","","0","1007401","2","1.5","1007401086","","35"
"12","","-220","","0","1007401","2","1.5","1007401087","","35"
"0.3","","","","","1007401","93","","1007401088","","0"
"117531","0.2","0","0","1","1007401","3","mhp_handover_loop","1007401089","","mhp_handover_in"
"21","0","1","0","1","1007401","6","1","1007401090","","1"
"22","0","1","0","1","1007401","6","1","1007401091","","1"
"21","0.2","0","0","1","1007401","3","mhp_handover_loop","1007401092","","mhp_handover_in"
"22","0.2","0","0","1","1007401","3","mhp_item_EX0015_handover_loop","1007401093","","mhp_item_EX0015_handover_in"
"1.2","","","","","1007401","93","","1007401094","","0"
"100211","0.2","0","0","1","1007401","3","mhp_handover_receive_loop","1007401095","","mhp_handover_receive_in"
"11","0","1","0","1","1007401","6","1","1007401096","","1"
"12","0","1","0","1","1007401","6","1","1007401097","","1"
"11","0.2","0","0","1","1007401","3","mhp_receive_yui_loop","1007401098","","mhp_receive_yui_in"
"12","0.2","0","0","1","1007401","3","mhp_item_EX0015_receive_loop","1007401099","","mhp_item_EX0015_receive_in"
"0.6","","","","","1007401","93","","1007401100","","0"
"22","0.4","1","0","1","1007401","6","1","1007401101","","1"
"0.4","","","","","1007401","93","","1007401102","","0"
"117531","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401103","","mhp_handover_out"
"21","0.2","0","0","1","1007401","3","NoItem_idle","1007401104","","mhp_handover_out"
"22","0.2","0","0","1","1007401","3","NoItem_idle","1007401105","","mhp_item_EX0015_handover_out"
"0.4","","","","","1007401","93","","1007401106","","0"
"100211","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401107","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007401","3","NoItem_idle","1007401108","","mhp_receive_yui_out"
"12","0.2","0","0","1","1007401","3","NoItem_idle","1007401109","","mhp_item_EX0015_receive_out"
"2","","","","","1007401","93","","1007401110","","0"
"100211","0.2","1","","","1007401","3","","1007401111","","mhp_talk_worry"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401112","","vo_mhp_4010"
"100211","0","7","0","0","1007401","11","1","1007401113","0.5","こ、これで治るんですか？"
"0","","","","","1007401","91","","1007401114","",""
"100211","0.2","1","","","1007401","3","","1007401115","","mhp_idle_worry"
"117531","0.2","1","","","1007401","3","","1007401116","","mhp_talk_normal"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401117","","vo_mhp_4011"
"117531","0","5","0","0","1007401","11","1","1007401118","0.5","いいえ、単なる対処療法よ\nでも今はそれで十分\nまた何かあったら訪ねてきなさい。"
"0","","","","","1007401","91","","1007401119","",""
"0","","","","","1007401","22","","1007401120","","0"
"117531","0.2","0","0.2","1","1007401","3","mhp_sit_idle","1007401121","","mhp_sit_in"
"100211","0.2","0","","","1007401","3","","1007401122","","mhp_yui_pekori"
"0","","","","","1007401","91","","1007401123","",""
"1007401186","","","","","1007401","101","","1007401124","",""
"117531","0.2","1","","","1007401","3","","1007401125","","mhp_sit_idle"
"100211","0.2","1","","","1007401","3","","1007401126","","mhp_sit_talk_worry"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401127","","vo_mhp_4012"
"100211","0","8","0","0","1007401","11","1","1007401128","0.5","あの、お薬とかは……"
"0","","","","","1007401","91","","1007401129","",""
"100211","0.2","1","","","1007401","3","","1007401130","","mhp_sit_idle_sad"
"117531","0.2","1","","","1007401","3","","1007401131","","mhp_sit_talk_thinking"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401132","","vo_mhp_4013"
"117531","0","5","0","0","1007401","11","1","1007401133","0.5","必要ないわ。色々考えすぎるのが\nよくないの、だから心穏やかに\n過ごすのが一番よ。"
"0","","","","","1007401","91","","1007401134","",""
"0","","","","","1007401","22","","1007401135","","0"
"117531","0.2","1","","","1007401","3","","1007401136","","mhp_sit_idle"
"100211","0.2","0","","","1007401","3","","1007401137","","mhp_yui_sit_pekori"
"0","","","","","1007401","91","","1007401138","",""
"100211","0.2","0","","","1007401","3","","1007401139","","mhp_sit_out"
"0","","","","","1007401","91","","1007401140","",""
"1007401186","","","","","1007401","101","","1007401141","",""
"117531","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401142","","mhp_sit_out"
"0.6","","","","","1007401","93","","1007401143","","0"
"100211","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401144","","mhp_sit_out"
"0.2","","","","","1007401","93","","1007401145","","0"
"100211","0.2","1","","0","1007401","3","","1007401146","","mhp_walk"
"100211","","-220","","0","1007401","2","1.5","1007401147","","35"
"31","","-220","","0","1007401","2","1.5","1007401148","","35"
"11","","-220","","0","1007401","2","1.5","1007401149","","35"
"12","","-220","","0","1007401","2","1.5","1007401150","","35"
"0.3","","","","","1007401","93","","1007401151","","0"
"117531","0.2","0","0","1","1007401","3","mhp_handover_loop","1007401152","","mhp_handover_in"
"21","0","1","0","1","1007401","6","1","1007401153","","1"
"22","0","1","0","1","1007401","6","1","1007401154","","1"
"21","0.2","0","0","1","1007401","3","mhp_handover_loop","1007401155","","mhp_handover_in"
"22","0.2","0","0","1","1007401","3","mhp_item_EX0007_handover_loop","1007401156","","mhp_item_EX0007_handover_in"
"1.2","","","","","1007401","93","","1007401157","","0"
"100211","0.2","0","0","1","1007401","3","mhp_handover_receive_loop","1007401158","","mhp_handover_receive_in"
"11","0","1","0","1","1007401","6","1","1007401159","","1"
"12","0","1","0","1","1007401","6","1","1007401160","","1"
"11","0.2","0","0","1","1007401","3","mhp_receive_yui_loop","1007401161","","mhp_receive_yui_in"
"12","0.2","0","0","1","1007401","3","mhp_item_EX0007_receive_loop","1007401162","","mhp_item_EX0007_receive_in"
"0.6","","","","","1007401","93","","1007401163","","0"
"22","0.4","1","0","1","1007401","6","1","1007401164","","1"
"0.4","","","","","1007401","93","","1007401165","","0"
"117531","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401166","","mhp_handover_out"
"21","0.2","0","0","1","1007401","3","NoItem_idle","1007401167","","mhp_handover_out"
"22","0.2","0","0","1","1007401","3","NoItem_idle","1007401168","","mhp_item_EX0007_handover_out"
"0.4","","","","","1007401","93","","1007401169","","0"
"100211","0.2","0","0","1","1007401","3","mhp_idle_normal","1007401170","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007401","3","NoItem_idle","1007401171","","mhp_receive_yui_out"
"12","0.2","0","0","1","1007401","3","NoItem_idle","1007401172","","mhp_item_EX0007_receive_out"
"2","","","","","1007401","93","","1007401173","","0"
"100211","0.2","1","","","1007401","3","","1007401174","","mhp_talk_wish"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401175","","vo_mhp_4014"
"100211","0","5","0","0","1007401","11","1","1007401176","0.5","カンポー……なんだかよく効きそう……\nありがとうございます、ミツキさん"
"0","","","","","1007401","91","","1007401177","",""
"100211","0.2","1","","","1007401","3","","1007401178","","mhp_idle_wish"
"117531","0.2","1","","","1007401","3","","1007401179","","mhp_talk_thinking"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401180","","vo_mhp_4015"
"117531","0","7","0","0","1007401","11","1","1007401181","0.5","（まあ、滋養強壮のカンポーだから\n全然関係ないんだけどね）"
"0","","","","","1007401","91","","1007401182","",""
"0","","","","","1007401","22","","1007401183","","0"
"117531","0.2","0","0.2","1","1007401","3","mhp_sit_idle","1007401184","","mhp_sit_in"
"100211","0.2","0","","","1007401","3","","1007401185","","mhp_yui_pekori"
"0","","","","","1007401","91","","1007401186","",""
"100211","0.2","1","","","1007401","3","","1007401187","","mhp_walk"
"100211","","","","","1007401","4","","1007401188","","1"
"100211","","-220","","0","1007401","2","5","1007401189","","-1000"
"4","","","","","1007401","93","","1007401190","","0"
"117631","0.2","1","","","1007401","3","","1007401191","","mhp_sit_talk_worry"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401192","","vo_mhp_4016"
"117631","0","5","0","0","1007401","11","1","1007401193","0.5","先生、あの人って本当に病気なの？"
"0","","","","","1007401","91","","1007401194","",""
"117631","0.2","1","","","1007401","3","","1007401195","","mhp_sit_idle"
"117531","0.2","1","","","1007401","3","","1007401196","","mhp_sit_talk_thinking"
"vo_mhp_1007401","","0","","","1007401","21","0","1007401197","","vo_mhp_4017"
"117531","","4","0","0","1007401","11","1","1007401198","0.5","ええ、かなりの重病よ\nこれはしっかりと診てあげないとね\nふふ、若い子っていいわね♪"
"0","","","","","1007401","91","","1007401199","",""
"0","","","","","1007401","22","","1007401200","","0.5"
"0","","","","","1007401","91","","1007401201","",""
"1","1.7","100","0","-240","1007402","1","-1000","1007402001","mhp_idle_normal","100211"
"1","1.7","100","1","-220","1007402","1","185","1007402002","mhp_sit_idle","117531"
"1","1.7","100","1","-200","1007402","1","365","1007402003","mhp_sit_idle","117631"
"1","1","-240","","0.85","1007402","31","-154","1007402004","","1"
"1","1.7","110","0","-220","1007402","5","-200","1007402005","NoItem","11"
"1","1.7","105","0","-220","1007402","5","-200","1007402006","NoItem","12"
"1","1.7","110","1","-220","1007402","5","185","1007402007","NoItem","21"
"1","1.7","105","1","-220","1007402","5","185","1007402008","NoItem","22"
"11","0","1","0","0","1007402","6","1","1007402009","","1"
"12","0","1","0","0","1007402","6","1","1007402010","","1"
"21","0","1","0","0","1007402","6","1","1007402011","","1"
"22","0","1","0","0","1007402","6","1","1007402012","","1"
"1","1.7","110","0","-220","1007402","5","-1000","1007402013","NoItem","31"
"0","","","","","1007402","91","","1007402014","",""
"117531","0.2","1","","","1007402","3","","1007402015","","mhp_sit_talk_normal"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402016","","vo_mhp_4101"
"117531","0","8","0","0","1007402","11","0","1007402017","0.5","ユイちゃん、どうぞー"
"0","","","","","1007402","91","","1007402018","",""
"117531","0.2","1","","","1007402","3","","1007402019","","mhp_sit_idle"
"100211","0.2","1","","","1007402","3","","1007402020","","mhp_yui_walk_sad2"
"100211","","-220","","0","1007402","2","4","1007402021","","-200"
"0","","","","","1007402","91","","1007402022","",""
"100211","0.2","0","0.2","1","1007402","3","mhp_yui_sit_idle_sad","1007402023","","mhp_yui_sit_in_sad"
"1","","","","","1007402","93","","1007402024","","0"
"117531","0.2","1","","","1007402","3","","1007402025","","mhp_sit_talk_normal"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402026","","vo_mhp_4102"
"117531","0","5","0","0","1007402","11","1","1007402027","0.5","よく来たわね\n今日はもしかして胸の苦しみ、かしら？"
"0","","","","","1007402","91","","1007402028","",""
"117531","0.2","1","","","1007402","3","","1007402029","","mhp_sit_idle"
"100211","0.2","1","","","1007402","3","","1007402030","","mhp_yui_sit_talk_surprise"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402031","","vo_mhp_4103"
"100211","0","6","0","0","1007402","11","1","1007402032","0.5","ま、まだ何も言っていないのに！？\nさすがミツキさんですね……"
"0","","","","","1007402","91","","1007402033","",""
"100211","0.2","1","","","1007402","3","","1007402034","","mhp_yui_sit_talk_sad"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402035","","vo_mhp_4104"
"100211","0","4","0","0","1007402","11","1","1007402036","0.5","そうなんです、胸が苦しくて\n仕方ないんです……\nや、やっぱり重病なんでしょうか……"
"0","","","","","1007402","91","","1007402037","",""
"100211","0.2","1","","","1007402","3","","1007402038","","mhp_yui_sit_idle_sad"
"117531","0.2","1","","","1007402","3","","1007402039","","mhp_sit_talk_sad2"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402040","","vo_mhp_4105"
"117531","0","6","0","0","1007402","11","1","1007402041","0.5","前にも言ったけど、直接命にかかわる\nことはないわ。でも、時に死ぬよりも\n苦しいことになる可能性もあるわね。"
"0","","","","","1007402","91","","1007402042","",""
"117531","0.2","1","","","1007402","3","","1007402043","","mhp_sit_idle"
"100211","0.2","1","","","1007402","3","","1007402044","","mhp_yui_sit_talk_wish"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402045","","vo_mhp_4106"
"100211","0","6","0","0","1007402","11","1","1007402046","0.5","そんな……\nわ、わたし、どうすれば……"
"0","","","","","1007402","91","","1007402047","",""
"100211","0.2","1","","","1007402","3","","1007402048","","mhp_yui_sit_idle_sad"
"117531","0.2","1","","","1007402","3","","1007402049","","mhp_sit_talk_wish"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402050","","vo_mhp_4107"
"117531","0","6","0","0","1007402","11","1","1007402051","0.5","大丈夫、そのための医者ですもの\nさて、胸の苦しさには――"
"0","","","","","1007402","91","","1007402052","",""
"0","","","","","1007402","22","","1007402053","","0"
"動悸の薬を処方するわ。","","0","","","1007402","103","","1007402054","","1007402057"
"オーエド土産の甘いお菓子よ。","","0","","","1007402","103","","1007402055","","1007402102"
"羊の数でも数えなさい。","","0","","","1007402","103","","1007402056","","1007402147"
"117531","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402057","","mhp_sit_out"
"0.6","","","","","1007402","93","","1007402058","","0"
"100211","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402059","","mhp_sit_out"
"0.2","","","","","1007402","93","","1007402060","","0"
"100211","0.2","1","","0","1007402","3","","1007402061","","mhp_walk"
"100211","","-220","","0","1007402","2","1.5","1007402062","","35"
"31","","-220","","0","1007402","2","1.5","1007402063","","35"
"11","","-220","","0","1007402","2","1.5","1007402064","","35"
"12","","-220","","0","1007402","2","1.5","1007402065","","35"
"0.3","","","","","1007402","93","","1007402066","","0"
"117531","0.2","0","0","1","1007402","3","mhp_handover_loop","1007402067","","mhp_handover_in"
"21","0","1","0","1","1007402","6","1","1007402068","","1"
"22","0","1","0","1","1007402","6","1","1007402069","","1"
"21","0.2","0","0","1","1007402","3","mhp_handover_loop","1007402070","","mhp_handover_in"
"22","0.2","0","0","1","1007402","3","mhp_item_EX0009_handover_loop","1007402071","","mhp_item_EX0009_handover_in"
"1.2","","","","","1007402","93","","1007402072","","0"
"100211","0.2","0","0","1","1007402","3","mhp_handover_receive_loop","1007402073","","mhp_handover_receive_in"
"11","0","1","0","1","1007402","6","1","1007402074","","1"
"12","0","1","0","1","1007402","6","1","1007402075","","1"
"11","0.2","0","0","1","1007402","3","mhp_receive_yui_loop","1007402076","","mhp_receive_yui_in"
"12","0.2","0","0","1","1007402","3","mhp_item_EX0009_receive_loop","1007402077","","mhp_item_EX0009_receive_in"
"0.6","","","","","1007402","93","","1007402078","","0"
"22","0.4","1","0","1","1007402","6","1","1007402079","","1"
"0.4","","","","","1007402","93","","1007402080","","0"
"117531","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402081","","mhp_handover_out"
"21","0.2","0","0","1","1007402","3","NoItem_idle","1007402082","","mhp_handover_out"
"22","0.2","0","0","1","1007402","3","NoItem_idle","1007402083","","mhp_item_EX0009_handover_out"
"0.4","","","","","1007402","93","","1007402084","","0"
"100211","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402085","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007402","3","NoItem_idle","1007402086","","mhp_receive_yui_out"
"12","0.2","0","0","1","1007402","3","NoItem_idle","1007402087","","mhp_item_EX0009_receive_out"
"2","","","","","1007402","93","","1007402088","","0"
"100211","0.2","1","","","1007402","3","","1007402089","","mhp_talk_sad"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402090","","vo_mhp_4108"
"100211","0","6","0","0","1007402","11","1","1007402091","0.5","お薬もらえるとなんだか安心します\nこれで治るといいんですけど……"
"0","","","","","1007402","91","","1007402092","",""
"100211","0.2","1","","","1007402","3","","1007402093","","mhp_idle_sad"
"117531","0.2","1","","","1007402","3","","1007402094","","mhp_idle_thinking"
"vo_mhp_1007402","","0","","","1007402","21","0","1007402095","","vo_mhp_4109"
"117531","0","6","0","0","1007402","11","1","1007402096","0.5","（実際はただのラムネ菓子だけどね。\n本当の病気じゃないならこれが一番よ）"
"0","","","","","1007402","91","","1007402097","",""
"0","","","","","1007402","22","","1007402098","","0"
"117531","0.2","0","0.2","1","1007402","3","mhp_sit_idle","1007402099","","mhp_sit_in"
"1","","","","","1007402","93","","1007402100","","0"
"1007402160","","","","","1007402","101","","1007402101","",""
"117531","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402102","","mhp_sit_out"
"0.6","","","","","1007402","93","","1007402103","","0"
"100211","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402104","","mhp_sit_out"
"0.2","","","","","1007402","93","","1007402105","","0"
"100211","0.2","1","","0","1007402","3","","1007402106","","mhp_walk"
"100211","","-220","","0","1007402","2","1.5","1007402107","","35"
"31","","-220","","0","1007402","2","1.5","1007402108","","35"
"11","","-220","","0","1007402","2","1.5","1007402109","","35"
"12","","-220","","0","1007402","2","1.5","1007402110","","35"
"0.3","","","","","1007402","93","","1007402111","","0"
"117531","0.2","0","0","1","1007402","3","mhp_handover_loop","1007402112","","mhp_handover_in"
"21","0","1","0","1","1007402","6","1","1007402113","","1"
"22","0","1","0","1","1007402","6","1","1007402114","","1"
"21","0.2","0","0","1","1007402","3","mhp_handover_loop","1007402115","","mhp_handover_in"
"22","0.2","0","0","1","1007402","3","mhp_item_EX0010_handover_loop","1007402116","","mhp_item_EX0010_handover_in"
"1.2","","","","","1007402","93","","1007402117","","0"
"100211","0.2","0","0","1","1007402","3","mhp_handover_receive_loop","1007402118","","mhp_handover_receive_in"
"11","0","1","0","1","1007402","6","1","1007402119","","1"
"12","0","1","0","1","1007402","6","1","1007402120","","1"
"11","0.2","0","0","1","1007402","3","mhp_receive_yui_loop","1007402121","","mhp_receive_yui_in"
"12","0.2","0","0","1","1007402","3","mhp_item_EX0010_receive_loop","1007402122","","mhp_item_EX0010_receive_in"
"0.6","","","","","1007402","93","","1007402123","","0"
"22","0.4","1","0","1","1007402","6","1","1007402124","","1"
"0.4","","","","","1007402","93","","1007402125","","0"
"117531","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402126","","mhp_handover_out"
"21","0.2","0","0","1","1007402","3","NoItem_idle","1007402127","","mhp_handover_out"
"22","0.2","0","0","1","1007402","3","NoItem_idle","1007402128","","mhp_item_EX0010_handover_out"
"0.4","","","","","1007402","93","","1007402129","","0"
"100211","0.2","0","0","1","1007402","3","mhp_idle_normal","1007402130","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007402","3","NoItem_idle","1007402131","","mhp_receive_yui_out"
"12","0.2","0","0","1","1007402","3","NoItem_idle","1007402132","","mhp_item_EX0010_receive_out"
