71c78bfd3dc36dc2f9790eb7c834411fc7b4dc8af5f0504736e72d328d9fb91f,f405c7e1ab6999ecedc651cde7a39af03bf348cad515661fe51058ddd91007d5,f53e15b444ca6df49c85d728ed0fa98b6f54bdf4b6572119d63948664bb7d9bb,275bd95a792f6e2074c3758a4aa950bcba5ddd20bbada60167bd166d93c00b6a,65a61102ab1a47a2d08fbd5d648279b215d750ac1ed348049171d3b8bd457a36
"1","1050","61","0","222"
"2","1050","62","0","223"
"3","1050","63","0","224"
"4","1050","64","0","225"
"5","1050","65","0","226"
"1","1051","66","0","228"
"2","1051","67","0","229"
"3","1051","68","0","230"
"4","1051","69","0","231"
"5","1051","70","0","232"
"1","1052","71","0","234"
"2","1052","72","0","235"
"3","1052","73","0","236"
"4","1052","74","0","237"
"5","1052","75","0","238"
"1","1053","76","0","240"
"2","1053","77","0","241"
"3","1053","78","0","242"
"4","1053","79","0","243"
"5","1053","80","0","244"
"1","1054","81","0","246"
"2","1054","82","0","247"
"3","1054","83","0","248"
"4","1054","84","0","249"
"5","1054","85","0","250"
"1","1055","86","0","252"
"2","1055","87","0","253"
"3","1055","88","0","254"
"4","1055","89","0","255"
"5","1055","90","0","256"
"1","1056","91","0","258"
"2","1056","92","0","259"
"3","1056","93","0","260"
"4","1056","94","0","261"
"5","1056","95","0","262"
"1","1057","96","0","264"
"2","1057","97","0","265"
"3","1057","98","0","266"
"4","1057","99","0","267"
"5","1057","100","0","268"
"1","1058","101","0","270"
"2","1058","102","0","271"
"3","1058","103","0","272"
"4","1058","104","0","273"
"5","1058","105","0","274"
"1","1059","106","0","276"
"2","1059","107","0","277"
"3","1059","108","0","278"
"4","1059","109","0","279"
"5","1059","110","0","280"
"1","1060","111","0","282"
"2","1060","112","0","283"
"3","1060","113","0","284"
"4","1060","114","0","285"
"5","1060","115","0","286"
"1","1061","116","0","288"
"2","1061","117","0","289"
"3","1061","118","0","290"
"4","1061","119","0","291"
"5","1061","120","0","292"
"1","1063","121","0","294"
"2","1063","122","0","295"
"3","1063","123","0","296"
"4","1063","124","0","297"
"1","1064","125","0","299"
"2","1064","126","0","300"
"3","1064","127","0","301"
"4","1064","128","0","302"
"1","1065","129","0","304"
"2","1065","130","0","305"
"3","1065","131","0","306"
"4","1065","132","0","307"
"1","1066","133","0","308"
"2","1066","134","0","310"
"3","1066","135","0","311"
"4","1066","136","0","312"
"1","1067","137","0","313"
"2","1067","138","0","315"
"3","1067","139","0","316"
"4","1067","140","0","317"
"1","1068","141","0","318"
"2","1068","142","0","320"
"3","1068","143","0","321"
"4","1068","144","0","322"
"1","1069","145","0","323"
"2","1069","146","0","325"
"3","1069","147","0","326"
"4","1069","148","0","327"
"1","1070","149","0","328"
"2","1070","150","0","330"
"3","1070","151","0","331"
"4","1070","152","0","332"
"1","1071","153","0","333"
"2","1071","154","0","335"
"3","1071","155","0","336"
"4","1071","156","0","337"
"1","1072","157","0","338"
"2","1072","158","0","340"
"3","1072","159","0","341"
"4","1072","160","0","342"
"1","1073","161","0","343"
"2","1073","162","0","345"
"3","1073","163","0","346"
"4","1073","164","0","347"
"1","1074","165","0","348"
"2","1074","166","0","350"
"3","1074","167","0","351"
"4","1074","168","0","352"
"1","1075","169","0","353"
"2","1075","170","0","355"
"3","1075","171","0","356"
"4","1075","172","0","357"
"1","1076","173","0","358"
"2","1076","174","0","360"
"3","1076","175","0","361"
"4","1076","176","0","362"
"1","1077","177","0","363"
"2","1077","178","0","365"
"3","1077","179","0","366"
"4","1077","180","0","367"
"1","1078","181","0","368"
"2","1078","182","0","370"
"3","1078","183","0","371"
"4","1078","184","0","372"
"1","1079","185","0","373"
"2","1079","186","0","375"
"3","1079","187","0","376"
"4","1079","188","0","377"
"1","1080","189","0","378"
"2","1080","190","0","380"
"3","1080","191","0","381"
"4","1080","192","0","382"
"1","1081","193","0","383"
"2","1081","194","0","385"
"3","1081","195","0","386"
"4","1081","196","0","387"
"1","1082","197","0","388"
"2","1082","198","0","390"
"3","1082","199","0","391"
"4","1082","200","0","392"
"1","1083","201","0","393"
"2","1083","202","0","395"
"3","1083","203","0","396"
"4","1083","204","0","397"
"1","1084","205","0","398"
"2","1084","206","0","400"
"3","1084","207","0","401"
"4","1084","208","0","402"
"1","1085","209","0","403"
"2","1085","210","0","405"
"3","1085","211","0","406"
"4","1085","212","0","407"
"1","1086","213","0","408"
"2","1086","214","0","410"
"3","1086","215","0","411"
"4","1086","216","0","412"
"1","1087","217","0","413"
"2","1087","218","0","415"
"3","1087","219","0","416"
"4","1087","220","0","417"
"1","1088","221","0","418"
"2","1088","222","0","420"
"3","1088","223","0","421"
"4","1088","224","0","422"
"1","1089","225","0","423"
"2","1089","226","0","425"
"3","1089","227","0","426"
"4","1089","228","0","427"
"1","1090","229","0","428"
"2","1090","230","0","430"
"3","1090","231","0","431"
"4","1090","232","0","432"
"1","1091","233","0","433"
"2","1091","234","0","435"
"3","1091","235","0","436"
"4","1091","236","0","437"
"1","1092","237","0","438"
"2","1092","238","0","440"
"3","1092","239","0","441"
"4","1092","240","0","442"
"1","1093","241","0","443"
"2","1093","242","0","445"
"3","1093","243","0","446"
"4","1093","244","0","447"
"1","1094","245","0","448"
"2","1094","246","0","450"
"3","1094","247","0","451"
"4","1094","248","0","452"
"1","1095","249","0","453"
"2","1095","250","0","455"
"3","1095","251","0","456"
"4","1095","252","0","457"
"1","1096","253","0","458"
"2","1096","254","0","460"
"3","1096","255","0","461"
"4","1096","256","0","462"
"1","1097","257","0","463"
"2","1097","258","0","465"
"3","1097","259","0","466"
"4","1097","260","0","467"
