471bd47d89af44b1c93d51d5215640f5cc89d45aceb75b337fbc401e5e2acde7,44ed6df6bba47df92e476ef952dae0b3676fc65c709569ee7e06fe772ccb69f3,e44c621be91e79fa2820671c13a8d52020d7e2fdfcb9ab20dac6adbba363c0ba,dbeb8f46ce98c62d80cdc038c34f76f65e07c9e104a0bf82133030b39a8d1eea,b2bc1c6610c0b97190f83c5b75de71602eba251fb1093c139de524b1f8cef64a,14fb3fbc194aa6c0d09bafb365cd65491268f6607a5a49d398697aeb9f605b35,e090887a3a20cb410b46328a1f25e1b09f29bede3ac86a43bacbaea3f1458c60,fdf24c05455a2496608cc27ed8971c386e1982daa161a20afc74fa3b50d8681f
"8","148","21952","1","96008","1","20000","2"
"8","149","21905","1","96008","1","10000","2"
"8","150","41000","2","96008","1","10000","2"
"8","151","31279","5","96008","5","1500","2"
"8","152","31809","5","96008","5","2000","2"
"8","153","31284","5","96008","5","1500","2"
"8","154","31285","5","96008","5","1500","2"
"8","155","31289","5","96008","5","1500","2"
"8","156","31287","5","96008","5","1500","2"
"8","157","31293","5","96008","5","1500","2"
"8","158","90005","5","96008","10","2500","2"
"8","159","140001","10","96008","50","2500","4"
"8","160","25001","10","96008","10","1000","2"
"8","161","150003","5","96008","30","500","4"
"8","162","150004","5","96008","30","650","4"
"8","163","150005","5","96008","30","750","4"
"8","164","150006","5","96008","30","900","4"
"8","165","150007","5","96008","30","1000","4"
"8","166","150008","5","96008","30","1150","4"
"8","167","150009","5","96008","30","1300","4"
"8","168","20004","5","96008","500","2500","2"
"8","169","22003","5","96008","500","1000","2"
"8","170","20004","0","96008","100","1000","2"
"8","171","22003","0","96008","100","400","2"
